time,open,high,low,close,Volume,volume
1999-11-01,30.24,30.36,29.99,30.06,,600000.0
1999-11-02,30.03,30.65,30.03,30.43,,1021000.0
1999-11-03,30.43,30.43,29.33,29.48,,880300.0
1999-11-04,29.77,30.8,29.77,30.47,,680100.0
1999-11-05,31.05,31.71,30.87,31.35,,970000.0
1999-11-08,31.2,31.56,29.7,30.65,,1103900.0
1999-11-09,30.8,31.02,30.24,30.58,,1112900.0
1999-11-10,30.58,30.58,29.33,29.59,,623000.0
1999-11-11,29.4,29.48,28.04,28.89,,1141000.0
1999-11-12,29.48,29.73,28.63,29.18,,1118500.0
1999-11-15,28.97,29.51,28.67,29.4,,568700.0
1999-11-16,29.44,29.66,29.11,29.62,,909900.0
1999-11-17,29.18,29.22,28.45,28.74,,645900.0
1999-11-18,28.6,28.71,27.9,28.16,,446900.0
1999-11-19,28.38,28.74,28.3,28.63,,472500.0
1999-11-22,28.16,28.27,27.68,27.86,,367200.0
1999-11-23,27.72,28.23,27.68,27.79,,675900.0
1999-11-24,27.65,27.68,26.69,26.72,,757500.0
1999-11-26,26.84,27.42,26.69,26.95,,460700.0
1999-11-29,26.94,27.35,26.57,26.65,,865700.0
1999-11-30,26.65,27.57,26.61,27.53,,894500.0
1999-12-01,27.39,27.9,27.39,27.79,,999000.0
1999-12-02,27.57,27.94,27.05,27.72,,660000.0
1999-12-03,28.31,28.31,27.05,27.13,,1468700.0
1999-12-06,26.83,26.91,25.47,25.47,,988100.0
1999-12-07,25.73,25.8,24.84,25.24,,953200.0
1999-12-08,24.99,25.69,24.77,25.09,,1013600.0
1999-12-09,24.77,25.8,24.4,25.8,,1022700.0
1999-12-10,25.8,27.05,25.73,26.87,,1127900.0
1999-12-13,26.72,27.27,26.61,26.97,,1198000.0
1999-12-14,26.98,27.09,26.35,26.35,,767400.0
1999-12-15,26.28,26.42,25.58,25.88,,686500.0
1999-12-16,25.73,25.73,25.1,25.32,,727300.0
1999-12-17,24.99,26.09,24.99,25.5,,854200.0
1999-12-20,25.24,25.32,24.55,25.06,,878200.0
1999-12-21,24.91,25.32,24.77,25.32,,633500.0
1999-12-22,25.47,26.21,25.43,26.09,,558600.0
1999-12-23,26.24,27.42,26.24,27.09,,718000.0
1999-12-27,27.09,27.9,27.09,27.27,,792800.0
1999-12-28,27.27,27.68,27.2,27.35,,676500.0
1999-12-29,27.5,27.5,26.87,27.2,,443200.0
1999-12-30,27.24,28.16,27.16,27.75,,592100.0
1999-12-31,27.75,28.09,27.72,27.94,,312200.0
2000-01-03,27.79,27.79,26.57,26.68,,571400.0
2000-01-04,26.09,26.24,25.54,25.8,,856900.0
2000-01-05,25.8,26.21,25.14,25.29,,797900.0
2000-01-06,25.06,25.36,24.91,25.24,,975700.0
2000-01-07,25.36,26.54,25.36,26.42,,1578200.0
2000-01-10,26.57,26.57,25.95,25.98,,395800.0
2000-01-11,25.88,26.32,25.73,26.17,,703900.0
2000-01-12,26.17,26.32,25.54,25.69,,708800.0
2000-01-13,25.43,25.95,25.1,25.47,,924700.0
2000-01-14,25.58,25.98,25.5,25.76,,746200.0
2000-01-18,25.54,25.54,24.55,24.65,,445700.0
2000-01-19,23.73,24.21,23.73,23.88,,1199100.0
2000-01-20,24.18,24.18,23.15,23.26,,955300.0
2000-01-21,23.4,23.4,22.19,22.37,,848000.0
2000-01-24,22.41,23.0,22.41,22.82,,1336500.0
2000-01-25,22.82,23.11,22.26,22.44,,753100.0
2000-01-26,22.41,23.18,21.97,23.0,,696100.0
2000-01-27,23.0,23.33,22.59,23.03,,750100.0
2000-01-28,23.22,23.22,21.75,22.0,,1286100.0
2000-01-31,22.04,22.7,21.71,22.48,,1228300.0
2000-02-01,22.48,23.03,22.11,22.89,,577700.0
2000-02-02,22.89,23.4,22.67,23.33,,607500.0
2000-02-03,23.03,24.32,23.0,24.03,,1342000.0
2000-02-04,24.7,24.7,23.73,24.7,,1006000.0
2000-02-07,23.81,23.92,23.07,23.55,,1282700.0
