time,open,high,low,close,Volume,volume
1999-11-01,10.71,10.91,10.63,10.77,,3739000.0
1999-11-02,10.82,10.83,10.42,10.43,,4173000.0
1999-11-03,10.67,10.67,10.36,10.59,,4137000.0
1999-11-04,10.72,11.1,10.65,11.07,,4383700.0
1999-11-05,11.36,11.53,11.18,11.2,,4185700.0
1999-11-08,11.3,11.5,11.28,11.46,,2478500.0
1999-11-09,11.51,11.61,11.16,11.21,,2895500.0
1999-11-10,11.19,11.22,10.55,10.68,,6342100.0
1999-11-11,10.68,10.82,10.57,10.65,,3919600.0
1999-11-12,10.81,11.07,10.57,11.07,,4384300.0
1999-11-15,11.05,11.05,10.76,10.77,,3948600.0
1999-11-16,10.81,10.99,10.74,10.99,,4331900.0
1999-11-17,10.93,11.73,10.85,11.69,,6138400.0
1999-11-18,12.32,13.67,12.29,13.61,,21429600.0
1999-11-19,13.51,13.77,13.39,13.51,,7394600.0
1999-11-22,13.51,13.67,13.46,13.54,,4904700.0
1999-11-23,13.55,13.7,13.49,13.55,,4028100.0
1999-11-24,13.53,14.09,13.47,14.05,,3845100.0
1999-11-26,14.07,14.21,13.75,13.77,,1425900.0
1999-11-29,13.78,14.08,13.69,13.85,,2877400.0
1999-11-30,14.06,14.33,13.64,13.69,,4008500.0
1999-12-01,13.73,14.08,13.72,13.93,,3923200.0
1999-12-02,14.35,14.63,14.14,14.4,,5678300.0
1999-12-03,14.84,15.47,14.76,15.15,,5880300.0
1999-12-06,15.46,15.56,14.69,15.11,,3534800.0
1999-12-07,14.91,15.86,14.91,15.34,,4330700.0
1999-12-08,15.73,15.93,15.49,15.85,,4248600.0
1999-12-09,16.28,16.28,15.59,15.95,,5521900.0
1999-12-10,15.99,16.08,15.62,15.73,,4640500.0
1999-12-13,15.8,15.8,15.17,15.54,,4263700.0
1999-12-14,15.15,15.25,14.79,14.92,,4065900.0
1999-12-15,14.88,14.92,14.3,14.59,,4281400.0
1999-12-16,14.59,15.41,14.55,15.38,,4340800.0
1999-12-17,15.43,15.64,15.17,15.2,,4672400.0
1999-12-20,15.21,15.64,14.88,15.3,,2359100.0
1999-12-21,15.04,15.72,15.02,15.7,,2126200.0
1999-12-22,15.6,15.6,15.23,15.43,,2102500.0
1999-12-23,15.57,16.29,15.56,16.25,,2776300.0
1999-12-27,16.22,16.37,15.62,15.66,,2495300.0
1999-12-28,15.7,16.29,15.7,16.06,,1800400.0
1999-12-29,16.16,16.73,16.12,16.4,,2189700.0
1999-12-30,16.68,17.02,16.45,16.64,,2071300.0
1999-12-31,16.54,16.65,16.42,16.42,,687400.0
2000-01-03,16.42,17.15,16.34,16.95,,4170900.0
2000-01-04,16.45,16.67,15.56,15.67,,3690100.0
2000-01-05,15.47,15.95,15.05,15.75,,5084800.0
2000-01-06,15.43,15.56,14.58,14.58,,3619600.0
2000-01-07,15.14,15.3,14.59,15.0,,3697700.0
2000-01-10,15.5,16.14,15.49,16.03,,3462400.0
2000-01-11,15.53,16.14,15.53,15.64,,2372600.0
2000-01-12,15.64,16.32,15.33,16.22,,3311400.0
2000-01-13,16.31,16.35,15.85,16.28,,2655200.0
2000-01-14,16.58,16.58,16.02,16.24,,2861100.0
2000-01-18,16.02,16.81,16.01,16.4,,3224800.0
2000-01-19,16.47,16.8,16.08,16.74,,3480100.0
2000-01-20,16.93,17.02,16.29,16.76,,3073300.0
2000-01-21,16.81,16.81,16.29,16.32,,2929500.0
2000-01-24,16.52,16.55,16.12,16.31,,2847600.0
2000-01-25,16.28,16.35,15.57,16.25,,3627700.0
2000-01-26,16.02,16.06,15.44,15.7,,3703500.0
2000-01-27,16.15,16.44,15.44,15.66,,4519400.0
2000-01-28,15.63,16.15,15.49,15.7,,2951600.0
2000-01-31,15.72,15.85,15.0,15.63,,2776700.0
2000-02-01,15.79,15.79,15.01,15.27,,3276500.0
2000-02-02,15.47,16.27,15.36,15.96,,3417500.0
2000-02-03,16.02,16.81,16.02,16.38,,3966700.0
2000-02-04,16.52,17.26,16.51,17.03,,4611000.0
2000-02-07,17.16,18.62,16.91,18.55,,6287800.0
2000-02-08,18.37,18.4,17.68,17.92,,4721200.0
2000-02-09,17.75,18.33,17.65,17.9,,4129800.0
2000-02-10,18.04,18.26,17.77,18.18,,2527200.0
2000-02-11,18.18,18.18,17.3,17.52,,2787500.0
2000-02-14,17.51,17.94,17.39,17.75,,3278200.0
2000-02-15,17.95,18.23,17.59,18.01,,4129100.0
2000-02-16,18.23,19.05,18.13,18.91,,5056600.0
2000-02-17,18.47,18.55,17.84,18.47,,5281000.0
2000-02-18,18.47,18.82,18.42,18.62,,5603600.0
2000-02-22,18.66,18.66,18.05,18.47,,3823900.0
2000-02-23,18.33,18.91,18.1,18.88,,3465900.0
2000-02-24,18.63,18.82,18.33,18.69,,3770900.0
2000-02-25,18.62,18.69,17.98,17.98,,3824000.0
2000-02-28,18.4,18.66,17.67,18.6,,4959700.0
2000-02-29,18.43,19.96,18.43,19.41,,5393800.0
2000-03-01,19.09,19.89,19.08,19.28,,3809100.0
2000-03-02,19.48,19.48,19.09,19.34,,2455900.0
2000-03-03,19.41,20.19,19.35,20.0,,4442000.0
2000-03-06,19.77,21.95,19.74,21.14,,6092700.0
2000-03-07,21.79,21.81,20.49,20.64,,6035600.0
2000-03-08,20.64,20.81,20.16,20.34,,4012700.0
2000-03-09,20.64,22.2,20.41,21.92,,4581000.0
2000-03-10,21.92,22.44,21.07,21.2,,3299000.0
2000-03-13,20.49,21.56,20.46,21.14,,3263400.0
2000-03-14,21.29,21.65,20.18,20.18,,3284300.0
2000-03-15,20.28,20.34,18.73,19.05,,5296800.0
2000-03-16,18.83,19.19,17.9,19.19,,7672000.0
2000-03-17,19.19,20.65,19.19,20.06,,6948900.0
2000-03-20,19.99,21.19,19.96,20.78,,3689400.0
2000-03-21,20.57,20.74,20.03,20.48,,3667200.0
2000-03-22,20.65,21.19,20.46,21.1,,2665200.0
2000-03-23,20.71,21.58,20.58,21.26,,2689100.0
2000-03-24,21.25,21.59,20.21,20.55,,2928700.0
2000-03-27,20.72,21.49,20.72,21.1,,2307700.0
2000-03-28,21.11,21.19,20.21,20.31,,2646500.0
2000-03-29,20.31,20.32,19.32,19.48,,3838100.0
2000-03-30,19.3,19.48,18.78,18.88,,3349000.0
2000-03-31,19.18,19.84,18.76,19.14,,3893800.0
2000-04-03,19.28,19.7,18.81,19.14,,3575100.0
2000-04-04,19.32,20.18,18.62,19.93,,4876900.0
2000-04-05,19.92,21.39,19.77,20.49,,5350900.0
2000-04-06,20.98,21.45,20.64,21.37,,3516900.0
2000-04-07,21.39,22.51,21.16,22.51,,3245900.0
2000-04-10,22.12,22.14,21.06,21.26,,3853800.0
2000-04-11,20.8,21.63,20.34,21.04,,3405000.0
2000-04-12,21.19,21.27,19.24,19.48,,4670200.0
2000-04-13,19.31,20.0,18.99,19.04,,4642400.0
2000-04-14,18.85,19.6,17.45,17.75,,6249300.0
2000-04-17,17.77,19.31,17.77,19.31,,5597400.0
2000-04-18,19.43,20.35,19.17,20.08,,5329000.0
2000-04-19,20.0,20.12,19.41,19.6,,3376900.0
2000-04-20,19.63,20.19,19.53,20.13,,2993400.0
2000-04-24,19.56,19.95,18.79,19.09,,4072600.0
2000-04-25,19.41,20.21,19.28,20.1,,3890000.0
2000-04-26,20.06,20.77,19.96,20.29,,4031700.0
2000-04-27,19.67,20.22,19.53,19.9,,3762600.0
2000-04-28,19.92,20.02,19.37,19.48,,2474100.0
2000-05-01,19.63,20.44,19.12,20.06,,3829900.0
2000-05-02,20.28,20.49,19.92,19.93,,2538300.0
2000-05-03,19.56,19.69,18.62,19.12,,3445500.0
2000-05-04,19.12,19.19,18.42,19.07,,2894200.0
2000-05-05,19.05,20.03,18.88,19.74,,2419000.0
2000-05-08,19.71,19.73,19.25,19.58,,1647200.0
2000-05-09,19.54,19.54,18.95,19.17,,1995100.0
2000-05-10,18.91,19.04,17.69,18.23,,3698300.0
2000-05-11,18.23,18.96,17.87,18.89,,3236600.0
2000-05-12,19.12,19.99,18.92,18.99,,3153900.0
2000-05-15,19.27,19.41,18.39,19.34,,2832300.0
2000-05-16,19.48,20.42,19.43,19.99,,4553100.0
2000-05-17,19.56,19.56,18.52,18.78,,5546800.0
2000-05-18,18.98,19.14,18.75,19.01,,3321900.0
2000-05-19,19.02,19.02,18.0,18.21,,3301700.0
2000-05-22,18.23,18.31,17.1,17.72,,3701900.0
2000-05-23,17.32,18.03,17.32,17.42,,2636900.0
2000-05-24,17.33,17.38,16.34,17.12,,5212900.0
2000-05-25,16.61,17.59,16.6,16.78,,3756700.0
2000-05-26,16.54,17.3,16.54,17.04,,2303800.0
2000-05-30,17.29,18.01,17.26,17.97,,2459900.0
2000-05-31,17.77,17.95,17.41,17.46,,3654100.0
2000-06-01,18.04,19.47,17.95,19.38,,7156200.0
2000-06-02,19.7,20.98,19.35,20.51,,5799300.0
2000-06-05,16.52,19.92,16.5,17.36,,5597000.0
2000-06-06,17.15,17.3,16.74,17.03,,4696700.0
2000-06-07,17.04,17.97,16.89,17.69,,5244600.0
2000-06-08,17.69,18.44,17.39,18.17,,5167200.0
2000-06-09,18.4,18.82,18.39,18.47,,4126600.0
2000-06-12,18.31,18.44,17.98,18.18,,3262800.0
2000-06-13,17.39,17.41,16.89,17.17,,8768500.0
2000-06-14,17.25,17.26,16.45,16.45,,5017900.0
2000-06-15,16.6,17.3,16.52,16.89,,4228600.0
2000-06-16,16.86,16.87,16.45,16.47,,3934900.0
2000-06-19,16.76,17.25,16.5,17.0,,2862900.0
2000-06-20,17.09,17.38,16.76,16.81,,2571300.0
2000-06-21,16.61,17.3,16.61,17.25,,2572700.0
2000-06-22,17.29,17.55,17.04,17.12,,3572400.0
2000-06-23,17.32,17.32,16.84,16.9,,2377500.0
2000-06-26,17.12,17.58,17.03,17.32,,2141100.0
2000-06-27,17.25,17.65,16.83,16.83,,2847700.0
2000-06-28,17.43,18.03,17.33,17.87,,4553400.0
2000-06-29,17.85,17.88,17.17,17.29,,4623000.0
2000-06-30,17.32,18.04,17.3,18.03,,4265500.0
2000-07-03,17.9,18.03,17.77,17.94,,1003900.0
2000-07-05,17.95,17.95,17.26,17.26,,2773400.0
2000-07-06,17.58,17.58,16.68,17.09,,4324200.0
2000-07-07,17.22,18.04,17.09,18.01,,3616500.0
2000-07-10,17.82,18.01,17.61,17.85,,2153500.0
2000-07-11,17.75,18.31,17.72,18.27,,3470100.0
