time,open,high,low,close,Volume,volume
1999-11-01,3.79,3.87,3.74,3.79,,1061500.0
1999-11-02,3.82,3.82,3.74,3.79,,1443600.0
1999-11-03,3.82,3.84,3.74,3.84,,911300.0
1999-11-04,3.84,3.92,3.82,3.92,,1714900.0
1999-11-05,3.92,3.95,3.79,3.79,,847700.0
1999-11-08,3.82,3.87,3.79,3.84,,1437200.0
1999-11-09,3.84,3.92,3.82,3.84,,586300.0
1999-11-10,3.84,3.87,3.79,3.79,,1337100.0
1999-11-11,3.84,3.84,3.79,3.82,,674400.0
1999-11-12,3.82,3.84,3.76,3.76,,308100.0
1999-11-15,3.79,3.79,3.74,3.79,,1019200.0
1999-11-16,3.79,3.79,3.74,3.79,,580900.0
1999-11-17,3.79,3.79,3.74,3.79,,832600.0
1999-11-18,3.76,3.84,3.76,3.82,,870700.0
1999-11-19,3.79,3.84,3.76,3.84,,2261400.0
1999-11-22,3.82,3.92,3.79,3.9,,1359100.0
1999-11-23,3.92,3.95,3.84,3.92,,2102500.0
1999-11-24,3.92,3.97,3.9,3.95,,546900.0
1999-11-26,3.95,3.97,3.92,3.95,,170400.0
1999-11-29,3.95,3.97,3.9,3.9,,752900.0
1999-11-30,3.92,3.95,3.9,3.92,,1714600.0
1999-12-01,3.92,3.97,3.9,3.95,,995500.0
1999-12-02,3.92,3.95,3.9,3.93,,922400.0
1999-12-03,3.92,3.95,3.9,3.92,,695300.0
1999-12-06,3.9,3.92,3.84,3.9,,584400.0
1999-12-07,3.9,3.92,3.79,3.84,,5021000.0
1999-12-08,3.84,3.87,3.79,3.79,,1088500.0
1999-12-09,3.82,3.84,3.76,3.76,,689900.0
1999-12-10,3.76,3.82,3.45,3.45,,1857500.0
1999-12-13,3.45,3.47,3.11,3.26,,2974300.0
1999-12-14,3.32,3.47,3.24,3.42,,1608000.0
1999-12-15,3.42,3.53,3.37,3.4,,1280600.0
1999-12-16,3.42,3.45,3.4,3.42,,766200.0
1999-12-17,3.42,3.55,3.42,3.5,,961200.0
1999-12-20,3.55,3.55,3.47,3.5,,762100.0
1999-12-21,3.5,3.5,3.34,3.45,,997000.0
1999-12-22,3.47,3.55,3.47,3.55,,1020600.0
1999-12-23,3.55,3.63,3.53,3.61,,584500.0
1999-12-27,3.61,3.66,3.58,3.63,,412000.0
1999-12-28,3.63,3.68,3.61,3.63,,682000.0
1999-12-29,3.67,3.75,3.61,3.67,,641700.0
1999-12-30,3.69,3.75,3.61,3.67,,743500.0
1999-12-31,3.67,3.69,3.56,3.56,,557800.0
2000-01-03,3.61,3.64,3.59,3.64,,394700.0
2000-01-04,3.61,3.64,3.53,3.61,,516400.0
2000-01-05,3.59,3.61,3.51,3.51,,256600.0
2000-01-06,3.48,3.53,3.45,3.53,,676400.0
2000-01-07,3.53,3.64,3.51,3.59,,684000.0
2000-01-10,3.61,3.78,3.59,3.78,,690800.0
2000-01-11,3.75,3.8,3.72,3.8,,2059800.0
2000-01-12,3.8,3.83,3.75,3.83,,504100.0
2000-01-13,3.8,3.86,3.78,3.83,,1741300.0
2000-01-14,3.83,3.88,3.8,3.88,,2214800.0
2000-01-18,3.88,4.02,3.86,3.91,,1099300.0
2000-01-19,4.02,4.15,3.99,4.13,,1435600.0
2000-01-20,4.1,4.13,4.02,4.05,,1133300.0
2000-01-21,4.05,4.07,3.94,3.96,,524700.0
2000-01-24,4.02,4.1,3.96,3.96,,1226800.0
2000-01-25,4.02,4.1,3.91,4.02,,711400.0
2000-01-26,3.99,4.07,3.99,4.02,,362100.0
2000-01-27,4.02,4.07,3.94,3.99,,1224800.0
2000-01-28,3.99,3.99,3.86,3.88,,1186900.0
2000-01-31,3.88,3.88,3.78,3.83,,459600.0
2000-02-01,3.88,3.96,3.83,3.94,,266800.0
2000-02-02,3.94,3.96,3.88,3.94,,479500.0
2000-02-03,3.94,3.96,3.91,3.96,,276200.0
2000-02-04,3.97,3.99,3.94,3.97,,843900.0
2000-02-07,3.96,4.1,3.96,4.02,,544400.0
2000-02-08,4.05,4.1,4.02,4.07,,431400.0
2000-02-09,4.05,4.1,4.05,4.07,,678800.0
2000-02-10,4.05,4.13,4.02,4.05,,366200.0
2000-02-11,4.02,4.05,3.91,3.94,,372700.0
2000-02-14,3.94,3.99,3.88,3.96,,964700.0
2000-02-15,3.94,3.99,3.91,3.96,,483400.0
2000-02-16,3.94,4.02,3.91,3.99,,1242500.0
2000-02-17,4.02,4.1,3.96,4.07,,899100.0
2000-02-18,4.05,4.07,3.99,3.99,,900200.0
2000-02-22,3.94,3.99,3.88,3.91,,607000.0
2000-02-23,3.91,3.94,3.88,3.94,,336800.0
2000-02-24,3.94,3.94,3.83,3.88,,711300.0
2000-02-25,3.88,3.88,3.78,3.86,,420300.0
2000-02-28,3.8,3.86,3.8,3.83,,317600.0
2000-02-29,3.83,3.88,3.78,3.83,,469400.0
2000-03-01,3.83,3.86,3.75,3.75,,459900.0
2000-03-02,3.78,3.8,3.67,3.75,,2714100.0
2000-03-03,3.72,3.75,3.69,3.72,,329500.0
2000-03-06,3.72,3.83,3.69,3.83,,1036200.0
2000-03-07,3.8,3.86,3.72,3.78,,537900.0
2000-03-08,3.75,3.8,3.72,3.8,,333300.0
2000-03-09,3.83,3.86,3.78,3.83,,656000.0
2000-03-10,3.86,3.96,3.86,3.86,,763000.0
2000-03-13,3.88,3.88,3.83,3.86,,135300.0
2000-03-14,3.86,3.88,3.78,3.83,,387200.0
2000-03-15,3.83,3.86,3.78,3.86,,267000.0
2000-03-16,3.88,3.99,3.86,3.86,,939500.0
2000-03-17,3.91,3.96,3.86,3.88,,411300.0
