time,open,high,low,close,Volume,volume
1999-11-01,7.6,7.66,7.57,7.6,,16444.0
1999-11-02,7.64,7.66,7.47,7.51,,15378.0
1999-11-03,7.55,7.72,7.51,7.72,,17644.0
1999-11-04,7.68,7.97,7.68,7.8,,26044.0
1999-11-05,7.81,7.81,7.6,7.62,,42978.0
1999-11-08,7.62,7.64,7.43,7.49,,11467.0
1999-11-09,7.47,7.55,7.39,7.51,,12400.0
1999-11-10,7.51,7.62,7.51,7.58,,12267.0
1999-11-11,7.58,7.66,7.55,7.62,,26000.0
1999-11-12,7.64,8.01,7.62,7.99,,24444.0
1999-11-15,7.99,8.58,7.99,8.12,,59378.0
1999-11-16,8.41,8.47,8.35,8.41,,21200.0
1999-11-17,8.39,8.39,8.2,8.24,,36800.0
1999-11-18,8.24,8.24,8.08,8.22,,20178.0
1999-11-19,8.29,8.47,8.29,8.43,,34444.0
1999-11-22,8.39,8.52,8.39,8.45,,26844.0
1999-11-23,8.41,8.47,8.35,8.47,,33378.0
1999-11-24,8.47,8.58,8.45,8.52,,25244.0
1999-11-26,8.5,8.5,8.37,8.39,,5378.0
1999-11-29,8.39,8.47,8.35,8.45,,28978.0
1999-11-30,8.41,8.45,8.33,8.45,,24000.0
1999-12-01,8.45,8.49,8.43,8.45,,31244.0
1999-12-02,8.43,8.52,8.43,8.52,,15378.0
1999-12-03,8.58,8.68,8.58,8.68,,22844.0
1999-12-06,8.68,8.68,8.6,8.64,,21867.0
1999-12-07,8.62,8.64,8.6,8.6,,26578.0
1999-12-08,8.6,8.68,8.6,8.68,,8267.0
1999-12-09,8.6,8.6,8.41,8.45,,46800.0
1999-12-10,8.52,8.58,8.45,8.5,,46267.0
1999-12-13,8.5,8.5,8.41,8.45,,52444.0
1999-12-14,8.39,8.43,8.22,8.24,,112000.0
1999-12-15,8.24,8.24,7.89,8.06,,188444.0
1999-12-16,8.06,8.26,8.03,8.16,,98000.0
1999-12-17,8.23,8.47,8.23,8.31,,45644.0
1999-12-20,8.31,8.54,8.31,8.49,,46400.0
1999-12-21,8.43,8.54,8.43,8.54,,26400.0
1999-12-22,8.5,8.54,8.47,8.52,,9600.0
1999-12-23,8.54,8.7,8.49,8.49,,48044.0
1999-12-27,8.52,9.64,8.49,9.64,,99200.0
1999-12-28,9.6,9.6,9.16,9.34,,109778.0
