time,open,high,low,close,Volume,volume
1999-11-01,34.03,34.37,33.42,34.26,,201300.0
1999-11-02,34.48,34.48,33.42,33.48,,253000.0
1999-11-03,33.42,33.42,32.97,33.14,,246500.0
1999-11-04,33.14,33.53,32.91,33.31,,226900.0
1999-11-05,33.31,33.93,33.31,33.59,,196100.0
1999-11-08,33.64,33.7,32.81,33.53,,222900.0
1999-11-09,33.36,33.48,32.47,32.81,,168500.0
1999-11-10,32.36,33.93,32.36,33.7,,185900.0
1999-11-11,33.7,35.15,33.7,34.15,,374700.0
1999-11-12,34.15,34.54,33.59,33.7,,157400.0
1999-11-15,33.25,34.03,32.69,33.98,,249200.0
1999-11-16,33.98,34.31,33.7,34.26,,226200.0
1999-11-17,34.15,34.54,33.86,34.31,,261800.0
1999-11-18,34.31,35.05,34.15,34.54,,245400.0
1999-11-19,34.37,34.93,34.31,34.88,,274500.0
1999-11-22,34.6,34.6,33.7,34.31,,220200.0
1999-11-23,34.09,34.2,33.53,33.93,,246800.0
1999-11-24,33.64,34.03,33.64,33.98,,194100.0
1999-11-26,33.98,33.98,33.59,33.81,,78800.0
1999-11-29,33.81,33.81,32.64,33.19,,209600.0
1999-11-30,32.97,33.59,32.91,32.97,,178600.0
1999-12-01,32.81,33.76,32.69,32.97,,210700.0
1999-12-02,32.81,33.36,32.74,33.19,,122800.0
1999-12-03,33.19,34.37,33.19,34.37,,134500.0
1999-12-06,34.03,34.2,33.42,33.64,,148400.0
1999-12-07,33.14,33.93,32.64,33.7,,229100.0
1999-12-08,33.48,33.53,32.07,32.07,,145300.0
1999-12-09,32.3,32.3,31.46,31.91,,194200.0
1999-12-10,31.91,32.91,31.35,31.62,,273700.0
1999-12-13,31.69,31.96,31.29,31.46,,245000.0
1999-12-14,31.24,31.74,30.95,31.29,,274400.0
1999-12-15,31.07,33.42,30.95,32.47,,360400.0
1999-12-16,31.91,32.36,31.62,31.85,,254000.0
1999-12-17,31.79,32.97,31.57,32.97,,491000.0
1999-12-20,32.36,32.69,31.69,32.47,,289100.0
1999-12-21,32.24,32.58,31.29,32.36,,631800.0
1999-12-22,32.47,32.69,31.79,32.41,,278900.0
1999-12-23,32.41,32.58,32.02,32.24,,288300.0
1999-12-27,30.68,32.91,30.68,32.47,,279600.0
1999-12-28,32.69,33.03,31.91,32.81,,263300.0
1999-12-29,33.53,33.53,32.24,32.91,,186300.0
1999-12-30,32.91,33.93,32.69,33.59,,192800.0
1999-12-31,33.81,34.03,32.86,33.7,,116600.0
2000-01-03,33.69,33.98,31.35,31.85,,312300.0
2000-01-04,31.35,31.79,30.95,31.46,,318300.0
2000-01-05,31.69,31.74,30.95,31.62,,255400.0
2000-01-06,31.46,33.25,31.35,32.47,,212700.0
2000-01-07,32.69,33.7,32.58,33.42,,153000.0
