time,open,high,low,close,Volume,volume
1999-11-01,22.04,22.23,21.56,21.57,,22934100.0
1999-11-02,21.88,22.2,21.73,22.0,,20338200.0
1999-11-03,22.26,22.91,22.08,22.65,,25240100.0
1999-11-04,22.84,23.22,22.77,23.16,,21843500.0
1999-11-05,23.39,23.82,23.23,23.39,,19837200.0
1999-11-08,23.16,23.61,22.93,23.32,,13471200.0
1999-11-09,23.36,23.37,22.54,22.74,,16851400.0
1999-11-10,22.43,23.14,22.22,22.43,,17087600.0
1999-11-11,22.66,22.84,22.19,22.56,,16093100.0
1999-11-12,22.47,22.54,21.17,21.64,,43757600.0
1999-11-15,21.64,21.65,21.01,21.03,,19666900.0
1999-11-16,21.16,21.87,20.91,21.74,,27868700.0
1999-11-17,21.88,22.36,21.16,21.23,,23543200.0
1999-11-18,21.49,22.29,21.48,22.29,,18853200.0
1999-11-19,22.15,22.83,22.08,22.68,,23248600.0
1999-11-22,22.97,23.11,22.4,22.86,,18435400.0
1999-11-23,22.91,23.07,22.15,22.43,,20521800.0
1999-11-24,22.7,23.36,22.47,23.34,,16813400.0
1999-11-26,23.29,23.36,22.77,22.79,,7091100.0
1999-11-29,22.79,22.81,22.22,22.42,,16325600.0
1999-11-30,22.28,22.63,21.74,21.78,,17432900.0
1999-12-01,21.6,22.03,21.3,21.67,,22778300.0
1999-12-02,21.48,22.19,21.44,22.03,,15559200.0
1999-12-03,22.43,22.72,22.29,22.35,,18271100.0
1999-12-06,22.38,22.54,21.92,22.12,,14320000.0
1999-12-07,22.22,22.28,21.67,21.92,,16827100.0
1999-12-08,21.71,21.95,21.01,21.16,,26340100.0
1999-12-09,21.48,21.48,20.48,20.8,,26913300.0
1999-12-10,20.87,21.01,20.34,20.52,,28117400.0
1999-12-13,20.23,21.35,20.04,21.24,,23902400.0
1999-12-14,21.19,21.3,20.55,20.57,,20871700.0
1999-12-15,20.5,22.5,20.48,22.42,,41023400.0
1999-12-16,22.65,23.04,22.54,22.79,,25080100.0
1999-12-17,23.11,23.57,22.86,23.3,,34734800.0
1999-12-20,23.54,23.62,22.47,23.02,,18125700.0
1999-12-21,22.88,23.64,22.72,23.54,,17335200.0
1999-12-22,23.59,23.75,23.18,23.43,,12463300.0
1999-12-23,23.68,23.84,23.43,23.61,,10820800.0
1999-12-27,23.7,24.18,23.47,24.16,,14305500.0
1999-12-28,23.98,24.28,23.54,23.57,,11728700.0
