time,open,high,low,close,Volume,volume
1999-11-01,3.4,3.4,3.28,3.3,,173541.0
1999-11-02,3.3,3.51,3.3,3.5,,256059.0
1999-11-03,3.5,3.52,3.3,3.3,,152385.0
1999-11-04,3.31,3.33,3.3,3.31,,136178.0
1999-11-05,3.33,3.36,3.3,3.36,,70815.0
1999-11-08,3.35,3.48,3.34,3.45,,133333.0
1999-11-09,3.45,3.45,3.35,3.38,,149600.0
1999-11-10,3.38,3.38,3.34,3.38,,60770.0
1999-11-11,3.37,3.37,3.32,3.32,,60770.0
1999-11-12,3.33,3.38,3.33,3.38,,99378.0
1999-11-15,3.36,3.44,3.34,3.44,,128800.0
1999-11-16,3.44,3.44,3.34,3.39,,124207.0
1999-11-17,3.39,3.42,3.38,3.41,,74430.0
1999-11-18,3.42,3.47,3.41,3.45,,58281.0
1999-11-19,3.46,3.5,3.45,3.5,,86163.0
1999-11-22,3.5,3.54,3.43,3.5,,820207.0
1999-11-23,3.52,3.59,3.45,3.57,,128978.0
1999-11-24,3.54,3.54,3.44,3.47,,87615.0
1999-11-26,3.48,3.48,3.45,3.45,,31170.0
1999-11-29,3.46,3.47,3.41,3.41,,154104.0
1999-11-30,3.34,3.36,3.29,3.31,,253185.0
1999-12-01,3.31,3.34,3.27,3.33,,112148.0
1999-12-02,3.31,3.51,3.31,3.48,,159970.0
1999-12-03,3.48,3.6,3.48,3.59,,137363.0
1999-12-06,3.61,3.62,3.6,3.61,,69096.0
1999-12-07,3.62,3.65,3.61,3.64,,83526.0
1999-12-08,3.64,3.93,3.64,3.93,,168415.0
1999-12-09,3.93,3.93,3.8,3.82,,235289.0
1999-12-10,3.82,3.95,3.79,3.95,,377156.0
1999-12-13,3.93,4.19,3.93,4.19,,219289.0
1999-12-14,4.18,4.22,4.06,4.21,,104474.0
1999-12-15,4.2,4.3,4.18,4.23,,109363.0
1999-12-16,4.25,4.37,4.25,4.29,,210815.0
1999-12-17,4.27,4.34,4.27,4.3,,155644.0
1999-12-20,4.28,4.31,4.27,4.27,,74844.0
1999-12-21,4.27,4.34,4.27,4.3,,123200.0
1999-12-22,4.31,4.33,4.28,4.29,,28593.0
1999-12-23,4.29,4.32,4.26,4.31,,63793.0
1999-12-27,4.32,4.32,4.27,4.32,,57156.0
1999-12-28,4.32,4.41,4.31,4.38,,61304.0
1999-12-29,4.37,4.37,4.32,4.34,,63230.0
1999-12-30,4.37,4.37,4.31,4.34,,341452.0
1999-12-31,4.32,4.44,4.23,4.41,,41393.0
2000-01-03,4.41,4.41,3.99,4.01,,197363.0
2000-01-04,4.01,4.09,3.76,3.88,,105037.0
2000-01-05,3.86,3.88,3.76,3.78,,198400.0
2000-01-06,3.78,3.78,3.68,3.72,,196326.0
2000-01-07,3.73,3.76,3.68,3.71,,185541.0
2000-01-10,3.71,3.93,3.71,3.9,,482341.0
2000-01-11,3.93,3.99,3.93,3.94,,72267.0
2000-01-12,3.93,3.93,3.73,3.78,,94844.0
2000-01-13,3.81,3.82,3.7,3.82,,137363.0
2000-01-14,3.82,3.85,3.8,3.81,,46489.0
2000-01-18,3.78,3.78,3.65,3.67,,130459.0
2000-01-19,3.69,3.71,3.66,3.67,,34815.0
2000-01-20,3.66,3.78,3.66,3.76,,61481.0
2000-01-21,3.76,3.93,3.73,3.87,,222015.0
2000-01-24,3.88,4.01,3.88,3.92,,448415.0
2000-01-25,3.92,3.92,3.78,3.78,,130696.0
2000-01-26,3.78,3.92,3.76,3.76,,139644.0
2000-01-27,3.78,3.85,3.76,3.76,,270933.0
2000-01-28,3.78,3.86,3.71,3.82,,108919.0
2000-01-31,3.85,3.9,3.69,3.71,,138341.0
2000-02-01,3.69,3.69,3.6,3.66,,149185.0
2000-02-02,3.64,3.76,3.58,3.75,,84148.0
2000-02-03,3.72,3.85,3.72,3.78,,118193.0
2000-02-04,3.73,3.92,3.73,3.91,,48030.0
2000-02-07,3.89,3.89,3.68,3.71,,176326.0
2000-02-08,3.73,3.86,3.71,3.83,,154104.0
2000-02-09,3.82,3.82,3.61,3.61,,88474.0
2000-02-10,3.61,3.61,3.43,3.53,,158252.0
2000-02-11,3.53,3.65,3.47,3.52,,194756.0
2000-02-14,3.52,3.52,3.26,3.37,,352326.0
2000-02-15,3.4,3.52,3.4,3.49,,209896.0
2000-02-16,3.47,3.5,3.47,3.48,,82726.0
2000-02-17,3.49,3.81,3.49,3.76,,132059.0
2000-02-18,3.76,3.78,3.64,3.68,,80919.0
2000-02-22,3.64,3.64,3.59,3.6,,27733.0
2000-02-23,3.59,3.59,3.26,3.52,,227496.0
2000-02-24,3.52,3.52,3.38,3.43,,101481.0
2000-02-25,3.43,3.43,3.12,3.28,,306844.0
2000-02-28,3.26,3.34,3.14,3.28,,177185.0
2000-02-29,3.27,3.52,3.26,3.43,,413096.0
2000-03-01,3.37,3.48,3.37,3.42,,154963.0
2000-03-02,3.43,3.48,3.4,3.45,,87911.0
2000-03-03,3.47,3.52,3.46,3.52,,64356.0
2000-03-06,3.51,3.73,3.51,3.73,,229393.0
2000-03-07,3.73,3.75,3.6,3.6,,263170.0
2000-03-08,3.6,3.64,3.54,3.57,,111407.0
2000-03-09,3.56,3.65,3.52,3.61,,56267.0
2000-03-10,3.56,3.57,3.52,3.52,,83141.0
2000-03-13,3.5,3.69,3.5,3.62,,210074.0
2000-03-14,3.62,3.79,3.56,3.64,,296741.0
2000-03-15,3.61,3.77,3.54,3.7,,152356.0
2000-03-16,3.68,3.76,3.66,3.71,,339733.0
2000-03-17,3.67,3.71,3.64,3.64,,143022.0
2000-03-20,3.62,3.64,3.47,3.59,,239970.0
2000-03-21,3.55,3.67,3.52,3.67,,131852.0
2000-03-22,3.66,3.9,3.66,3.8,,170726.0
2000-03-23,3.78,3.85,3.75,3.8,,106756.0
2000-03-24,3.78,3.87,3.76,3.78,,212681.0
2000-03-27,3.76,3.78,3.76,3.77,,66696.0
2000-03-28,3.77,3.82,3.73,3.76,,170815.0
2000-03-29,3.76,3.83,3.76,3.8,,149067.0
2000-03-30,3.82,3.9,3.75,3.78,,161896.0
2000-03-31,3.77,3.9,3.77,3.82,,179793.0
2000-04-03,3.83,3.85,3.78,3.78,,96563.0
2000-04-04,3.78,3.85,3.68,3.74,,128593.0
2000-04-05,3.69,3.82,3.69,3.82,,151022.0
2000-04-06,3.79,3.82,3.74,3.76,,116681.0
2000-04-07,3.78,3.78,3.6,3.62,,75052.0
2000-04-10,3.51,3.58,3.45,3.45,,118607.0
2000-04-11,3.51,3.51,3.35,3.38,,95822.0
2000-04-12,3.4,3.64,3.4,3.64,,138044.0
2000-04-13,3.63,3.73,3.63,3.71,,148059.0
2000-04-14,3.68,3.85,3.55,3.55,,323170.0
2000-04-17,3.52,3.58,3.33,3.48,,120148.0
2000-04-18,3.57,3.7,3.51,3.7,,201719.0
2000-04-19,3.68,3.75,3.66,3.72,,83378.0
2000-04-20,3.73,3.82,3.68,3.8,,81570.0
2000-04-24,3.78,3.85,3.74,3.85,,106756.0
2000-04-25,3.85,3.92,3.79,3.87,,244800.0
2000-04-26,3.87,3.87,3.82,3.85,,40000.0
2000-04-27,3.83,3.92,3.82,3.92,,207763.0
2000-04-28,3.89,3.99,3.87,3.94,,100889.0
2000-05-01,3.92,3.98,3.9,3.98,,96089.0
2000-05-02,3.97,4.13,3.9,4.0,,223941.0
2000-05-03,3.99,4.01,3.89,3.96,,190844.0
