time,open,high,low,close,Volume,volume
1999-11-01,8.17,8.36,8.17,8.36,,19000.0
1999-11-02,8.34,8.34,8.17,8.17,,9280.0
1999-11-03,8.12,8.19,8.03,8.17,,17200.0
1999-11-04,8.12,8.13,8.08,8.13,,25400.0
1999-11-05,8.17,8.17,8.12,8.12,,2680.0
1999-11-08,8.12,8.12,8.1,8.12,,15800.0
1999-11-09,8.17,8.2,8.12,8.12,,6000.0
1999-11-10,8.12,8.15,8.08,8.08,,27680.0
1999-11-11,8.09,8.12,8.08,8.08,,15880.0
1999-11-12,8.12,8.13,7.89,7.89,,12200.0
1999-11-15,7.98,8.17,7.98,8.17,,30280.0
1999-11-16,8.21,8.58,8.21,8.5,,8200.0
1999-11-17,8.99,9.13,8.92,8.92,,23080.0
1999-11-18,9.4,9.4,9.03,9.06,,18800.0
1999-11-19,8.71,8.71,8.56,8.62,,9280.0
1999-11-22,8.76,8.97,8.71,8.9,,8080.0
1999-11-23,8.89,8.89,8.67,8.67,,3680.0
1999-11-24,8.89,8.97,8.89,8.89,,44080.0
1999-11-26,9.31,9.4,9.3,9.35,,7000.0
1999-11-29,9.31,9.31,9.11,9.11,,28000.0
1999-11-30,9.27,9.4,9.18,9.19,,64880.0
1999-12-01,9.31,9.49,9.31,9.33,,7600.0
1999-12-02,9.38,9.42,9.34,9.34,,1600.0
1999-12-03,9.58,9.81,9.58,9.65,,10400.0
1999-12-06,9.64,9.79,9.64,9.79,,18280.0
1999-12-07,9.89,9.89,9.8,9.81,,2480.0
1999-12-08,9.79,9.79,9.67,9.67,,61480.0
1999-12-09,9.72,9.74,9.64,9.65,,73800.0
1999-12-10,9.9,9.95,9.72,9.74,,33480.0
1999-12-13,10.17,10.68,10.17,10.49,,18880.0
1999-12-14,10.49,10.49,10.22,10.22,,11000.0
1999-12-15,9.86,9.95,9.86,9.9,,7480.0
1999-12-16,9.9,9.9,9.72,9.72,,2480.0
1999-12-17,9.95,9.99,9.76,9.76,,9280.0
1999-12-20,9.72,9.73,9.65,9.65,,2800.0
1999-12-21,9.88,10.08,9.88,10.08,,14680.0
1999-12-22,10.31,10.31,10.08,10.08,,4680.0
1999-12-23,10.13,10.27,10.13,10.25,,6600.0
1999-12-27,10.22,10.27,10.11,10.27,,4280.0
1999-12-28,10.22,10.3,10.22,10.3,,2680.0
1999-12-29,10.54,10.6,10.49,10.54,,21000.0
1999-12-30,10.49,10.5,10.36,10.36,,7400.0
1999-12-31,10.37,10.37,10.3,10.31,,680.0
2000-01-03,10.27,10.27,10.17,10.17,,4480.0
2000-01-04,10.22,10.32,10.0,10.0,,16280.0
2000-01-05,9.58,9.58,9.4,9.54,,11200.0
2000-01-06,9.61,9.66,9.44,9.47,,15480.0
2000-01-07,9.61,9.82,9.58,9.82,,13400.0
2000-01-10,9.82,10.06,9.76,9.76,,14880.0
2000-01-11,10.22,10.29,9.95,10.02,,20200.0
2000-01-12,10.04,10.13,10.03,10.13,,3400.0
2000-01-13,10.45,10.63,10.45,10.59,,18080.0
2000-01-14,10.65,10.77,10.63,10.67,,13680.0
2000-01-18,11.27,11.59,11.04,11.04,,22480.0
2000-01-19,10.9,10.9,10.68,10.77,,7480.0
2000-01-20,10.54,10.54,10.22,10.36,,3600.0
2000-01-21,10.31,10.36,10.17,10.32,,13280.0
2000-01-24,10.45,10.57,10.45,10.57,,13200.0
2000-01-25,10.43,10.43,10.22,10.39,,10000.0
2000-01-26,10.13,10.13,9.86,9.94,,10000.0
2000-01-27,9.92,9.92,9.74,9.86,,11600.0
2000-01-28,9.81,9.81,9.76,9.76,,1600.0
2000-01-31,9.72,9.95,9.72,9.89,,7480.0
2000-02-01,9.86,10.04,9.83,10.04,,5080.0
2000-02-02,9.92,10.45,9.81,10.29,,28280.0
2000-02-03,10.11,10.17,9.99,10.13,,18200.0
2000-02-04,10.17,10.4,10.17,10.33,,5480.0
2000-02-07,10.36,10.63,10.36,10.56,,9000.0
2000-02-08,10.61,11.0,10.61,10.9,,17680.0
2000-02-09,11.09,11.09,10.87,11.0,,10400.0
2000-02-10,10.9,10.9,10.4,10.44,,17200.0
2000-02-11,10.41,10.41,10.27,10.27,,2200.0
2000-02-14,10.22,10.24,10.2,10.24,,10600.0
2000-02-15,9.86,9.86,9.54,9.81,,12680.0
2000-02-16,10.15,10.4,10.15,10.35,,14280.0
2000-02-17,10.49,10.59,10.49,10.59,,4280.0
2000-02-18,10.9,10.9,10.68,10.72,,12400.0
2000-02-22,10.72,10.78,10.71,10.78,,8400.0
2000-02-23,10.68,10.68,10.52,10.54,,11280.0
2000-02-24,10.54,10.68,10.54,10.68,,5600.0
2000-02-25,10.68,10.68,10.63,10.67,,2400.0
2000-02-28,10.22,10.39,10.22,10.39,,7880.0
2000-02-29,10.37,10.41,10.29,10.41,,4000.0
2000-03-01,10.41,10.59,10.36,10.49,,8080.0
2000-03-02,10.45,10.86,10.45,10.77,,4400.0
2000-03-03,11.04,11.18,10.95,10.95,,10080.0
2000-03-06,11.29,11.45,11.25,11.25,,11680.0
2000-03-07,11.4,11.59,11.04,11.04,,14480.0
2000-03-08,11.37,11.45,11.3,11.32,,12080.0
2000-03-09,11.33,11.73,11.33,11.61,,12080.0
2000-03-10,11.59,11.59,11.36,11.36,,9000.0
2000-03-13,11.09,11.09,10.86,10.86,,6800.0
2000-03-14,10.9,11.08,10.9,11.07,,9000.0
2000-03-15,10.94,10.94,10.86,10.93,,8200.0
2000-03-16,10.93,11.32,10.9,11.25,,7200.0
2000-03-17,11.58,11.61,11.41,11.41,,14280.0
2000-03-20,11.53,11.68,11.46,11.46,,11200.0
2000-03-21,11.75,12.66,11.75,12.55,,55880.0
2000-03-22,12.55,12.55,12.36,12.5,,8200.0
2000-03-23,12.39,12.39,12.23,12.32,,7400.0
2000-03-24,12.34,12.55,12.34,12.5,,4200.0
2000-03-27,12.55,12.78,12.55,12.59,,14280.0
2000-03-28,12.59,12.62,12.48,12.48,,3880.0
2000-03-29,12.5,12.5,12.43,12.43,,1680.0
2000-03-30,12.41,12.48,12.25,12.32,,6080.0
2000-03-31,12.36,13.37,12.36,12.96,,51800.0
2000-04-03,12.64,13.14,12.64,13.0,,17600.0
2000-04-04,12.78,12.78,12.26,12.33,,31880.0
2000-04-05,12.33,12.49,12.33,12.49,,3280.0
2000-04-06,12.4,12.4,12.28,12.28,,3800.0
2000-04-07,12.29,12.3,12.29,12.3,,800.0
2000-04-10,12.4,12.49,12.3,12.3,,14880.0
2000-04-11,12.49,12.76,12.34,12.35,,16000.0
2000-04-12,12.44,12.86,12.44,12.58,,24080.0
2000-04-13,12.53,12.53,12.17,12.17,,13880.0
2000-04-14,11.89,11.89,10.93,10.93,,52280.0
2000-04-17,10.94,10.94,10.63,10.7,,9480.0
2000-04-18,10.7,10.79,10.61,10.77,,10480.0
2000-04-19,11.57,11.94,11.57,11.58,,26000.0
2000-04-20,11.89,11.98,11.89,11.93,,6280.0
2000-04-24,11.89,11.94,11.87,11.9,,880.0
2000-04-25,12.01,12.44,12.01,12.4,,13480.0
2000-04-26,12.95,13.04,12.76,12.76,,20680.0
2000-04-27,12.72,12.72,12.66,12.67,,4400.0
2000-04-28,12.72,13.22,12.72,13.09,,8800.0
2000-05-01,13.15,13.23,13.09,13.23,,7280.0
2000-05-02,13.71,13.76,13.34,13.4,,15680.0
2000-05-03,13.45,13.59,13.27,13.29,,6200.0
2000-05-04,13.25,13.25,13.05,13.05,,5200.0
2000-05-05,13.09,13.28,13.09,13.13,,18600.0
2000-05-08,12.3,12.49,12.22,12.49,,5880.0
2000-05-09,12.49,12.49,12.08,12.16,,96080.0
2000-05-10,12.11,12.11,11.85,11.89,,24400.0
2000-05-11,11.86,11.98,11.52,11.98,,23680.0
2000-05-12,11.85,11.85,11.39,11.43,,21880.0
2000-05-15,11.48,11.9,11.48,11.9,,14400.0
2000-05-16,11.86,11.86,11.46,11.75,,18600.0
2000-05-17,11.57,11.57,11.48,11.52,,6400.0
2000-05-18,11.98,12.12,11.89,12.1,,16880.0
2000-05-19,11.98,11.98,11.64,11.65,,6400.0
2000-05-22,11.6,11.6,11.25,11.25,,5600.0
2000-05-23,11.2,11.2,11.05,11.15,,7400.0
2000-05-24,11.02,11.34,10.95,11.34,,17800.0
2000-05-25,11.2,11.27,11.16,11.21,,14600.0
2000-05-26,11.21,11.48,11.21,11.41,,14200.0
2000-05-30,11.66,11.75,11.66,11.66,,3800.0
2000-05-31,11.66,12.03,11.66,12.03,,16200.0
2000-06-01,11.98,12.02,11.82,11.85,,22280.0
2000-06-02,12.03,12.14,12.03,12.04,,8680.0
2000-06-05,12.26,12.35,12.21,12.21,,16480.0
2000-06-06,12.33,12.4,12.33,12.37,,21480.0
2000-06-07,12.56,12.67,12.55,12.55,,6680.0
2000-06-08,12.76,12.77,12.58,12.58,,6800.0
2000-06-09,12.63,12.74,12.56,12.67,,13480.0
2000-06-12,12.72,12.95,12.72,12.72,,17080.0
2000-06-13,12.86,12.86,12.52,12.52,,14200.0
2000-06-14,12.58,12.62,12.53,12.55,,4880.0
2000-06-15,13.18,13.31,13.13,13.21,,23200.0
