time,open,high,low,close,Volume,volume
1999-11-01,35.76,35.76,34.51,34.67,,379400.0
1999-11-02,35.1,35.49,33.69,34.25,,361600.0
1999-11-03,34.79,36.51,34.27,36.12,,518500.0
1999-11-04,36.78,36.79,35.63,35.9,,460400.0
1999-11-05,36.13,36.15,34.53,35.25,,416500.0
1999-11-08,34.93,37.59,34.58,37.29,,514200.0
1999-11-09,37.51,37.51,34.34,35.45,,1118400.0
1999-11-10,35.47,36.12,33.89,34.47,,447200.0
1999-11-11,34.38,34.38,32.92,33.78,,664500.0
1999-11-12,34.64,37.58,34.13,37.05,,1284700.0
1999-11-15,38.07,39.18,36.07,36.6,,597900.0
1999-11-16,39.11,42.59,38.99,42.41,,1832500.0
1999-11-17,42.72,43.18,39.37,39.61,,918700.0
1999-11-18,40.25,40.26,38.48,39.22,,839800.0
1999-11-19,39.63,40.83,39.19,40.02,,493800.0
1999-11-22,40.2,40.2,38.6,39.11,,493100.0
1999-11-23,39.18,39.37,37.44,37.95,,615900.0
1999-11-24,38.21,38.92,37.82,38.44,,469100.0
1999-11-26,39.24,39.58,38.87,39.51,,272800.0
1999-11-29,39.76,39.76,37.95,37.95,,361800.0
1999-11-30,38.99,39.17,35.51,35.77,,587600.0
1999-12-01,36.15,37.05,35.13,35.16,,700300.0
1999-12-02,35.32,39.77,35.18,38.73,,844800.0
1999-12-03,40.28,40.83,38.83,39.09,,695900.0
1999-12-06,39.62,39.63,37.18,37.22,,537900.0
1999-12-07,38.99,43.35,38.92,42.86,,1174500.0
1999-12-08,43.43,48.47,43.3,45.19,,858800.0
1999-12-09,46.47,46.47,42.73,45.76,,621700.0
1999-12-10,46.67,47.12,44.54,45.61,,419100.0
1999-12-13,44.79,44.92,42.99,43.75,,879000.0
1999-12-14,44.46,44.46,42.47,42.64,,382700.0
1999-12-15,42.29,42.66,40.9,40.97,,540400.0
1999-12-16,41.7,42.6,39.89,40.87,,550700.0
1999-12-17,41.18,41.71,39.11,39.24,,759500.0
1999-12-20,40.28,40.28,37.62,38.73,,819300.0
1999-12-21,38.97,43.5,38.21,43.12,,1136500.0
1999-12-22,43.28,43.57,40.66,41.64,,608300.0
1999-12-23,42.25,44.79,41.61,41.74,,769700.0
1999-12-27,42.46,44.86,41.18,44.85,,685900.0
1999-12-28,44.64,49.62,43.32,44.39,,1117400.0
1999-12-29,42.97,44.64,40.22,43.25,,2717300.0
