time,open,high,low,close,Volume,volume
1999-11-01,27.02,27.18,26.01,26.07,,4510867.0
1999-11-02,26.36,26.91,25.97,26.11,,3541600.0
1999-11-03,26.09,26.21,25.64,25.72,,2648800.0
1999-11-04,26.17,26.81,26.05,26.24,,3869600.0
1999-11-05,26.87,27.26,26.71,26.91,,3433267.0
1999-11-08,26.93,27.02,26.24,26.33,,2393600.0
1999-11-09,26.3,26.42,25.58,25.91,,3235267.0
1999-11-10,25.6,25.66,25.13,25.13,,3180067.0
1999-11-11,25.21,25.78,25.06,25.31,,2292867.0
1999-11-12,25.76,26.52,25.74,26.52,,3423267.0
1999-11-15,26.23,26.46,25.74,25.76,,3742000.0
1999-11-16,26.01,26.97,25.86,26.83,,4490200.0
1999-11-17,26.54,26.58,25.47,25.54,,3606800.0
1999-11-18,25.7,26.24,25.56,26.01,,3071600.0
1999-11-19,26.05,26.33,25.74,25.89,,1998867.0
1999-11-22,25.74,25.76,25.17,25.54,,2514267.0
1999-11-23,25.54,25.66,24.8,24.94,,3029267.0
1999-11-24,24.88,24.94,24.57,24.82,,2521400.0
1999-11-26,25.23,25.23,24.67,24.67,,794200.0
1999-11-29,24.59,24.59,23.81,24.0,,3480867.0
1999-11-30,23.9,24.72,23.89,24.1,,4031467.0
1999-12-01,24.06,24.33,23.89,24.14,,3046200.0
1999-12-02,24.33,24.72,23.71,24.67,,3261800.0
1999-12-03,25.25,26.01,25.21,25.58,,3844467.0
1999-12-06,25.58,25.58,24.14,24.61,,3321667.0
1999-12-07,24.49,24.71,24.14,24.53,,3702400.0
1999-12-08,24.45,24.53,23.99,24.25,,3171400.0
1999-12-09,24.33,24.77,23.73,24.3,,3158800.0
1999-12-10,24.84,24.84,24.37,24.63,,3209067.0
1999-12-13,24.37,24.72,24.26,24.5,,1701867.0
1999-12-14,24.35,24.35,23.73,23.89,,2228000.0
1999-12-15,23.89,24.14,23.32,23.55,,3057600.0
1999-12-16,23.77,23.77,23.03,23.4,,2703400.0
1999-12-17,22.85,23.36,22.48,22.7,,6655667.0
1999-12-20,22.89,23.07,22.54,22.54,,4137067.0
1999-12-21,22.58,23.87,22.5,23.4,,5240000.0
1999-12-22,23.4,23.6,23.09,23.36,,2252267.0
1999-12-23,23.79,24.32,23.73,24.18,,2891600.0
1999-12-27,24.18,24.71,23.87,23.87,,2541200.0
1999-12-28,23.93,24.14,23.81,23.85,,1502200.0
1999-12-29,24.08,24.39,24.0,24.2,,1533467.0
1999-12-30,24.2,24.55,23.94,24.35,,1277400.0
1999-12-31,24.33,24.45,24.24,24.24,,773600.0
2000-01-03,23.32,23.52,22.5,22.73,,8012800.0
2000-01-04,22.16,22.34,21.71,22.24,,7815600.0
2000-01-05,22.04,22.77,21.65,22.1,,5809667.0
2000-01-06,22.0,22.89,21.89,22.42,,5579467.0
2000-01-07,22.79,23.06,22.28,22.83,,4381267.0
2000-01-10,22.83,23.03,22.44,22.44,,3149000.0
2000-01-11,21.97,22.1,21.42,21.91,,5603667.0
2000-01-12,21.87,22.24,21.81,22.04,,4847867.0
2000-01-13,22.32,22.75,22.14,22.38,,4612600.0
2000-01-14,23.2,23.77,22.85,23.18,,6487867.0
2000-01-18,23.2,23.38,22.04,22.28,,3531067.0
2000-01-19,22.67,23.65,22.67,23.26,,10489800.0
2000-01-20,23.65,23.85,22.83,23.24,,5180200.0
2000-01-21,23.18,23.22,22.79,22.89,,3440400.0
2000-01-24,23.34,23.4,22.65,22.91,,4306067.0
2000-01-25,22.91,23.77,22.91,23.41,,5053267.0
2000-01-26,23.65,24.79,23.53,24.61,,5591067.0
2000-01-27,24.93,25.57,24.65,25.32,,5443867.0
2000-01-28,24.96,24.96,24.04,24.06,,5000000.0
2000-01-31,24.1,25.57,24.1,25.32,,4773467.0
2000-02-01,25.87,26.52,25.51,26.28,,6434000.0
2000-02-02,26.04,26.42,25.54,25.85,,4750800.0
2000-02-03,26.2,26.63,25.18,26.1,,6133467.0
2000-02-04,25.89,26.14,25.59,25.65,,3410067.0
2000-02-07,25.79,26.16,25.65,25.79,,3122800.0
2000-02-08,26.38,27.03,26.36,26.69,,4212400.0
2000-02-09,26.65,27.1,25.87,26.01,,6545667.0
2000-02-10,26.09,26.28,25.54,26.09,,4587000.0
2000-02-11,26.12,26.67,25.73,25.93,,4701667.0
2000-02-14,25.81,26.18,24.81,24.81,,3936467.0
2000-02-15,25.12,25.89,24.98,25.44,,5977000.0
2000-02-16,25.42,25.79,24.79,24.95,,3219800.0
2000-02-17,25.3,25.57,24.42,24.59,,3810800.0
2000-02-18,24.49,24.65,23.4,23.46,,5414200.0
2000-02-22,23.85,24.75,23.57,24.24,,4712400.0
2000-02-23,24.28,24.85,24.02,24.28,,2968600.0
2000-02-24,24.24,24.34,23.41,23.85,,3466600.0
2000-02-25,24.04,24.71,23.5,23.81,,3096200.0
2000-02-28,24.08,25.18,23.97,24.46,,4034000.0
2000-02-29,24.38,25.42,24.38,24.98,,4111267.0
2000-03-01,25.07,25.73,24.75,25.73,,3244200.0
2000-03-02,25.26,25.45,25.02,25.28,,2389200.0
2000-03-03,25.73,25.85,24.91,25.45,,3987600.0
2000-03-06,26.03,26.48,25.81,26.18,,3794267.0
2000-03-07,26.18,26.42,25.42,25.67,,3044600.0
2000-03-08,25.34,25.55,24.67,24.79,,3498467.0
2000-03-09,24.71,25.5,24.49,25.45,,2653000.0
2000-03-10,25.1,25.59,24.4,24.69,,3540867.0
2000-03-13,24.36,25.48,24.2,25.12,,3148867.0
2000-03-14,25.26,25.4,24.63,24.79,,2753067.0
2000-03-15,24.44,26.42,24.22,26.09,,5907800.0
2000-03-16,26.65,28.36,26.42,28.28,,10423267.0
2000-03-17,28.01,28.95,27.77,28.55,,7926067.0
2000-03-20,28.24,28.4,26.52,27.16,,5384067.0
2000-03-21,27.12,29.03,26.83,28.87,,5563667.0
2000-03-22,28.44,28.91,27.85,28.73,,5736067.0
2000-03-23,28.55,31.12,28.54,30.91,,6954267.0
2000-03-24,30.44,31.61,30.12,30.18,,6326000.0
2000-03-27,30.12,30.4,29.36,29.71,,3219267.0
2000-03-28,29.42,30.05,29.22,29.57,,4883800.0
2000-03-29,29.57,29.65,28.02,28.36,,6058867.0
2000-03-30,28.07,28.48,26.97,27.3,,5344800.0
2000-03-31,27.61,27.73,26.99,27.36,,4536667.0
2000-04-03,27.59,29.18,27.55,29.03,,5673000.0
2000-04-04,28.87,28.99,26.19,27.37,,8425800.0
2000-04-05,26.58,27.43,26.58,27.25,,4873800.0
2000-04-06,27.45,27.85,27.39,27.59,,3235600.0
