time,open,high,low,close,Volume,volume
1999-11-01,20.89,21.86,20.76,20.94,,2546800.0
1999-11-02,21.14,22.15,20.96,22.06,,2042400.0
1999-11-03,22.35,22.82,21.99,22.74,,2541200.0
1999-11-04,22.69,22.7,21.62,22.17,,2145300.0
1999-11-05,22.45,23.3,22.42,23.28,,1516300.0
1999-11-08,23.07,23.8,22.99,23.08,,1067700.0
1999-11-09,23.28,23.58,22.62,23.2,,869600.0
1999-11-10,23.13,23.98,23.08,23.48,,2203100.0
1999-11-11,23.85,24.92,23.58,24.71,,2586000.0
1999-11-12,24.89,25.7,23.68,25.67,,2710600.0
1999-11-15,25.94,25.94,24.34,24.66,,2011100.0
1999-11-16,24.58,24.92,24.08,24.56,,2730200.0
1999-11-17,24.84,25.67,24.0,24.2,,2303700.0
1999-11-18,24.08,24.25,23.35,24.11,,2055700.0
1999-11-19,24.38,24.81,23.65,24.46,,1949400.0
1999-11-22,24.48,24.51,23.58,24.0,,1545000.0
1999-11-23,24.05,24.38,23.28,23.61,,1199800.0
1999-11-24,23.61,24.48,22.99,24.46,,1718600.0
1999-11-26,24.64,24.74,23.75,23.86,,359200.0
1999-11-29,23.71,23.85,23.03,23.43,,1478500.0
1999-11-30,23.28,23.93,22.12,22.44,,3026900.0
1999-12-01,23.08,24.11,22.69,24.03,,2883700.0
1999-12-02,24.05,26.07,24.01,26.04,,2187100.0
1999-12-03,26.5,26.5,25.27,25.89,,2404300.0
1999-12-06,25.7,27.94,25.29,27.57,,2102200.0
1999-12-07,27.46,27.49,26.2,26.88,,2429000.0
1999-12-08,26.52,26.74,25.4,25.51,,2149500.0
1999-12-09,25.77,25.87,23.95,25.06,,2065600.0
1999-12-10,25.16,25.16,23.78,24.13,,1886400.0
1999-12-13,23.76,24.44,23.33,23.5,,2292000.0
1999-12-14,23.68,23.85,21.84,21.91,,2984100.0
1999-12-15,22.01,24.34,22.01,23.98,,3275700.0
1999-12-16,24.18,24.89,24.08,24.64,,1371400.0
1999-12-17,26.61,26.82,25.47,25.62,,2539400.0
1999-12-20,25.74,27.46,25.54,26.72,,2259600.0
1999-12-21,26.61,29.08,26.33,28.63,,1791300.0
1999-12-22,28.36,28.36,26.61,26.74,,2618300.0
1999-12-23,26.69,27.99,26.2,27.3,,1191100.0
1999-12-27,27.36,28.81,26.61,28.73,,1365700.0
1999-12-28,28.28,29.21,27.62,28.79,,1438300.0
1999-12-29,28.36,29.61,28.15,29.53,,890800.0
1999-12-30,29.58,29.74,28.79,28.84,,613200.0
1999-12-31,29.03,30.01,28.89,29.56,,377900.0
2000-01-03,29.8,29.8,28.52,28.79,,1884700.0
2000-01-04,28.28,29.29,27.49,27.57,,1564900.0
2000-01-05,27.04,27.06,25.64,26.53,,2739300.0
2000-01-06,25.79,26.93,25.74,26.38,,4175500.0
2000-01-07,26.48,27.99,25.87,27.94,,3019100.0
2000-01-10,28.69,31.37,28.64,30.93,,2588500.0
2000-01-11,30.11,31.84,30.06,30.67,,2494100.0
2000-01-12,30.75,32.21,29.61,31.63,,3056500.0
2000-01-13,31.18,32.37,30.19,31.79,,3515000.0
2000-01-14,33.19,37.09,33.14,36.61,,5072800.0
2000-01-18,36.16,36.4,34.25,34.65,,3377700.0
2000-01-19,34.26,35.62,33.17,34.13,,1398300.0
2000-01-20,34.52,35.09,31.57,33.56,,4974600.0
2000-01-21,33.77,34.56,32.84,34.09,,3352900.0
2000-01-24,34.49,35.02,31.31,31.74,,3038100.0
2000-01-25,32.21,32.97,30.11,32.87,,2354200.0
2000-01-26,33.03,33.17,30.98,30.98,,2487700.0
2000-01-27,31.47,32.9,28.86,30.22,,3446300.0
2000-01-28,29.19,30.71,28.92,29.88,,3466400.0
2000-01-31,29.39,32.0,29.12,31.11,,4471300.0
2000-02-01,31.01,33.03,30.38,32.17,,3138800.0
2000-02-02,31.44,34.56,31.44,34.36,,5396500.0
2000-02-03,34.46,35.29,33.7,35.12,,3979900.0
2000-02-04,35.69,36.02,34.92,34.99,,5089400.0
2000-02-07,34.83,36.61,34.49,36.19,,2810400.0
2000-02-08,36.55,37.15,35.82,37.01,,3813800.0
2000-02-09,36.22,37.75,35.12,35.98,,4037400.0
2000-02-10,35.92,37.68,35.39,37.38,,1995400.0
2000-02-11,37.48,37.54,35.95,36.35,,1689800.0
2000-02-14,36.08,36.68,34.96,35.89,,2027100.0
