time,open,high,low,close,Volume,volume
2011-02-11,16.41,16.64,15.92,16.07,,50610600.0
2011-02-14,16.07,16.2,15.89,15.89,,6275900.0
2011-02-15,16.0,16.13,15.91,16.02,,4337800.0
2011-02-16,16.07,16.28,15.87,15.9,,4627100.0
2011-02-17,15.88,16.09,15.79,15.81,,3290700.0
2011-02-18,15.87,16.25,15.74,16.24,,2583800.0
2011-02-22,16.12,16.27,15.9,15.9,,2454300.0
2011-02-23,15.92,16.0,15.66,15.75,,2671200.0
2011-02-24,15.81,15.87,15.69,15.77,,1698000.0
2011-02-25,15.8,15.92,15.69,15.79,,2225900.0
2011-02-28,15.83,15.94,15.75,15.79,,2380400.0
2011-03-01,15.87,15.93,15.65,15.76,,1908000.0
2011-03-02,15.83,15.89,15.66,15.83,,2197000.0
2011-03-03,15.88,15.93,15.8,15.93,,1901800.0
2011-03-04,15.94,16.02,15.87,15.97,,892300.0
2011-03-07,16.02,16.07,15.89,16.0,,1049600.0
2011-03-08,15.94,16.07,15.94,16.03,,827400.0
2011-03-09,16.0,16.04,15.91,15.92,,294100.0
2011-03-10,15.9,15.9,15.4,15.58,,2715200.0
2011-03-11,15.58,15.78,15.51,15.58,,1896900.0
2011-03-14,15.53,15.64,15.43,15.52,,1967700.0
2011-03-15,15.43,15.63,15.32,15.47,,1968400.0
2011-03-16,15.47,15.61,15.41,15.56,,2062200.0
2011-03-17,15.63,15.74,15.56,15.61,,1511400.0
2011-03-18,15.64,15.79,15.57,15.79,,1906600.0
2011-03-21,15.8,16.05,15.74,15.95,,1253000.0
2011-03-22,16.0,16.04,15.83,15.89,,1014700.0
2011-03-23,15.8,15.88,15.5,15.54,,2570500.0
2011-03-24,15.58,15.66,15.48,15.56,,1411600.0
2011-03-25,15.54,15.58,15.27,15.28,,2687100.0
2011-03-28,15.4,15.49,15.3,15.33,,1552900.0
2011-03-29,15.4,15.47,15.29,15.42,,1313800.0
2011-03-30,15.46,15.47,15.31,15.37,,769700.0
2011-03-31,15.43,15.46,15.28,15.34,,884400.0
2011-04-01,15.42,15.45,15.27,15.27,,1869200.0
2011-04-04,15.24,15.37,15.14,15.24,,1177900.0
2011-04-05,15.27,15.34,15.01,15.24,,1021200.0
2011-04-06,15.25,15.27,15.12,15.25,,725100.0
2011-04-07,15.28,15.3,15.08,15.13,,1226100.0
2011-04-08,15.13,15.23,15.07,15.18,,934800.0
2011-04-11,15.17,15.22,15.05,15.14,,1160900.0
2011-04-12,15.06,15.14,14.63,14.87,,1278100.0
2011-04-13,14.88,15.02,14.84,14.92,,2766900.0
2011-04-14,14.9,15.1,14.79,15.07,,785800.0
2011-04-15,15.07,15.09,14.85,14.95,,863900.0
2011-04-18,14.9,14.93,14.61,14.76,,882400.0
2011-04-19,14.8,14.94,14.77,14.9,,1121200.0
2011-04-20,15.0,15.32,14.9,15.25,,2054000.0
2011-04-21,15.18,15.49,15.05,15.34,,1516900.0
2011-04-25,15.43,15.43,15.05,15.2,,604100.0
2011-04-26,15.29,15.32,15.04,15.07,,1100000.0
2011-04-27,15.17,15.27,14.88,14.94,,1479600.0
2011-04-28,15.0,15.06,14.92,15.0,,1041000.0
2011-04-29,15.11,15.24,14.75,14.87,,1843400.0
2011-05-02,14.94,15.08,14.76,14.99,,1036600.0
2011-05-03,15.0,15.03,14.59,14.66,,1158700.0
2011-05-04,14.67,14.75,14.21,14.54,,2537800.0
2011-05-05,14.58,14.7,14.26,14.55,,1618300.0
2011-05-06,14.61,14.78,14.49,14.57,,653600.0
2011-05-09,14.62,14.8,14.57,14.72,,752100.0
2011-05-10,14.71,14.92,14.61,14.84,,777800.0
2011-05-11,14.84,14.89,14.57,14.73,,1400100.0
2011-05-12,14.67,14.8,14.47,14.8,,1800000.0
2011-05-13,14.76,14.76,14.44,14.53,,1344100.0
2011-05-16,14.6,14.81,14.25,14.33,,1737600.0
2011-05-17,14.36,14.41,13.98,14.31,,2404600.0
2011-05-18,14.45,14.5,14.26,14.34,,895200.0
2011-05-19,14.4,14.74,14.32,14.72,,1096500.0
2011-05-20,14.7,15.03,14.55,14.83,,1535400.0
2011-05-23,14.78,14.86,14.66,14.74,,2927600.0
2011-05-24,14.84,15.12,14.81,15.12,,2587700.0
2011-05-25,15.07,15.23,14.98,15.1,,3304700.0
2011-05-26,15.14,15.2,14.88,14.92,,1507000.0
2011-05-27,15.03,15.18,14.83,15.18,,1896600.0
2011-05-31,15.36,15.48,15.09,15.24,,5489900.0
2011-06-01,15.29,15.33,15.01,15.09,,1042800.0
2011-06-02,15.16,15.28,14.79,15.28,,978400.0
2011-06-03,15.12,15.48,14.94,15.48,,1566400.0
2011-06-06,15.4,15.49,15.22,15.36,,1402100.0
2011-06-07,15.39,15.59,15.3,15.5,,1980000.0
2011-06-08,15.39,15.53,15.32,15.47,,766800.0
2011-06-09,15.46,15.55,15.42,15.44,,1215900.0
2011-06-10,15.47,15.53,15.31,15.36,,895800.0
2011-06-13,15.41,15.57,15.19,15.32,,901900.0
2011-06-14,15.3,15.53,15.12,15.35,,760200.0
2011-06-15,15.3,15.42,15.03,15.27,,1149000.0
2011-06-16,15.29,15.31,15.12,15.19,,792100.0
2011-06-17,15.27,15.47,15.16,15.45,,2448200.0
2011-06-20,15.4,15.43,15.29,15.4,,866700.0
2011-06-21,15.45,15.45,15.26,15.41,,631300.0
2011-06-22,15.41,15.59,15.32,15.41,,1587400.0
2011-06-23,15.39,15.39,15.04,15.14,,1963100.0
2011-06-24,15.18,15.24,14.87,14.88,,11554800.0
2011-06-27,14.92,14.98,14.68,14.7,,1889000.0
2011-06-28,14.77,14.91,14.62,14.72,,2235400.0
2011-06-29,14.81,14.98,14.73,14.77,,1592100.0
2011-06-30,14.79,14.97,14.73,14.94,,809500.0
2011-07-01,14.91,15.23,14.76,15.23,,846600.0
2011-07-05,15.2,15.29,15.11,15.22,,505800.0
2011-07-06,15.17,15.21,15.04,15.14,,1239500.0
2011-07-07,15.22,15.32,15.01,15.07,,876300.0
2011-07-08,14.98,15.26,14.92,15.04,,757500.0
2011-07-11,14.93,14.95,14.65,14.75,,725400.0
2011-07-12,14.7,14.76,14.62,14.65,,665900.0
2011-07-13,14.74,14.81,14.6,14.66,,556800.0
2011-07-14,14.72,14.78,14.58,14.58,,799600.0
2011-07-15,14.69,14.89,14.57,14.87,,785100.0
2011-07-18,14.77,14.78,14.55,14.66,,695200.0
2011-07-19,14.78,14.82,14.69,14.75,,390100.0
2011-07-20,14.86,15.05,14.7,14.83,,579000.0
2011-07-21,14.92,15.02,14.68,14.83,,1277300.0
2011-07-22,14.85,14.89,14.69,14.75,,1017700.0
2011-07-25,14.72,14.77,14.29,14.31,,2753000.0
2011-07-26,14.36,14.43,14.23,14.34,,2921300.0
2011-07-27,14.19,14.77,14.1,14.66,,3648100.0
2011-07-28,14.67,14.85,14.53,14.8,,985200.0
2011-07-29,14.7,14.88,14.62,14.84,,999300.0
2011-08-01,14.94,14.98,14.78,14.84,,612300.0
2011-08-02,14.75,14.81,14.53,14.64,,893400.0
2011-08-03,14.63,14.65,14.33,14.57,,1392600.0
2011-08-04,14.51,14.51,13.84,13.92,,1813800.0
2011-08-05,13.92,14.08,13.12,13.63,,3006600.0
2011-08-08,13.25,13.45,12.44,12.44,,2018900.0
2011-08-09,12.64,13.65,12.62,13.63,,1689300.0
2011-08-10,13.45,14.24,13.27,13.7,,1909300.0
2011-08-11,13.77,14.62,13.76,14.43,,1372400.0
2011-08-12,14.63,14.72,13.95,14.07,,1136200.0
2011-08-15,14.29,14.35,14.12,14.24,,676900.0
2011-08-16,14.14,14.14,13.87,13.93,,646000.0
2011-08-17,14.02,14.02,13.78,13.82,,672000.0
2011-08-18,13.66,13.66,12.95,13.05,,3587900.0
