time,open,high,low,close,Volume,volume
1999-11-01,14.57,14.85,14.48,14.76,,4212600.0
1999-11-02,14.66,14.74,14.33,14.44,,3226800.0
1999-11-03,14.3,14.44,14.02,14.23,,3958700.0
1999-11-04,14.38,14.38,14.02,14.18,,3768500.0
1999-11-05,14.49,14.62,14.41,14.54,,4104800.0
1999-11-08,14.49,14.74,14.43,14.71,,2735000.0
1999-11-09,14.71,14.71,14.32,14.43,,2228200.0
1999-11-10,14.27,14.57,14.26,14.48,,2574500.0
1999-11-11,14.46,14.49,14.13,14.19,,2422300.0
1999-11-12,14.26,14.38,14.15,14.38,,2416300.0
1999-11-15,14.38,14.58,14.38,14.57,,2770900.0
1999-11-16,14.58,14.82,14.44,14.82,,3279400.0
1999-11-17,14.68,15.01,14.63,14.99,,3952500.0
1999-11-18,15.01,15.21,14.82,15.12,,3298200.0
1999-11-19,15.13,15.18,14.93,15.13,,3750900.0
1999-11-22,15.38,16.52,15.38,16.35,,12510900.0
1999-11-23,16.51,16.74,16.46,16.66,,9632900.0
1999-11-24,16.62,17.12,16.55,16.99,,5825600.0
1999-11-26,16.79,16.98,16.65,16.65,,1653300.0
1999-11-29,16.52,16.85,16.48,16.81,,4260100.0
1999-11-30,16.7,17.03,16.67,16.85,,3775500.0
1999-12-01,16.72,17.3,16.72,17.1,,5430800.0
1999-12-02,16.8,17.03,16.8,16.91,,2376800.0
1999-12-03,17.11,17.3,17.0,17.13,,3834100.0
1999-12-06,17.1,17.1,15.7,16.2,,13263800.0
1999-12-07,15.67,15.73,14.73,14.79,,18069100.0
1999-12-08,15.08,15.26,14.89,15.04,,10011400.0
1999-12-09,15.29,15.59,15.06,15.58,,6862700.0
1999-12-10,15.67,15.89,15.58,15.86,,5859500.0
1999-12-13,15.79,15.79,15.39,15.54,,2793100.0
1999-12-14,15.43,15.53,15.31,15.36,,3560600.0
1999-12-15,15.29,15.34,14.89,15.01,,4527100.0
1999-12-16,15.14,15.14,14.51,14.67,,5302600.0
1999-12-17,14.67,15.01,14.39,14.98,,8015000.0
1999-12-20,14.98,15.14,14.67,14.93,,3791800.0
1999-12-21,14.96,15.04,14.57,14.65,,3173200.0
1999-12-22,15.11,15.23,14.67,14.67,,4526700.0
1999-12-23,14.92,15.11,14.74,14.85,,3369700.0
1999-12-27,14.85,15.03,14.68,14.92,,3091200.0
1999-12-28,14.89,14.95,14.71,14.82,,2366100.0
1999-12-29,15.01,15.01,14.7,14.78,,1827800.0
1999-12-30,14.84,14.9,14.65,14.65,,1984600.0
1999-12-31,14.76,14.76,14.56,14.6,,1414900.0
2000-01-03,14.37,14.54,13.85,14.1,,5498500.0
2000-01-04,13.98,14.24,13.95,14.15,,3654000.0
2000-01-05,14.15,14.4,14.05,14.31,,4728700.0
2000-01-06,14.31,14.46,14.18,14.29,,3564600.0
2000-01-07,14.67,15.23,14.51,15.23,,5737000.0
2000-01-10,15.17,15.28,14.73,14.74,,4361900.0
2000-01-11,15.28,15.36,15.08,15.25,,4699000.0
2000-01-12,15.25,15.5,15.15,15.42,,4194900.0
2000-01-13,15.4,15.4,15.15,15.18,,3053000.0
2000-01-14,15.53,15.53,15.22,15.31,,3756600.0
2000-01-18,15.37,16.3,15.31,16.3,,9175400.0
2000-01-19,16.3,16.36,15.98,16.36,,6406700.0
2000-01-20,16.37,16.53,16.33,16.52,,5769900.0
2000-01-21,16.73,16.77,16.48,16.77,,5692900.0
2000-01-24,16.55,16.73,15.93,16.27,,5653000.0
2000-01-25,16.05,16.56,15.76,16.52,,4859300.0
2000-01-26,16.11,16.42,15.73,15.81,,11861900.0
2000-01-27,15.7,15.72,14.65,14.92,,8775400.0
2000-01-28,14.9,14.93,14.28,14.28,,5437600.0
2000-01-31,14.31,14.73,14.18,14.4,,5367300.0
2000-02-01,14.48,14.64,14.12,14.57,,4057300.0
2000-02-02,14.43,14.51,14.13,14.13,,3582000.0
2000-02-03,14.16,14.23,13.8,13.85,,4732200.0
2000-02-04,13.85,14.48,13.85,14.1,,5750900.0
2000-02-07,14.05,14.45,13.93,14.26,,3871400.0
2000-02-08,14.4,14.51,14.23,14.34,,4130600.0
2000-02-09,14.29,14.48,14.23,14.29,,3974300.0
2000-02-10,14.35,14.39,14.1,14.21,,4015500.0
2000-02-11,13.98,14.02,13.76,13.93,,3844300.0
2000-02-14,13.8,13.85,13.49,13.57,,3567000.0
2000-02-15,13.38,13.98,13.35,13.96,,3925400.0
2000-02-16,13.8,13.9,13.35,13.43,,3434600.0
2000-02-17,13.41,13.43,12.83,13.11,,5830500.0
2000-02-18,12.91,13.11,12.72,12.88,,5721700.0
2000-02-22,12.74,13.19,12.66,12.97,,5271500.0
2000-02-23,12.88,12.9,12.54,12.85,,5510800.0
2000-02-24,12.63,12.66,12.11,12.49,,7725800.0
2000-02-25,12.47,12.71,12.05,12.21,,5452600.0
2000-02-28,12.05,12.46,11.92,12.36,,5395400.0
2000-02-29,12.07,12.24,11.94,12.19,,5173100.0
2000-03-01,12.33,12.88,12.33,12.79,,7806100.0
2000-03-02,12.83,12.99,12.38,12.44,,5679300.0
2000-03-03,12.57,12.63,12.3,12.57,,4505300.0
2000-03-06,12.33,12.41,12.11,12.28,,3933000.0
2000-03-07,12.13,12.28,11.23,11.82,,11720100.0
2000-03-08,11.69,12.05,11.5,11.91,,7220800.0
2000-03-09,11.92,11.92,11.5,11.72,,6194700.0
2000-03-10,11.55,11.69,11.05,11.41,,7029600.0
2000-03-13,10.89,11.15,10.86,11.01,,7823200.0
2000-03-14,11.15,11.15,10.79,10.9,,5581000.0
2000-03-15,11.0,12.03,10.95,11.97,,11069100.0
2000-03-16,12.41,12.55,12.22,12.52,,8805100.0
2000-03-17,12.43,12.57,12.27,12.37,,7265400.0
2000-03-20,12.33,12.33,12.1,12.22,,3377600.0
2000-03-21,11.92,12.51,11.92,12.44,,4287900.0
2000-03-22,12.33,12.33,11.63,11.84,,5942100.0
2000-03-23,11.83,12.18,11.69,11.83,,5166900.0
2000-03-24,11.83,11.88,11.67,11.83,,4384600.0
2000-03-27,11.78,11.86,11.39,11.39,,5267700.0
2000-03-28,11.51,11.7,11.3,11.3,,6836500.0
2000-03-29,11.42,11.84,11.4,11.8,,8146300.0
2000-03-30,11.86,12.57,11.86,12.22,,9397600.0
2000-03-31,12.25,12.25,11.81,11.81,,4428500.0
2000-04-03,11.94,12.57,11.89,12.41,,7093400.0
2000-04-04,12.46,13.18,12.13,13.18,,13695100.0
2000-04-05,12.65,12.82,11.92,11.99,,10128300.0
2000-04-06,12.05,12.07,11.26,11.51,,10337500.0
2000-04-07,11.51,11.69,11.26,11.63,,6187000.0
2000-04-10,11.7,11.88,11.3,11.33,,6451500.0
2000-04-11,11.69,12.02,11.5,11.88,,6048200.0
2000-04-12,12.08,12.57,12.0,12.21,,7793200.0
2000-04-13,11.95,12.24,11.86,11.89,,4446400.0
2000-04-14,11.64,11.97,11.59,11.83,,4744100.0
2000-04-17,11.77,12.24,11.64,12.21,,5355100.0
2000-04-18,12.16,12.37,11.67,12.24,,6500500.0
2000-04-19,12.24,12.51,12.07,12.38,,5036600.0
2000-04-20,12.21,12.44,12.08,12.44,,4139300.0
2000-04-24,12.44,12.69,12.33,12.49,,4688800.0
2000-04-25,12.41,12.71,12.13,12.71,,4355800.0
2000-04-26,12.33,12.62,12.3,12.44,,4768100.0
2000-04-27,12.21,12.37,11.94,12.14,,4511600.0
2000-04-28,12.11,12.18,11.77,11.89,,3784400.0
2000-05-01,11.74,11.83,11.64,11.64,,3877000.0
2000-05-02,11.72,11.97,11.56,11.64,,4604700.0
2000-05-03,11.61,12.28,11.61,12.21,,7198700.0
2000-05-04,12.27,12.38,11.91,12.21,,3421200.0
2000-05-05,11.97,12.08,11.77,11.84,,2999600.0
