time,open,high,low,close,Volume,volume
2006-10-13,23.65,25.58,23.51,25.29,,50545200.0
2006-10-16,26.27,26.28,25.15,25.2,,9162700.0
2006-10-17,25.14,25.15,24.57,25.0,,6965200.0
2006-10-18,25.38,25.38,24.47,24.58,,5937600.0
2006-10-19,24.58,24.75,23.94,24.03,,5926800.0
2006-10-20,24.21,24.9,24.0,24.83,,5761200.0
2006-10-23,24.83,25.18,24.56,24.75,,4609200.0
2006-10-24,24.76,25.15,24.65,24.9,,3521200.0
2006-10-25,25.01,25.17,24.5,25.14,,4859600.0
2006-10-26,25.36,27.73,25.14,26.86,,18918800.0
2006-10-27,27.27,27.96,26.96,27.92,,15557600.0
2006-10-30,28.2,29.36,27.99,28.28,,7756000.0
2006-10-31,28.66,29.19,27.52,27.82,,5288000.0
2006-11-01,28.1,28.42,27.48,27.48,,3416400.0
2006-11-02,27.48,28.38,27.13,27.14,,3286800.0
2006-11-03,27.32,27.78,27.27,27.62,,3148000.0
2006-11-06,27.69,28.2,27.5,27.81,,3369200.0
2006-11-07,27.82,28.03,27.49,27.77,,2827600.0
2006-11-08,27.14,27.3,26.16,26.68,,6203600.0
2006-11-09,26.82,28.1,26.57,28.1,,3969200.0
2006-11-10,27.82,27.98,27.14,27.81,,3062400.0
2006-11-13,27.77,27.77,27.44,27.66,,1331200.0
2006-11-14,27.71,27.91,27.41,27.74,,2080000.0
2006-11-15,27.74,27.99,27.62,27.85,,2366800.0
2006-11-16,27.77,27.94,27.62,27.94,,1496000.0
2006-11-17,27.82,27.82,27.32,27.5,,1943600.0
2006-11-20,27.62,27.67,26.89,27.13,,1708000.0
2006-11-21,26.99,27.06,26.43,26.8,,6373200.0
2006-11-22,26.35,27.1,26.16,26.89,,5877600.0
2006-11-24,26.46,26.71,26.41,26.67,,564400.0
2006-11-27,26.43,26.57,25.67,26.29,,3306000.0
2006-11-28,25.88,26.35,25.15,26.29,,3128800.0
2006-11-29,26.64,26.7,26.29,26.49,,1834400.0
2006-11-30,26.43,26.53,26.1,26.39,,986400.0
2006-12-01,26.34,26.36,26.03,26.18,,1486000.0
2006-12-04,25.9,26.16,25.84,26.1,,1227600.0
2006-12-05,26.09,26.53,25.99,26.41,,1480000.0
