time,open,high,low,close,Volume,volume
1999-11-01,5.88,6.06,5.86,5.97,,269100.0
1999-11-02,5.99,6.19,5.99,6.1,,408600.0
1999-11-03,6.09,6.11,6.0,6.02,,250400.0
1999-11-04,6.11,6.2,6.07,6.15,,229200.0
1999-11-05,6.22,6.31,6.22,6.31,,269900.0
1999-11-08,6.31,6.33,6.27,6.31,,218200.0
1999-11-09,6.33,6.38,6.24,6.24,,344600.0
1999-11-10,6.18,6.33,6.18,6.31,,279100.0
1999-11-11,6.22,6.29,6.09,6.18,,326900.0
1999-11-12,6.2,6.22,6.07,6.09,,269700.0
1999-11-15,6.09,6.33,6.09,6.33,,182600.0
1999-11-16,6.15,6.62,6.15,6.62,,294800.0
1999-11-17,6.58,6.58,6.31,6.31,,187700.0
1999-11-18,6.29,6.31,6.11,6.27,,343000.0
1999-11-19,6.22,6.27,6.09,6.18,,309900.0
1999-11-22,6.13,6.2,6.04,6.11,,141500.0
1999-11-23,6.02,6.27,5.91,6.13,,300100.0
1999-11-24,6.11,6.15,5.86,5.89,,184000.0
1999-11-26,5.91,6.13,5.89,6.07,,56100.0
1999-11-29,5.98,5.98,5.82,5.91,,169300.0
1999-11-30,5.89,6.09,5.84,5.84,,202900.0
1999-12-01,5.93,5.98,5.8,5.8,,135300.0
1999-12-02,5.82,6.11,5.82,5.89,,176800.0
1999-12-03,5.93,6.09,5.93,6.07,,232700.0
1999-12-06,6.15,6.15,6.0,6.04,,265500.0
1999-12-07,6.07,6.07,5.93,5.93,,83100.0
1999-12-08,5.95,5.95,5.6,5.62,,280900.0
1999-12-09,5.71,5.71,5.55,5.57,,202700.0
1999-12-10,5.66,5.71,5.51,5.57,,297500.0
1999-12-13,5.64,5.91,5.53,5.91,,260000.0
1999-12-14,5.86,5.86,5.57,5.64,,394400.0
1999-12-15,5.57,5.66,5.53,5.57,,816700.0
1999-12-16,5.6,5.66,5.55,5.57,,514800.0
1999-12-17,5.55,5.55,5.55,5.55,,411800.0
1999-12-20,5.55,5.8,5.55,5.64,,219600.0
1999-12-21,5.57,5.91,5.57,5.73,,379900.0
1999-12-22,5.66,5.75,5.62,5.66,,359000.0
1999-12-23,5.66,5.75,5.64,5.73,,526300.0
1999-12-27,5.71,5.78,5.64,5.66,,366900.0
1999-12-28,5.66,5.75,5.64,5.69,,174800.0
1999-12-29,5.71,5.86,5.69,5.86,,162400.0
1999-12-30,5.86,5.93,5.64,5.89,,197100.0
1999-12-31,5.86,5.91,5.73,5.82,,166800.0
2000-01-03,5.78,5.82,5.64,5.71,,190300.0
2000-01-04,5.62,5.73,5.62,5.66,,269500.0
2000-01-05,5.69,5.75,5.66,5.69,,109500.0
2000-01-06,5.66,5.71,5.62,5.69,,251300.0
2000-01-07,5.69,5.84,5.66,5.8,,449500.0
2000-01-10,5.8,5.91,5.73,5.84,,1035400.0
2000-01-11,5.86,5.86,5.73,5.73,,285400.0
2000-01-12,5.82,5.93,5.64,5.78,,446700.0
2000-01-13,5.86,6.0,5.86,5.91,,153400.0
2000-01-14,5.95,6.09,5.93,5.93,,197300.0
2000-01-18,5.95,5.98,5.89,5.89,,335100.0
2000-01-19,5.75,5.95,5.75,5.84,,221000.0
2000-01-20,5.84,5.91,5.82,5.89,,333000.0
2000-01-21,5.86,5.91,5.78,5.84,,546400.0
2000-01-24,5.84,5.91,5.82,5.84,,538600.0
2000-01-25,5.86,5.89,5.78,5.8,,524900.0
2000-01-26,5.84,5.84,5.75,5.78,,659800.0
2000-01-27,5.78,5.86,5.75,5.8,,402000.0
2000-01-28,5.84,5.84,5.64,5.64,,319200.0
2000-01-31,5.73,5.78,5.69,5.71,,223800.0
2000-02-01,5.73,5.78,5.71,5.73,,314500.0
2000-02-02,5.73,5.75,5.73,5.73,,153300.0
2000-02-03,5.75,6.09,5.73,5.87,,316000.0
2000-02-04,5.89,6.0,5.84,5.96,,1185600.0
2000-02-07,5.91,6.0,5.82,5.84,,667200.0
2000-02-08,5.8,6.18,5.78,5.78,,233600.0
2000-02-09,5.87,5.96,5.87,5.93,,176900.0
2000-02-10,5.91,5.91,5.75,5.8,,264700.0
2000-02-11,5.75,5.78,5.66,5.66,,149300.0
2000-02-14,5.73,5.73,5.64,5.69,,119700.0
2000-02-15,5.69,5.96,5.69,5.96,,286400.0
2000-02-16,5.87,5.89,5.73,5.73,,107000.0
2000-02-17,5.75,6.68,5.75,6.07,,1420000.0
2000-02-18,6.14,6.27,5.87,5.96,,461900.0
2000-02-22,6.0,6.05,5.84,5.84,,260300.0
2000-02-23,5.84,5.87,5.64,5.71,,591500.0
2000-02-24,5.8,5.8,5.46,5.64,,408000.0
2000-02-25,5.64,5.64,5.58,5.6,,130700.0
2000-02-28,5.58,5.71,5.53,5.71,,116200.0
2000-02-29,5.62,5.91,5.62,5.91,,137100.0
2000-03-01,5.89,6.05,5.84,6.05,,157100.0
2000-03-02,6.05,6.14,6.02,6.05,,129300.0
2000-03-03,6.14,6.27,6.09,6.11,,163900.0
2000-03-06,6.11,6.23,5.96,6.07,,157800.0
2000-03-07,5.98,6.11,5.82,5.82,,94400.0
2000-03-08,5.87,5.98,5.87,5.93,,167400.0
2000-03-09,5.82,6.05,5.82,6.05,,114700.0
2000-03-10,6.05,6.14,5.96,6.05,,177700.0
2000-03-13,5.91,6.11,5.91,6.02,,119200.0
2000-03-14,5.98,6.16,5.98,6.05,,101400.0
2000-03-15,6.05,6.61,5.98,6.45,,379700.0
2000-03-16,6.47,7.12,6.47,6.85,,624500.0
2000-03-17,7.08,7.44,7.03,7.44,,632100.0
2000-03-20,7.39,7.61,7.28,7.61,,347300.0
2000-03-21,7.64,7.64,7.35,7.48,,468800.0
2000-03-22,7.46,7.5,7.32,7.35,,382500.0
2000-03-23,7.35,7.59,7.35,7.57,,477100.0
2000-03-24,7.57,7.59,7.3,7.55,,387100.0
2000-03-27,7.52,7.52,7.39,7.48,,176400.0
2000-03-28,7.48,7.5,7.35,7.39,,256200.0
2000-03-29,7.39,7.41,7.35,7.37,,156000.0
2000-03-30,7.37,7.68,7.35,7.5,,553400.0
2000-03-31,7.52,7.79,7.5,7.77,,279800.0
2000-04-03,7.7,7.73,7.19,7.39,,490400.0
2000-04-04,7.57,7.57,7.03,7.03,,307800.0
2000-04-05,6.94,7.48,6.94,7.35,,460300.0
2000-04-06,7.41,7.48,7.32,7.32,,195700.0
2000-04-07,7.35,7.46,7.32,7.35,,286100.0
2000-04-10,7.3,7.41,7.26,7.26,,280000.0
2000-04-11,7.28,7.28,7.12,7.14,,255100.0
2000-04-12,7.17,7.55,7.17,7.35,,261500.0
2000-04-13,7.41,7.5,7.37,7.37,,123100.0
2000-04-14,7.41,7.41,6.79,6.83,,292000.0
2000-04-17,6.74,6.81,6.59,6.68,,320500.0
2000-04-18,6.68,7.03,6.56,7.03,,265800.0
2000-04-19,6.94,7.03,6.9,6.97,,143600.0
2000-04-20,6.94,7.12,6.85,7.03,,158200.0
2000-04-24,7.03,7.06,6.81,6.81,,127500.0
2000-04-25,6.9,6.99,6.81,6.92,,302700.0
