time,open,high,low,close,Volume,volume
1999-11-01,6.21,6.21,5.95,6.21,,146000.0
1999-11-02,5.95,6.21,5.95,6.08,,536000.0
1999-11-03,6.08,6.21,6.08,6.08,,96000.0
1999-11-04,6.08,6.21,6.08,6.08,,429000.0
1999-11-05,6.08,6.21,6.08,6.21,,225000.0
1999-11-08,6.21,6.34,6.08,6.34,,455000.0
1999-11-09,6.21,6.6,6.08,6.6,,1122000.0
1999-11-10,6.47,6.6,6.21,6.47,,259000.0
1999-11-11,6.47,6.47,6.34,6.47,,392000.0
1999-11-12,6.34,6.47,6.08,6.21,,398000.0
1999-11-15,6.21,6.6,6.21,6.6,,463000.0
1999-11-16,6.47,6.99,6.47,6.99,,1341000.0
1999-11-17,6.86,7.12,6.86,7.12,,653000.0
1999-11-18,7.12,7.12,6.99,7.12,,185000.0
1999-11-19,6.99,7.24,6.99,7.24,,867000.0
1999-11-22,7.76,8.02,7.24,7.37,,892000.0
1999-11-23,7.24,7.63,7.24,7.63,,362000.0
1999-11-24,7.5,7.63,7.5,7.63,,471000.0
1999-11-26,7.63,7.63,7.5,7.63,,101000.0
1999-11-29,7.63,7.63,7.37,7.63,,271000.0
1999-11-30,7.5,7.76,7.5,7.76,,550000.0
1999-12-01,7.63,7.76,7.5,7.5,,346000.0
1999-12-02,7.5,7.63,7.5,7.63,,101000.0
1999-12-03,7.63,7.63,7.5,7.63,,116000.0
1999-12-06,7.63,7.63,7.24,7.5,,400000.0
1999-12-07,7.37,7.5,7.37,7.5,,81000.0
1999-12-08,7.37,7.5,7.37,7.5,,135000.0
1999-12-09,7.5,7.63,7.37,7.5,,291000.0
1999-12-10,7.37,7.63,7.37,7.63,,302000.0
1999-12-13,7.63,7.63,7.24,7.5,,252000.0
1999-12-14,7.37,7.5,7.37,7.37,,885000.0
1999-12-15,7.37,7.37,7.24,7.24,,1286000.0
1999-12-16,7.12,7.24,6.73,6.86,,656000.0
1999-12-17,6.73,6.73,6.73,6.73,,244000.0
1999-12-20,6.47,7.24,6.34,7.24,,273000.0
1999-12-21,7.24,7.37,6.99,7.37,,150000.0
1999-12-22,7.24,7.24,7.12,7.24,,95000.0
1999-12-23,6.99,7.24,6.6,7.24,,276000.0
1999-12-27,6.99,7.12,6.86,6.99,,163000.0
1999-12-28,6.86,7.37,6.73,7.24,,169000.0
1999-12-29,7.24,7.76,7.24,7.76,,310000.0
1999-12-30,7.5,7.76,7.5,7.76,,215000.0
1999-12-31,7.5,7.63,7.5,7.63,,245000.0
2000-01-03,7.63,7.63,7.37,7.5,,130000.0
2000-01-04,7.37,7.37,6.99,7.24,,165000.0
2000-01-05,7.12,7.24,6.99,6.99,,60000.0
2000-01-06,7.12,7.24,6.99,7.12,,96000.0
2000-01-07,7.12,7.37,6.99,7.37,,198000.0
2000-01-10,7.5,7.5,7.24,7.24,,341000.0
2000-01-11,7.12,7.24,6.99,6.99,,96000.0
2000-01-12,6.99,7.12,6.99,6.99,,95000.0
2000-01-13,6.99,7.37,6.86,7.37,,672000.0
2000-01-14,7.24,7.37,7.24,7.37,,119000.0
2000-01-18,7.24,7.37,6.99,7.24,,239000.0
2000-01-19,7.24,7.24,7.12,7.24,,128000.0
2000-01-20,7.12,7.24,7.12,7.12,,302000.0
2000-01-21,7.12,7.12,6.86,7.12,,503000.0
2000-01-24,6.99,6.99,6.86,6.99,,247000.0
2000-01-25,6.86,6.99,6.73,6.86,,230000.0
2000-01-26,6.86,6.86,6.47,6.86,,414000.0
2000-01-27,6.99,6.99,6.6,6.73,,1868000.0
2000-01-28,6.86,6.99,6.86,6.99,,166000.0
2000-01-31,6.73,6.86,6.6,6.86,,211000.0
2000-02-01,6.86,6.99,6.73,6.86,,142000.0
2000-02-02,6.86,7.12,6.86,6.99,,272000.0
2000-02-03,7.12,7.12,6.99,7.12,,103000.0
