time,open,high,low,close,Volume,volume
2003-10-03,1.63,1.76,1.63,1.74,,3875700.0
2003-10-06,1.76,1.85,1.75,1.83,,383600.0
2003-10-07,1.82,1.93,1.82,1.89,,423900.0
2003-10-08,1.9,1.9,1.83,1.87,,398900.0
2003-10-09,1.85,1.87,1.81,1.81,,152800.0
2003-10-10,1.81,1.85,1.76,1.79,,333500.0
2003-10-13,1.8,1.8,1.77,1.78,,189000.0
2003-10-14,1.78,1.93,1.78,1.89,,267500.0
2003-10-15,1.89,1.96,1.86,1.86,,98100.0
2003-10-16,1.87,1.89,1.86,1.87,,48300.0
2003-10-17,1.86,1.86,1.84,1.84,,200200.0
2003-10-20,1.86,1.86,1.83,1.85,,168500.0
2003-10-21,1.85,1.86,1.84,1.85,,110600.0
2003-10-22,1.86,1.86,1.83,1.84,,88800.0
2003-10-23,1.83,1.83,1.78,1.8,,114800.0
2003-10-24,1.8,1.86,1.8,1.85,,202000.0
2003-10-27,1.86,1.93,1.83,1.86,,99900.0
2003-10-28,1.9,1.93,1.82,1.84,,202300.0
2003-10-29,1.83,1.88,1.82,1.87,,205700.0
2003-10-30,1.87,1.97,1.86,1.93,,132500.0
2003-10-31,1.93,2.01,1.93,2.01,,182300.0
2003-11-03,2.01,2.08,1.98,2.03,,95300.0
2003-11-04,2.06,2.06,1.97,2.0,,100500.0
2003-11-05,1.97,1.98,1.94,1.97,,8100.0
2003-11-06,1.97,1.97,1.93,1.96,,48000.0
2003-11-07,1.97,1.97,1.94,1.97,,27300.0
2003-11-10,1.94,1.99,1.94,1.97,,61800.0
2003-11-11,1.94,1.97,1.94,1.97,,114500.0
2003-11-12,1.95,2.0,1.94,1.97,,74800.0
2003-11-13,1.94,1.97,1.93,1.93,,15100.0
2003-11-14,1.93,1.95,1.93,1.94,,249400.0
2003-11-17,1.94,1.96,1.9,1.91,,231900.0
2003-11-18,1.91,1.92,1.89,1.89,,12200.0
2003-11-19,1.89,1.93,1.88,1.92,,44300.0
2003-11-20,1.92,1.93,1.89,1.91,,107800.0
2003-11-21,1.89,1.93,1.88,1.93,,24900.0
2003-11-24,1.93,1.94,1.9,1.94,,26000.0
2003-11-25,1.95,2.0,1.92,1.94,,38700.0
2003-11-26,1.96,2.08,1.94,2.07,,73800.0
2003-11-28,2.07,2.07,2.02,2.06,,5200.0
2003-12-01,2.08,2.09,2.03,2.09,,29200.0
2003-12-02,2.03,2.09,2.03,2.05,,37500.0
2003-12-03,2.07,2.07,2.03,2.07,,22800.0
2003-12-04,2.07,2.09,2.06,2.09,,128600.0
2003-12-05,2.06,2.11,2.06,2.06,,50400.0
2003-12-08,2.08,2.08,1.96,1.96,,28500.0
2003-12-09,2.04,2.04,1.81,1.86,,68800.0
2003-12-10,1.86,1.91,1.86,1.89,,14900.0
2003-12-11,1.89,1.99,1.86,1.96,,31200.0
2003-12-12,1.95,2.02,1.95,2.01,,104700.0
2003-12-15,1.95,2.06,1.95,2.0,,30700.0
2003-12-16,2.0,2.07,2.0,2.05,,26000.0
2003-12-17,2.01,2.1,2.01,2.09,,24900.0
2003-12-18,2.1,2.1,2.07,2.09,,5100.0
2003-12-19,2.05,2.09,2.05,2.09,,65000.0
2003-12-22,2.03,2.1,2.03,2.09,,9600.0
