time,open,high,low,close,Volume,volume
1999-11-01,11.07,11.23,10.54,10.61,,5100600.0
1999-11-02,10.61,10.77,10.54,10.57,,3589200.0
1999-11-03,10.54,10.57,9.78,9.78,,3939700.0
1999-11-04,9.82,9.98,9.46,9.49,,4553600.0
1999-11-05,9.52,9.72,9.06,9.16,,4492000.0
1999-11-08,9.36,9.49,9.26,9.32,,5743600.0
1999-11-09,9.32,9.82,9.32,9.65,,4790500.0
1999-11-10,9.75,10.21,9.62,10.11,,3467300.0
1999-11-11,10.54,10.7,10.05,10.44,,3212800.0
1999-11-12,10.61,10.7,9.98,10.01,,3122100.0
1999-11-15,10.15,10.18,9.88,9.95,,2638300.0
1999-11-16,10.01,10.11,9.88,10.01,,3185200.0
1999-11-17,10.01,10.28,9.91,10.15,,5691900.0
1999-11-18,10.25,10.94,10.18,10.87,,6500300.0
1999-11-19,10.94,11.4,10.9,11.2,,3821900.0
1999-11-22,11.2,11.2,10.54,10.54,,1983800.0
1999-11-23,11.04,11.04,10.57,10.67,,2822700.0
1999-11-24,10.84,10.87,10.54,10.64,,1797200.0
1999-11-26,10.61,10.8,10.57,10.57,,720700.0
1999-11-29,10.55,10.86,10.55,10.86,,2513200.0
1999-11-30,10.86,11.05,10.59,10.59,,2979400.0
1999-12-01,10.72,10.89,10.65,10.76,,1314000.0
1999-12-02,10.65,10.72,10.52,10.69,,1937800.0
1999-12-03,10.69,10.72,10.55,10.65,,3029800.0
1999-12-06,10.55,10.65,10.36,10.42,,2131700.0
1999-12-07,10.12,10.55,10.12,10.46,,3542700.0
1999-12-08,10.42,10.72,10.42,10.65,,2503100.0
1999-12-09,10.52,10.69,10.49,10.59,,2212200.0
1999-12-10,10.62,10.69,10.52,10.55,,2171000.0
1999-12-13,10.42,10.72,10.42,10.59,,3278900.0
1999-12-14,10.65,10.95,10.62,10.76,,4435300.0
1999-12-15,10.65,10.72,10.59,10.65,,4028000.0
1999-12-16,10.52,10.89,10.52,10.82,,2255600.0
1999-12-17,10.82,10.82,10.82,10.82,,2696300.0
1999-12-20,10.82,10.82,10.52,10.62,,2248400.0
1999-12-21,10.42,10.62,10.42,10.55,,1917300.0
1999-12-22,10.42,10.59,10.42,10.49,,2381000.0
1999-12-23,10.55,10.62,10.42,10.52,,2162500.0
1999-12-27,10.42,10.65,10.39,10.49,,1346800.0
1999-12-28,10.46,10.55,10.39,10.42,,1096800.0
1999-12-29,10.52,10.76,10.42,10.59,,1228800.0
1999-12-30,10.65,10.99,10.62,10.82,,1541700.0
1999-12-31,11.26,11.72,11.19,11.66,,2689600.0
2000-01-03,11.72,11.89,10.79,10.79,,3011300.0
2000-01-04,10.65,11.35,10.65,11.16,,3593500.0
2000-01-05,11.32,11.52,10.92,11.22,,1721200.0
2000-01-06,11.19,11.59,11.19,11.39,,1750700.0
2000-01-07,11.59,11.75,11.29,11.42,,2203200.0
2000-01-10,11.39,11.45,10.95,10.99,,1361000.0
2000-01-11,10.92,11.05,10.52,10.59,,2236100.0
2000-01-12,10.65,11.32,10.65,11.29,,3562400.0
2000-01-13,11.42,11.42,10.95,11.05,,2871700.0
2000-01-14,11.05,11.16,10.92,10.92,,1609300.0
2000-01-18,11.19,11.32,10.52,10.65,,3763800.0
2000-01-19,10.69,11.05,10.65,11.02,,2270500.0
2000-01-20,10.92,11.02,10.86,10.95,,2321600.0
2000-01-21,11.05,11.29,10.99,11.19,,2340600.0
2000-01-24,11.16,11.22,10.42,10.42,,1917000.0
2000-01-25,10.42,10.62,10.19,10.26,,2022500.0
2000-01-26,10.36,10.69,10.26,10.69,,2020300.0
2000-01-27,10.62,10.65,10.12,10.36,,2236300.0
2000-01-28,10.12,10.62,9.75,10.06,,2213200.0
2000-01-31,9.75,10.06,9.69,9.86,,1528600.0
2000-02-01,9.99,10.06,9.79,9.96,,737300.0
2000-02-02,9.82,9.99,9.69,9.96,,1633700.0
2000-02-03,9.93,10.09,9.86,9.93,,1830200.0
2000-02-04,9.99,10.29,9.79,10.19,,2012900.0
2000-02-07,10.26,10.39,9.72,9.99,,1633700.0
2000-02-08,9.75,9.79,9.53,9.79,,2110300.0
2000-02-09,9.53,9.86,9.53,9.79,,1863800.0
2000-02-10,9.62,9.86,9.62,9.75,,1814500.0
2000-02-11,9.66,9.75,9.26,9.32,,1821000.0
2000-02-14,9.46,9.66,9.32,9.62,,1839400.0
2000-02-15,9.59,9.69,9.49,9.66,,1273200.0
2000-02-16,9.32,9.62,9.32,9.46,,1630600.0
2000-02-17,9.56,9.72,9.49,9.59,,4412100.0
2000-02-18,9.46,9.53,9.06,9.29,,1651200.0
2000-02-22,9.09,9.59,9.09,9.59,,1411100.0
2000-02-23,9.56,9.56,9.32,9.49,,1358100.0
2000-02-24,9.39,9.42,9.16,9.36,,1248100.0
2000-02-25,9.39,9.56,9.36,9.46,,1691300.0
2000-02-28,9.36,9.39,9.13,9.32,,1022400.0
2000-02-29,9.29,9.53,9.13,9.29,,1285400.0
2000-03-01,9.29,9.42,9.26,9.42,,1331700.0
2000-03-02,9.38,9.42,9.11,9.18,,1398200.0
2000-03-03,9.15,9.22,9.05,9.11,,1733200.0
2000-03-06,9.52,9.79,9.52,9.65,,3775600.0
2000-03-07,9.65,9.65,9.28,9.28,,1289900.0
2000-03-08,9.25,9.45,9.25,9.45,,2051400.0
2000-03-09,9.38,9.38,9.11,9.18,,1706700.0
2000-03-10,9.18,9.18,8.95,9.01,,2631700.0
2000-03-13,9.01,9.11,8.92,9.08,,1434800.0
2000-03-14,9.11,9.11,8.85,8.92,,1853600.0
2000-03-15,8.92,9.22,8.85,9.18,,4062700.0
2000-03-16,9.22,9.79,9.11,9.68,,3771400.0
2000-03-17,9.68,10.05,9.45,9.65,,6524300.0
2000-03-20,9.65,9.65,9.45,9.52,,1103600.0
2000-03-21,9.25,9.45,9.15,9.28,,1439200.0
2000-03-22,9.25,9.28,9.08,9.18,,1424500.0
2000-03-23,9.15,9.32,9.08,9.15,,918700.0
2000-03-24,9.15,9.52,9.15,9.38,,2166100.0
2000-03-27,9.38,9.59,9.25,9.55,,1698000.0
2000-03-28,9.79,10.29,9.68,10.05,,3675900.0
2000-03-29,9.95,10.32,9.82,10.32,,3296200.0
2000-03-30,10.59,11.39,10.46,11.2,,4674400.0
2000-03-31,11.29,11.29,10.56,10.96,,2365800.0
2000-04-03,10.76,11.2,10.76,10.96,,1050100.0
2000-04-04,11.26,11.63,10.79,10.89,,2551700.0
2000-04-05,10.89,11.6,10.89,11.23,,1390500.0
2000-04-06,11.66,11.83,11.06,11.36,,2202200.0
