time,open,high,low,close,Volume,volume
2004-12-15,27.3,32.22,27.14,30.34,,26246300.0
2004-12-16,31.34,32.97,31.21,32.0,,7778200.0
2004-12-17,32.0,34.69,31.35,34.53,,4755800.0
2004-12-20,34.34,35.17,31.49,31.67,,6098000.0
2004-12-21,31.67,32.04,29.71,30.87,,3209500.0
2004-12-22,30.75,32.28,30.56,31.61,,1837400.0
2004-12-23,31.67,32.15,31.47,31.6,,633500.0
2004-12-27,31.61,31.93,30.56,31.05,,800700.0
2004-12-28,30.92,31.47,30.3,31.34,,1169600.0
2004-12-29,31.34,31.4,30.98,31.2,,566500.0
2004-12-30,31.31,31.7,30.94,31.18,,758300.0
2004-12-31,31.21,31.34,30.92,31.27,,645400.0
2005-01-03,32.15,32.19,30.98,31.61,,1055900.0
2005-01-04,31.61,32.32,31.47,32.23,,1660100.0
2005-01-05,32.39,32.51,31.79,31.83,,697400.0
2005-01-06,31.76,31.79,30.95,31.27,,1015300.0
2005-01-07,31.18,31.18,29.52,29.68,,2178900.0
2005-01-10,29.35,30.17,29.16,29.4,,1247300.0
2005-01-11,28.99,29.86,28.19,29.14,,1503300.0
2005-01-12,29.26,29.45,27.95,28.08,,1658100.0
2005-01-13,27.79,28.02,26.98,27.69,,2414800.0
2005-01-14,27.88,28.4,27.46,28.28,,992800.0
2005-01-18,28.24,29.46,27.89,29.46,,879800.0
2005-01-19,29.51,30.08,28.77,28.9,,864600.0
2005-01-20,28.9,29.12,28.38,28.51,,453600.0
2005-01-21,28.21,28.34,27.3,28.05,,1626200.0
2005-01-24,29.08,29.16,27.04,27.4,,1875100.0
2005-01-25,27.56,28.08,27.4,27.43,,613900.0
2005-01-26,27.53,27.85,27.38,27.4,,365500.0
2005-01-27,27.48,27.76,27.27,27.4,,646000.0
2005-01-28,27.43,27.56,27.2,27.5,,400200.0
2005-01-31,27.89,28.4,27.71,28.28,,621800.0
2005-02-01,28.67,28.99,28.08,28.17,,780400.0
2005-02-02,28.51,29.65,28.25,29.42,,899300.0
2005-02-03,29.58,29.9,29.03,29.81,,731000.0
2005-02-04,30.07,31.27,29.91,31.03,,1227400.0
2005-02-07,31.31,32.25,31.27,31.89,,1102400.0
2005-02-08,31.9,31.99,30.49,30.63,,773600.0
2005-02-09,30.96,31.08,30.35,30.82,,368600.0
2005-02-10,31.44,31.6,30.66,30.98,,549600.0
2005-02-11,31.14,31.24,30.51,30.66,,725700.0
2005-02-14,30.85,31.29,30.53,31.28,,287100.0
2005-02-15,31.6,33.49,31.39,33.09,,2193400.0
2005-02-16,33.16,33.16,32.35,32.4,,820600.0
2005-02-17,32.9,33.42,32.28,32.68,,709400.0
2005-02-18,32.9,32.94,31.67,31.96,,596300.0
2005-02-22,31.93,31.93,30.95,31.03,,736800.0
2005-02-23,31.19,31.71,30.67,30.88,,568000.0
2005-02-24,31.21,31.24,29.94,30.82,,941700.0
2005-02-25,31.05,31.67,30.49,31.6,,864700.0
2005-02-28,32.06,32.09,30.95,31.21,,632400.0
2005-03-01,31.26,32.63,31.25,32.59,,754100.0
2005-03-02,32.57,33.21,32.37,32.56,,776000.0
2005-03-03,32.56,32.9,31.76,32.38,,648600.0
2005-03-04,32.28,32.32,31.47,31.49,,870800.0
2005-03-07,31.7,32.58,31.67,32.45,,994300.0
2005-03-08,32.09,32.45,30.69,30.85,,3714700.0
2005-03-09,30.69,30.82,28.83,29.38,,2606600.0
2005-03-10,29.38,29.93,29.22,29.8,,941300.0
2005-03-11,29.8,30.62,29.8,29.96,,599100.0
2005-03-14,30.39,30.97,30.23,30.93,,801200.0
2005-03-15,31.11,32.45,31.11,32.19,,1970100.0
2005-03-16,32.12,32.23,31.14,31.48,,1494300.0
2005-03-17,31.31,31.89,31.17,31.61,,920200.0
2005-03-18,31.61,32.15,31.14,31.76,,642100.0
2005-03-21,31.76,32.02,31.21,31.48,,1169200.0
2005-03-22,31.48,31.61,30.2,30.29,,1027900.0
2005-03-23,30.07,30.23,29.66,29.81,,929600.0
2005-03-24,29.87,30.2,29.65,29.97,,555300.0
2005-03-28,29.84,30.23,29.65,29.96,,373700.0
2005-03-29,29.65,29.74,28.6,28.67,,1626300.0
2005-03-30,28.67,29.72,28.67,29.72,,957400.0
2005-03-31,29.45,29.78,29.03,29.32,,971300.0
2005-04-01,29.33,29.38,28.39,28.84,,1117600.0
2005-04-04,28.6,28.6,27.92,27.93,,1358200.0
2005-04-05,27.94,28.13,27.43,27.44,,1222800.0
2005-04-06,27.46,28.73,27.46,28.54,,1093500.0
2005-04-07,28.96,29.54,28.73,28.77,,1174000.0
2005-04-08,28.86,29.01,28.18,28.3,,701400.0
2005-04-11,28.41,28.73,27.98,28.35,,415600.0
2005-04-12,28.35,28.67,28.11,28.64,,785000.0
2005-04-13,28.64,29.22,28.51,28.67,,701000.0
2005-04-14,28.67,28.81,27.83,28.21,,1177400.0
2005-04-15,28.05,28.15,26.32,26.62,,1565200.0
2005-04-18,26.62,26.94,25.74,25.96,,1373500.0
2005-04-19,26.65,26.65,25.9,25.93,,1718800.0
2005-04-20,25.74,25.74,24.54,24.67,,2383300.0
2005-04-21,24.9,25.21,23.72,24.49,,2432800.0
2005-04-22,24.46,24.95,24.01,24.11,,1781100.0
2005-04-25,24.21,24.57,24.11,24.28,,1026700.0
2005-04-26,24.47,25.68,24.47,25.25,,1758900.0
2005-04-27,25.31,25.44,24.61,25.05,,1114800.0
2005-04-28,25.38,26.03,24.64,24.76,,1017700.0
2005-04-29,25.05,25.07,24.14,24.4,,722300.0
2005-05-02,24.37,25.04,24.37,24.95,,1012500.0
2005-05-03,23.78,24.37,23.34,23.52,,2875500.0
2005-05-04,23.46,23.87,22.61,23.54,,3411200.0
2005-05-05,23.7,23.7,22.84,23.16,,875500.0
2005-05-06,23.29,23.57,22.86,23.46,,618100.0
2005-05-09,23.18,23.76,22.95,23.68,,675900.0
2005-05-10,23.52,23.88,23.2,23.31,,888800.0
2005-05-11,23.31,23.49,22.64,23.4,,891700.0
2005-05-12,23.25,23.28,22.82,22.87,,810900.0
2005-05-13,22.87,22.87,21.74,21.96,,1196900.0
2005-05-16,21.83,22.29,21.57,22.12,,717800.0
2005-05-17,22.09,22.9,21.84,22.82,,535500.0
2005-05-18,23.06,24.27,23.01,23.78,,2432900.0
2005-05-19,23.81,24.27,23.65,24.24,,920000.0
2005-05-20,24.09,24.22,23.92,24.19,,334700.0
2005-05-23,24.18,24.67,24.13,24.24,,979800.0
2005-05-24,24.11,24.43,23.79,23.95,,974500.0
2005-05-25,23.82,24.26,23.17,23.21,,847100.0
2005-05-26,23.26,23.98,23.26,23.92,,683500.0
2005-05-27,23.96,24.43,23.69,24.23,,554700.0
2005-05-31,24.23,24.23,23.63,23.63,,651900.0
2005-06-01,23.81,25.04,23.72,24.36,,1352200.0
2005-06-02,24.43,25.28,23.94,25.28,,1035500.0
2005-06-03,25.54,26.02,25.38,25.41,,1007200.0
2005-06-06,25.35,25.49,24.63,24.89,,559600.0
2005-06-07,24.92,25.37,24.27,24.43,,793600.0
2005-06-08,24.6,24.69,23.63,24.03,,929400.0
2005-06-09,23.94,24.24,23.59,24.07,,690800.0
2005-06-10,24.24,24.43,24.11,24.22,,364600.0
2005-06-13,24.24,24.65,24.24,24.43,,480800.0
2005-06-14,24.53,25.75,24.53,25.48,,922500.0
2005-06-15,25.56,25.67,24.93,25.08,,1372100.0
2005-06-16,25.05,25.29,24.86,25.28,,899300.0
2005-06-17,25.28,26.03,25.28,26.03,,1480000.0
2005-06-20,25.93,25.96,25.59,25.74,,856700.0
2005-06-21,25.75,25.93,25.28,25.28,,512500.0
2005-06-22,25.21,25.62,25.03,25.53,,500300.0
2005-06-23,25.56,25.56,24.11,24.43,,840100.0
