time,open,high,low,close,Volume,volume
1999-11-01,17.25,17.25,16.27,16.27,,1829600.0
1999-11-02,16.38,17.15,16.12,16.43,,2753100.0
1999-11-03,16.54,17.04,16.22,17.0,,2566100.0
1999-11-04,17.2,17.56,16.74,16.84,,2068900.0
1999-11-05,17.0,17.15,16.48,16.54,,1870800.0
1999-11-08,16.74,16.95,16.12,16.68,,1568000.0
1999-11-09,16.68,16.74,16.33,16.54,,925400.0
1999-11-10,16.58,16.58,16.17,16.38,,1327000.0
1999-11-11,16.07,16.54,16.07,16.54,,1241000.0
1999-11-12,16.43,17.5,16.27,17.5,,2387400.0
1999-11-15,17.66,18.38,17.25,17.77,,3438800.0
1999-11-16,18.12,18.94,17.71,18.94,,2260500.0
1999-11-17,18.89,20.03,18.89,19.3,,2579400.0
1999-11-18,19.51,19.82,18.53,18.74,,1307300.0
1999-11-19,18.53,19.51,18.53,19.0,,1380100.0
1999-11-22,19.1,19.41,18.69,19.0,,1413500.0
1999-11-23,18.79,18.94,18.07,18.43,,1413000.0
1999-11-24,18.07,18.79,17.97,18.38,,1212700.0
1999-11-26,18.38,18.64,18.18,18.38,,593900.0
1999-11-29,18.37,18.74,18.28,18.69,,990500.0
1999-11-30,18.69,19.72,18.69,19.26,,1993400.0
1999-12-01,19.05,19.2,18.74,19.15,,1083800.0
1999-12-02,18.84,19.15,18.84,18.94,,1099500.0
1999-12-03,19.15,19.15,18.43,18.53,,1136400.0
1999-12-06,18.33,18.53,18.02,18.43,,1042500.0
1999-12-07,18.33,18.33,17.86,17.91,,1311900.0
1999-12-08,17.76,18.53,17.76,17.81,,1195600.0
1999-12-09,17.76,18.48,17.76,18.12,,1133000.0
1999-12-10,17.91,17.91,17.2,17.3,,1647200.0
1999-12-13,16.88,17.4,16.83,16.88,,1510600.0
1999-12-14,16.68,16.99,16.52,16.83,,1355700.0
1999-12-15,16.63,17.2,16.63,17.04,,1311200.0
1999-12-16,16.93,17.04,16.52,16.58,,1607100.0
1999-12-17,16.88,17.45,16.68,17.14,,2070000.0
1999-12-20,17.14,17.14,16.47,16.78,,1531900.0
1999-12-21,16.58,17.09,16.58,16.93,,1571900.0
1999-12-22,17.04,17.61,16.78,17.04,,1440300.0
1999-12-23,17.2,17.61,17.2,17.25,,2249400.0
1999-12-27,17.4,17.61,16.88,17.04,,2483800.0
1999-12-28,17.04,18.12,16.78,18.12,,2279900.0
1999-12-29,18.23,18.79,18.23,18.43,,1822800.0
1999-12-30,18.64,19.2,18.48,19.05,,1561200.0
1999-12-31,19.26,19.4,18.53,18.53,,853000.0
2000-01-03,18.94,19.31,18.84,19.31,,1810300.0
2000-01-04,19.05,19.05,17.91,18.07,,1153400.0
2000-01-05,18.17,18.33,17.71,17.96,,1309500.0
2000-01-06,18.23,19.97,18.17,19.56,,2030600.0
2000-01-07,19.72,19.97,19.15,19.35,,1195700.0
2000-01-10,21.0,21.31,19.77,19.77,,2476300.0
2000-01-11,20.8,23.06,20.59,22.19,,5369300.0
2000-01-12,22.6,22.6,21.0,21.36,,2052200.0
2000-01-13,21.41,21.98,21.11,21.73,,1131500.0
2000-01-14,22.24,22.24,21.46,21.73,,1055400.0
2000-01-18,21.67,22.24,21.36,22.08,,1328700.0
2000-01-19,21.93,22.14,21.41,21.57,,889100.0
2000-01-20,21.46,21.52,20.8,20.8,,1538800.0
2000-01-21,21.36,21.36,20.59,20.7,,1622000.0
2000-01-24,20.7,20.9,20.43,20.49,,799200.0
2000-01-25,18.12,18.74,17.5,18.12,,4931900.0
2000-01-26,18.07,18.12,17.61,17.86,,1739800.0
2000-01-27,18.02,18.07,16.58,17.2,,3096400.0
2000-01-28,17.25,17.25,16.58,16.58,,1084000.0
2000-01-31,16.52,17.25,16.47,16.93,,952200.0
2000-02-01,17.2,17.34,16.88,17.2,,1244000.0
2000-02-02,17.2,17.45,16.78,16.78,,1533300.0
2000-02-03,17.09,17.25,16.78,16.93,,1375500.0
2000-02-04,16.88,17.2,16.83,16.88,,550300.0
2000-02-07,16.88,17.04,16.68,16.73,,574200.0
2000-02-08,17.04,17.45,16.78,16.78,,973700.0
2000-02-09,16.83,16.93,16.68,16.78,,918900.0
2000-02-10,16.88,16.88,15.6,15.76,,2522800.0
2000-02-11,16.01,16.01,15.49,15.55,,3993600.0
2000-02-14,15.39,15.8,15.34,15.6,,622200.0
2000-02-15,15.55,15.6,15.08,15.34,,1196700.0
2000-02-16,15.7,16.63,15.65,16.47,,1167600.0
2000-02-17,16.47,16.88,16.17,16.47,,1381000.0
2000-02-18,16.68,16.83,16.27,16.42,,985800.0
2000-02-22,16.22,16.37,15.76,16.27,,762000.0
2000-02-23,16.17,16.27,15.76,15.76,,840300.0
2000-02-24,15.76,16.17,15.34,16.06,,1044700.0
2000-02-25,16.01,16.06,15.7,15.9,,846300.0
2000-02-28,15.7,16.11,15.49,15.95,,881000.0
2000-02-29,16.11,16.27,15.85,16.01,,1212200.0
2000-03-01,16.01,16.27,15.75,16.11,,697900.0
2000-03-02,15.8,16.01,15.44,15.65,,775500.0
2000-03-03,15.7,16.27,15.49,15.9,,1147600.0
2000-03-06,16.22,16.27,15.9,16.01,,511600.0
2000-03-07,15.8,15.95,15.28,15.33,,793900.0
2000-03-08,15.28,15.54,15.18,15.28,,619300.0
2000-03-09,15.28,15.95,15.08,15.75,,1004900.0
2000-03-10,15.95,16.11,15.28,15.39,,787300.0
2000-03-13,15.18,15.6,15.08,15.6,,888300.0
2000-03-14,15.6,15.6,15.08,15.08,,1026600.0
2000-03-15,15.08,16.01,15.03,15.8,,1523300.0
2000-03-16,16.01,16.42,15.8,16.32,,1730400.0
2000-03-17,16.32,16.32,15.7,15.8,,1296200.0
2000-03-20,15.8,16.11,15.75,15.9,,1082800.0
