time,open,high,low,close,Volume,volume
1999-11-01,6.28,6.28,6.14,6.14,,469900.0
1999-11-02,6.14,6.14,6.03,6.07,,1372800.0
1999-11-03,6.1,6.21,6.1,6.21,,948100.0
1999-11-04,6.21,6.32,6.14,6.18,,609400.0
1999-11-05,6.18,6.25,6.1,6.21,,1077800.0
1999-11-08,6.21,6.5,6.18,6.39,,612700.0
1999-11-09,6.39,6.42,6.0,6.18,,2768800.0
1999-11-10,6.14,6.14,6.0,6.1,,1718200.0
1999-11-11,6.1,6.18,6.0,6.0,,411400.0
1999-11-12,6.0,6.14,6.0,6.07,,743100.0
1999-11-15,6.07,6.07,6.0,6.03,,368500.0
1999-11-16,6.03,6.14,6.0,6.03,,784100.0
1999-11-17,6.09,6.09,5.91,5.98,,509000.0
1999-11-18,5.98,6.02,5.76,5.94,,1103800.0
1999-11-19,5.94,6.02,5.84,5.94,,602200.0
1999-11-22,5.91,5.91,5.76,5.84,,1231300.0
1999-11-23,5.8,5.8,5.73,5.76,,1217100.0
1999-11-24,5.76,5.94,5.73,5.84,,1335800.0
1999-11-26,5.84,5.87,5.8,5.84,,386700.0
1999-11-29,5.84,5.87,5.73,5.84,,1114800.0
1999-11-30,5.84,5.84,5.76,5.8,,1528900.0
1999-12-01,5.8,5.84,5.8,5.8,,1023700.0
1999-12-02,5.8,5.84,5.8,5.84,,768600.0
1999-12-03,5.84,5.87,5.8,5.8,,2642700.0
1999-12-06,5.8,5.84,5.76,5.76,,689400.0
1999-12-07,5.76,5.76,5.62,5.66,,1150300.0
1999-12-08,5.66,5.73,5.59,5.66,,767700.0
1999-12-09,5.66,5.69,5.51,5.59,,830900.0
1999-12-10,5.59,5.66,5.55,5.55,,764600.0
1999-12-13,5.62,5.76,5.62,5.73,,586300.0
1999-12-14,5.76,5.84,5.76,5.84,,1459700.0
1999-12-15,6.19,6.41,6.19,6.41,,1469500.0
1999-12-16,6.41,6.52,6.3,6.34,,1648800.0
1999-12-17,6.34,6.41,6.27,6.3,,843900.0
1999-12-20,6.3,6.34,6.23,6.27,,782300.0
1999-12-21,6.27,6.3,6.27,6.3,,1231700.0
1999-12-22,6.3,6.41,6.27,6.27,,1193600.0
1999-12-23,6.27,6.37,6.27,6.37,,465000.0
1999-12-27,6.37,6.37,6.3,6.34,,418900.0
1999-12-28,6.34,6.34,6.27,6.3,,653100.0
1999-12-29,6.3,6.37,6.3,6.3,,1108400.0
1999-12-30,6.3,6.37,6.3,6.34,,319600.0
1999-12-31,6.34,6.37,6.3,6.34,,127800.0
2000-01-03,6.34,6.34,6.19,6.19,,678400.0
2000-01-04,6.19,6.23,5.98,6.02,,563300.0
2000-01-05,6.02,6.02,5.84,5.91,,639400.0
2000-01-06,5.91,5.98,5.91,5.91,,1071400.0
2000-01-07,6.02,6.09,6.02,6.05,,1392100.0
2000-01-10,6.05,6.09,6.02,6.05,,482100.0
2000-01-11,6.05,6.16,6.05,6.12,,828200.0
2000-01-12,6.12,6.16,6.09,6.09,,859700.0
2000-01-13,6.12,6.27,6.12,6.19,,473900.0
2000-01-14,6.19,6.23,6.12,6.12,,369700.0
2000-01-18,6.09,6.09,5.98,5.98,,401400.0
2000-01-19,5.98,6.27,5.98,6.09,,573000.0
2000-01-20,6.09,6.09,6.02,6.02,,516400.0
2000-01-21,6.02,6.12,6.02,6.05,,980700.0
2000-01-24,6.05,6.09,5.98,5.98,,830500.0
2000-01-25,5.98,6.02,5.8,5.84,,1289300.0
2000-01-26,5.8,5.8,5.55,5.55,,1037300.0
2000-01-27,5.55,5.66,5.48,5.62,,937900.0
2000-01-28,5.59,5.59,5.48,5.48,,795000.0
2000-01-31,5.48,5.48,5.41,5.41,,901400.0
2000-02-01,5.41,5.62,5.41,5.59,,752300.0
2000-02-02,5.59,5.62,5.55,5.59,,477600.0
2000-02-03,5.59,5.73,5.55,5.62,,660100.0
2000-02-04,5.62,5.62,5.59,5.59,,1054000.0
2000-02-07,5.59,5.66,5.59,5.62,,380400.0
2000-02-08,5.62,5.76,5.62,5.69,,598500.0
2000-02-09,5.69,5.69,5.62,5.62,,950700.0
2000-02-10,5.62,5.66,5.41,5.51,,970900.0
