time,open,high,low,close,Volume,volume
2000-04-05,6.53,7.1,6.45,6.98,,68703000.0
2000-04-06,6.93,7.15,6.87,7.01,,15301000.0
2000-04-07,6.93,7.01,6.82,6.9,,13486200.0
2000-04-10,6.96,6.98,6.87,6.9,,5637200.0
2000-04-11,6.9,6.93,6.78,6.82,,5425900.0
2000-04-12,6.87,7.55,6.82,7.29,,10846600.0
2000-04-13,7.32,7.77,7.18,7.66,,10626100.0
2000-04-14,7.63,7.66,7.12,7.15,,9500300.0
2000-04-17,7.21,7.41,7.21,7.27,,3522200.0
2000-04-18,7.29,7.35,6.98,7.27,,5422400.0
2000-04-19,7.29,7.29,7.1,7.21,,5348800.0
2000-04-20,7.1,7.18,6.93,6.98,,6912000.0
2000-04-24,6.98,7.21,6.96,7.18,,3114800.0
2000-04-25,7.18,7.29,7.15,7.21,,7407400.0
2000-04-26,7.18,7.23,7.15,7.23,,5941700.0
2000-04-27,7.18,7.21,6.98,7.18,,2484900.0
2000-04-28,7.18,7.6,6.93,7.46,,6218800.0
2000-05-01,7.72,8.11,7.6,8.11,,5887100.0
2000-05-02,7.94,8.08,7.83,8.02,,3132600.0
2000-05-03,8.0,8.02,7.77,7.88,,1981800.0
2000-05-04,7.83,7.88,7.29,7.88,,3429800.0
2000-05-05,7.77,8.02,7.69,7.91,,1821500.0
2000-05-08,8.05,8.36,8.02,8.11,,2897500.0
2000-05-09,8.19,8.28,7.55,7.74,,4234300.0
2000-05-10,7.66,8.02,7.66,7.91,,3283500.0
2000-05-11,7.94,8.25,7.83,8.11,,2997400.0
2000-05-12,8.17,8.36,8.14,8.31,,1927200.0
2000-05-15,8.56,8.67,8.39,8.53,,2696800.0
2000-05-16,8.56,8.81,8.47,8.59,,4982700.0
2000-05-17,8.59,8.87,8.28,8.59,,1577200.0
2000-05-18,8.56,8.62,8.42,8.53,,2858600.0
2000-05-19,8.33,8.62,8.08,8.19,,3832600.0
2000-05-22,8.22,8.62,7.83,8.22,,1712700.0
2000-05-23,8.22,8.56,8.22,8.51,,2093900.0
2000-05-24,8.51,8.78,8.39,8.73,,1573100.0
2000-05-25,8.7,8.73,8.45,8.64,,1732700.0
2000-05-26,8.62,8.92,8.53,8.9,,2644600.0
2000-05-30,8.98,9.07,8.78,8.96,,3229000.0
2000-05-31,8.96,9.24,8.73,9.24,,3549600.0
2000-06-01,9.21,9.24,8.98,9.01,,2878400.0
2000-06-02,9.46,9.49,9.18,9.46,,3446100.0
2000-06-05,9.24,9.41,9.18,9.26,,2376300.0
2000-06-06,9.41,9.41,9.18,9.21,,2953900.0
2000-06-07,9.24,9.32,9.15,9.32,,922400.0
2000-06-08,9.26,9.29,9.12,9.21,,965300.0
2000-06-09,9.24,9.46,9.24,9.46,,1196800.0
2000-06-12,9.35,9.37,8.87,9.21,,1072600.0
2000-06-13,9.32,9.37,9.1,9.37,,974900.0
2000-06-14,9.26,9.29,8.92,9.01,,2310400.0
2000-06-15,9.01,9.12,8.96,9.01,,2504400.0
2000-06-16,9.1,9.12,8.9,9.04,,3202100.0
2000-06-19,9.01,9.07,8.9,9.01,,1275500.0
2000-06-20,8.96,9.04,8.36,8.47,,2922100.0
2000-06-21,8.47,8.62,8.17,8.33,,2443500.0
2000-06-22,8.42,8.78,8.33,8.64,,1963300.0
2000-06-23,8.56,8.78,8.45,8.7,,2161600.0
2000-06-26,9.01,9.07,8.62,8.64,,1691700.0
2000-06-27,8.76,9.24,8.64,8.96,,2042300.0
2000-06-28,9.12,9.21,8.73,8.84,,3522900.0
2000-06-29,8.96,9.71,8.84,9.6,,4914700.0
2000-06-30,9.8,9.88,8.56,9.49,,4415400.0
2000-07-03,9.35,9.69,9.32,9.63,,822000.0
2000-07-05,9.57,9.57,9.24,9.52,,2048000.0
2000-07-06,9.29,9.91,9.26,9.86,,1572300.0
2000-07-07,9.8,9.94,9.77,9.86,,1490500.0
2000-07-10,9.8,9.86,9.66,9.66,,822700.0
2000-07-11,9.6,9.63,9.24,9.37,,1453500.0
2000-07-12,9.35,9.41,9.04,9.21,,1984300.0
2000-07-13,9.21,9.21,8.92,8.92,,1893400.0
2000-07-14,8.92,9.52,8.92,9.41,,1291500.0
2000-07-17,9.35,9.35,9.1,9.15,,558300.0
2000-07-18,9.04,9.21,9.04,9.18,,2396300.0
2000-07-19,9.21,9.37,9.07,9.21,,1351900.0
2000-07-20,9.26,9.55,9.26,9.26,,2199800.0
2000-07-21,9.35,9.46,9.26,9.35,,793500.0
2000-07-24,9.15,9.24,9.01,9.24,,766500.0
2000-07-25,9.18,9.55,9.12,9.46,,1307300.0
2000-07-26,9.46,9.57,9.32,9.37,,1239700.0
2000-07-27,9.37,9.57,9.21,9.21,,1393200.0
2000-07-28,9.04,9.21,9.01,9.15,,812800.0
2000-07-31,9.24,9.52,9.1,9.46,,2433200.0
2000-08-01,9.43,9.57,9.35,9.52,,2038800.0
2000-08-02,9.46,9.52,9.32,9.41,,1364300.0
2000-08-03,9.41,9.43,8.92,9.12,,3358100.0
2000-08-04,9.07,9.15,8.73,9.15,,4205200.0
2000-08-07,9.32,10.08,9.29,10.08,,3796400.0
2000-08-08,10.76,10.98,10.47,10.5,,10165000.0
2000-08-09,10.47,10.7,10.19,10.28,,3494400.0
2000-08-10,10.36,10.81,10.25,10.81,,4341200.0
2000-08-11,10.81,10.92,10.56,10.81,,2278400.0
2000-08-14,10.81,10.87,10.36,10.36,,1313700.0
2000-08-15,10.78,10.84,10.61,10.73,,1556700.0
2000-08-16,10.78,10.81,10.45,10.59,,808500.0
2000-08-17,10.76,10.87,10.59,10.78,,939400.0
2000-08-18,10.61,10.84,10.59,10.73,,1061700.0
2000-08-21,10.73,10.84,10.59,10.7,,918600.0
2000-08-22,10.76,10.9,10.53,10.81,,1839100.0
2000-08-23,10.7,11.26,10.67,11.21,,1360600.0
2000-08-24,11.21,11.32,10.87,10.92,,1484000.0
2000-08-25,10.95,10.95,10.61,10.65,,720600.0
2000-08-28,10.65,10.7,10.59,10.59,,908800.0
2000-08-29,10.65,10.92,10.59,10.92,,1240200.0
2000-08-30,10.81,11.21,10.78,11.18,,1845700.0
2000-08-31,11.18,11.24,10.9,10.95,,1176800.0
2000-09-01,11.04,11.35,10.81,11.21,,1658600.0
2000-09-05,10.98,11.24,10.7,10.92,,1913700.0
2000-09-06,11.04,11.15,11.01,11.04,,1245000.0
2000-09-07,11.15,11.24,10.98,11.1,,1393900.0
2000-09-08,11.12,11.4,11.06,11.29,,428000.0
2000-09-11,11.37,11.46,10.92,11.18,,1526700.0
2000-09-12,11.24,11.24,10.76,11.1,,1965600.0
2000-09-13,11.1,11.69,10.92,11.49,,2426700.0
2000-09-14,11.37,11.37,11.06,11.26,,1826800.0
2000-09-15,11.24,11.26,11.01,11.06,,924600.0
2000-09-18,11.15,11.18,10.81,10.92,,1357300.0
2000-09-19,10.98,11.24,10.73,11.12,,1371100.0
2000-09-20,11.18,11.26,10.53,10.92,,2080100.0
2000-09-21,10.9,10.9,10.67,10.84,,1942200.0
2000-09-22,10.76,11.24,10.7,11.15,,944000.0
2000-09-25,11.46,11.57,11.06,11.06,,2317500.0
2000-09-26,11.21,11.43,11.15,11.4,,1278900.0
2000-09-27,11.51,12.05,11.26,11.88,,3770600.0
2000-09-28,11.94,12.45,11.88,12.25,,1946400.0
2000-09-29,12.16,12.33,11.8,11.83,,1419700.0
2000-10-02,11.49,12.05,11.32,11.88,,1665800.0
2000-10-03,11.88,11.97,11.49,11.49,,1185400.0
2000-10-04,11.55,11.57,11.15,11.21,,1486200.0
2000-10-05,11.12,11.91,11.1,11.8,,2225600.0
2000-10-06,12.02,12.05,11.26,11.8,,1450500.0
2000-10-09,11.77,11.94,11.6,11.71,,454200.0
2000-10-10,11.66,11.74,11.35,11.55,,982700.0
2000-10-11,11.51,11.69,11.35,11.37,,1349300.0
2000-10-12,11.49,11.51,10.87,10.9,,2150100.0
2000-10-13,10.98,11.26,10.95,11.26,,1727700.0
2000-10-16,11.43,11.71,11.21,11.43,,1232100.0
2000-10-17,11.49,11.71,11.46,11.6,,682900.0
2000-10-18,11.49,11.6,10.98,11.6,,3042700.0
2000-10-19,11.55,11.71,11.18,11.21,,2009100.0
2000-10-20,11.15,11.29,10.81,10.87,,1304600.0
2000-10-23,10.81,10.9,10.53,10.7,,2005900.0
2000-10-24,10.65,11.15,10.61,11.04,,1337200.0
2000-10-25,11.01,11.69,10.98,11.15,,1445900.0
2000-10-26,11.26,11.4,10.81,10.92,,1601400.0
2000-10-27,11.04,11.26,11.04,11.18,,1075000.0
2000-10-30,11.26,12.28,11.26,12.0,,2772100.0
2000-10-31,12.16,12.56,11.91,12.45,,2858200.0
2000-11-01,12.36,13.06,12.36,12.84,,2488000.0
2000-11-02,12.67,13.06,12.28,12.45,,3142600.0
2000-11-03,12.48,12.57,11.92,11.97,,5610500.0
2000-11-06,11.75,12.0,11.72,11.83,,1684700.0
2000-11-07,11.83,12.68,11.8,12.31,,2926100.0
2000-11-08,12.37,13.02,12.34,12.65,,1257100.0
2000-11-09,12.71,13.53,12.71,13.48,,2056900.0
2000-11-10,13.39,13.79,13.22,13.56,,2031900.0
2000-11-13,13.45,13.45,12.85,12.94,,2210900.0
2000-11-14,13.0,13.34,12.74,12.8,,1921800.0
2000-11-15,12.71,13.73,12.71,13.56,,4237400.0
2000-11-16,13.56,13.93,13.42,13.93,,2688500.0
2000-11-17,13.93,14.04,13.56,13.59,,1733700.0
2000-11-20,13.59,13.59,12.94,13.19,,1267600.0
2000-11-21,12.94,13.02,12.71,12.77,,877800.0
2000-11-22,12.6,12.74,11.97,12.17,,1773400.0
2000-11-24,12.28,12.68,12.26,12.68,,664000.0
2000-11-27,12.8,13.22,12.8,12.96,,1196200.0
2000-11-28,12.88,13.16,12.71,12.74,,1754300.0
2000-11-29,12.74,12.88,12.51,12.65,,1235700.0
2000-11-30,13.7,13.84,13.39,13.45,,9824900.0
2000-12-01,13.9,13.9,13.36,13.53,,5835700.0
2000-12-04,13.96,14.47,13.7,14.44,,6479600.0
2000-12-05,14.64,14.7,14.1,14.58,,6049500.0
2000-12-06,14.5,15.12,14.41,15.07,,7143900.0
2000-12-07,15.23,15.72,15.18,15.61,,11347800.0
2000-12-08,15.32,16.57,14.64,16.57,,73241700.0
2000-12-11,16.12,16.14,15.57,16.0,,17450500.0
2000-12-12,15.69,15.97,15.55,15.8,,5533800.0
2000-12-13,15.8,15.83,15.21,15.29,,4741900.0
2000-12-14,15.12,15.61,15.04,15.43,,3748200.0
2000-12-15,15.66,15.95,15.43,15.89,,6061600.0
2000-12-18,15.55,16.2,15.55,15.95,,2461600.0
2000-12-19,15.72,15.89,15.23,15.38,,3937400.0
2000-12-20,15.43,15.52,15.12,15.18,,2902600.0
2000-12-21,14.58,15.09,14.58,14.92,,4000500.0
2000-12-22,14.98,15.41,14.84,15.41,,2074300.0
2000-12-26,15.43,15.57,15.21,15.38,,1682600.0
2000-12-27,15.38,15.66,15.35,15.55,,1158000.0
2000-12-28,15.72,16.09,15.69,15.95,,1104700.0
2000-12-29,16.17,16.29,15.89,15.89,,756200.0
2001-01-02,15.91,15.95,15.35,15.43,,2480700.0
2001-01-03,15.55,16.63,15.55,15.83,,3331700.0
2001-01-04,15.83,15.89,14.24,14.81,,5055000.0
2001-01-05,15.15,15.21,14.21,14.33,,3128900.0
2001-01-08,14.33,15.09,14.33,14.92,,2393800.0
2001-01-09,15.21,15.61,15.15,15.38,,3362300.0
2001-01-10,15.32,15.35,14.92,15.12,,2641200.0
2001-01-11,15.38,15.38,14.67,14.75,,3531100.0
2001-01-12,14.78,14.84,13.82,14.07,,3452000.0
2001-01-16,13.73,14.41,13.73,14.04,,2684100.0
2001-01-17,14.16,14.3,14.07,14.16,,1569100.0
2001-01-18,14.33,14.72,13.96,14.33,,2140600.0
2001-01-19,14.33,14.38,13.98,14.1,,2227800.0
2001-01-22,14.36,14.98,14.24,14.89,,10052100.0
2001-01-23,14.98,15.18,14.67,14.95,,1430400.0
2001-01-24,15.09,15.41,14.89,15.29,,1208600.0
2001-01-25,15.41,15.43,14.92,15.12,,1225900.0
2001-01-26,15.21,15.23,14.72,14.92,,1512000.0
2001-01-29,14.92,15.21,14.85,15.06,,1426800.0
2001-01-30,14.87,15.34,14.78,15.2,,889600.0
2001-01-31,15.16,15.16,14.84,14.9,,2622000.0
2001-02-01,14.91,15.21,14.9,15.21,,1688500.0
2001-02-02,15.32,15.36,14.98,15.16,,1646700.0
2001-02-05,15.27,15.32,14.89,15.32,,973700.0
2001-02-06,15.32,15.32,14.52,14.84,,1147500.0
2001-02-07,14.84,15.29,14.84,15.24,,900300.0
2001-02-08,15.02,15.13,14.66,14.75,,935500.0
2001-02-09,14.98,15.02,14.52,14.73,,1714800.0
2001-02-12,14.62,15.09,14.3,15.03,,1648300.0
2001-02-13,14.98,15.25,14.62,14.67,,1687400.0
2001-02-14,14.89,14.98,14.66,14.75,,1120100.0
2001-02-15,14.57,14.68,14.21,14.3,,3350100.0
2001-02-16,14.39,14.83,14.39,14.59,,2425600.0
2001-02-20,14.64,14.66,14.16,14.25,,1336800.0
2001-02-21,14.07,14.43,13.89,14.05,,1837600.0
2001-02-22,13.71,13.93,13.41,13.69,,3114500.0
2001-02-23,13.7,13.93,13.43,13.77,,1335500.0
2001-02-26,14.12,14.25,13.84,14.08,,2185400.0
2001-02-27,14.19,14.36,13.8,14.04,,1665400.0
2001-02-28,14.15,14.18,13.82,14.0,,920300.0
2001-03-01,13.98,14.11,13.84,14.07,,1008300.0
2001-03-02,14.05,14.57,13.87,14.45,,1194400.0
2001-03-05,14.45,14.62,14.16,14.5,,1066000.0
2001-03-06,14.5,14.55,14.21,14.35,,1213300.0
2001-03-07,14.43,14.55,14.3,14.46,,918300.0
2001-03-08,14.5,14.68,14.43,14.6,,610200.0
2001-03-09,14.6,14.73,14.34,14.72,,1432600.0
2001-03-12,14.93,14.93,13.93,14.0,,2225400.0
2001-03-13,14.07,14.39,13.89,14.38,,1325000.0
2001-03-14,12.82,13.39,12.77,13.05,,5852500.0
2001-03-15,13.23,13.25,13.04,13.16,,2615200.0
2001-03-16,13.1,13.16,12.89,12.89,,2674600.0
2001-03-19,12.87,12.87,12.53,12.61,,1579500.0
2001-03-20,12.71,12.75,12.26,12.35,,2388100.0
2001-03-21,12.32,12.69,12.28,12.56,,1764700.0
2001-03-22,12.48,12.48,11.57,11.82,,3433000.0
2001-03-23,11.98,12.48,11.94,12.48,,2317600.0
2001-03-26,12.6,12.71,12.26,12.57,,2332000.0
2001-03-27,12.46,12.73,12.37,12.65,,1063300.0
2001-03-28,12.71,12.94,12.6,12.73,,1463500.0
2001-03-29,12.71,13.39,12.64,12.9,,1539700.0
2001-03-30,13.12,13.65,13.03,13.64,,1804700.0
2001-04-02,13.57,13.85,13.41,13.75,,2257300.0
2001-04-03,13.78,13.78,13.05,13.33,,1790800.0
2001-04-04,13.22,13.43,13.1,13.24,,1305100.0
2001-04-05,13.28,13.62,13.21,13.62,,1958200.0
2001-04-06,13.5,13.58,13.12,13.47,,2251300.0
2001-04-09,13.47,13.6,13.28,13.59,,832900.0
2001-04-10,13.62,13.62,13.39,13.59,,2326100.0
2001-04-11,13.55,13.55,13.01,13.21,,2054900.0
2001-04-12,13.32,13.57,13.19,13.55,,3211400.0
2001-04-16,13.55,13.73,13.49,13.73,,1133300.0
2001-04-17,13.66,14.02,13.56,13.68,,885200.0
2001-04-18,13.93,14.05,13.55,13.62,,1173400.0
2001-04-19,13.53,13.71,13.45,13.45,,1462800.0
2001-04-20,13.45,13.62,13.05,13.19,,1922000.0
2001-04-23,13.3,13.39,12.91,13.12,,1196300.0
2001-04-24,13.12,13.23,12.8,12.94,,1028100.0
2001-04-25,12.94,13.05,12.82,12.98,,1682800.0
2001-04-26,13.14,13.39,13.04,13.11,,1986500.0
2001-04-27,13.12,13.27,13.05,13.2,,697300.0
2001-04-30,13.21,13.44,12.91,13.16,,952800.0
2001-05-01,13.12,13.39,12.96,13.39,,862900.0
2001-05-02,13.39,13.48,12.88,13.18,,1379400.0
2001-05-03,13.05,13.16,12.89,13.14,,984700.0
2001-05-04,12.96,13.44,12.94,13.44,,1365100.0
2001-05-07,13.41,13.47,13.15,13.27,,1533100.0
2001-05-08,13.27,13.53,12.94,12.98,,2670400.0
2001-05-09,12.98,13.14,12.91,13.12,,1929700.0
2001-05-10,13.19,13.21,12.94,13.09,,1806700.0
2001-05-11,13.16,13.25,13.02,13.15,,1051300.0
2001-05-14,13.21,13.34,13.03,13.34,,973100.0
2001-05-15,13.46,13.71,13.35,13.64,,1405700.0
2001-05-16,13.96,14.13,13.93,14.03,,2274300.0
2001-05-17,14.06,14.35,13.84,14.18,,3594300.0
2001-05-18,14.21,14.21,14.0,14.19,,1200400.0
2001-05-21,14.16,14.19,13.89,14.07,,1829200.0
2001-05-22,14.03,14.03,13.73,13.8,,3041500.0
2001-05-23,13.96,14.0,13.73,14.0,,1181400.0
2001-05-24,14.03,14.27,13.91,14.16,,1298100.0
2001-05-25,14.16,14.48,14.12,14.25,,1319200.0
2001-05-29,14.3,14.48,14.0,14.28,,3679100.0
2001-05-30,14.34,14.48,14.2,14.27,,849200.0
2001-05-31,14.3,14.59,14.3,14.46,,2011400.0
2001-06-01,14.28,14.47,14.2,14.44,,765500.0
2001-06-04,14.44,14.56,14.39,14.54,,991000.0
2001-06-05,14.62,14.76,14.48,14.7,,1391500.0
2001-06-06,14.7,14.7,14.43,14.51,,1085900.0
2001-06-07,14.52,14.64,14.32,14.32,,3325400.0
2001-06-08,14.3,14.32,14.18,14.29,,469600.0
2001-06-11,14.3,14.36,14.14,14.14,,919000.0
2001-06-12,14.27,14.27,13.84,13.97,,2334700.0
2001-06-13,13.96,14.03,13.81,13.95,,1190300.0
2001-06-14,13.93,13.96,13.58,13.59,,1135600.0
2001-06-15,13.48,13.65,13.45,13.57,,2780700.0
2001-06-18,13.62,13.82,13.49,13.66,,1162500.0
2001-06-19,13.73,13.91,13.68,13.78,,812600.0
2001-06-20,13.75,14.11,13.73,14.07,,1155100.0
2001-06-21,14.06,14.18,13.93,14.16,,979900.0
2001-06-22,14.12,14.14,13.8,13.87,,937300.0
2001-06-25,14.0,14.13,13.69,13.84,,725500.0
2001-06-26,13.8,14.1,13.58,13.92,,1785900.0
2001-06-27,13.89,14.02,13.79,13.91,,1856500.0
2001-06-28,14.03,14.05,13.75,13.82,,1378400.0
2001-06-29,13.8,14.06,13.57,14.06,,1850100.0
2001-07-02,13.96,14.43,13.87,14.32,,1065100.0
2001-07-03,14.28,14.36,14.18,14.34,,397400.0
2001-07-05,14.21,14.52,14.21,14.47,,1485600.0
2001-07-06,14.47,14.47,14.07,14.07,,920900.0
2001-07-09,14.18,14.3,14.07,14.17,,703300.0
2001-07-10,14.17,14.21,14.03,14.08,,2995500.0
2001-07-11,14.0,14.07,13.78,13.8,,1084400.0
2001-07-12,13.84,14.18,13.71,14.14,,737200.0
2001-07-13,14.07,14.34,14.07,14.18,,437300.0
2001-07-16,14.18,14.32,14.09,14.32,,5970100.0
2001-07-17,14.25,14.37,14.15,14.21,,1070400.0
2001-07-18,14.18,14.25,13.98,14.05,,1102300.0
2001-07-19,14.21,14.3,13.84,13.96,,1142500.0
2001-07-20,13.89,14.0,13.61,13.64,,1702100.0
2001-07-23,13.64,13.67,13.47,13.48,,1196200.0
2001-07-24,13.37,13.55,12.85,13.16,,2964500.0
2001-07-25,13.23,13.34,13.1,13.28,,1891000.0
2001-07-26,13.1,13.25,12.94,13.07,,1192500.0
2001-07-27,13.07,13.21,13.03,13.13,,1099500.0
2001-07-30,13.1,13.15,12.95,13.1,,1011600.0
2001-07-31,13.14,13.57,13.13,13.46,,1246200.0
2001-08-01,13.56,13.64,13.37,13.4,,905500.0
2001-08-02,13.44,13.5,13.34,13.37,,821100.0
2001-08-03,13.34,13.46,13.13,13.27,,1128800.0
2001-08-06,13.38,13.55,13.18,13.31,,1199100.0
2001-08-07,13.44,13.52,13.07,13.19,,1622500.0
2001-08-08,12.97,13.14,12.89,12.94,,3616300.0
2001-08-09,13.03,13.03,12.85,12.99,,1507500.0
2001-08-10,13.05,13.07,12.89,12.98,,962600.0
