time,open,high,low,close,Volume,volume
1999-11-01,4.73,4.78,4.71,4.71,,182600.0
1999-11-02,4.75,4.89,4.73,4.89,,454300.0
1999-11-03,4.93,5.03,4.89,4.97,,220800.0
1999-11-04,4.97,5.12,4.96,4.96,,79800.0
1999-11-05,5.0,5.07,5.0,5.04,,119500.0
1999-11-08,5.04,5.18,5.02,5.15,,187300.0
1999-11-09,5.21,5.21,5.04,5.07,,163100.0
1999-11-10,5.04,5.04,4.92,4.99,,78200.0
1999-11-11,5.0,5.0,4.96,4.96,,41400.0
1999-11-12,4.96,4.99,4.88,4.91,,93600.0
1999-11-15,4.88,4.89,4.83,4.87,,69200.0
1999-11-16,4.83,5.04,4.82,5.0,,61900.0
1999-11-17,4.98,5.06,4.91,5.03,,60900.0
1999-11-18,5.01,5.05,4.93,5.01,,49100.0
1999-11-19,5.0,5.0,4.91,4.98,,46400.0
1999-11-22,4.96,5.04,4.87,5.02,,79800.0
1999-11-23,5.02,5.03,4.9,4.92,,194600.0
1999-11-24,4.92,4.92,4.83,4.83,,155900.0
1999-11-26,4.84,4.84,4.78,4.8,,27000.0
1999-11-29,4.81,4.82,4.78,4.81,,94300.0
1999-11-30,4.82,4.87,4.79,4.83,,142900.0
1999-12-01,4.81,4.83,4.56,4.63,,253700.0
1999-12-02,4.64,4.84,4.63,4.81,,97800.0
1999-12-03,4.79,4.95,4.79,4.93,,82900.0
1999-12-06,4.89,4.89,4.77,4.79,,276700.0
1999-12-07,4.75,4.84,4.71,4.84,,136700.0
1999-12-08,4.8,4.81,4.65,4.68,,117200.0
1999-12-09,4.68,4.69,4.44,4.55,,136200.0
1999-12-10,4.56,4.63,4.55,4.62,,359900.0
1999-12-13,4.61,4.62,4.5,4.53,,43100.0
1999-12-14,4.49,4.51,4.46,4.48,,180100.0
1999-12-15,4.51,4.51,4.47,4.47,,189500.0
1999-12-16,4.45,4.48,4.38,4.42,,181000.0
1999-12-17,4.4,4.51,4.37,4.37,,259100.0
1999-12-20,4.37,4.44,4.31,4.32,,72400.0
1999-12-21,4.3,4.32,4.25,4.32,,84700.0
1999-12-22,4.33,4.42,4.27,4.38,,75100.0
1999-12-23,4.36,4.41,4.26,4.32,,81000.0
1999-12-27,4.3,4.38,4.29,4.37,,49000.0
1999-12-28,4.38,4.42,4.34,4.42,,40300.0
1999-12-29,4.38,4.4,4.3,4.4,,28600.0
1999-12-30,4.43,4.53,4.37,4.5,,76900.0
1999-12-31,4.5,4.55,4.5,4.51,,54400.0
2000-01-03,4.55,4.55,4.15,4.23,,208200.0
2000-01-04,4.22,4.3,4.18,4.29,,64900.0
2000-01-05,4.25,4.35,4.22,4.33,,114800.0
2000-01-06,4.29,4.31,4.14,4.27,,75400.0
2000-01-07,4.25,4.29,4.22,4.25,,40400.0
2000-01-10,4.22,4.22,4.05,4.06,,114100.0
2000-01-11,4.07,4.15,4.03,4.03,,162100.0
2000-01-12,4.0,4.05,3.81,4.03,,206600.0
2000-01-13,4.07,4.3,4.07,4.13,,259900.0
2000-01-14,4.15,4.26,4.15,4.17,,248800.0
2000-01-18,4.17,4.19,3.94,3.94,,255100.0
2000-01-19,3.94,3.97,3.75,3.86,,240100.0
2000-01-20,3.85,3.86,3.79,3.81,,110900.0
2000-01-21,3.85,3.86,3.72,3.79,,133700.0
2000-01-24,3.77,3.8,3.61,3.66,,209700.0
2000-01-25,3.68,3.73,3.6,3.65,,204100.0
2000-01-26,3.68,3.92,3.68,3.73,,411800.0
2000-01-27,3.85,3.98,3.82,3.85,,194800.0
2000-01-28,3.83,3.94,3.75,3.92,,184500.0
2000-01-31,3.9,4.05,3.9,4.01,,119900.0
2000-02-01,4.02,4.02,3.86,3.97,,106600.0
2000-02-02,3.94,3.95,3.68,3.75,,156700.0
2000-02-03,3.83,3.98,3.81,3.94,,272600.0
2000-02-04,4.0,4.17,3.94,4.13,,260400.0
2000-02-07,4.1,4.1,3.96,4.01,,154400.0
2000-02-08,4.0,4.15,4.0,4.09,,124300.0
2000-02-09,4.06,4.1,4.05,4.1,,97400.0
2000-02-10,4.1,4.17,4.09,4.11,,140300.0
2000-02-11,4.13,4.19,4.1,4.11,,205900.0
2000-02-14,4.1,4.12,4.08,4.1,,106200.0
2000-02-15,4.09,4.25,4.09,4.25,,190400.0
2000-02-16,4.22,4.22,4.15,4.17,,181300.0
2000-02-17,4.16,4.19,4.13,4.14,,106000.0
2000-02-18,4.11,4.19,4.11,4.17,,386200.0
2000-02-22,4.09,4.19,4.09,4.16,,62100.0
2000-02-23,4.16,4.25,4.15,4.25,,119500.0
2000-02-24,4.18,4.18,3.99,4.03,,159200.0
2000-02-25,3.99,4.02,3.97,3.99,,44100.0
2000-02-28,3.98,4.05,3.87,4.01,,94700.0
2000-02-29,4.03,4.15,3.99,4.15,,150100.0
2000-03-01,4.13,4.16,4.06,4.16,,117600.0
2000-03-02,4.14,4.16,4.03,4.05,,142000.0
2000-03-03,4.06,4.09,3.99,4.01,,56300.0
2000-03-06,3.97,3.98,3.83,3.9,,99200.0
2000-03-07,3.91,3.91,3.78,3.88,,156200.0
2000-03-08,3.85,4.02,3.77,3.98,,129600.0
2000-03-09,3.97,4.05,3.97,4.05,,69000.0
2000-03-10,4.03,4.08,4.0,4.01,,141600.0
2000-03-13,3.99,3.99,3.86,3.89,,180800.0
2000-03-14,3.94,4.05,3.89,3.97,,438500.0
2000-03-15,3.97,4.6,3.92,4.59,,524000.0
2000-03-16,4.53,4.7,4.45,4.68,,762400.0
2000-03-17,4.51,4.7,4.3,4.58,,405400.0
2000-03-20,4.58,4.77,4.58,4.61,,307200.0
2000-03-21,4.6,4.89,4.58,4.81,,337400.0
2000-03-22,4.81,4.95,4.81,4.84,,333700.0
2000-03-23,4.84,4.84,4.62,4.69,,111700.0
2000-03-24,4.67,4.67,4.47,4.51,,241800.0
2000-03-27,4.55,4.57,4.37,4.41,,174400.0
2000-03-28,4.43,4.5,4.4,4.47,,419000.0
2000-03-29,4.48,4.72,4.48,4.69,,371900.0
2000-03-30,4.65,4.81,4.65,4.77,,248400.0
2000-03-31,4.8,4.92,4.79,4.92,,408000.0
2000-04-03,4.92,4.92,4.67,4.73,,555900.0
2000-04-04,4.73,4.77,4.58,4.77,,652800.0
2000-04-05,4.82,5.11,4.82,4.91,,256700.0
2000-04-06,4.94,5.13,4.92,5.09,,244600.0
2000-04-07,5.08,5.18,5.04,5.17,,151200.0
2000-04-10,5.13,5.16,5.06,5.06,,109600.0
2000-04-11,5.08,5.17,5.03,5.16,,107100.0
2000-04-12,5.14,5.4,5.14,5.36,,164100.0
2000-04-13,5.57,5.58,5.44,5.49,,330300.0
2000-04-14,5.38,5.38,5.15,5.16,,167100.0
2000-04-17,5.13,5.29,4.96,5.29,,201800.0
2000-04-18,5.29,5.29,4.99,5.03,,176300.0
2000-04-19,5.03,5.06,4.99,5.02,,137400.0
2000-04-20,5.03,5.08,4.98,5.06,,160700.0
2000-04-24,5.06,5.15,4.99,5.0,,56700.0
