time,open,high,low,close,Volume,volume
1999-11-01,9.66,9.94,9.66,9.9,,512000.0
1999-11-02,10.69,10.79,10.32,10.69,,960600.0
1999-11-03,10.69,11.25,10.65,10.88,,776200.0
1999-11-04,11.07,11.07,10.59,10.65,,197500.0
1999-11-05,10.65,10.79,10.36,10.41,,254300.0
1999-11-08,10.41,10.59,10.13,10.22,,196400.0
1999-11-09,10.32,10.41,10.13,10.27,,441800.0
1999-11-10,10.27,10.36,9.57,10.13,,247100.0
1999-11-11,9.84,10.92,9.84,10.88,,645600.0
1999-11-12,11.25,11.3,10.69,10.92,,959800.0
1999-11-15,10.97,11.07,10.79,10.92,,716600.0
1999-11-16,10.83,11.4,10.83,11.3,,511300.0
1999-11-17,11.25,12.38,11.25,11.77,,1234400.0
1999-11-18,11.96,12.09,11.82,12.05,,790700.0
1999-11-19,12.0,12.0,11.63,11.77,,493600.0
1999-11-22,11.58,12.09,11.58,12.05,,601800.0
1999-11-23,12.09,12.19,11.86,11.91,,572900.0
1999-11-24,12.0,12.05,11.77,12.0,,1092300.0
1999-11-26,11.96,12.0,11.86,12.0,,204300.0
1999-11-29,12.05,12.05,11.79,11.82,,720800.0
1999-11-30,11.86,12.24,11.82,12.09,,867200.0
1999-12-01,12.0,12.0,11.67,11.96,,726900.0
1999-12-02,11.86,11.96,11.72,11.91,,465900.0
1999-12-03,11.96,12.0,11.72,11.86,,847200.0
1999-12-06,11.91,12.0,11.82,11.96,,482100.0
1999-12-07,12.38,12.8,12.09,12.24,,1169500.0
1999-12-08,12.29,12.29,11.63,11.72,,290200.0
1999-12-09,12.0,12.05,11.16,11.44,,405200.0
1999-12-10,11.67,11.67,11.16,11.16,,687200.0
1999-12-13,11.07,11.96,11.07,11.72,,1187400.0
1999-12-14,11.72,12.09,11.72,11.96,,667500.0
1999-12-15,11.86,12.09,11.82,12.09,,386600.0
1999-12-16,11.91,12.71,11.72,12.52,,1034600.0
1999-12-17,12.52,12.52,11.72,11.96,,302600.0
1999-12-20,12.0,12.0,11.11,11.3,,588900.0
1999-12-21,11.21,11.63,11.21,11.3,,799700.0
1999-12-22,11.34,11.58,11.25,11.58,,223000.0
1999-12-23,11.54,11.77,11.54,11.63,,423500.0
1999-12-27,11.54,11.91,11.49,11.72,,282900.0
1999-12-28,11.72,11.77,11.44,11.67,,387700.0
1999-12-29,11.63,12.61,11.63,12.29,,246200.0
1999-12-30,12.33,12.47,12.05,12.38,,452800.0
1999-12-31,12.33,12.52,12.19,12.29,,312800.0
2000-01-03,12.75,12.8,12.38,12.57,,816800.0
2000-01-04,12.29,12.47,12.15,12.29,,484600.0
2000-01-05,12.29,12.9,12.24,12.75,,703600.0
2000-01-06,12.94,13.36,12.75,12.94,,871300.0
2000-01-07,13.13,13.46,13.04,13.13,,890200.0
2000-01-10,13.32,14.11,13.32,13.97,,900900.0
