time,open,high,low,close,Volume,volume
2011-06-23,12.82,13.16,12.31,13.16,,2548771.0
2011-06-24,13.07,13.21,12.43,12.57,,837700.0
2011-06-27,12.38,12.8,12.34,12.7,,447600.0
2011-06-28,12.93,13.49,12.72,13.05,,2075900.0
2011-06-29,13.16,13.82,13.05,13.52,,1847600.0
2011-06-30,13.72,14.17,13.55,13.97,,1512800.0
2011-07-01,13.9,16.0,13.83,14.24,,4167100.0
2011-07-05,14.24,14.51,14.05,14.24,,5911500.0
2011-07-06,14.03,14.25,13.83,14.13,,5491500.0
2011-07-07,14.23,14.59,14.07,14.09,,8353800.0
2011-07-08,13.76,14.37,13.67,13.97,,8208500.0
2011-07-11,13.76,13.76,13.33,13.53,,4747600.0
2011-07-12,13.45,13.83,13.3,13.66,,4005600.0
2011-07-13,13.67,13.91,13.24,13.48,,5821400.0
2011-07-14,13.48,13.5,12.89,13.03,,5764200.0
2011-07-15,13.16,13.31,12.85,13.21,,4969200.0
2011-07-18,13.06,13.35,12.73,13.2,,4155800.0
2011-07-19,13.24,13.47,13.2,13.41,,3211500.0
2011-07-20,13.42,13.47,13.29,13.33,,2724500.0
2011-07-21,13.33,13.57,13.19,13.53,,3624600.0
2011-07-22,13.59,13.77,13.46,13.69,,3322800.0
2011-07-25,13.91,14.21,13.71,13.96,,4449300.0
2011-07-26,13.96,14.75,13.92,14.52,,5662100.0
2011-07-27,14.51,14.61,14.16,14.19,,3499200.0
2011-07-28,14.31,14.48,14.23,14.43,,3327300.0
2011-07-29,14.29,15.05,14.16,14.77,,5354800.0
2011-08-01,15.19,15.31,14.84,15.17,,5759200.0
2011-08-02,15.02,15.15,14.25,14.28,,5497800.0
2011-08-03,14.6,15.31,13.16,13.98,,6706900.0
2011-08-04,13.73,13.73,12.56,12.96,,7688900.0
2011-08-05,13.13,13.23,11.28,12.59,,6174300.0
2011-08-08,11.89,12.14,9.94,10.91,,8271500.0
2011-08-09,11.16,12.28,10.94,12.18,,6027100.0
2011-08-10,11.99,12.43,11.51,11.85,,4841300.0
2011-08-11,12.11,13.02,11.95,12.6,,4378200.0
2011-08-12,12.68,13.2,12.45,12.62,,2953400.0
2011-08-15,12.85,13.44,12.85,13.26,,2682700.0
2011-08-16,13.01,13.37,12.92,13.18,,3266200.0
2011-08-17,13.44,13.55,13.16,13.26,,2813800.0
2011-08-18,12.92,13.06,12.01,12.41,,3750700.0
2011-08-19,12.13,12.43,11.74,11.86,,4939300.0
2011-08-22,12.14,12.21,10.97,11.04,,5387000.0
2011-08-23,11.06,11.77,10.87,11.61,,5180000.0
2011-08-24,11.66,12.22,11.43,12.15,,3361700.0
2011-08-25,12.27,12.51,11.5,11.66,,3188000.0
2011-08-26,11.66,12.46,11.55,11.82,,2940200.0
2011-08-29,11.96,12.33,11.88,12.21,,2087500.0
2011-08-30,12.17,12.33,11.78,12.22,,2192600.0
2011-08-31,12.38,12.7,12.38,12.57,,2865500.0
2011-09-01,12.69,12.96,12.51,12.55,,2257700.0
2011-09-02,12.15,12.54,11.91,12.01,,1797100.0
2011-09-06,11.61,12.0,11.29,11.87,,2861700.0
2011-09-07,12.06,12.52,11.95,12.3,,2606100.0
2011-09-08,12.26,12.93,12.06,12.79,,2043300.0
2011-09-09,12.42,12.81,12.18,12.32,,2944500.0
2011-09-12,12.25,12.5,11.83,12.43,,1959600.0
2011-09-13,12.34,12.42,11.68,11.98,,3573500.0
2011-09-14,11.95,11.97,11.68,11.88,,3820300.0
2011-09-15,12.17,12.53,11.94,12.01,,3040700.0
2011-09-16,12.05,12.09,11.82,11.9,,3597700.0
2011-09-19,11.59,11.72,11.22,11.38,,2548100.0
2011-09-20,11.38,11.61,11.36,11.42,,1929600.0
2011-09-21,11.31,11.68,10.96,10.99,,2006500.0
2011-09-22,10.56,10.65,9.78,9.99,,5536800.0
2011-09-23,9.89,10.28,9.85,10.01,,3384000.0
2011-09-26,10.14,10.29,10.0,10.21,,3985500.0
2011-09-27,10.45,10.79,10.07,10.11,,4706200.0
2011-09-28,10.16,10.39,9.81,9.83,,4422200.0
2011-09-29,10.06,10.12,8.93,9.44,,5258400.0
2011-09-30,9.28,9.47,9.1,9.17,,4813400.0
2011-10-03,9.12,9.43,9.02,9.21,,4324100.0
2011-10-04,9.09,9.77,9.04,9.75,,5100000.0
2011-10-05,9.86,10.78,9.67,10.67,,5231900.0
2011-10-06,10.69,11.31,10.54,11.29,,3989200.0
2011-10-07,11.43,11.52,10.6,10.71,,4266400.0
2011-10-10,10.94,11.35,10.88,11.18,,2502600.0
2011-10-11,11.08,11.4,11.0,11.24,,3307500.0
2011-10-12,11.33,11.57,11.28,11.38,,3772100.0
2011-10-13,11.3,11.49,11.13,11.45,,3170600.0
2011-10-14,11.67,12.27,11.65,12.25,,3369800.0
2011-10-17,12.22,12.37,11.82,11.85,,2358800.0
2011-10-18,11.78,12.39,11.59,12.27,,2266800.0
2011-10-19,12.27,12.57,12.02,12.07,,3016900.0
2011-10-20,12.07,12.43,11.97,12.37,,2337700.0
2011-10-21,12.51,12.78,12.38,12.66,,3218100.0
2011-10-24,12.73,13.04,12.05,12.16,,3287100.0
2011-10-25,11.75,11.75,10.65,11.18,,9275300.0
2011-10-26,11.47,11.85,11.26,11.78,,3738500.0
2011-10-27,11.96,12.79,11.96,12.66,,3862100.0
2011-10-28,12.61,12.76,12.29,12.65,,3630000.0
2011-10-31,12.55,12.55,12.01,12.17,,3290600.0
2011-11-01,12.04,12.92,11.63,12.21,,6594300.0
2011-11-02,12.51,13.03,12.46,13.0,,4585700.0
2011-11-03,13.22,13.41,12.92,13.11,,3901300.0
2011-11-04,12.95,13.13,12.71,13.09,,2828800.0
2011-11-07,12.93,13.24,12.93,13.2,,2055500.0
2011-11-08,13.23,13.37,12.79,12.92,,2509600.0
2011-11-09,12.55,13.22,12.39,12.55,,3487000.0
2011-11-10,12.78,12.85,12.21,12.78,,3460400.0
2011-11-11,12.98,13.28,12.76,12.81,,4018600.0
2011-11-14,12.78,12.85,12.07,12.53,,4073200.0
2011-11-15,12.46,12.74,12.37,12.62,,2806900.0
2011-11-16,11.86,11.97,10.99,11.14,,12384700.0
2011-11-17,11.17,11.38,10.66,10.79,,7821000.0
2011-11-18,10.87,11.25,10.79,11.2,,3167900.0
2011-11-21,11.04,11.37,10.68,11.21,,3282300.0
2011-11-22,11.3,11.45,11.0,11.44,,3047800.0
2011-11-23,11.26,11.41,11.09,11.21,,4120100.0
2011-11-25,11.14,11.17,10.99,11.02,,1366100.0
2011-11-28,11.48,11.67,11.15,11.36,,3815500.0
2011-11-29,11.44,11.47,11.19,11.32,,3813700.0
2011-11-30,11.64,11.79,11.08,11.4,,6158700.0
2011-12-01,11.58,11.72,11.39,11.59,,2998600.0
2011-12-02,11.75,11.87,11.31,11.37,,3735600.0
2011-12-05,11.62,12.1,11.56,11.74,,4556100.0
2011-12-06,11.8,11.87,11.61,11.82,,2965300.0
2011-12-07,11.76,11.81,11.54,11.78,,4015700.0
2011-12-08,11.72,11.8,11.43,11.61,,4937400.0
2011-12-09,11.62,11.92,11.54,11.91,,3189300.0
2011-12-12,11.75,11.81,11.57,11.81,,5458200.0
2011-12-13,11.64,11.91,11.42,11.59,,3691700.0
2011-12-14,11.49,11.55,10.93,11.16,,3501900.0
2011-12-15,11.27,11.36,11.04,11.1,,1747900.0
2011-12-16,11.21,11.35,10.85,10.91,,4228400.0
2011-12-19,10.92,11.2,10.83,10.9,,3137300.0
2011-12-20,11.15,11.25,10.86,10.99,,3145500.0
2011-12-21,10.94,11.21,10.92,11.15,,2154400.0
2011-12-22,11.24,11.4,11.15,11.37,,1846500.0
2011-12-23,11.37,11.46,11.34,11.45,,920500.0
