time,open,high,low,close,Volume,volume
1999-11-01,28.75,29.04,28.4,28.48,,26630600.0
1999-11-02,28.6,29.14,28.35,28.54,,23174500.0
1999-11-03,28.66,28.83,28.21,28.37,,22258500.0
1999-11-04,28.46,28.6,27.85,28.29,,27119700.0
1999-11-05,28.31,28.63,27.9,28.23,,35083700.0
1999-11-08,26.15,27.98,26.01,27.73,,121909600.0
1999-11-09,27.67,27.71,26.65,27.4,,54884900.0
1999-11-10,27.17,27.48,26.65,26.86,,34692700.0
1999-11-11,27.21,27.89,27.21,27.63,,34637300.0
1999-11-12,27.67,27.75,26.84,27.5,,24707100.0
1999-11-15,27.21,27.29,26.81,26.83,,23540200.0
1999-11-16,26.81,27.06,26.48,26.92,,29582600.0
1999-11-17,26.65,26.84,26.21,26.21,,33409500.0
1999-11-18,26.19,26.46,26.05,26.19,,32246600.0
1999-11-19,26.04,26.69,26.01,26.52,,29113000.0
1999-11-22,27.63,27.86,27.27,27.69,,45298300.0
1999-11-23,27.52,28.17,27.25,27.63,,35393700.0
1999-11-24,27.61,28.44,27.6,28.27,,26885500.0
1999-11-26,28.25,28.79,28.06,28.1,,14257100.0
1999-11-29,27.79,28.39,27.6,27.81,,25730100.0
1999-11-30,27.67,28.63,27.61,28.07,,32072800.0
1999-12-01,28.08,28.96,28.02,28.73,,24432100.0
1999-12-02,28.69,29.37,28.63,29.23,,27736900.0
1999-12-03,29.54,29.95,29.52,29.64,,32050300.0
1999-12-06,29.37,29.97,29.21,29.43,,24549100.0
1999-12-07,29.21,29.25,28.63,28.68,,28429600.0
1999-12-08,28.71,29.08,28.27,28.29,,20477900.0
1999-12-09,28.37,28.77,28.19,28.6,,23129100.0
1999-12-10,28.79,29.02,28.44,28.94,,18418000.0
1999-12-13,28.86,29.89,28.6,29.79,,26345800.0
1999-12-14,29.66,31.18,29.39,30.43,,72058100.0
1999-12-15,30.39,33.53,30.37,33.44,,77785800.0
1999-12-16,33.69,35.46,33.59,35.05,,64330100.0
1999-12-17,35.96,36.11,35.03,35.54,,52949400.0
1999-12-20,35.4,35.46,34.28,34.76,,19716900.0
1999-12-21,34.65,35.96,34.11,35.73,,28723000.0
1999-12-22,35.86,36.38,35.5,36.25,,19282600.0
1999-12-23,36.15,36.77,36.0,36.21,,15514200.0
1999-12-27,36.52,36.77,35.8,36.73,,16101100.0
1999-12-28,36.61,36.63,36.09,36.23,,12295500.0
1999-12-29,36.06,36.5,36.02,36.36,,8724600.0
1999-12-30,36.34,36.98,36.11,36.27,,11180000.0
1999-12-31,36.23,36.31,35.84,36.0,,6258800.0
2000-01-03,36.19,36.57,34.53,35.94,,26614200.0
2000-01-04,35.01,36.11,34.61,34.72,,27059500.0
2000-01-05,34.26,35.88,33.72,35.09,,32029800.0
2000-01-06,34.59,35.11,33.41,33.92,,27488300.0
2000-01-07,33.49,34.61,33.09,34.36,,31006800.0
2000-01-10,34.98,35.05,34.34,34.61,,22481800.0
2000-01-11,34.38,35.23,33.51,33.72,,23371800.0
2000-01-12,33.45,33.57,32.2,32.62,,33266200.0
2000-01-13,32.18,33.49,31.3,33.24,,41572000.0
2000-01-14,33.05,35.13,32.61,34.61,,36708200.0
2000-01-18,34.47,35.92,34.46,35.55,,40741800.0
2000-01-19,34.07,34.38,32.68,32.99,,48784100.0
2000-01-20,33.01,33.82,32.64,32.68,,28174900.0
2000-01-21,32.99,33.07,31.84,31.99,,34208100.0
2000-01-24,32.01,32.59,31.08,31.22,,31798800.0
2000-01-25,31.14,32.03,30.7,31.7,,29911600.0
2000-01-26,31.59,31.91,30.56,30.64,,24682500.0
2000-01-27,30.8,31.2,29.99,30.45,,31827400.0
2000-01-28,30.25,30.91,29.99,30.29,,29112700.0
2000-01-31,30.1,30.28,29.25,30.18,,36597100.0
2000-02-01,30.37,31.84,30.12,31.74,,35098300.0
2000-02-02,31.59,32.05,30.99,31.08,,24957800.0
2000-02-03,31.47,32.13,30.87,31.95,,24593000.0
2000-02-04,32.18,33.3,32.11,32.86,,27682700.0
2000-02-07,32.93,32.95,32.14,32.87,,20002900.0
2000-02-08,32.82,33.92,32.82,33.9,,28114500.0
2000-02-09,33.74,33.74,32.03,32.07,,27545000.0
2000-02-10,32.03,32.86,31.6,32.68,,27263900.0
2000-02-11,32.33,32.33,30.56,30.81,,57779500.0
2000-02-14,31.21,31.37,30.54,30.72,,40514300.0
2000-02-15,30.76,30.83,30.25,30.39,,35513800.0
2000-02-16,30.6,30.89,29.95,30.1,,32601300.0
2000-02-17,30.37,30.74,29.95,30.72,,40171700.0
2000-02-18,30.83,30.85,29.25,29.31,,39531500.0
2000-02-22,29.33,29.95,28.62,28.92,,33148100.0
2000-02-23,28.83,29.52,28.39,29.06,,37923600.0
2000-02-24,29.06,29.56,28.37,29.21,,34866600.0
2000-02-25,29.2,29.2,27.9,28.15,,32650700.0
2000-02-28,27.83,28.4,27.17,28.23,,38065900.0
2000-02-29,28.29,28.29,27.4,27.56,,29218700.0
2000-03-01,27.63,29.01,27.42,28.0,,53444900.0
2000-03-02,28.31,29.41,28.1,28.79,,53466300.0
2000-03-03,29.21,30.48,28.94,29.64,,50717600.0
2000-03-06,29.6,30.02,27.79,27.94,,46804700.0
2000-03-07,29.64,30.06,28.35,28.63,,67530500.0
2000-03-08,28.92,29.66,28.06,29.46,,47145000.0
2000-03-09,29.39,30.83,29.29,30.83,,44099400.0
2000-03-10,30.7,31.6,30.68,31.14,,42794500.0
2000-03-13,30.1,30.91,30.06,30.22,,30915900.0
2000-03-14,30.41,30.6,29.33,29.33,,36744600.0
2000-03-15,29.16,29.79,28.89,29.41,,26604000.0
2000-03-16,29.58,29.81,28.75,29.41,,38650400.0
2000-03-17,29.37,30.68,29.14,30.64,,40580800.0
2000-03-20,30.45,30.76,29.75,30.02,,23886500.0
2000-03-21,29.83,31.8,29.75,31.68,,40824400.0
2000-03-22,31.7,32.57,31.18,31.84,,46987900.0
2000-03-23,32.93,34.8,32.87,34.49,,74112000.0
2000-03-24,34.72,35.46,33.78,34.44,,56098400.0
2000-03-27,33.23,33.38,32.05,32.09,,55717000.0
2000-03-28,31.95,33.13,31.56,32.16,,40557200.0
2000-03-29,32.43,33.59,32.41,33.05,,32181900.0
2000-03-30,32.74,33.49,31.6,31.87,,32089200.0
2000-03-31,32.68,33.38,32.1,32.76,,32140700.0
2000-04-03,29.12,29.75,27.75,28.02,,130059100.0
2000-04-04,28.23,28.37,26.19,27.31,,90622200.0
2000-04-05,27.21,27.29,26.48,26.63,,41443800.0
2000-04-06,27.09,27.13,26.29,26.52,,33210700.0
2000-04-07,26.83,27.56,26.21,27.46,,41306800.0
2000-04-10,27.32,27.32,26.52,26.54,,30342700.0
2000-04-11,26.25,26.54,25.75,25.86,,35980900.0
2000-04-12,25.32,25.36,24.28,24.47,,76501900.0
2000-04-13,24.93,25.36,24.36,24.44,,47158100.0
2000-04-14,24.4,24.51,22.59,22.85,,75608900.0
2000-04-17,22.89,23.43,22.51,23.39,,59886100.0
2000-04-18,23.59,25.26,23.39,24.84,,45897300.0
2000-04-19,25.11,25.13,24.09,24.26,,26857700.0
2000-04-20,24.24,24.63,23.9,24.34,,26193700.0
2000-04-24,20.74,20.97,20.04,20.54,,156822900.0
2000-04-25,21.2,21.43,20.85,21.39,,79758700.0
2000-04-26,21.58,21.93,20.77,20.97,,53545600.0
2000-04-27,20.79,21.56,20.77,21.52,,38834900.0
2000-04-28,21.81,21.89,21.04,21.51,,39041300.0
2000-05-01,22.47,22.82,22.1,22.64,,53905500.0
2000-05-02,22.45,22.66,21.43,21.54,,48858100.0
2000-05-03,21.7,21.83,21.22,21.76,,27677400.0
2000-05-04,21.68,21.97,21.37,21.72,,21658600.0
2000-05-05,21.66,22.14,21.54,21.93,,18201100.0
2000-05-08,21.87,22.01,21.49,21.52,,18093800.0
2000-05-09,21.64,21.72,20.81,20.91,,30389200.0
2000-05-10,20.89,20.93,20.27,20.41,,33870000.0
2000-05-11,20.54,21.0,20.27,20.93,,29195400.0
2000-05-12,21.1,21.51,21.04,21.22,,18943000.0
2000-05-15,21.28,21.41,20.97,21.39,,16949800.0
2000-05-16,21.45,21.77,21.29,21.43,,24205300.0
2000-05-17,21.23,21.31,20.74,20.87,,26621000.0
2000-05-18,20.99,20.99,20.31,20.41,,26820200.0
2000-05-19,20.16,20.33,19.89,20.06,,33289000.0
2000-05-22,20.08,20.12,19.25,19.79,,34977500.0
2000-05-23,19.7,20.21,19.44,19.48,,28981600.0
2000-05-24,19.47,20.52,19.43,20.21,,42741200.0
2000-05-25,19.91,19.96,18.85,18.96,,47174400.0
