time,open,high,low,close,Volume,volume
1999-11-01,146.79,152.08,146.51,151.7,,10651667.0
1999-11-02,153.1,155.61,151.24,152.08,,9204300.0
1999-11-03,153.38,154.3,151.24,153.19,,6741933.0
1999-11-04,160.15,161.17,156.53,158.01,,10682233.0
1999-11-05,160.98,170.81,160.98,169.6,,12912200.0
1999-11-08,168.4,173.22,163.29,165.43,,9149000.0
1999-11-09,165.8,166.91,160.98,163.94,,6803533.0
1999-11-10,163.4,173.5,162.55,173.22,,7430267.0
1999-11-11,172.85,174.24,167.1,172.3,,6480600.0
1999-11-12,172.1,172.76,165.99,172.1,,9701067.0
1999-11-15,170.62,172.48,166.26,170.62,,6213900.0
1999-11-16,171.18,174.52,166.82,174.52,,8802033.0
1999-11-17,174.33,179.43,173.04,176.56,,11000967.0
1999-11-18,179.43,184.34,178.32,183.69,,7282333.0
1999-11-19,182.4,187.22,181.2,186.02,,6209000.0
1999-11-22,186.02,186.02,177.67,179.15,,6765967.0
1999-11-23,179.43,179.43,170.71,173.31,,7567233.0
1999-11-24,173.31,173.5,169.14,173.5,,6445600.0
1999-11-26,175.9,179.06,174.7,176.6,,2786700.0
1999-11-29,177.49,181.38,174.24,177.3,,5847333.0
1999-11-30,176.56,178.41,169.42,173.13,,5161333.0
1999-12-01,169.51,175.16,169.51,173.5,,5533267.0
1999-12-02,175.35,180.26,175.07,175.9,,6371633.0
1999-12-03,178.78,185.18,178.23,183.97,,7022167.0
1999-12-06,186.39,199.55,184.34,193.83,,9682867.0
1999-12-07,198.16,198.9,193.81,195.1,,6271533.0
1999-12-08,195.1,202.43,191.96,192.79,,9215967.0
1999-12-09,191.67,195.47,186.29,192.79,,8273067.0
1999-12-10,192.79,194.36,188.25,194.36,,6253567.0
1999-12-13,190.46,193.52,187.12,190.92,,4956933.0
1999-12-14,189.71,190.28,176.44,177.28,,8312733.0
1999-12-15,178.12,193.34,177.37,193.34,,11501700.0
1999-12-16,193.06,193.62,188.69,193.06,,6063400.0
1999-12-17,197.51,198.54,191.94,195.37,,9522333.0
1999-12-20,195.94,206.79,193.8,206.42,,6056167.0
1999-12-21,206.79,215.7,203.82,205.68,,9899633.0
1999-12-22,206.42,211.71,205.77,210.51,,5914767.0
1999-12-23,213.1,218.87,211.81,215.05,,6890567.0
1999-12-27,215.33,216.64,209.96,209.96,,4004000.0
1999-12-28,210.88,212.93,209.85,211.9,,3134600.0
1999-12-29,212.08,217.38,211.71,216.27,,3572800.0
1999-12-30,219.24,222.01,218.76,219.04,,2877000.0
1999-12-31,219.04,220.53,218.39,218.67,,1203533.0
2000-01-03,224.61,228.15,217.19,221.27,,7982567.0
2000-01-04,213.1,216.45,203.45,204.76,,9655800.0
2000-01-05,203.45,204.02,194.17,199.37,,10930733.0
2000-01-06,198.25,199.0,175.24,176.72,,11145867.0
2000-01-07,182.66,191.76,181.09,191.29,,15293133.0
2000-01-10,196.59,213.3,195.11,207.54,,11980733.0
2000-01-11,200.67,209.21,196.68,197.14,,8109733.0
2000-01-12,200.3,206.33,197.14,198.71,,8121167.0
2000-01-13,202.53,208.65,199.37,205.77,,5951400.0
2000-01-14,213.85,228.89,213.85,224.24,,12251400.0
2000-01-18,213.1,218.76,211.81,213.85,,16059167.0
2000-01-19,213.48,215.98,207.91,209.02,,8098067.0
2000-01-20,210.33,216.07,208.47,209.39,,8869233.0
2000-01-21,218.67,219.33,212.93,214.41,,7137667.0
2000-01-24,217.56,218.96,206.79,206.79,,6176800.0
2000-01-25,208.47,211.34,203.91,211.07,,7215600.0
2000-01-26,210.7,216.82,202.34,207.16,,7768833.0
2000-01-27,207.91,208.84,201.59,201.97,,8293367.0
2000-01-28,205.68,208.65,185.63,190.46,,11014967.0
2000-01-31,190.83,203.08,187.58,201.97,,9912467.0
2000-02-01,204.56,207.16,197.79,203.27,,8103667.0
2000-02-02,203.45,219.24,203.36,214.78,,9596067.0
2000-02-03,217.01,227.12,217.01,226.84,,10355333.0
2000-02-04,227.12,233.98,223.32,231.67,,10179867.0
2000-02-07,229.63,236.21,227.49,235.94,,4782400.0
2000-02-08,237.61,239.66,232.5,237.43,,7603633.0
2000-02-09,237.61,237.61,225.92,228.04,,7389900.0
2000-02-10,228.41,233.81,228.15,230.6,,7763233.0
2000-02-11,229.44,230.55,220.53,224.61,,7042000.0
2000-02-14,226.66,226.66,217.28,218.67,,7035000.0
2000-02-15,220.25,222.67,212.45,221.18,,8389733.0
2000-02-16,221.18,224.24,218.49,219.61,,5831233.0
2000-02-17,216.07,220.72,212.36,218.67,,7932167.0
2000-02-18,218.49,219.79,214.78,215.24,,5938800.0
2000-02-22,216.82,235.2,214.68,232.78,,9562467.0
2000-02-23,228.52,240.3,224.9,238.72,,9418033.0
2000-02-24,237.24,244.66,233.98,243.92,,10147200.0
2000-02-25,240.58,242.8,234.64,236.49,,6664467.0
2000-02-28,237.89,240.21,229.72,235.38,,6583267.0
2000-02-29,237.61,260.25,237.15,255.43,,13318433.0
2000-03-01,254.69,254.97,244.66,252.65,,8944600.0
2000-03-02,252.46,259.88,247.08,258.68,,9435767.0
2000-03-03,260.63,267.96,259.14,260.34,,7388267.0
2000-03-06,262.11,273.07,262.11,268.24,,6434400.0
2000-03-07,273.25,274.18,262.85,263.31,,8425667.0
2000-03-08,264.43,264.43,249.95,251.63,,12643167.0
2000-03-09,248.37,250.97,237.61,243.55,,10135300.0
2000-03-10,248.0,267.22,246.06,259.88,,19508767.0
2000-03-13,248.18,263.13,245.21,248.92,,11170367.0
2000-03-14,246.32,254.87,238.52,239.55,,10999800.0
2000-03-15,239.92,242.24,222.54,224.22,,13573233.0
2000-03-16,230.17,232.77,213.26,225.52,,15133767.0
2000-03-17,224.4,226.63,220.32,222.17,,13800733.0
2000-03-20,222.0,235.46,221.89,229.05,,11520133.0
2000-03-21,226.08,242.61,222.37,236.2,,10270867.0
2000-03-22,240.01,247.26,238.52,243.63,,9338467.0
2000-03-23,242.32,243.72,239.17,240.01,,7009567.0
2000-03-24,240.75,248.09,236.86,243.07,,7528267.0
2000-03-27,244.46,244.75,240.2,242.98,,5740233.0
2000-03-28,240.01,250.78,240.01,243.72,,9571800.0
2000-03-29,242.24,243.17,224.6,230.35,,12519733.0
2000-03-30,222.92,232.29,207.88,214.0,,15562633.0
2000-03-31,219.57,220.69,208.14,216.97,,13453067.0
2000-04-03,212.51,218.0,202.11,205.45,,11808067.0
2000-04-04,208.43,213.63,191.8,200.07,,19868100.0
2000-04-05,197.65,219.66,193.57,218.46,,17617833.0
2000-04-06,216.97,220.6,211.12,215.11,,8676733.0
2000-04-07,215.77,228.86,215.77,228.49,,8562400.0
2000-04-10,229.6,234.72,220.14,224.4,,12580167.0
2000-04-11,185.76,199.14,178.7,184.28,,58456767.0
2000-04-12,181.68,184.28,167.93,172.21,,30904300.0
