time,open,high,low,close,Volume,volume
1999-11-01,49.5,50.5,48.25,48.94,,250000.0
1999-11-02,48.62,49.69,47.94,49.06,,226000.0
1999-11-03,49.75,50.25,49.06,49.94,,269500.0
1999-11-04,49.94,50.16,49.25,49.69,,146000.0
1999-11-05,50.0,50.5,47.75,47.94,,241000.0
1999-11-08,48.41,48.41,46.62,47.25,,220500.0
1999-11-09,47.75,48.0,46.5,46.81,,135000.0
1999-11-10,46.5,47.25,43.66,47.12,,481000.0
1999-11-11,46.25,46.78,44.25,44.44,,202000.0
1999-11-12,45.06,45.06,39.81,41.31,,638000.0
1999-11-15,41.41,43.17,40.25,42.88,,400500.0
1999-11-16,44.5,48.78,44.38,46.62,,648000.0
1999-11-17,46.94,46.94,45.0,45.72,,254000.0
1999-11-18,45.98,48.0,45.91,47.88,,317000.0
1999-11-19,47.81,49.81,47.8,49.25,,202500.0
1999-11-22,48.8,51.94,46.25,50.88,,279000.0
1999-11-23,50.91,52.5,48.31,49.78,,255500.0
1999-11-24,48.75,56.12,48.75,54.66,,363000.0
1999-11-26,58.62,61.69,57.56,60.22,,183500.0
1999-11-29,69.62,72.16,61.5,67.88,,507500.0
1999-11-30,65.5,68.5,59.75,61.25,,268500.0
1999-12-01,62.06,65.0,57.69,63.03,,120000.0
1999-12-02,62.44,66.0,62.0,65.5,,81500.0
1999-12-03,67.12,73.81,66.34,73.0,,188500.0
1999-12-06,71.5,99.62,70.88,96.94,,720500.0
1999-12-07,90.06,97.5,89.0,89.58,,473000.0
1999-12-08,88.69,102.44,85.81,97.0,,494500.0
1999-12-09,100.5,109.97,96.0,107.31,,362000.0
1999-12-10,109.81,116.0,100.31,115.66,,272500.0
1999-12-13,115.53,117.3,106.56,113.0,,384500.0
1999-12-14,112.0,112.5,95.25,95.72,,507500.0
1999-12-15,90.19,93.44,79.5,85.95,,697000.0
1999-12-16,88.5,89.62,81.28,83.38,,212000.0
1999-12-17,87.88,93.38,86.0,86.97,,281500.0
1999-12-20,90.5,92.5,83.0,84.75,,135500.0
1999-12-21,84.66,89.5,83.0,89.0,,172000.0
1999-12-22,89.5,97.0,86.5,88.25,,164000.0
1999-12-23,88.72,93.94,85.5,87.5,,105000.0
1999-12-27,89.56,89.56,79.44,82.0,,155000.0
1999-12-28,80.38,100.0,78.0,98.75,,365500.0
1999-12-29,98.84,105.0,97.25,101.5,,241000.0
1999-12-30,104.22,105.25,96.75,102.0,,185000.0
1999-12-31,100.88,106.5,98.44,105.0,,105500.0
2000-01-03,115.5,115.5,97.91,104.25,,267500.0
2000-01-04,104.88,114.12,97.88,98.0,,437000.0
2000-01-05,99.5,105.88,89.78,104.25,,306500.0
2000-01-06,107.5,108.06,99.5,100.12,,228000.0
2000-01-07,102.47,108.5,98.62,105.19,,281500.0
2000-01-10,111.0,131.0,111.0,125.62,,418000.0
2000-01-11,125.69,128.0,116.0,119.25,,176500.0
2000-01-12,123.5,125.0,112.62,115.5,,173500.0
2000-01-13,116.5,116.59,109.0,113.5,,172500.0
2000-01-14,113.5,115.0,109.81,113.97,,92500.0
2000-01-18,122.12,125.0,117.5,120.69,,197000.0
2000-01-19,122.5,138.0,120.5,132.5,,372500.0
2000-01-20,135.0,150.0,134.75,143.91,,415000.0
2000-01-21,140.66,148.0,136.25,144.56,,259000.0
2000-01-24,146.75,157.0,138.97,141.5,,439500.0
2000-01-25,144.91,144.94,133.0,144.5,,244500.0
2000-01-26,146.75,155.0,144.0,147.5,,335500.0
2000-01-27,151.38,154.88,142.0,149.56,,168500.0
2000-01-28,138.63,156.0,136.13,155.0,,510000.0
2000-01-31,154.56,155.0,131.5,138.88,,554000.0
2000-02-01,138.19,138.19,124.0,132.75,,629000.0
2000-02-02,129.63,147.0,128.0,145.0,,384000.0
2000-02-03,148.0,151.0,144.13,149.0,,268000.0
2000-02-04,149.91,151.0,137.02,141.97,,164000.0
2000-02-07,142.23,146.0,135.06,141.13,,389000.0
2000-02-08,142.63,160.0,142.5,158.44,,701000.0
2000-02-09,161.5,161.88,151.0,157.31,,364000.0
2000-02-10,155.25,166.13,155.06,164.69,,433000.0
2000-02-11,163.88,168.44,158.25,167.88,,482000.0
2000-02-14,170.38,172.0,162.06,169.88,,444000.0
2000-02-15,168.0,174.94,162.06,171.75,,273000.0
2000-02-16,171.88,178.5,168.0,174.75,,269000.0
2000-02-17,178.0,178.5,167.63,172.5,,273000.0
2000-02-18,173.0,173.5,159.63,160.5,,555000.0
2000-02-22,155.63,156.13,140.0,150.56,,634000.0
2000-02-23,152.25,156.94,148.25,154.63,,368000.0
2000-02-24,155.0,157.88,147.5,157.5,,266000.0
2000-02-25,157.94,158.0,145.0,150.0,,584000.0
2000-02-28,147.31,151.5,145.63,150.0,,322000.0
2000-02-29,150.19,150.5,137.63,139.06,,652000.0
2000-03-01,134.5,194.0,134.0,176.94,,1122000.0
2000-03-02,175.5,181.75,165.0,180.06,,577000.0
2000-03-03,184.88,188.31,170.0,188.0,,452000.0
2000-03-06,187.94,225.0,187.94,225.0,,477000.0
2000-03-07,212.0,268.0,212.0,246.0,,866000.0
2000-03-08,249.5,261.0,223.0,243.88,,603000.0
2000-03-09,245.06,299.06,233.0,283.19,,487000.0
2000-03-10,280.0,333.0,280.0,313.0,,841000.0
2000-03-13,290.0,317.0,285.0,294.36,,577000.0
2000-03-14,294.06,319.13,283.0,292.0,,607000.0
2000-03-15,294.63,300.0,262.25,268.63,,631000.0
2000-03-16,267.63,267.63,215.0,248.63,,1272000.0
2000-03-17,234.0,243.5,214.25,226.75,,954000.0
2000-03-20,109.25,119.0,85.75,86.75,,17325000.0
2000-03-21,84.0,85.0,63.0,72.31,,7871000.0
2000-03-22,78.13,92.5,78.0,88.73,,7220000.0
2000-03-23,97.94,132.88,91.75,117.73,,14599000.0
2000-03-24,130.5,142.0,121.0,129.0,,7134000.0
