time,open,high,low,close,Volume,volume
1999-11-01,35.41,36.45,35.16,35.59,,5175400.0
1999-11-02,36.72,37.61,36.6,36.88,,6003600.0
1999-11-03,37.49,37.49,36.51,36.72,,4698400.0
1999-11-04,37.37,37.8,36.82,37.24,,5065400.0
1999-11-05,38.35,39.02,37.52,37.68,,5218100.0
1999-11-08,37.86,38.59,37.46,38.44,,3219300.0
1999-11-09,38.56,38.74,37.46,37.55,,2742000.0
1999-11-10,37.49,39.17,36.82,38.13,,5727400.0
1999-11-11,38.13,38.13,36.97,37.0,,5544900.0
1999-11-12,37.03,37.03,34.95,36.02,,5030200.0
1999-11-15,35.59,35.84,33.51,34.0,,4555100.0
1999-11-16,33.57,33.84,32.68,33.51,,6491800.0
1999-11-17,33.51,34.18,30.94,31.27,,9323600.0
1999-11-18,31.49,34.49,31.49,34.49,,8819000.0
1999-11-19,34.06,35.41,33.35,34.3,,7783700.0
1999-11-22,34.64,34.64,32.9,33.32,,4272600.0
1999-11-23,33.45,33.91,32.22,33.08,,4466300.0
1999-11-24,32.96,33.57,32.34,33.29,,3381000.0
1999-11-26,33.35,34.82,33.32,34.27,,2248700.0
1999-11-29,34.43,34.43,32.62,32.8,,3387100.0
1999-11-30,33.08,33.94,32.74,32.86,,4692000.0
1999-12-01,32.83,32.86,31.7,31.92,,6219900.0
1999-12-02,31.88,32.28,31.12,31.36,,5630300.0
1999-12-03,32.59,33.91,31.36,33.32,,8132800.0
1999-12-06,33.69,34.67,32.9,33.71,,4830600.0
1999-12-07,33.72,34.18,32.37,32.8,,4677800.0
1999-12-08,32.8,33.57,32.71,33.29,,4671100.0
1999-12-09,33.57,33.57,30.87,31.12,,6398000.0
1999-12-10,29.47,30.81,28.67,29.53,,10825400.0
1999-12-13,30.05,31.95,29.5,30.57,,6663600.0
1999-12-14,31.7,31.7,30.08,30.57,,5575500.0
1999-12-15,30.6,33.2,30.11,32.34,,7783400.0
1999-12-16,33.2,35.77,33.2,35.77,,9018300.0
1999-12-17,36.26,36.26,34.18,35.04,,6514400.0
1999-12-20,35.65,37.58,35.59,37.19,,5852300.0
