time,open,high,low,close,Volume,volume
1999-11-01,14.11,14.36,13.93,14.25,,762000.0
1999-11-02,14.25,14.25,14.0,14.03,,604800.0
1999-11-03,14.08,14.12,13.79,13.79,,1498200.0
1999-11-04,13.79,14.08,13.79,13.86,,527800.0
1999-11-05,13.86,13.93,13.61,13.64,,474400.0
1999-11-08,13.64,13.86,13.53,13.79,,629300.0
1999-11-09,14.08,14.12,13.68,13.82,,511000.0
1999-11-10,13.68,13.97,13.53,13.9,,626100.0
1999-11-11,13.75,13.93,13.64,13.82,,369500.0
1999-11-12,13.82,14.19,13.82,14.19,,451200.0
1999-11-15,14.19,14.23,13.93,14.12,,509100.0
1999-11-16,14.12,14.48,13.97,14.44,,529000.0
1999-11-17,14.37,14.44,13.5,13.97,,2812600.0
1999-11-18,13.9,13.93,13.39,13.82,,557700.0
1999-11-19,13.75,13.79,13.46,13.5,,417700.0
1999-11-22,13.5,13.53,13.03,13.03,,838800.0
1999-11-23,13.1,13.1,12.74,13.06,,668300.0
1999-11-24,12.95,12.95,12.59,12.7,,679100.0
1999-11-26,12.59,12.88,12.59,12.77,,158000.0
1999-11-29,12.77,12.81,12.51,12.51,,945800.0
1999-11-30,12.51,12.59,12.44,12.44,,1097400.0
1999-12-01,12.48,12.51,12.4,12.48,,780700.0
1999-12-02,12.48,12.51,12.3,12.3,,834500.0
1999-12-03,12.26,12.63,12.22,12.48,,1637600.0
1999-12-06,12.4,12.48,12.33,12.44,,708300.0
1999-12-07,12.44,12.51,12.22,12.4,,1382400.0
1999-12-08,12.44,12.63,12.19,12.3,,775700.0
1999-12-09,12.3,12.48,12.11,12.11,,1744400.0
1999-12-10,12.15,12.4,12.08,12.4,,1031700.0
1999-12-13,12.4,12.55,12.3,12.44,,2151000.0
1999-12-14,12.37,12.44,12.04,12.33,,769400.0
1999-12-15,12.26,12.44,12.04,12.3,,1212500.0
1999-12-16,12.22,12.4,12.15,12.33,,1614900.0
1999-12-17,12.33,13.39,12.26,13.03,,1415300.0
1999-12-20,13.1,13.1,12.22,12.56,,1092800.0
1999-12-21,12.22,12.26,11.5,11.86,,1199800.0
1999-12-22,11.72,11.75,11.43,11.5,,1750100.0
1999-12-23,11.46,12.01,11.46,11.9,,885300.0
1999-12-27,12.01,12.4,11.9,11.93,,739000.0
1999-12-28,12.01,12.26,11.93,12.01,,631600.0
1999-12-29,12.08,12.15,11.97,12.11,,415700.0
1999-12-30,11.97,12.08,11.86,12.04,,477700.0
1999-12-31,11.9,11.93,11.64,11.93,,367100.0
2000-01-03,11.79,11.86,11.57,11.72,,694200.0
2000-01-04,11.72,11.86,11.57,11.79,,859600.0
2000-01-05,11.86,11.86,11.53,11.57,,969300.0
2000-01-06,11.75,12.55,11.46,12.4,,1390700.0
