time,open,high,low,close,Volume,volume
1999-11-01,0.04,0.05,0.04,0.04,,1630300.0
1999-11-02,0.05,0.05,0.05,0.05,,1744800.0
1999-11-03,0.05,0.05,0.05,0.05,,4191000.0
1999-11-04,0.05,0.06,0.05,0.06,,2625700.0
1999-11-05,0.06,0.06,0.05,0.05,,1284100.0
1999-11-08,0.05,0.06,0.05,0.06,,979200.0
1999-11-09,0.06,0.06,0.05,0.05,,567400.0
1999-11-10,0.05,0.05,0.05,0.05,,300100.0
1999-11-11,0.05,0.06,0.05,0.06,,1172300.0
1999-11-12,0.06,0.06,0.06,0.06,,1044800.0
1999-11-15,0.06,0.06,0.06,0.06,,754600.0
1999-11-16,0.06,0.07,0.06,0.07,,1507900.0
1999-11-17,0.07,0.07,0.07,0.07,,1638300.0
1999-11-18,0.07,0.07,0.07,0.07,,491600.0
1999-11-19,0.08,0.08,0.08,0.08,,4510800.0
1999-11-22,0.08,0.08,0.08,0.08,,1125400.0
1999-11-23,0.07,0.08,0.07,0.08,,1152600.0
1999-11-24,0.08,0.08,0.07,0.07,,847600.0
1999-11-26,0.07,0.07,0.07,0.07,,149500.0
1999-11-29,0.07,0.07,0.07,0.07,,622100.0
1999-11-30,0.07,0.07,0.07,0.07,,655600.0
1999-12-01,0.07,0.07,0.07,0.07,,465700.0
1999-12-02,0.07,0.08,0.07,0.07,,645600.0
1999-12-03,0.08,0.08,0.07,0.07,,714100.0
1999-12-06,0.07,0.08,0.07,0.07,,372100.0
1999-12-07,0.08,0.08,0.07,0.07,,388300.0
1999-12-08,0.07,0.08,0.07,0.08,,420200.0
1999-12-09,0.08,0.08,0.07,0.07,,447800.0
1999-12-10,0.07,0.07,0.07,0.07,,204800.0
1999-12-13,0.07,0.07,0.07,0.07,,383000.0
1999-12-14,0.07,0.07,0.07,0.07,,570600.0
1999-12-15,0.07,0.07,0.07,0.07,,429100.0
1999-12-16,0.07,0.07,0.07,0.07,,276200.0
1999-12-17,0.07,0.07,0.07,0.07,,546000.0
1999-12-20,0.07,0.08,0.07,0.08,,838400.0
1999-12-21,0.08,0.08,0.07,0.08,,809100.0
1999-12-22,0.08,0.08,0.08,0.08,,523300.0
1999-12-23,0.08,0.09,0.08,0.09,,583800.0
1999-12-27,0.09,0.09,0.08,0.09,,421700.0
1999-12-28,0.09,0.09,0.08,0.09,,373300.0
1999-12-29,0.08,0.09,0.08,0.09,,275300.0
1999-12-30,0.09,0.09,0.09,0.09,,291200.0
1999-12-31,0.09,0.09,0.09,0.09,,265300.0
2000-01-03,0.09,0.09,0.09,0.09,,626900.0
2000-01-04,0.09,0.09,0.08,0.09,,626000.0
2000-01-05,0.08,0.09,0.08,0.08,,392400.0
2000-01-06,0.08,0.08,0.08,0.08,,251000.0
2000-01-07,0.08,0.08,0.08,0.08,,148300.0
2000-01-10,0.08,0.09,0.08,0.08,,499700.0
2000-01-11,0.08,0.08,0.08,0.08,,308600.0
2000-01-12,0.08,0.08,0.08,0.08,,257400.0
2000-01-13,0.08,0.08,0.08,0.08,,275400.0
2000-01-14,0.08,0.09,0.08,0.08,,1259500.0
2000-01-18,0.09,0.09,0.08,0.09,,545100.0
2000-01-19,0.09,0.09,0.09,0.09,,343100.0
2000-01-20,0.09,0.09,0.09,0.09,,374100.0
2000-01-21,0.09,0.09,0.08,0.09,,1133900.0
2000-01-24,0.09,0.09,0.08,0.08,,535300.0
2000-01-25,0.08,0.08,0.08,0.08,,494000.0
2000-01-26,0.08,0.08,0.08,0.08,,484300.0
2000-01-27,0.08,0.08,0.07,0.07,,954600.0
2000-01-28,0.07,0.07,0.07,0.07,,405100.0
2000-01-31,0.07,0.07,0.07,0.07,,380000.0
2000-02-01,0.07,0.07,0.07,0.07,,193700.0
2000-02-02,0.07,0.08,0.07,0.07,,310500.0
2000-02-03,0.08,0.08,0.08,0.08,,225500.0
2000-02-04,0.08,0.08,0.08,0.08,,257700.0
2000-02-07,0.08,0.08,0.07,0.07,,453100.0
2000-02-08,0.07,0.08,0.07,0.08,,976700.0
2000-02-09,0.08,0.08,0.08,0.08,,1227200.0
2000-02-10,0.08,0.1,0.08,0.09,,2021000.0
2000-02-11,0.1,0.1,0.09,0.1,,882900.0
2000-02-14,0.1,0.11,0.09,0.11,,1354400.0
2000-02-15,0.11,0.11,0.1,0.11,,938500.0
2000-02-16,0.11,0.12,0.11,0.11,,2124100.0
2000-02-17,0.11,0.12,0.11,0.12,,1116200.0
2000-02-18,0.11,0.13,0.11,0.13,,2001800.0
