time,open,high,low,close,Volume,volume
2010-08-06,11.77,12.75,11.76,12.68,,10678500.0
2010-08-09,12.68,12.68,12.41,12.68,,1819500.0
2010-08-10,12.47,12.53,12.3,12.32,,1579300.0
2010-08-11,12.0,12.12,11.28,11.55,,2588200.0
2010-08-12,11.1,11.33,10.96,11.22,,1780300.0
2010-08-13,11.09,11.35,10.73,10.87,,957600.0
2010-08-16,10.68,11.08,10.59,10.67,,551600.0
2010-08-17,10.74,11.14,10.64,11.07,,1086700.0
2010-08-18,10.94,11.41,10.87,10.87,,1010600.0
2010-08-19,10.82,10.96,10.24,10.46,,746000.0
2010-08-20,10.37,10.42,9.99,10.1,,450600.0
2010-08-23,10.22,10.42,9.47,9.94,,761800.0
2010-08-24,9.75,10.23,9.51,9.67,,746700.0
2010-08-25,9.51,10.08,9.27,9.74,,1112200.0
2010-08-26,9.91,10.1,9.78,9.96,,581400.0
2010-08-27,10.1,10.41,9.95,10.06,,370900.0
2010-08-30,9.97,10.21,9.97,10.05,,226900.0
2010-08-31,9.97,10.17,9.84,10.03,,236000.0
2010-09-01,10.03,10.82,9.75,10.62,,412800.0
2010-09-02,10.03,10.79,10.03,10.75,,98500.0
2010-09-03,10.78,11.16,10.49,10.77,,231400.0
2010-09-07,10.87,11.19,10.67,10.9,,468400.0
2010-09-08,10.41,11.03,10.34,11.01,,1483700.0
2010-09-09,11.06,11.43,10.42,10.78,,235600.0
2010-09-10,10.85,10.98,10.7,10.85,,362900.0
2010-09-13,10.95,11.09,10.72,10.81,,303900.0
2010-09-14,10.73,11.09,10.73,11.09,,250600.0
2010-09-15,11.34,11.7,11.19,11.29,,561100.0
2010-09-16,11.28,11.45,10.88,10.89,,323300.0
2010-09-17,10.88,11.09,10.71,10.94,,252300.0
2010-09-20,11.06,11.75,10.96,11.49,,404100.0
2010-09-21,11.42,11.64,11.19,11.33,,178800.0
2010-09-22,11.23,11.41,10.88,11.03,,184600.0
2010-09-23,10.87,11.31,10.77,10.87,,320800.0
2010-09-24,10.96,11.2,10.71,11.07,,146900.0
2010-09-27,11.02,11.22,10.89,11.09,,186600.0
2010-09-28,11.06,11.43,10.97,11.42,,168800.0
2010-09-29,11.44,11.67,11.31,11.37,,238500.0
2010-09-30,11.43,11.73,11.1,11.22,,196800.0
2010-10-01,11.29,11.57,11.1,11.19,,170500.0
2010-10-04,11.21,11.51,11.09,11.19,,140700.0
2010-10-05,11.26,11.49,11.07,11.19,,256900.0
2010-10-06,11.16,11.31,10.99,11.29,,90400.0
2010-10-07,11.32,11.32,10.51,10.73,,252800.0
2010-10-08,10.69,10.97,10.61,10.85,,251900.0
2010-10-11,10.82,11.0,10.79,10.91,,63700.0
2010-10-12,10.88,11.14,10.79,11.14,,59600.0
2010-10-13,11.15,11.17,10.89,10.93,,222000.0
2010-10-14,10.93,11.08,10.87,11.0,,223700.0
2010-10-15,11.19,11.19,10.74,10.81,,396200.0
2010-10-18,10.83,11.13,10.55,11.09,,53500.0
2010-10-19,10.92,11.09,10.88,10.97,,130100.0
2010-10-20,11.02,11.28,10.43,11.05,,124800.0
2010-10-21,10.97,11.23,10.97,11.09,,58800.0
2010-10-22,11.05,11.42,11.03,11.17,,94200.0
2010-10-25,11.05,11.4,11.05,11.2,,128300.0
2010-10-26,11.09,11.31,10.79,11.12,,186100.0
2010-10-27,11.12,11.59,11.12,11.57,,263800.0
2010-10-28,11.61,12.09,11.41,11.95,,409900.0
2010-10-29,11.92,12.2,11.67,11.95,,434600.0
2010-11-01,12.02,12.23,11.38,11.49,,432100.0
2010-11-02,11.68,12.16,11.29,12.02,,300900.0
2010-11-03,11.96,12.5,11.87,12.35,,359900.0
2010-11-04,12.44,12.68,12.25,12.65,,274600.0
2010-11-05,12.59,12.68,12.35,12.65,,175600.0
2010-11-08,12.68,12.68,12.33,12.47,,179900.0
2010-11-09,12.43,12.63,11.95,12.34,,269800.0
2010-11-10,12.32,12.43,11.82,12.06,,172300.0
2010-11-11,11.95,11.95,11.39,11.64,,317200.0
2010-11-12,11.49,11.85,11.45,11.61,,115700.0
2010-11-15,11.68,11.9,11.57,11.76,,51800.0
2010-11-16,11.53,12.01,11.44,11.63,,206500.0
2010-11-17,11.59,11.68,11.56,11.59,,67600.0
2010-11-18,11.77,11.77,11.42,11.68,,118700.0
2010-11-19,11.67,11.68,11.5,11.68,,74300.0
2010-11-22,11.64,12.06,11.63,11.76,,117700.0
2010-11-23,11.59,11.68,11.5,11.59,,440000.0
2010-11-24,11.67,11.71,11.32,11.47,,250000.0
2010-11-26,11.38,11.71,11.38,11.62,,348500.0
2010-11-29,11.6,11.87,11.41,11.53,,270100.0
2010-11-30,11.41,11.63,11.15,11.39,,288700.0
2010-12-01,11.54,12.19,11.41,12.01,,682100.0
2010-12-02,12.09,12.68,11.92,12.66,,273800.0
2010-12-03,12.66,15.65,12.48,14.62,,948600.0
2010-12-06,14.49,14.84,13.96,14.44,,489300.0
2010-12-07,14.49,14.88,14.25,14.83,,600800.0
2010-12-08,15.22,17.03,15.22,16.7,,1371000.0
2010-12-09,17.01,18.5,17.01,17.33,,1187500.0
2010-12-10,17.39,18.29,16.67,18.07,,457800.0
2010-12-13,18.11,18.11,16.8,17.08,,432800.0
2010-12-14,17.12,17.55,16.56,16.96,,689900.0
2010-12-15,16.94,17.21,16.38,16.6,,437000.0
2010-12-16,16.68,16.91,16.47,16.7,,447800.0
2010-12-17,16.76,16.92,16.3,16.4,,371100.0
2010-12-20,16.45,17.48,16.35,16.85,,446700.0
2010-12-21,17.08,18.11,16.85,17.43,,584100.0
2010-12-22,17.85,19.53,17.85,18.34,,1489000.0
2010-12-23,18.29,18.29,17.73,18.2,,466000.0
2010-12-27,18.11,18.37,17.84,18.29,,98500.0
2010-12-28,18.53,18.85,18.11,18.38,,137300.0
2010-12-29,18.68,18.76,18.48,18.76,,139000.0
2010-12-30,18.77,18.91,18.68,18.75,,76800.0
2010-12-31,18.66,19.11,18.49,18.96,,94400.0
2011-01-03,19.2,19.49,18.69,19.41,,256100.0
2011-01-04,19.83,20.6,19.17,19.93,,952100.0
2011-01-05,19.81,21.37,19.64,21.17,,846400.0
2011-01-06,21.49,21.56,20.61,21.05,,453100.0
2011-01-07,21.13,21.13,20.54,20.76,,300900.0
2011-01-10,20.6,21.38,20.56,21.21,,254100.0
2011-01-11,21.57,21.8,21.4,21.74,,278200.0
2011-01-12,22.19,22.26,21.08,21.37,,303000.0
