time,open,high,low,close,Volume,volume
1999-11-01,2.7,2.73,2.69,2.71,,23600.0
1999-11-02,2.72,2.76,2.72,2.73,,26600.0
1999-11-03,2.75,2.82,2.73,2.76,,60900.0
1999-11-04,2.78,2.79,2.75,2.75,,31200.0
1999-11-05,2.73,2.76,2.69,2.7,,40200.0
1999-11-08,2.7,2.72,2.69,2.7,,38200.0
1999-11-09,2.67,2.72,2.66,2.7,,60200.0
1999-11-10,2.69,2.69,2.66,2.68,,29300.0
1999-11-11,2.69,2.69,2.66,2.66,,33900.0
1999-11-12,2.66,2.67,2.63,2.66,,55100.0
1999-11-15,2.67,2.67,2.61,2.63,,36000.0
1999-11-16,2.66,2.67,2.58,2.61,,53200.0
1999-11-17,2.61,2.65,2.59,2.61,,42000.0
1999-11-18,2.63,2.68,2.61,2.65,,43600.0
1999-11-19,2.63,2.63,2.59,2.61,,47100.0
1999-11-22,2.58,2.63,2.58,2.6,,25900.0
1999-11-23,2.58,2.63,2.58,2.58,,55600.0
1999-11-24,2.61,2.64,2.6,2.61,,51300.0
1999-11-26,2.61,2.63,2.6,2.61,,15600.0
1999-11-29,2.62,2.62,2.59,2.59,,30800.0
1999-11-30,2.59,2.63,2.59,2.62,,27700.0
1999-12-01,2.59,2.63,2.59,2.61,,36200.0
1999-12-02,2.56,2.59,2.56,2.57,,45200.0
1999-12-03,2.57,2.59,2.56,2.56,,30400.0
1999-12-06,2.56,2.61,2.53,2.53,,71600.0
1999-12-07,2.53,2.62,2.53,2.59,,55000.0
1999-12-08,2.56,2.57,2.48,2.54,,59100.0
1999-12-09,2.56,2.58,2.51,2.54,,47500.0
1999-12-10,2.51,2.54,2.47,2.51,,66700.0
1999-12-13,2.51,2.55,2.48,2.51,,47900.0
1999-12-14,2.47,2.53,2.47,2.47,,58500.0
1999-12-15,2.47,2.48,2.41,2.47,,72700.0
1999-12-16,2.48,2.53,2.47,2.5,,52000.0
1999-12-17,2.53,2.53,2.53,2.53,,67300.0
1999-12-20,2.54,2.55,2.47,2.5,,40200.0
1999-12-21,2.48,2.56,2.47,2.53,,39200.0
1999-12-22,2.53,2.53,2.51,2.51,,30600.0
1999-12-23,2.51,2.54,2.5,2.51,,33500.0
1999-12-27,2.53,2.56,2.5,2.55,,60000.0
1999-12-28,2.53,2.55,2.48,2.53,,63100.0
1999-12-29,2.51,2.55,2.48,2.53,,46500.0
1999-12-30,2.55,2.57,2.5,2.53,,51200.0
1999-12-31,2.48,2.51,2.47,2.5,,50900.0
2000-01-03,2.53,2.53,2.49,2.52,,49400.0
2000-01-04,2.5,2.53,2.45,2.49,,59900.0
2000-01-05,2.49,2.5,2.47,2.47,,48200.0
2000-01-06,2.49,2.5,2.46,2.5,,32300.0
2000-01-07,2.52,2.55,2.47,2.55,,68800.0
2000-01-10,2.55,2.6,2.55,2.6,,58000.0
2000-01-11,2.59,2.64,2.59,2.6,,72500.0
2000-01-12,2.62,2.66,2.6,2.62,,49900.0
2000-01-13,2.63,2.63,2.58,2.62,,35600.0
2000-01-14,2.62,2.67,2.61,2.63,,57300.0
2000-01-18,2.63,2.67,2.61,2.67,,41200.0
2000-01-19,2.64,2.66,2.62,2.65,,59500.0
2000-01-20,2.66,2.66,2.63,2.64,,33200.0
2000-01-21,2.63,2.66,2.61,2.63,,48400.0
2000-01-24,2.65,2.67,2.63,2.64,,46500.0
2000-01-25,2.64,2.66,2.64,2.66,,32700.0
2000-01-26,2.67,2.67,2.59,2.61,,42800.0
2000-01-27,2.6,2.66,2.6,2.66,,39300.0
2000-01-28,2.64,2.66,2.64,2.65,,36100.0
2000-01-31,2.65,2.65,2.6,2.6,,47200.0
2000-02-01,2.6,2.65,2.59,2.65,,25600.0
2000-02-02,2.63,2.65,2.62,2.64,,25800.0
2000-02-03,2.59,2.69,2.59,2.65,,59400.0
2000-02-04,2.66,2.66,2.63,2.64,,33400.0
2000-02-07,2.63,2.65,2.62,2.63,,31700.0
2000-02-08,2.66,2.66,2.6,2.62,,35600.0
2000-02-09,2.63,2.65,2.62,2.63,,35600.0
2000-02-10,2.62,2.63,2.59,2.61,,69400.0
2000-02-11,2.6,2.62,2.58,2.61,,50700.0
2000-02-14,2.64,2.64,2.57,2.58,,58600.0
2000-02-15,2.59,2.61,2.57,2.6,,32600.0
2000-02-16,2.58,2.62,2.58,2.58,,51400.0
2000-02-17,2.59,2.63,2.57,2.63,,43000.0
2000-02-18,2.62,2.63,2.57,2.62,,43300.0
2000-02-22,2.57,2.6,2.56,2.6,,76800.0
2000-02-23,2.62,2.62,2.57,2.59,,21100.0
2000-02-24,2.59,2.6,2.56,2.59,,26500.0
2000-02-25,2.58,2.61,2.56,2.58,,33900.0
2000-02-28,2.57,2.59,2.55,2.57,,38800.0
2000-02-29,2.59,2.59,2.55,2.57,,37100.0
2000-03-01,2.55,2.59,2.55,2.56,,33900.0
2000-03-02,2.55,2.58,2.54,2.58,,30900.0
2000-03-03,2.56,2.59,2.56,2.56,,37500.0
2000-03-06,2.58,2.62,2.55,2.61,,48000.0
2000-03-07,2.59,2.59,2.54,2.55,,45300.0
2000-03-08,2.56,2.59,2.5,2.59,,59900.0
2000-03-09,2.57,2.57,2.53,2.55,,41900.0
2000-03-10,2.55,2.59,2.55,2.55,,28600.0
2000-03-13,2.55,2.55,2.52,2.53,,28700.0
2000-03-14,2.55,2.55,2.5,2.5,,45800.0
2000-03-15,2.49,2.52,2.49,2.49,,51800.0
2000-03-16,2.49,2.59,2.48,2.58,,57100.0
2000-03-17,2.55,2.62,2.55,2.62,,39900.0
2000-03-20,2.62,2.62,2.58,2.59,,37000.0
2000-03-21,2.59,2.59,2.55,2.57,,52700.0
2000-03-22,2.56,2.59,2.55,2.56,,28500.0
2000-03-23,2.55,2.59,2.53,2.58,,45600.0
2000-03-24,2.58,2.59,2.55,2.55,,37900.0
2000-03-27,2.54,2.6,2.54,2.57,,50300.0
2000-03-28,2.6,2.6,2.55,2.55,,49700.0
2000-03-29,2.58,2.58,2.55,2.55,,44900.0
2000-03-30,2.58,2.58,2.52,2.52,,52900.0
2000-03-31,2.55,2.55,2.4,2.4,,208600.0
2000-04-03,2.43,2.49,2.41,2.48,,111700.0
2000-04-04,2.48,2.49,2.44,2.49,,64800.0
2000-04-05,2.48,2.55,2.46,2.52,,61900.0
2000-04-06,2.52,2.55,2.51,2.52,,53600.0
2000-04-07,2.54,2.55,2.52,2.55,,28400.0
2000-04-10,2.55,2.62,2.52,2.56,,75300.0
2000-04-11,2.56,2.56,2.49,2.52,,56800.0
2000-04-12,2.53,2.6,2.52,2.57,,56400.0
2000-04-13,2.55,2.59,2.54,2.56,,48300.0
2000-04-14,2.59,2.61,2.56,2.61,,78800.0
2000-04-17,2.58,2.6,2.55,2.57,,35500.0
2000-04-18,2.58,2.58,2.57,2.58,,35900.0
2000-04-19,2.58,2.62,2.57,2.61,,26400.0
2000-04-20,2.61,2.62,2.59,2.62,,30600.0
2000-04-24,2.62,2.65,2.57,2.65,,44700.0
2000-04-25,2.63,2.66,2.62,2.65,,55400.0
2000-04-26,2.68,2.7,2.65,2.68,,42500.0
2000-04-27,2.68,2.72,2.64,2.69,,30700.0
2000-04-28,2.72,2.74,2.64,2.74,,52300.0
2000-05-01,2.75,2.76,2.72,2.76,,30600.0
2000-05-02,2.74,2.76,2.72,2.75,,31500.0
2000-05-03,2.76,2.76,2.68,2.69,,55500.0
2000-05-04,2.72,2.73,2.68,2.71,,52900.0
2000-05-05,2.72,2.76,2.7,2.76,,42100.0
2000-05-08,2.76,2.76,2.72,2.73,,41200.0
2000-05-09,2.76,2.8,2.73,2.76,,45100.0
2000-05-10,2.77,2.8,2.76,2.8,,28500.0
2000-05-11,2.81,2.83,2.8,2.83,,40300.0
2000-05-12,2.84,2.87,2.83,2.87,,42100.0
2000-05-15,2.89,2.89,2.83,2.88,,42100.0
2000-05-16,2.88,2.94,2.83,2.88,,52000.0
2000-05-17,2.85,2.87,2.8,2.83,,52000.0
2000-05-18,2.83,2.88,2.83,2.83,,50400.0
2000-05-19,2.85,2.86,2.8,2.83,,30200.0
2000-05-22,2.83,2.88,2.78,2.87,,37400.0
2000-05-23,2.88,2.89,2.85,2.87,,30600.0
2000-05-24,2.89,2.97,2.86,2.94,,57000.0
2000-05-25,2.95,2.98,2.89,2.94,,53100.0
2000-05-26,2.94,3.05,2.93,3.02,,66400.0
2000-05-30,3.04,3.04,2.94,2.99,,33000.0
2000-05-31,2.97,3.01,2.96,2.99,,64700.0
2000-06-01,3.01,3.03,2.94,2.96,,19200.0
2000-06-02,2.97,3.01,2.94,3.0,,43900.0
2000-06-05,3.0,3.03,2.96,2.99,,35700.0
2000-06-06,2.97,2.99,2.95,2.99,,39200.0
2000-06-07,2.97,2.98,2.94,2.97,,27700.0
2000-06-08,2.96,2.98,2.92,2.95,,39800.0
2000-06-09,2.95,2.98,2.95,2.97,,40500.0
2000-06-12,2.98,3.01,2.97,2.97,,28900.0
2000-06-13,2.99,3.0,2.94,3.0,,31400.0
2000-06-14,3.0,3.03,2.98,3.03,,36700.0
2000-06-15,3.04,3.04,2.99,3.04,,34000.0
2000-06-16,3.04,3.06,3.02,3.04,,56500.0
2000-06-19,2.99,3.05,2.99,3.03,,57300.0
2000-06-20,3.05,3.05,3.01,3.01,,18900.0
2000-06-21,3.01,3.04,2.98,3.01,,34200.0
2000-06-22,3.01,3.12,2.99,3.12,,59200.0
2000-06-23,3.09,3.09,2.99,3.01,,59000.0
2000-06-26,3.02,3.05,2.99,3.04,,25800.0
2000-06-27,3.02,3.05,3.01,3.02,,26600.0
2000-06-28,3.04,3.05,3.01,3.04,,32100.0
2000-06-29,3.06,3.12,3.04,3.1,,37800.0
2000-06-30,3.12,3.12,3.0,3.01,,64500.0
2000-07-03,3.0,3.05,3.0,3.04,,14800.0
2000-07-05,3.04,3.12,3.03,3.12,,33400.0
2000-07-06,3.1,3.12,3.06,3.1,,28500.0
2000-07-07,3.1,3.11,3.06,3.08,,30400.0
2000-07-10,3.08,3.09,3.04,3.05,,35800.0
2000-07-11,3.05,3.06,3.04,3.05,,23100.0
2000-07-12,3.06,3.06,3.03,3.05,,32600.0
2000-07-13,3.05,3.06,3.03,3.05,,24300.0
2000-07-14,3.06,3.08,3.05,3.08,,25900.0
2000-07-17,3.07,3.08,3.05,3.05,,24600.0
2000-07-18,3.06,3.14,3.05,3.06,,49900.0
2000-07-19,3.06,3.09,3.06,3.08,,20600.0
2000-07-20,3.06,3.12,3.06,3.11,,19100.0
2000-07-21,3.08,3.11,3.08,3.1,,45200.0
2000-07-24,3.09,3.11,3.06,3.06,,22700.0
2000-07-25,3.06,3.11,3.06,3.08,,27600.0
2000-07-26,3.05,3.12,3.05,3.12,,42600.0
2000-07-27,3.12,3.12,3.08,3.08,,21200.0
2000-07-28,3.06,3.11,3.05,3.08,,37200.0
2000-07-31,3.07,3.12,3.06,3.12,,37300.0
2000-08-01,3.12,3.12,3.09,3.11,,17900.0
2000-08-02,3.1,3.13,3.1,3.13,,21600.0
2000-08-03,3.13,3.14,3.1,3.14,,48100.0
2000-08-04,3.14,3.15,3.1,3.12,,29700.0
2000-08-07,3.12,3.15,3.11,3.11,,73300.0
2000-08-08,3.12,3.12,3.08,3.11,,31500.0
2000-08-09,3.12,3.12,3.1,3.12,,15900.0
2000-08-10,3.12,3.12,3.07,3.08,,31100.0
2000-08-11,3.07,3.09,3.07,3.09,,46500.0
2000-08-14,3.1,3.1,3.08,3.1,,22400.0
2000-08-15,3.08,3.09,3.08,3.09,,19600.0
2000-08-16,3.12,3.12,3.09,3.1,,26600.0
2000-08-17,3.09,3.1,3.05,3.07,,28000.0
2000-08-18,3.05,3.06,3.05,3.05,,20700.0
2000-08-21,3.04,3.05,2.96,2.96,,59200.0
2000-08-22,2.99,3.01,2.97,3.0,,27300.0
2000-08-23,2.99,3.0,2.93,2.93,,44500.0
2000-08-24,2.96,2.96,2.92,2.94,,43500.0
2000-08-25,2.94,2.97,2.94,2.96,,42100.0
2000-08-28,2.96,2.97,2.92,2.96,,46200.0
2000-08-29,2.94,2.97,2.92,2.94,,32800.0
2000-08-30,2.87,2.94,2.87,2.91,,35300.0
2000-08-31,2.91,2.95,2.91,2.93,,33700.0
2000-09-01,2.96,2.97,2.92,2.95,,26000.0
2000-09-05,2.93,2.99,2.92,2.95,,24800.0
2000-09-06,2.98,3.0,2.95,2.99,,32700.0
2000-09-07,2.98,3.04,2.98,3.03,,22500.0
2000-09-08,3.03,3.03,2.96,2.97,,47100.0
2000-09-11,2.97,2.98,2.92,2.93,,52600.0
2000-09-12,2.95,2.96,2.93,2.95,,51400.0
2000-09-13,2.93,2.94,2.92,2.94,,36100.0
2000-09-14,2.93,2.96,2.92,2.95,,59500.0
2000-09-15,2.92,2.95,2.92,2.93,,47100.0
2000-09-18,2.94,2.95,2.88,2.89,,63000.0
2000-09-19,2.91,2.92,2.87,2.9,,50500.0
2000-09-20,2.88,2.96,2.88,2.95,,36900.0
2000-09-21,2.93,2.96,2.93,2.95,,37500.0
2000-09-22,2.93,2.95,2.92,2.95,,35700.0
2000-09-25,2.95,2.97,2.95,2.96,,36000.0
2000-09-26,2.99,3.0,2.96,2.98,,47700.0
2000-09-27,3.0,3.03,2.98,3.03,,42900.0
2000-09-28,3.04,3.09,3.02,3.04,,34500.0
2000-09-29,3.03,3.05,3.01,3.04,,49100.0
2000-10-02,3.04,3.05,3.04,3.04,,24100.0
2000-10-03,3.05,3.05,3.02,3.04,,44500.0
2000-10-04,3.02,3.04,3.02,3.02,,19800.0
2000-10-05,3.01,3.04,2.97,3.01,,64500.0
2000-10-06,3.01,3.02,2.98,3.0,,18500.0
2000-10-09,3.0,3.01,2.96,2.99,,20100.0
2000-10-10,3.0,3.0,2.96,2.97,,21000.0
2000-10-11,2.99,3.0,2.95,2.98,,28700.0
2000-10-12,2.97,2.97,2.94,2.95,,23800.0
2000-10-13,2.95,2.99,2.95,2.99,,35200.0
2000-10-16,3.0,3.0,2.95,2.96,,45600.0
2000-10-17,2.98,2.99,2.96,2.97,,33800.0
2000-10-18,2.97,2.97,2.96,2.96,,22900.0
2000-10-19,2.98,3.0,2.97,2.99,,49000.0
2000-10-20,3.0,3.04,2.99,3.03,,100500.0
2000-10-23,3.04,3.04,3.02,3.02,,21100.0
2000-10-24,3.01,3.05,3.01,3.04,,46400.0
2000-10-25,3.03,3.04,3.0,3.01,,26400.0
2000-10-26,3.03,3.04,3.01,3.03,,27400.0
2000-10-27,3.03,3.04,3.02,3.04,,37500.0
2000-10-30,3.05,3.07,3.03,3.06,,27300.0
2000-10-31,3.07,3.07,3.03,3.03,,25600.0
2000-11-01,3.04,3.07,3.03,3.06,,17000.0
2000-11-02,3.06,3.07,3.04,3.06,,16400.0
2000-11-03,3.03,3.06,3.02,3.06,,18800.0
2000-11-06,3.06,3.09,3.06,3.08,,21800.0
2000-11-07,3.07,3.09,3.05,3.09,,17400.0
2000-11-08,3.09,3.09,3.07,3.07,,21000.0
2000-11-09,3.05,3.11,3.04,3.11,,30600.0
2000-11-10,3.11,3.11,3.07,3.08,,20600.0
2000-11-13,3.08,3.09,3.01,3.09,,33700.0
2000-11-14,3.12,3.12,3.09,3.12,,24000.0
2000-11-15,3.1,3.15,3.09,3.15,,48900.0
2000-11-16,3.15,3.16,3.14,3.14,,33200.0
2000-11-17,3.16,3.16,3.13,3.16,,19000.0
2000-11-20,3.14,3.16,3.13,3.14,,14900.0
2000-11-21,3.16,3.18,3.14,3.16,,42300.0
2000-11-22,3.14,3.16,3.13,3.13,,17800.0
2000-11-24,3.13,3.18,3.13,3.17,,14500.0
2000-11-27,3.15,3.22,3.15,3.18,,27900.0
2000-11-28,3.2,3.22,3.17,3.2,,20400.0
2000-11-29,3.22,3.22,3.18,3.21,,18500.0
2000-11-30,3.22,3.23,3.18,3.18,,47800.0
2000-12-01,3.2,3.24,3.2,3.23,,28700.0
2000-12-04,3.22,3.25,3.18,3.21,,24200.0
2000-12-05,3.15,3.26,3.15,3.23,,34900.0
2000-12-06,3.25,3.25,3.17,3.17,,27900.0
2000-12-07,3.19,3.21,3.17,3.18,,36700.0
2000-12-08,3.18,3.3,3.18,3.3,,38900.0
2000-12-11,3.28,3.31,3.26,3.27,,33200.0
2000-12-12,3.29,3.29,3.23,3.27,,37000.0
2000-12-13,3.29,3.29,3.27,3.28,,26700.0
2000-12-14,3.28,3.28,3.23,3.26,,36000.0
2000-12-15,3.22,3.23,3.15,3.17,,57800.0
2000-12-18,3.18,3.27,3.18,3.27,,46300.0
2000-12-19,3.28,3.29,3.25,3.27,,52900.0
2000-12-20,3.27,3.27,3.22,3.22,,41100.0
2000-12-21,3.25,3.29,3.23,3.29,,36400.0
2000-12-22,3.29,3.3,3.27,3.28,,27000.0
2000-12-26,3.28,3.31,3.26,3.3,,33800.0
2000-12-27,3.31,3.37,3.3,3.37,,37100.0
2000-12-28,3.38,3.4,3.36,3.4,,28400.0
2000-12-29,3.4,3.4,3.32,3.32,,16600.0
2001-01-02,3.33,3.33,3.24,3.26,,30200.0
2001-01-03,3.24,3.39,3.24,3.37,,41100.0
2001-01-04,3.37,3.39,3.32,3.39,,39900.0
2001-01-05,3.4,3.4,3.34,3.35,,28000.0
2001-01-08,3.37,3.39,3.34,3.38,,20500.0
2001-01-09,3.36,3.39,3.36,3.39,,26200.0
2001-01-10,3.4,3.4,3.35,3.4,,35400.0
2001-01-11,3.4,3.45,3.38,3.44,,54200.0
2001-01-12,3.46,3.46,3.39,3.42,,41700.0
2001-01-16,3.44,3.47,3.39,3.47,,48400.0
2001-01-17,3.49,3.5,3.41,3.43,,49600.0
2001-01-18,3.43,3.49,3.4,3.48,,25900.0
2001-01-19,3.48,3.49,3.44,3.46,,26000.0
2001-01-22,3.48,3.5,3.42,3.49,,28000.0
2001-01-23,3.48,3.52,3.47,3.49,,24600.0
2001-01-24,3.44,3.49,3.44,3.48,,33000.0
2001-01-25,3.49,3.53,3.49,3.5,,25500.0
2001-01-26,3.52,3.52,3.45,3.48,,26300.0
2001-01-29,3.5,3.51,3.46,3.51,,26400.0
2001-01-30,3.5,3.54,3.49,3.51,,25500.0
2001-01-31,3.52,3.53,3.48,3.5,,23500.0
2001-02-01,3.51,3.52,3.48,3.51,,27100.0
2001-02-02,3.5,3.53,3.48,3.49,,23300.0
2001-02-05,3.49,3.53,3.48,3.5,,18800.0
2001-02-06,3.49,3.53,3.49,3.51,,26000.0
2001-02-07,3.56,3.6,3.55,3.59,,39600.0
2001-02-08,3.59,3.6,3.46,3.49,,70500.0
2001-02-09,3.45,3.46,3.39,3.45,,50300.0
2001-02-12,3.47,3.52,3.43,3.51,,44300.0
2001-02-13,3.49,3.55,3.49,3.5,,28000.0
2001-02-14,3.52,3.52,3.47,3.5,,24300.0
2001-02-15,3.52,3.53,3.46,3.51,,36300.0
2001-02-16,3.52,3.54,3.49,3.5,,22000.0
2001-02-20,3.51,3.51,3.45,3.45,,31300.0
2001-02-21,3.45,3.49,3.43,3.43,,23800.0
2001-02-22,3.43,3.43,3.39,3.39,,26100.0
2001-02-23,3.39,3.43,3.33,3.36,,69700.0
2001-02-26,3.36,3.44,3.36,3.44,,35100.0
2001-02-27,3.4,3.46,3.36,3.41,,48100.0
2001-02-28,3.43,3.45,3.36,3.41,,38100.0
2001-03-01,3.43,3.43,3.37,3.42,,30800.0
2001-03-02,3.43,3.49,3.43,3.46,,34600.0
2001-03-05,3.44,3.49,3.4,3.43,,46200.0
2001-03-06,3.45,3.5,3.45,3.48,,24700.0
2001-03-07,3.47,3.52,3.47,3.5,,34100.0
2001-03-08,3.49,3.52,3.49,3.49,,12300.0
2001-03-09,3.49,3.5,3.44,3.47,,26400.0
2001-03-12,3.47,3.51,3.43,3.44,,47800.0
2001-03-13,3.44,3.45,3.41,3.45,,36400.0
2001-03-14,3.44,3.47,3.4,3.4,,37300.0
2001-03-15,3.42,3.42,3.36,3.4,,30300.0
2001-03-16,3.42,3.42,3.29,3.31,,70900.0
2001-03-19,3.3,3.34,3.3,3.33,,50800.0
2001-03-20,3.35,3.42,3.35,3.37,,41000.0
2001-03-21,3.38,3.44,3.38,3.43,,44500.0
2001-03-22,3.46,3.46,3.38,3.44,,62100.0
2001-03-23,3.41,3.46,3.41,3.42,,25000.0
2001-03-26,3.4,3.51,3.39,3.51,,36600.0
2001-03-27,3.5,3.55,3.48,3.55,,40300.0
2001-03-28,3.57,3.57,3.52,3.53,,50700.0
2001-03-29,3.51,3.57,3.51,3.56,,36200.0
2001-03-30,3.56,3.61,3.56,3.61,,47100.0
2001-04-02,3.6,3.63,3.56,3.6,,49700.0
2001-04-03,3.61,3.63,3.57,3.58,,39800.0
2001-04-04,3.59,3.63,3.57,3.62,,59300.0
2001-04-05,3.61,3.65,3.6,3.65,,37300.0
2001-04-06,3.66,3.66,3.61,3.63,,25400.0
2001-04-09,3.63,3.68,3.61,3.63,,30400.0
2001-04-10,3.65,3.68,3.61,3.67,,37600.0
2001-04-11,3.67,3.68,3.61,3.62,,30000.0
2001-04-12,3.57,3.65,3.57,3.64,,36400.0
2001-04-16,3.68,3.69,3.64,3.66,,36800.0
2001-04-17,3.68,3.72,3.67,3.68,,30400.0
2001-04-18,3.7,3.8,3.67,3.76,,54200.0
2001-04-19,3.75,3.8,3.75,3.77,,32400.0
2001-04-20,3.73,3.78,3.72,3.74,,48000.0
2001-04-23,3.73,3.78,3.73,3.77,,49200.0
2001-04-24,3.75,3.78,3.73,3.78,,42500.0
2001-04-25,3.82,3.83,3.76,3.78,,71100.0
2001-04-26,3.83,3.86,3.77,3.85,,59000.0
2001-04-27,3.85,3.9,3.84,3.9,,38600.0
2001-04-30,3.88,3.94,3.86,3.93,,43100.0
2001-05-01,3.95,3.95,3.81,3.82,,163600.0
2001-05-02,3.77,3.82,3.74,3.82,,816300.0
2001-05-03,3.79,3.81,3.73,3.81,,350500.0
2001-05-04,3.81,3.81,3.75,3.79,,180400.0
2001-05-07,3.79,3.82,3.77,3.81,,91700.0
2001-05-08,3.81,3.81,3.77,3.81,,166200.0
2001-05-09,3.81,3.82,3.79,3.8,,99500.0
2001-05-10,3.81,3.81,3.79,3.79,,78300.0
2001-05-11,3.78,3.82,3.78,3.81,,51200.0
2001-05-14,3.8,3.8,3.77,3.79,,39500.0
2001-05-15,3.81,3.82,3.77,3.8,,72700.0
2001-05-16,3.81,3.81,3.77,3.77,,78700.0
2001-05-17,3.79,3.79,3.77,3.78,,52900.0
2001-05-18,3.78,3.81,3.77,3.79,,61100.0
2001-05-21,3.78,3.81,3.77,3.81,,73100.0
2001-05-22,3.79,3.82,3.77,3.79,,54700.0
2001-05-23,3.81,3.82,3.77,3.79,,53600.0
2001-05-24,3.79,3.81,3.77,3.81,,49000.0
2001-05-25,3.8,3.82,3.78,3.79,,32100.0
2001-05-29,3.81,3.81,3.78,3.78,,51500.0
2001-05-30,3.77,3.78,3.72,3.72,,78600.0
2001-05-31,3.73,3.74,3.7,3.7,,69200.0
2001-06-01,3.72,3.79,3.68,3.78,,80300.0
2001-06-04,3.79,3.8,3.73,3.78,,53300.0
2001-06-05,3.79,3.81,3.76,3.8,,61200.0
2001-06-06,3.8,3.83,3.8,3.8,,72400.0
2001-06-07,3.82,3.83,3.79,3.83,,72600.0
2001-06-08,3.83,3.83,3.8,3.82,,68900.0
2001-06-11,3.8,3.83,3.8,3.83,,61700.0
2001-06-12,3.83,3.85,3.8,3.84,,93500.0
2001-06-13,3.84,3.85,3.83,3.84,,112900.0
2001-06-14,3.83,3.86,3.83,3.85,,115200.0
2001-06-15,3.84,3.87,3.84,3.86,,150700.0
2001-06-18,3.87,3.89,3.86,3.89,,133000.0
2001-06-19,3.89,3.92,3.83,3.83,,139000.0
2001-06-20,3.83,3.88,3.83,3.87,,106500.0
2001-06-21,3.88,3.92,3.87,3.91,,62400.0
2001-06-22,3.94,3.94,3.9,3.91,,85100.0
2001-06-25,3.93,3.94,3.9,3.9,,69900.0
2001-06-26,3.9,3.98,3.9,3.95,,123500.0
2001-06-27,3.96,3.97,3.94,3.94,,82900.0
2001-06-28,3.94,3.99,3.94,3.96,,58500.0
2001-06-29,3.95,4.11,3.95,4.11,,149900.0
2001-07-02,4.09,4.09,3.98,3.99,,103300.0
2001-07-03,4.0,4.03,3.99,4.01,,30900.0
2001-07-05,4.03,4.05,4.0,4.01,,54100.0
2001-07-06,4.0,4.03,3.96,4.03,,50100.0
2001-07-09,4.02,4.03,3.94,3.96,,78800.0
2001-07-10,3.96,3.98,3.93,3.94,,41200.0
2001-07-11,3.96,3.98,3.89,3.93,,55200.0
2001-07-12,3.88,3.95,3.88,3.95,,42500.0
2001-07-13,3.96,3.99,3.96,3.97,,34700.0
2001-07-16,3.99,4.01,3.98,3.99,,41100.0
2001-07-17,4.01,4.02,3.99,4.02,,84500.0
2001-07-18,4.03,4.05,4.0,4.03,,77500.0
2001-07-19,4.05,4.06,4.03,4.05,,41900.0
2001-07-20,4.03,4.1,4.03,4.1,,48900.0
2001-07-23,4.12,4.12,4.02,4.03,,59300.0
2001-07-24,4.05,4.05,3.96,3.97,,80000.0
2001-07-25,4.0,4.01,3.95,4.0,,36700.0
2001-07-26,4.01,4.05,3.97,4.05,,46200.0
2001-07-27,4.05,4.08,4.03,4.05,,57300.0
2001-07-30,4.06,4.19,4.05,4.06,,94100.0
2001-07-31,4.04,4.05,4.0,4.01,,65700.0
2001-08-01,4.0,4.01,3.98,4.0,,53100.0
2001-08-02,4.0,4.01,3.97,4.0,,49500.0
2001-08-03,4.0,4.0,3.98,3.99,,42300.0
2001-08-06,4.0,4.04,3.98,4.03,,58900.0
2001-08-07,4.03,4.07,4.03,4.06,,101200.0
2001-08-08,4.07,4.1,4.05,4.07,,117600.0
2001-08-09,4.08,4.12,4.07,4.11,,67000.0
2001-08-10,4.13,4.16,4.1,4.11,,82900.0
2001-08-13,4.11,4.12,4.09,4.1,,56100.0
2001-08-14,4.06,4.13,4.06,4.1,,65700.0
2001-08-15,4.12,4.15,4.04,4.12,,82500.0
2001-08-16,4.14,4.14,4.07,4.08,,90000.0
2001-08-17,4.08,4.1,4.07,4.1,,67700.0
2001-08-20,4.1,4.12,4.07,4.1,,49300.0
2001-08-21,4.11,4.16,4.11,4.11,,48900.0
2001-08-22,4.1,4.13,4.07,4.13,,57800.0
2001-08-23,4.13,4.18,4.12,4.14,,47600.0
2001-08-24,4.12,4.14,4.09,4.13,,57900.0
2001-08-27,4.12,4.16,4.1,4.13,,50700.0
2001-08-28,4.09,4.12,4.07,4.1,,56600.0
2001-08-29,4.1,4.1,4.04,4.08,,67600.0
2001-08-30,4.11,4.11,4.04,4.04,,51900.0
2001-08-31,4.02,4.06,4.01,4.04,,46700.0
2001-09-04,4.07,4.08,4.03,4.04,,64000.0
2001-09-05,4.04,4.07,4.03,4.05,,35800.0
2001-09-06,4.04,4.05,4.0,4.01,,45500.0
2001-09-07,4.03,4.03,3.93,3.97,,66700.0
2001-09-10,3.96,4.0,3.94,3.96,,56300.0
2001-09-17,3.95,4.02,3.88,3.89,,97100.0
2001-09-18,3.97,3.97,3.91,3.93,,71800.0
2001-09-19,3.99,3.99,3.88,3.9,,69600.0
