time,open,high,low,close,Volume,volume
1999-11-01,0.53,0.53,0.53,0.53,,0.0
1999-11-02,0.53,0.53,0.53,0.53,,0.0
1999-11-03,0.54,0.55,0.54,0.55,,553.0
1999-11-04,0.55,0.55,0.55,0.55,,0.0
1999-11-05,0.55,0.55,0.55,0.55,,0.0
1999-11-08,0.55,0.55,0.55,0.55,,0.0
1999-11-09,0.55,0.55,0.55,0.55,,0.0
1999-11-10,0.54,0.55,0.54,0.55,,790.0
1999-11-11,0.55,0.55,0.55,0.55,,0.0
1999-11-12,0.55,0.55,0.55,0.55,,0.0
1999-11-15,0.54,0.55,0.54,0.55,,961.0
1999-11-16,0.55,0.55,0.55,0.55,,2568.0
1999-11-17,0.55,0.55,0.55,0.55,,0.0
1999-11-18,0.55,0.55,0.54,0.55,,2660.0
1999-11-19,0.54,0.54,0.54,0.54,,171.0
1999-11-22,0.55,0.55,0.43,0.43,,4267.0
1999-11-23,0.52,0.55,0.5,0.5,,4267.0
1999-11-24,0.51,0.51,0.5,0.5,,830.0
1999-11-26,0.5,0.51,0.5,0.51,,171.0
1999-11-29,0.54,0.55,0.54,0.55,,1435.0
1999-11-30,0.54,0.54,0.54,0.54,,13.0
1999-12-01,0.54,0.54,0.54,0.54,,0.0
1999-12-02,0.54,0.54,0.54,0.54,,0.0
1999-12-03,0.54,0.54,0.54,0.54,,0.0
1999-12-06,0.54,0.54,0.54,0.54,,435.0
1999-12-07,0.54,0.54,0.54,0.54,,13.0
1999-12-08,0.53,0.54,0.53,0.54,,1435.0
1999-12-09,0.54,0.54,0.54,0.54,,7230.0
1999-12-10,0.54,0.54,0.53,0.53,,961.0
1999-12-13,0.54,0.54,0.53,0.54,,4161.0
1999-12-14,0.54,0.54,0.54,0.54,,0.0
1999-12-15,0.53,0.54,0.53,0.54,,645.0
1999-12-16,0.54,0.54,0.54,0.54,,0.0
1999-12-17,0.53,0.53,0.51,0.51,,2384.0
1999-12-20,0.5,0.5,0.45,0.46,,645.0
1999-12-21,0.51,0.51,0.43,0.51,,961.0
1999-12-22,0.43,0.52,0.43,0.51,,1778.0
1999-12-23,0.5,0.53,0.45,0.52,,645.0
1999-12-27,0.53,0.53,0.43,0.43,,3569.0
1999-12-28,0.53,0.54,0.53,0.53,,1620.0
1999-12-29,0.53,0.53,0.49,0.5,,2423.0
1999-12-30,0.49,0.49,0.45,0.48,,1620.0
1999-12-31,0.48,0.48,0.46,0.46,,1185.0
2000-01-03,0.46,0.48,0.46,0.48,,3845.0
2000-01-04,0.47,0.47,0.47,0.47,,13.0
2000-01-05,0.53,0.53,0.53,0.53,,13.0
2000-01-06,0.48,0.48,0.48,0.48,,171.0
2000-01-07,0.48,0.48,0.48,0.48,,1435.0
2000-01-10,0.49,0.53,0.49,0.53,,4556.0
2000-01-11,0.52,0.54,0.46,0.46,,11378.0
2000-01-12,0.47,0.47,0.47,0.47,,2660.0
2000-01-13,0.49,0.49,0.49,0.49,,0.0
2000-01-14,0.5,0.5,0.48,0.48,,1435.0
2000-01-18,0.48,0.51,0.48,0.51,,5057.0
2000-01-19,0.5,0.53,0.5,0.53,,6650.0
2000-01-20,0.52,0.54,0.52,0.54,,790.0
2000-01-21,0.53,0.53,0.53,0.53,,1857.0
2000-01-24,0.54,0.54,0.54,0.54,,1356.0
2000-01-25,0.54,0.54,0.53,0.53,,3213.0
2000-01-26,0.54,0.54,0.54,0.54,,2252.0
2000-01-27,0.54,0.54,0.54,0.54,,553.0
2000-01-28,0.54,0.54,0.54,0.54,,171.0
2000-01-31,0.54,0.54,0.49,0.5,,20030.0
2000-02-01,0.51,0.52,0.5,0.5,,10667.0
2000-02-02,0.54,0.54,0.5,0.51,,12444.0
