time,open,high,low,close,Volume,volume
1999-11-01,10.91,10.91,10.69,10.78,,91700.0
1999-11-02,10.72,10.81,10.72,10.78,,95900.0
1999-11-03,10.75,11.19,10.73,11.1,,114200.0
1999-11-04,11.0,11.19,11.0,11.16,,123500.0
1999-11-05,11.25,11.27,11.14,11.23,,44600.0
1999-11-08,11.06,11.31,11.06,11.26,,167700.0
1999-11-09,11.55,11.67,11.23,11.33,,106800.0
1999-11-10,11.38,11.5,11.25,11.29,,81200.0
1999-11-11,11.31,11.35,11.0,11.06,,94800.0
1999-11-12,11.12,11.19,10.88,10.91,,59300.0
1999-11-15,10.92,11.12,10.92,11.0,,253900.0
1999-11-16,11.12,11.12,11.0,11.12,,85300.0
1999-11-17,11.17,11.31,11.06,11.17,,35300.0
1999-11-18,11.27,11.31,11.19,11.31,,67500.0
1999-11-19,11.31,11.5,11.3,11.41,,142800.0
1999-11-22,11.42,11.75,11.41,11.73,,135600.0
1999-11-23,11.78,12.19,11.75,11.97,,242500.0
1999-11-24,12.12,12.12,11.88,11.95,,99100.0
1999-11-26,12.0,12.02,11.91,11.98,,64200.0
1999-11-29,12.02,12.06,11.69,11.72,,85000.0
1999-11-30,11.69,11.86,11.5,11.5,,73600.0
1999-12-01,11.62,12.0,11.47,11.97,,90200.0
1999-12-02,12.0,12.0,11.0,11.56,,254300.0
1999-12-03,11.56,11.56,11.25,11.53,,117800.0
1999-12-06,11.56,11.6,11.31,11.31,,92400.0
1999-12-07,11.27,11.28,10.75,10.81,,129700.0
1999-12-08,11.0,11.0,10.31,10.31,,202400.0
1999-12-09,10.62,10.88,10.0,10.88,,232600.0
1999-12-10,10.75,10.75,9.75,9.78,,335400.0
1999-12-13,10.5,11.06,10.48,10.97,,280300.0
1999-12-14,11.12,11.12,10.5,10.56,,160900.0
1999-12-15,10.62,11.25,10.5,11.25,,343000.0
1999-12-16,11.35,11.35,10.0,10.28,,219500.0
1999-12-17,10.12,10.5,9.78,10.03,,501400.0
1999-12-20,9.81,10.22,9.72,10.03,,396900.0
1999-12-21,9.81,10.06,9.81,10.03,,72800.0
1999-12-22,10.0,10.62,9.97,10.56,,283000.0
1999-12-23,10.5,10.56,10.0,10.56,,133500.0
1999-12-27,10.69,10.94,10.0,10.92,,112400.0
1999-12-28,10.9,11.0,10.65,10.98,,97800.0
1999-12-29,10.98,11.12,10.4,11.0,,108200.0
1999-12-30,11.03,11.12,10.4,10.4,,47900.0
1999-12-31,10.38,11.0,10.35,10.75,,57000.0
2000-01-03,11.06,11.06,10.03,10.75,,124000.0
2000-01-04,10.5,10.5,9.78,9.97,,147500.0
2000-01-05,10.0,10.31,9.88,10.03,,389100.0
2000-01-06,10.12,10.12,9.4,9.47,,409600.0
2000-01-07,9.62,9.75,8.1,8.31,,1091300.0
2000-01-10,8.5,8.56,8.22,8.4,,1644800.0
2000-01-11,8.5,8.53,8.22,8.28,,937500.0
2000-01-12,8.28,8.31,7.88,8.12,,476800.0
2000-01-13,8.27,8.31,8.1,8.19,,445300.0
2000-01-14,8.31,8.31,7.12,7.14,,1276700.0
2000-01-18,7.5,7.5,6.78,7.07,,2111700.0
2000-01-19,7.25,7.41,6.57,6.66,,690900.0
2000-01-20,6.88,6.94,6.59,6.66,,602500.0
2000-01-21,6.97,7.03,6.66,6.78,,594800.0
2000-01-24,6.92,7.19,6.75,6.75,,465300.0
2000-01-25,7.0,7.03,6.62,6.88,,478400.0
2000-01-26,6.91,6.94,6.19,6.32,,754900.0
2000-01-27,6.62,6.75,6.38,6.66,,656400.0
2000-01-28,6.69,6.69,6.5,6.5,,871600.0
2000-01-31,6.59,6.72,6.5,6.57,,859000.0
2000-02-01,6.53,6.88,6.5,6.69,,499400.0
2000-02-02,6.75,6.78,6.32,6.38,,593300.0
2000-02-03,6.5,6.88,6.32,6.78,,1062800.0
2000-02-04,6.78,6.78,6.57,6.62,,558400.0
2000-02-07,6.66,6.75,6.44,6.5,,632600.0
2000-02-08,6.53,6.62,6.25,6.62,,787200.0
2000-02-09,6.57,6.57,6.03,6.03,,629600.0
2000-02-10,6.07,6.57,6.0,6.53,,503600.0
2000-02-11,6.53,6.59,5.94,6.09,,522800.0
2000-02-14,6.09,6.38,6.07,6.34,,397600.0
2000-02-15,6.38,6.38,6.07,6.09,,248300.0
2000-02-16,6.12,6.16,5.62,5.75,,335700.0
2000-02-17,5.84,5.88,5.25,5.38,,842100.0
2000-02-18,5.47,5.82,5.38,5.38,,618500.0
2000-02-22,5.47,5.94,5.38,5.62,,846900.0
2000-02-23,5.62,5.88,5.5,5.76,,271500.0
2000-02-24,5.82,6.82,5.78,6.53,,349700.0
2000-02-25,6.51,6.53,6.32,6.44,,351000.0
2000-02-28,6.5,6.66,6.34,6.54,,300600.0
2000-02-29,6.72,7.25,6.59,7.0,,247600.0
2000-03-01,6.97,6.97,6.0,6.03,,637300.0
2000-03-02,6.03,6.03,5.53,5.53,,487900.0
2000-03-03,5.84,6.07,5.57,6.07,,351900.0
2000-03-06,6.03,6.16,5.47,5.47,,331000.0
2000-03-07,5.69,5.69,4.75,4.81,,1026600.0
2000-03-08,5.0,5.0,4.12,4.62,,2213700.0
2000-03-09,4.88,5.5,4.78,5.47,,658400.0
2000-03-10,5.47,5.69,5.0,5.0,,455300.0
2000-03-13,5.12,5.44,5.0,5.28,,245900.0
2000-03-14,5.41,6.12,5.38,5.66,,379900.0
2000-03-15,5.69,6.25,5.66,6.19,,490600.0
2000-03-16,6.38,7.57,6.32,7.44,,990600.0
2000-03-17,6.97,7.25,6.94,7.19,,317800.0
2000-03-20,7.32,7.47,7.12,7.28,,632200.0
2000-03-21,7.42,7.62,7.34,7.53,,353600.0
2000-03-22,7.57,7.57,7.32,7.44,,413300.0
2000-03-23,7.28,7.5,7.25,7.38,,174900.0
2000-03-24,7.47,8.44,7.38,8.12,,574000.0
2000-03-27,8.17,8.31,7.88,8.19,,281600.0
2000-03-28,8.19,8.22,7.44,7.69,,267200.0
2000-03-29,7.62,8.12,7.12,7.22,,379200.0
2000-03-30,7.22,7.69,7.09,7.5,,116800.0
2000-03-31,7.62,7.75,7.0,7.09,,189100.0
2000-04-03,7.32,7.5,7.07,7.38,,283700.0
2000-04-04,7.47,7.5,6.75,7.38,,198400.0
2000-04-05,7.32,7.62,7.25,7.41,,102700.0
