time,open,high,low,close,Volume,volume
2014-04-15,17.67,17.69,14.96,15.15,,3531700.0
2014-04-16,15.15,15.88,15.02,15.42,,266500.0
2014-04-17,15.75,16.34,15.51,16.04,,262100.0
2014-04-21,16.38,16.38,15.81,15.89,,78000.0
2014-04-22,15.99,16.48,15.56,15.78,,96100.0
2014-04-23,15.62,15.97,15.6,15.87,,56500.0
2014-04-24,16.07,16.09,15.55,15.55,,42800.0
2014-04-25,15.55,15.55,15.06,15.1,,71600.0
2014-04-28,15.23,15.46,14.32,14.78,,197500.0
2014-04-29,14.82,15.25,14.82,15.09,,68500.0
2014-04-30,14.98,15.31,14.87,15.21,,53600.0
2014-05-01,15.09,15.7,15.09,15.47,,39900.0
2014-05-02,15.49,15.86,15.49,15.6,,22300.0
2014-05-05,15.49,15.79,15.48,15.48,,13300.0
2014-05-06,15.43,15.43,15.06,15.11,,31900.0
2014-05-07,15.07,15.09,14.76,14.86,,92600.0
2014-05-08,15.06,15.13,14.99,14.99,,18600.0
2014-05-09,14.93,14.98,13.94,14.32,,76000.0
2014-05-12,14.54,14.68,13.91,13.91,,111200.0
2014-05-13,14.38,14.68,13.51,13.69,,90800.0
2014-05-14,13.97,14.11,13.73,13.89,,105600.0
2014-05-15,13.82,14.13,13.44,14.11,,110100.0
2014-05-16,14.11,14.49,13.4,13.63,,119700.0
2014-05-19,13.67,13.67,12.93,13.07,,202500.0
2014-05-20,13.33,14.12,13.2,13.82,,141100.0
2014-05-21,14.07,14.07,13.69,13.82,,47400.0
2014-05-22,13.73,15.41,13.67,15.18,,85300.0
2014-05-23,15.15,15.15,14.13,14.34,,352700.0
2014-05-27,14.38,14.62,13.58,13.85,,68100.0
2014-05-28,13.9,13.9,12.95,13.08,,244000.0
2014-05-29,13.28,13.64,13.26,13.31,,64600.0
2014-05-30,13.24,13.35,13.07,13.18,,76100.0
2014-06-02,13.32,13.65,13.01,13.37,,47600.0
2014-06-03,13.56,13.93,13.26,13.85,,84800.0
2014-06-04,13.82,14.26,13.42,14.12,,73700.0
2014-06-05,12.84,14.25,12.84,13.99,,67600.0
2014-06-06,14.15,14.32,13.71,14.27,,42500.0
2014-06-09,14.27,14.49,14.01,14.45,,104500.0
2014-06-10,14.46,14.48,14.17,14.25,,59700.0
2014-06-11,14.17,14.35,14.07,14.28,,24900.0
2014-06-12,14.28,14.29,13.73,13.79,,120500.0
2014-06-13,13.89,13.89,13.23,13.82,,65100.0
2014-06-16,14.38,14.42,14.07,14.26,,106800.0
2014-06-17,14.16,14.2,13.28,13.82,,98200.0
2014-06-18,13.61,14.21,13.55,13.99,,78400.0
2014-06-19,13.95,14.12,13.94,14.11,,55100.0
2014-06-20,14.18,14.52,13.94,13.94,,186900.0
2014-06-23,14.02,14.46,13.91,14.45,,58600.0
2014-06-24,14.37,14.81,14.32,14.51,,130300.0
2014-06-25,14.46,14.55,13.99,14.53,,59200.0
2014-06-26,14.49,14.97,14.37,14.53,,91900.0
2014-06-27,14.65,15.03,13.8,13.8,,767300.0
2014-06-30,14.09,14.47,13.73,14.4,,169500.0
2014-07-01,14.43,14.55,13.98,14.41,,56100.0
2014-07-02,14.35,14.38,14.02,14.07,,52400.0
2014-07-03,14.09,14.53,14.09,14.49,,23300.0
2014-07-07,14.36,14.47,13.83,13.84,,65800.0
2014-07-08,13.82,13.95,13.21,13.26,,113900.0
2014-07-09,13.27,13.44,13.11,13.25,,53600.0
