time,open,high,low,close,Volume,volume
1999-11-01,13.02,13.44,12.94,13.07,,1962667.0
1999-11-02,13.13,13.56,12.98,13.33,,966400.0
1999-11-03,13.4,13.64,13.35,13.56,,1270267.0
1999-11-04,13.73,13.85,13.37,13.58,,588667.0
1999-11-05,13.81,14.14,13.52,13.58,,1142467.0
1999-11-08,13.5,14.18,13.45,13.93,,1392867.0
1999-11-09,14.05,14.05,13.31,13.48,,1062400.0
1999-11-10,13.35,13.89,13.19,13.89,,1210067.0
1999-11-11,13.93,14.8,13.66,14.05,,1916467.0
1999-11-12,14.03,14.26,13.44,13.95,,1707800.0
1999-11-15,13.87,14.18,13.66,14.01,,657600.0
1999-11-16,14.05,14.49,13.7,13.93,,1397800.0
1999-11-17,13.93,14.09,13.56,13.95,,1107400.0
1999-11-18,13.81,13.97,13.4,13.62,,1664867.0
1999-11-19,13.81,13.85,12.78,13.52,,2278267.0
1999-11-22,13.35,14.01,12.9,13.89,,1504267.0
1999-11-23,13.83,13.87,12.9,13.35,,1975800.0
1999-11-24,13.33,13.6,13.09,13.54,,1603800.0
1999-11-26,13.52,13.6,13.19,13.27,,496400.0
1999-11-29,13.02,13.44,12.74,12.96,,1401600.0
1999-11-30,12.98,13.44,12.78,13.17,,1211867.0
1999-12-01,13.02,13.33,12.82,13.11,,1032867.0
1999-12-02,13.07,13.76,13.07,13.68,,1012867.0
1999-12-03,13.89,14.44,13.7,14.28,,1441667.0
1999-12-06,14.18,14.24,13.81,14.16,,880267.0
1999-12-07,14.22,14.44,13.48,13.52,,1021867.0
1999-12-08,13.52,13.83,13.11,13.17,,1180467.0
1999-12-09,13.19,13.65,12.98,13.62,,1178467.0
1999-12-10,13.76,13.85,13.27,13.44,,1193800.0
1999-12-13,13.44,13.52,12.96,13.29,,1085400.0
1999-12-14,13.21,13.35,12.9,12.98,,905067.0
1999-12-15,13.15,13.35,13.02,13.27,,1340400.0
1999-12-16,13.35,13.52,12.57,13.02,,1443267.0
1999-12-17,13.52,13.62,13.15,13.45,,2336667.0
1999-12-20,13.54,13.73,13.37,13.5,,643000.0
1999-12-21,13.52,14.16,13.44,13.83,,1182467.0
1999-12-22,13.97,14.14,13.78,13.95,,1224667.0
1999-12-23,14.16,14.18,13.6,13.7,,976667.0
1999-12-27,13.95,14.11,13.66,14.07,,755200.0
1999-12-28,14.09,14.22,13.64,13.97,,1412600.0
1999-12-29,13.89,14.09,13.32,13.35,,984867.0
1999-12-30,13.37,13.78,13.11,13.75,,843200.0
1999-12-31,13.91,13.93,13.11,13.19,,586200.0
2000-01-03,13.19,13.21,12.76,13.19,,2012200.0
2000-01-04,12.55,13.35,11.95,12.2,,1977067.0
2000-01-05,12.24,13.11,12.2,12.82,,2706200.0
2000-01-06,12.86,13.54,12.69,13.4,,1734400.0
2000-01-07,13.37,13.66,12.98,13.66,,1264400.0
2000-01-10,13.85,14.05,13.48,13.89,,1463667.0
2000-01-11,13.6,13.97,13.29,13.44,,1393867.0
2000-01-12,13.4,13.76,13.07,13.25,,1036800.0
2000-01-13,13.27,14.01,13.25,13.97,,1427067.0
2000-01-14,14.09,15.5,14.07,14.96,,3016000.0
2000-01-18,14.8,15.27,14.59,14.84,,2018600.0
