time,open,high,low,close,Volume,volume
1999-11-01,2.53,2.59,2.5,2.51,,503763.0
1999-11-02,2.53,2.63,2.52,2.53,,399467.0
1999-11-03,2.36,2.42,2.33,2.35,,1027990.0
1999-11-04,2.36,2.43,2.35,2.37,,371635.0
1999-11-05,2.38,2.44,2.36,2.39,,323457.0
1999-11-08,2.4,2.41,2.35,2.37,,330035.0
1999-11-09,2.39,2.4,2.36,2.37,,258667.0
1999-11-10,2.36,2.38,2.32,2.34,,450153.0
1999-11-11,2.34,2.34,2.24,2.26,,339042.0
1999-11-12,2.28,2.29,2.23,2.25,,617600.0
1999-11-15,2.25,2.29,2.25,2.27,,672652.0
1999-11-16,2.27,2.37,2.27,2.35,,583467.0
1999-11-17,2.34,2.38,2.27,2.27,,209600.0
1999-11-18,2.28,2.32,2.26,2.32,,312830.0
1999-11-19,2.34,2.37,2.26,2.28,,495230.0
1999-11-22,2.3,2.3,2.24,2.26,,533590.0
1999-11-23,2.25,2.26,2.19,2.22,,434252.0
1999-11-24,2.21,2.22,2.21,2.21,,340168.0
1999-11-26,2.22,2.22,2.19,2.21,,135190.0
1999-11-29,2.21,2.22,2.14,2.17,,392652.0
1999-11-30,2.16,2.22,2.16,2.21,,558163.0
1999-12-01,2.22,2.25,2.19,2.24,,549452.0
1999-12-02,2.24,2.25,2.2,2.23,,329244.0
1999-12-03,2.26,2.29,2.24,2.28,,548978.0
1999-12-06,2.27,2.29,2.25,2.29,,494775.0
1999-12-07,2.3,2.32,2.27,2.29,,643200.0
1999-12-08,2.28,2.37,2.27,2.37,,880553.0
1999-12-09,2.35,2.38,2.25,2.33,,332168.0
1999-12-10,2.34,2.37,2.3,2.37,,278775.0
1999-12-13,2.38,2.38,2.26,2.32,,437353.0
1999-12-14,2.3,2.35,2.3,2.35,,611378.0
1999-12-15,2.35,2.41,2.34,2.38,,1026844.0
1999-12-16,2.37,2.4,2.35,2.4,,441442.0
1999-12-17,2.5,2.57,2.41,2.44,,11429985.0
1999-12-20,2.46,2.49,2.38,2.44,,263467.0
1999-12-21,2.43,2.49,2.39,2.47,,293867.0
1999-12-22,2.48,2.58,2.48,2.48,,240790.0
1999-12-23,2.48,2.6,2.48,2.58,,166775.0
1999-12-27,2.59,2.59,2.51,2.51,,183644.0
1999-12-28,2.5,2.57,2.45,2.55,,258963.0
1999-12-29,2.52,2.58,2.5,2.58,,123457.0
1999-12-30,2.58,2.6,2.53,2.55,,125985.0
1999-12-31,2.57,2.57,2.47,2.47,,135644.0
2000-01-03,2.44,2.44,2.36,2.43,,648000.0
2000-01-04,2.42,2.46,2.3,2.32,,336020.0
2000-01-05,2.31,2.45,2.3,2.45,,415842.0
2000-01-06,2.4,2.44,2.34,2.38,,697363.0
2000-01-07,2.37,2.47,2.32,2.47,,528830.0
2000-01-10,2.48,2.57,2.45,2.57,,352375.0
2000-01-11,2.54,2.54,2.33,2.38,,390953.0
2000-01-12,2.41,2.42,2.32,2.35,,412385.0
2000-01-13,2.34,2.45,2.34,2.43,,264652.0
2000-01-14,2.47,2.51,2.39,2.44,,275042.0
2000-01-18,2.43,2.5,2.4,2.48,,290568.0
2000-01-19,2.51,2.51,2.39,2.46,,398044.0
2000-01-20,2.48,2.48,2.34,2.4,,248000.0
2000-01-21,2.5,2.5,2.34,2.4,,381235.0
2000-01-24,2.41,2.41,2.28,2.3,,517057.0
2000-01-25,2.3,2.34,2.25,2.33,,540267.0
2000-01-26,2.36,2.37,2.27,2.29,,233363.0
2000-01-27,2.28,2.37,2.27,2.34,,384020.0
2000-01-28,2.26,2.29,2.22,2.24,,426153.0
2000-01-31,2.27,2.34,2.26,2.31,,465067.0
2000-02-01,2.39,2.41,2.33,2.36,,457778.0
2000-02-02,2.37,2.37,2.29,2.32,,337600.0
2000-02-03,2.35,2.39,2.31,2.37,,408000.0
2000-02-04,2.39,2.41,2.34,2.34,,376968.0
2000-02-07,2.34,2.38,2.34,2.36,,669235.0
2000-02-08,2.39,2.41,2.37,2.4,,431763.0
2000-02-09,2.4,2.41,2.37,2.37,,500385.0
2000-02-10,2.39,2.4,2.35,2.39,,443378.0
2000-02-11,2.39,2.4,2.36,2.37,,335842.0
2000-02-14,2.36,2.43,2.32,2.42,,348385.0
2000-02-15,2.42,2.45,2.35,2.42,,326953.0
2000-02-16,2.44,2.53,2.44,2.52,,518242.0
2000-02-17,2.52,2.54,2.45,2.52,,379990.0
2000-02-18,2.51,2.52,2.47,2.51,,734657.0
2000-02-22,2.51,2.6,2.49,2.54,,738035.0
2000-02-23,2.53,2.59,2.47,2.5,,587378.0
2000-02-24,2.5,2.5,2.37,2.46,,760652.0
2000-02-25,2.46,2.49,2.39,2.41,,676385.0
2000-02-28,2.39,2.4,2.32,2.38,,599763.0
2000-02-29,2.38,2.42,2.34,2.42,,692444.0
2000-03-01,2.39,2.45,2.38,2.42,,362035.0
2000-03-02,2.39,2.43,2.34,2.41,,502775.0
2000-03-03,2.44,2.71,2.42,2.7,,801975.0
2000-03-06,2.69,2.69,2.41,2.42,,479763.0
2000-03-07,2.43,2.46,2.24,2.3,,1259852.0
2000-03-08,2.3,2.41,2.25,2.4,,1052563.0
2000-03-09,2.39,2.42,2.31,2.42,,342657.0
2000-03-10,2.42,2.47,2.39,2.39,,378390.0
2000-03-13,2.4,2.49,2.34,2.36,,497600.0
2000-03-14,2.37,2.47,2.36,2.38,,509057.0
2000-03-15,2.38,2.54,2.37,2.52,,522035.0
2000-03-16,2.52,2.77,2.5,2.76,,706035.0
2000-03-17,2.72,2.81,2.65,2.68,,753975.0
2000-03-20,2.66,2.72,2.6,2.61,,396030.0
2000-03-21,2.61,2.75,2.61,2.72,,516978.0
2000-03-22,2.72,2.73,2.61,2.63,,416178.0
2000-03-23,2.59,2.76,2.58,2.75,,350242.0
2000-03-24,2.75,2.75,2.64,2.72,,348642.0
2000-03-27,2.73,2.73,2.64,2.69,,314390.0
2000-03-28,2.66,2.7,2.61,2.61,,313857.0
2000-03-29,2.61,2.71,2.55,2.67,,326578.0
2000-03-30,2.61,2.75,2.61,2.69,,557768.0
2000-03-31,2.72,2.81,2.64,2.81,,655585.0
2000-04-03,2.79,2.89,2.77,2.8,,464020.0
2000-04-04,2.82,3.05,2.78,2.96,,746963.0
2000-04-05,2.9,2.94,2.83,2.85,,524168.0
2000-04-06,2.86,2.86,2.76,2.81,,574163.0
2000-04-07,2.85,2.85,2.59,2.63,,439842.0
