time,open,high,low,close,Volume,volume
1999-11-01,7.01,7.03,6.92,6.98,,271400.0
1999-11-02,6.97,7.08,6.97,7.03,,206500.0
1999-11-03,7.01,7.02,6.95,7.01,,293000.0
1999-11-04,6.99,7.05,6.87,6.94,,331700.0
1999-11-05,6.89,6.99,6.89,6.94,,287400.0
1999-11-08,6.91,6.96,6.86,6.88,,225600.0
1999-11-09,6.87,6.87,6.78,6.84,,510400.0
1999-11-10,6.77,6.8,6.63,6.65,,640300.0
1999-11-11,6.64,6.75,6.62,6.73,,381100.0
1999-11-12,6.75,6.76,6.7,6.72,,332200.0
1999-11-15,6.67,6.68,6.58,6.59,,285000.0
1999-11-16,6.58,6.66,6.56,6.62,,374200.0
1999-11-17,6.57,6.62,6.56,6.59,,516100.0
1999-11-18,6.57,6.57,6.49,6.53,,208500.0
1999-11-19,6.48,6.49,6.42,6.43,,253600.0
1999-11-22,6.38,6.42,6.32,6.37,,416000.0
1999-11-23,6.35,6.36,6.22,6.25,,334000.0
1999-11-24,6.24,6.3,6.21,6.23,,257200.0
1999-11-26,6.26,6.26,6.15,6.17,,135500.0
1999-11-29,6.14,6.14,5.93,5.97,,429500.0
1999-11-30,6.02,6.24,6.01,6.23,,680600.0
1999-12-01,6.13,6.21,6.08,6.14,,487700.0
1999-12-02,6.12,6.22,6.1,6.13,,297400.0
1999-12-03,6.18,6.32,6.17,6.17,,979200.0
1999-12-06,6.15,6.21,6.1,6.16,,720500.0
1999-12-07,6.15,6.22,6.14,6.19,,919100.0
1999-12-08,6.18,6.24,6.16,6.19,,848600.0
1999-12-09,6.17,6.24,6.17,6.19,,1293100.0
1999-12-10,6.19,6.22,5.99,5.99,,1278500.0
1999-12-13,6.0,6.0,5.78,5.85,,714000.0
1999-12-14,5.92,5.93,5.86,5.87,,568600.0
1999-12-15,5.84,6.02,5.84,5.93,,689700.0
1999-12-16,5.94,5.94,5.87,5.92,,521400.0
1999-12-17,5.92,5.94,5.86,5.9,,808900.0
1999-12-20,5.91,5.96,5.86,5.94,,483000.0
1999-12-21,5.93,6.05,5.92,5.99,,659000.0
1999-12-22,5.99,6.11,5.99,6.08,,613600.0
1999-12-23,6.09,6.18,6.09,6.17,,415200.0
1999-12-27,6.21,6.28,6.21,6.27,,487800.0
1999-12-28,6.28,6.35,6.27,6.32,,1286400.0
1999-12-29,6.33,6.34,6.27,6.29,,1003300.0
1999-12-30,6.29,6.33,6.29,6.3,,359200.0
1999-12-31,6.33,6.34,6.28,6.29,,221300.0
2000-01-03,6.33,6.33,6.16,6.16,,2675600.0
2000-01-04,6.17,6.26,6.16,6.2,,1041100.0
2000-01-05,6.2,6.36,6.2,6.35,,746400.0
2000-01-06,6.36,6.44,6.35,6.38,,504500.0
2000-01-07,6.38,6.39,6.34,6.34,,535900.0
2000-01-10,6.36,6.39,6.31,6.33,,674100.0
2000-01-11,6.33,6.43,6.33,6.41,,811400.0
2000-01-12,6.41,6.5,6.41,6.42,,551400.0
2000-01-13,6.41,6.47,6.37,6.38,,2198500.0
2000-01-14,6.34,6.36,6.27,6.28,,636900.0
2000-01-18,6.24,6.25,6.17,6.18,,429200.0
2000-01-19,6.22,6.37,6.22,6.29,,567900.0
2000-01-20,6.28,6.34,6.24,6.3,,621200.0
2000-01-21,6.33,6.44,6.28,6.43,,423800.0
2000-01-24,6.44,6.51,6.35,6.37,,581300.0
2000-01-25,6.38,6.38,6.12,6.27,,934600.0
2000-01-26,6.17,6.24,6.13,6.24,,768900.0
2000-01-27,6.21,6.28,6.13,6.25,,502400.0
2000-01-28,6.17,6.21,6.03,6.05,,636500.0
2000-01-31,6.05,6.21,6.04,6.21,,414600.0
2000-02-01,6.22,6.25,6.12,6.22,,366000.0
2000-02-02,6.2,6.22,6.12,6.13,,311400.0
2000-02-03,6.12,6.28,6.12,6.22,,612000.0
2000-02-04,6.21,6.22,6.02,6.09,,552900.0
2000-02-07,6.01,6.09,6.0,6.05,,455600.0
2000-02-08,6.04,6.12,6.02,6.05,,262300.0
2000-02-09,6.01,6.08,5.95,5.99,,548100.0
2000-02-10,5.99,6.01,5.86,5.91,,264500.0
2000-02-11,5.88,5.94,5.84,5.88,,254000.0
