time,open,high,low,close,Volume,volume
1999-11-01,20.11,20.11,19.31,19.42,,427267.0
1999-11-02,19.42,20.25,19.23,19.64,,203800.0
1999-11-03,19.56,19.89,19.17,19.2,,312000.0
1999-11-04,18.87,18.87,18.08,18.82,,1014600.0
1999-11-05,20.19,20.19,19.75,19.86,,596067.0
1999-11-08,19.86,20.0,19.53,19.86,,309000.0
1999-11-09,19.64,19.75,19.31,19.5,,355267.0
1999-11-10,19.45,20.08,19.45,19.89,,447667.0
1999-11-11,20.0,20.58,20.0,20.19,,751200.0
1999-11-12,20.16,20.19,19.39,19.61,,211000.0
1999-11-15,19.81,21.07,19.78,20.71,,432867.0
1999-11-16,20.96,21.51,20.85,21.2,,420467.0
1999-11-17,21.15,21.18,20.6,21.01,,100600.0
1999-11-18,20.98,21.45,20.58,21.42,,261800.0
1999-11-19,21.31,21.31,20.46,20.68,,236000.0
1999-11-22,20.46,20.46,19.8,19.82,,303667.0
1999-11-23,19.93,20.07,19.66,19.93,,394067.0
1999-11-24,19.93,20.46,19.88,19.99,,262267.0
1999-11-26,20.15,20.26,19.99,19.99,,55400.0
1999-11-29,19.99,20.54,19.6,20.26,,196000.0
1999-11-30,20.04,21.06,20.04,20.73,,360000.0
1999-12-01,20.62,20.95,20.59,20.87,,260600.0
1999-12-02,20.76,20.87,20.59,20.7,,159800.0
1999-12-03,20.76,21.56,20.7,20.79,,295400.0
1999-12-06,20.79,21.2,20.73,20.87,,335200.0
1999-12-07,21.8,21.8,20.92,21.14,,461467.0
1999-12-08,21.17,22.49,21.14,22.02,,586800.0
1999-12-09,21.91,22.02,21.42,21.45,,315400.0
1999-12-10,21.45,21.45,21.06,21.14,,312867.0
1999-12-13,21.2,21.31,20.92,20.92,,492400.0
1999-12-14,20.98,21.72,20.92,20.92,,990067.0
1999-12-15,21.14,21.91,21.03,21.03,,514467.0
1999-12-16,21.14,21.47,21.06,21.25,,325467.0
1999-12-17,19.82,21.5,19.82,19.82,,686400.0
1999-12-20,20.26,20.59,19.77,19.99,,631600.0
1999-12-21,20.02,20.4,19.77,20.26,,299267.0
1999-12-22,20.15,20.4,19.93,19.96,,150200.0
1999-12-23,19.99,20.21,19.82,20.1,,248000.0
1999-12-27,20.18,20.92,20.15,20.54,,207667.0
1999-12-28,20.54,21.47,20.54,21.34,,219867.0
1999-12-29,21.36,22.3,21.12,22.11,,274200.0
1999-12-30,22.13,22.35,22.02,22.08,,229000.0
1999-12-31,22.08,22.66,21.83,22.6,,128600.0
2000-01-03,22.6,22.6,21.36,21.5,,395600.0
2000-01-04,21.5,21.69,20.65,20.65,,145067.0
2000-01-05,20.73,21.03,20.54,20.73,,280600.0
2000-01-06,20.7,21.03,20.32,21.03,,802267.0
2000-01-07,22.9,23.79,22.79,22.96,,1753400.0
2000-01-10,22.96,23.54,22.35,22.68,,516600.0
2000-01-11,22.57,22.82,22.02,22.11,,349000.0
