time,open,high,low,close,Volume,volume
1999-11-01,8.2,8.2,7.9,8.01,,513200.0
1999-11-02,8.01,8.28,8.01,8.21,,394600.0
1999-11-03,8.27,8.34,8.17,8.23,,175000.0
1999-11-04,8.23,8.42,8.23,8.31,,194000.0
1999-11-05,8.31,8.42,8.25,8.34,,279000.0
1999-11-08,8.28,8.32,8.23,8.28,,168600.0
1999-11-09,8.29,8.46,8.29,8.4,,522600.0
1999-11-10,8.38,8.38,8.24,8.31,,190600.0
1999-11-11,8.29,8.39,8.25,8.35,,177200.0
1999-11-12,8.17,8.61,8.1,8.35,,295000.0
1999-11-15,8.32,8.45,8.18,8.39,,219600.0
1999-11-16,8.36,8.69,8.36,8.62,,252400.0
1999-11-17,8.47,8.61,8.45,8.56,,132400.0
1999-11-18,8.56,8.56,8.31,8.49,,199000.0
1999-11-19,8.45,8.45,8.05,8.12,,296400.0
1999-11-22,8.12,8.42,8.12,8.31,,498200.0
1999-11-23,8.31,8.32,8.06,8.12,,336600.0
1999-11-24,8.07,8.09,7.73,8.05,,238400.0
1999-11-26,8.02,8.13,8.02,8.13,,68400.0
1999-11-29,8.17,8.17,7.87,7.87,,131200.0
1999-11-30,7.98,8.21,7.96,8.14,,247200.0
1999-12-01,8.17,8.21,8.07,8.17,,213800.0
1999-12-02,8.14,8.31,8.06,8.31,,171000.0
1999-12-03,8.28,8.29,8.02,8.07,,470200.0
1999-12-06,8.12,8.13,7.92,7.94,,132200.0
1999-12-07,8.03,8.12,7.7,7.83,,178200.0
1999-12-08,7.83,7.92,7.75,7.88,,385000.0
1999-12-09,7.94,7.99,7.81,7.9,,196400.0
1999-12-10,7.84,7.84,7.68,7.79,,194000.0
1999-12-13,7.73,7.8,7.59,7.66,,404200.0
1999-12-14,7.66,7.73,7.54,7.54,,396200.0
1999-12-15,7.59,7.76,7.54,7.54,,1479000.0
1999-12-16,7.59,7.9,7.54,7.86,,389600.0
1999-12-17,7.9,7.9,7.46,7.46,,353400.0
1999-12-20,7.51,7.57,7.16,7.23,,770800.0
1999-12-21,7.27,7.4,6.96,7.12,,870800.0
1999-12-22,7.17,7.4,7.14,7.21,,581800.0
1999-12-23,7.24,7.95,7.24,7.61,,519600.0
1999-12-27,7.66,7.72,7.34,7.39,,217800.0
1999-12-28,7.29,7.95,7.29,7.8,,423800.0
1999-12-29,7.8,8.12,7.69,8.12,,359400.0
1999-12-30,8.06,8.29,8.06,8.12,,381800.0
1999-12-31,8.06,8.47,8.06,8.45,,242600.0
2000-01-03,8.45,8.45,7.62,7.94,,367000.0
2000-01-04,7.98,7.98,7.65,7.81,,175200.0
2000-01-05,7.81,8.01,7.7,7.94,,213800.0
2000-01-06,7.88,7.92,7.75,7.9,,511800.0
2000-01-07,7.95,8.28,7.88,8.21,,339800.0
2000-01-10,8.36,8.36,7.95,7.98,,297400.0
2000-01-11,8.02,8.06,7.88,7.9,,238600.0
2000-01-12,7.94,8.09,7.83,7.9,,187400.0
2000-01-13,7.9,7.94,7.8,7.87,,272600.0
2000-01-14,7.9,7.94,7.68,7.77,,330600.0
2000-01-18,7.75,7.79,7.59,7.65,,247000.0
2000-01-19,7.66,7.73,7.61,7.65,,162400.0
2000-01-20,7.65,7.73,7.45,7.51,,189800.0
2000-01-21,7.62,7.65,7.47,7.58,,183200.0
2000-01-24,7.53,7.57,7.14,7.24,,476800.0
2000-01-25,7.35,7.35,6.86,7.01,,716800.0
2000-01-26,7.06,7.15,6.94,7.0,,289400.0
2000-01-27,7.05,7.39,7.01,7.23,,661400.0
2000-01-28,7.23,7.28,7.06,7.2,,260000.0
2000-01-31,7.26,7.53,7.09,7.37,,657200.0
2000-02-01,7.42,7.53,7.31,7.41,,342600.0
2000-02-02,7.53,7.81,7.53,7.55,,732200.0
2000-02-03,7.5,7.67,7.44,7.57,,589200.0
2000-02-04,7.56,7.67,7.56,7.6,,271200.0
2000-02-07,7.72,8.22,7.64,8.07,,774800.0
2000-02-08,8.12,8.36,7.83,7.92,,526800.0
2000-02-09,7.92,8.0,7.75,7.93,,396000.0
2000-02-10,7.9,7.92,7.77,7.89,,414800.0
2000-02-11,7.97,7.97,7.56,7.56,,154200.0
2000-02-14,7.64,7.9,7.61,7.89,,376400.0
2000-02-15,7.83,7.97,7.68,7.83,,595000.0
2000-02-16,7.85,8.07,7.85,7.94,,388400.0
2000-02-17,7.97,8.01,7.81,7.81,,239600.0
2000-02-18,7.78,7.97,7.77,7.9,,278600.0
2000-02-22,8.23,8.27,7.99,8.05,,390600.0
2000-02-23,8.03,8.08,7.86,8.08,,260200.0
2000-02-24,8.04,8.04,7.49,7.61,,433600.0
2000-02-25,7.61,7.68,7.45,7.57,,258800.0
2000-02-28,7.55,7.57,7.42,7.52,,289400.0
2000-02-29,7.64,7.86,7.49,7.56,,503400.0
2000-03-01,7.63,7.89,7.61,7.86,,353600.0
2000-03-02,7.86,7.86,7.68,7.72,,331000.0
2000-03-03,7.74,8.04,7.71,7.97,,212600.0
2000-03-06,7.92,7.93,7.7,7.93,,356400.0
2000-03-07,7.92,8.14,7.86,8.14,,222000.0
2000-03-08,8.03,8.03,7.86,7.97,,319600.0
2000-03-09,7.92,8.3,7.81,8.16,,311000.0
2000-03-10,8.27,8.31,8.05,8.18,,193200.0
2000-03-13,8.22,8.22,7.86,7.92,,329400.0
2000-03-14,7.93,8.08,7.59,7.7,,427800.0
2000-03-15,7.64,8.03,7.61,8.03,,502200.0
2000-03-16,8.19,8.77,8.16,8.67,,674200.0
2000-03-17,8.36,8.58,8.33,8.34,,307400.0
2000-03-20,8.22,8.31,8.14,8.16,,300800.0
2000-03-21,8.18,8.29,8.08,8.11,,401600.0
2000-03-22,8.14,8.36,8.12,8.25,,323800.0
2000-03-23,8.14,8.25,8.05,8.2,,198200.0
2000-03-24,8.09,8.22,8.05,8.2,,617000.0
2000-03-27,8.25,8.25,7.85,8.08,,205600.0
2000-03-28,8.03,8.04,7.83,7.83,,379000.0
2000-03-29,7.85,7.99,7.7,7.77,,338800.0
2000-03-30,7.74,8.11,7.74,8.09,,847000.0
2000-03-31,8.14,8.29,8.09,8.15,,500400.0
2000-04-03,8.09,8.69,8.04,8.69,,585600.0
2000-04-04,8.69,9.0,8.47,8.64,,790400.0
2000-04-05,8.66,8.8,8.41,8.41,,268600.0
2000-04-06,8.47,8.55,8.26,8.3,,569800.0
2000-04-07,8.26,8.63,8.19,8.48,,546200.0
2000-04-10,8.51,8.66,8.47,8.51,,277800.0
2000-04-11,8.62,8.88,8.52,8.73,,386600.0
2000-04-12,8.73,8.8,8.47,8.53,,212400.0
2000-04-13,8.6,8.8,8.38,8.44,,250200.0
2000-04-14,8.41,8.47,7.81,7.9,,296400.0
2000-04-17,7.96,8.36,7.9,8.33,,386400.0
2000-04-18,8.33,8.73,8.22,8.49,,534200.0
2000-04-19,8.45,8.56,8.23,8.36,,276600.0
2000-04-20,8.4,8.4,8.16,8.37,,402400.0
2000-04-24,8.38,8.47,8.19,8.2,,423600.0
2000-04-25,8.33,8.49,8.26,8.44,,450200.0
2000-04-26,8.43,8.7,8.35,8.35,,279600.0
2000-04-27,8.32,8.59,8.21,8.39,,261800.0
2000-04-28,8.36,8.53,8.36,8.43,,173800.0
