time,open,high,low,close,Volume,volume
1999-11-01,12.32,12.32,12.19,12.24,,237500.0
1999-11-02,12.28,12.47,12.26,12.32,,70100.0
1999-11-03,12.3,12.3,12.15,12.22,,147600.0
1999-11-04,12.22,12.32,11.99,12.03,,88000.0
1999-11-05,12.17,12.22,11.97,12.05,,814000.0
1999-11-08,12.05,12.13,11.88,11.99,,196400.0
1999-11-09,11.97,12.03,11.76,11.84,,110800.0
1999-11-10,11.84,11.84,11.51,11.57,,190100.0
1999-11-11,11.61,11.72,11.55,11.65,,92100.0
1999-11-12,11.67,11.72,11.59,11.65,,130700.0
1999-11-15,11.61,11.65,11.51,11.65,,102000.0
1999-11-16,11.69,11.74,11.51,11.63,,753900.0
1999-11-17,11.57,11.61,11.51,11.57,,111800.0
1999-11-18,11.51,11.59,11.34,11.34,,166600.0
1999-11-19,11.28,11.42,11.26,11.32,,104400.0
1999-11-22,11.24,11.28,11.01,11.07,,82000.0
1999-11-23,11.07,11.07,10.9,10.9,,132100.0
1999-11-24,10.97,10.97,10.8,10.82,,272800.0
1999-11-26,10.76,10.86,10.76,10.78,,36500.0
1999-11-29,10.74,10.74,10.26,10.53,,362100.0
1999-11-30,10.59,11.07,10.59,11.07,,346700.0
1999-12-01,10.99,11.15,10.88,11.11,,338500.0
1999-12-02,11.05,11.15,11.01,11.13,,187400.0
1999-12-03,11.01,11.34,11.01,11.22,,623400.0
1999-12-06,11.19,11.3,11.17,11.22,,467000.0
1999-12-07,11.19,11.26,11.15,11.15,,291500.0
1999-12-08,11.22,11.22,10.97,11.05,,343800.0
1999-12-09,11.05,11.09,10.86,10.86,,276200.0
1999-12-10,10.88,10.9,10.72,10.76,,197900.0
1999-12-13,10.67,10.67,10.26,10.26,,1419000.0
1999-12-14,10.28,10.42,10.24,10.32,,526500.0
1999-12-15,10.36,10.44,10.3,10.42,,400100.0
1999-12-16,10.34,10.4,10.3,10.36,,156700.0
1999-12-17,10.32,10.55,10.28,10.34,,360000.0
1999-12-20,10.38,10.38,10.3,10.34,,103200.0
1999-12-21,10.34,10.53,10.32,10.49,,419500.0
1999-12-22,10.4,10.42,10.3,10.32,,284900.0
1999-12-23,10.32,10.51,10.32,10.49,,166200.0
1999-12-27,10.44,10.55,10.38,10.38,,169700.0
1999-12-28,10.38,10.42,10.22,10.24,,352500.0
1999-12-29,10.28,10.28,10.11,10.15,,255000.0
1999-12-30,10.09,10.28,10.07,10.26,,191400.0
1999-12-31,10.26,10.26,10.17,10.19,,84800.0
2000-01-03,10.11,10.11,9.84,9.92,,246300.0
2000-01-04,9.86,10.05,9.86,10.05,,347800.0
2000-01-05,9.97,10.42,9.97,10.32,,453000.0
2000-01-06,10.28,10.4,10.28,10.38,,139300.0
2000-01-07,10.38,10.69,10.3,10.67,,303300.0
2000-01-10,10.59,10.63,10.47,10.53,,178800.0
2000-01-11,10.53,10.57,10.3,10.42,,150800.0
2000-01-12,10.38,10.67,10.36,10.59,,143500.0
2000-01-13,10.59,10.59,10.28,10.36,,1107400.0
2000-01-14,10.34,10.34,10.22,10.3,,204300.0
2000-01-18,10.3,10.34,10.01,10.05,,348600.0
2000-01-19,9.9,10.36,9.9,10.36,,208500.0
2000-01-20,10.4,10.51,10.11,10.13,,326300.0
2000-01-21,10.32,10.38,10.17,10.3,,233400.0
2000-01-24,10.3,10.69,10.24,10.57,,520000.0
2000-01-25,10.65,10.78,10.03,10.11,,519900.0
2000-01-26,10.17,10.42,10.09,10.3,,308700.0
2000-01-27,10.38,10.63,10.34,10.55,,841900.0
2000-01-28,10.42,10.44,10.06,10.1,,1628400.0
2000-01-31,10.23,10.42,10.04,10.42,,585300.0
2000-02-01,10.38,10.46,10.31,10.46,,170600.0
2000-02-02,10.44,10.55,10.42,10.46,,169100.0
2000-02-03,10.5,10.78,10.5,10.69,,460800.0
2000-02-04,10.4,10.4,10.34,10.4,,202500.0
2000-02-07,10.4,10.42,10.31,10.34,,94800.0
2000-02-08,10.34,10.46,10.34,10.44,,228700.0
2000-02-09,10.4,10.67,10.17,10.4,,382300.0
2000-02-10,10.44,10.53,10.12,10.27,,802100.0
2000-02-11,10.27,10.31,10.14,10.27,,160800.0
2000-02-14,10.29,10.29,10.23,10.25,,342600.0
2000-02-15,10.25,10.29,10.12,10.23,,104900.0
2000-02-16,10.19,10.21,9.93,10.12,,251100.0
2000-02-17,10.12,10.14,9.91,10.0,,236700.0
2000-02-18,9.95,9.98,9.53,9.75,,284400.0
2000-02-22,9.83,9.91,9.72,9.77,,262700.0
2000-02-23,9.72,9.72,9.41,9.53,,185800.0
2000-02-24,9.53,9.53,9.05,9.24,,135700.0
2000-02-25,9.11,9.13,8.86,8.86,,252100.0
2000-02-28,8.94,9.41,8.9,9.34,,243900.0
2000-02-29,9.28,9.41,9.22,9.28,,224500.0
2000-03-01,9.32,9.43,9.2,9.24,,679300.0
2000-03-02,9.28,9.32,9.24,9.26,,317200.0
2000-03-03,9.26,9.36,9.2,9.24,,356400.0
2000-03-06,9.2,9.2,8.73,8.82,,303400.0
2000-03-07,8.79,9.03,8.77,8.92,,339900.0
2000-03-08,8.96,9.18,8.9,8.94,,328000.0
2000-03-09,8.94,9.11,8.86,9.09,,176000.0
2000-03-10,9.18,9.18,8.77,8.84,,936500.0
2000-03-13,8.79,8.86,8.67,8.75,,136700.0
2000-03-14,8.75,8.9,8.67,8.79,,187600.0
2000-03-15,8.77,9.68,8.77,9.64,,696500.0
2000-03-16,9.6,10.1,9.51,10.0,,583700.0
2000-03-17,10.0,10.0,9.66,9.7,,258600.0
2000-03-20,9.75,9.75,9.51,9.58,,536000.0
2000-03-21,9.53,9.62,9.34,9.38,,375900.0
2000-03-22,9.36,9.36,8.96,9.01,,481700.0
2000-03-23,8.94,9.45,8.94,9.13,,1041700.0
2000-03-24,9.11,9.2,9.01,9.01,,634500.0
2000-03-27,9.07,9.22,9.03,9.05,,835000.0
2000-03-28,9.01,9.07,8.99,9.07,,295500.0
2000-03-29,9.03,9.3,9.03,9.28,,530200.0
2000-03-30,9.24,9.45,9.24,9.43,,335300.0
2000-03-31,9.38,9.51,9.3,9.51,,368600.0
2000-04-03,9.58,9.64,9.41,9.51,,204600.0
2000-04-04,9.58,9.79,9.41,9.66,,259600.0
2000-04-05,9.66,10.12,9.66,9.89,,380600.0
2000-04-06,9.95,9.95,9.75,9.81,,182300.0
2000-04-07,9.79,9.87,9.75,9.77,,178900.0
2000-04-10,9.7,10.0,9.66,9.95,,161100.0
2000-04-11,10.0,10.12,9.91,9.91,,263800.0
2000-04-12,10.0,10.38,10.0,10.19,,335800.0
2000-04-13,10.25,10.53,10.12,10.44,,264300.0
2000-04-14,10.4,10.67,10.14,10.21,,799200.0
2000-04-17,10.17,10.29,9.95,10.25,,468400.0
2000-04-18,10.17,10.4,10.08,10.08,,473400.0
2000-04-19,10.12,10.38,10.02,10.31,,1156700.0
2000-04-20,10.31,10.67,10.31,10.48,,298100.0
2000-04-24,10.42,11.18,10.42,11.07,,473100.0
2000-04-25,11.1,11.37,10.93,11.35,,298600.0
2000-04-26,11.3,11.81,11.26,11.81,,250400.0
2000-04-27,11.76,11.76,11.3,11.42,,748700.0
2000-04-28,11.47,12.02,11.47,11.95,,1058700.0
2000-05-01,11.93,12.1,11.87,11.98,,714500.0
2000-05-02,12.0,12.19,11.57,11.61,,848100.0
2000-05-03,11.55,11.64,11.32,11.49,,286100.0
2000-05-04,11.53,11.85,11.42,11.78,,413000.0
