time,open,high,low,close,Volume,volume
2001-12-13,14.64,15.09,14.59,14.74,,49466000.0
2001-12-14,15.04,15.14,14.85,14.93,,9676300.0
2001-12-17,15.07,15.07,14.79,14.82,,5110900.0
2001-12-18,14.84,15.07,14.79,15.07,,5167700.0
2001-12-19,15.02,15.19,14.9,15.17,,3693200.0
2001-12-20,15.22,15.59,15.15,15.18,,3914200.0
2001-12-21,15.29,15.59,15.22,15.59,,3429100.0
2001-12-24,15.47,15.84,15.47,15.82,,976900.0
2001-12-26,15.85,16.47,15.85,16.2,,2456300.0
2001-12-27,16.2,16.59,15.86,16.53,,4447500.0
2001-12-28,16.53,16.65,16.39,16.57,,4174800.0
2001-12-31,16.66,16.97,16.46,16.7,,5532800.0
2002-01-02,16.41,16.5,15.66,15.75,,5168900.0
2002-01-03,16.48,16.48,15.51,15.72,,2906500.0
2002-01-04,16.1,16.1,15.65,16.07,,3086000.0
2002-01-07,15.97,16.12,15.78,16.07,,2449300.0
2002-01-08,15.72,16.02,15.72,15.99,,1766500.0
2002-01-09,16.07,16.07,15.72,15.75,,1639100.0
2002-01-10,15.66,15.94,15.6,15.6,,1689400.0
2002-01-11,15.6,15.67,15.47,15.55,,1966200.0
2002-01-14,15.47,15.47,14.86,15.12,,3160000.0
2002-01-15,15.29,15.66,15.05,15.49,,1962400.0
2002-01-16,15.38,15.67,15.32,15.43,,1881100.0
2002-01-17,15.54,15.6,15.24,15.35,,1739800.0
2002-01-18,15.29,15.32,14.97,15.22,,1531400.0
2002-01-22,15.34,15.72,15.29,15.72,,2322700.0
2002-01-23,15.95,15.95,15.35,15.35,,2460800.0
2002-01-24,15.39,15.43,15.09,15.22,,3064100.0
2002-01-25,15.09,15.34,15.04,15.31,,2373600.0
2002-01-28,15.62,15.62,15.37,15.56,,2450800.0
2002-01-29,15.09,15.54,15.09,15.29,,2512800.0
2002-01-30,15.34,15.38,14.99,15.17,,3533700.0
2002-01-31,15.33,15.69,15.26,15.62,,3986900.0
2002-02-01,15.57,15.57,15.29,15.39,,3200100.0
2002-02-04,15.39,15.59,15.34,15.54,,3193400.0
2002-02-05,15.52,15.9,15.48,15.62,,2397200.0
2002-02-06,15.7,15.7,15.54,15.67,,2107700.0
2002-02-07,15.57,15.62,15.35,15.4,,1801500.0
2002-02-08,15.38,15.61,15.37,15.61,,1399300.0
2002-02-11,15.44,16.04,15.43,15.98,,1904300.0
2002-02-12,15.8,16.02,15.72,15.85,,2038700.0
2002-02-13,15.7,16.21,15.53,16.14,,3779900.0
2002-02-14,16.12,16.24,16.05,16.11,,2200800.0
2002-02-15,16.06,16.06,15.61,15.85,,1649600.0
2002-02-19,15.6,15.65,15.09,15.22,,2983900.0
2002-02-20,15.46,15.46,15.14,15.42,,2283100.0
2002-02-21,15.32,15.53,15.32,15.52,,1929100.0
2002-02-22,15.37,15.42,15.09,15.21,,1655900.0
2002-02-25,15.22,15.25,15.13,15.23,,2355800.0
2002-02-26,15.28,15.44,15.26,15.34,,2309100.0
2002-02-27,15.39,15.4,15.24,15.27,,2937000.0
2002-02-28,15.27,15.47,15.27,15.38,,2012600.0
2002-03-01,15.44,15.54,15.29,15.52,,2189500.0
2002-03-04,15.54,15.84,15.44,15.44,,2321500.0
2002-03-05,15.44,15.84,15.3,15.82,,3350200.0
2002-03-06,15.6,15.8,15.6,15.8,,1593000.0
2002-03-07,15.7,15.93,15.65,15.88,,2412800.0
2002-03-08,16.02,16.13,15.82,15.97,,2561600.0
