time,open,high,low,close,Volume,volume
1999-11-01,9.34,9.39,9.27,9.37,,359000.0
1999-11-02,9.34,9.65,9.34,9.6,,211200.0
1999-11-03,9.6,9.87,9.6,9.87,,180100.0
1999-11-04,9.89,9.99,9.85,9.85,,244700.0
1999-11-05,9.85,9.92,9.63,9.68,,101600.0
1999-11-08,9.56,9.63,9.46,9.49,,505200.0
1999-11-09,9.51,9.51,9.37,9.37,,130100.0
1999-11-10,9.1,9.29,9.1,9.17,,417700.0
1999-11-11,9.15,9.15,9.08,9.08,,747200.0
1999-11-12,9.08,9.1,8.89,8.95,,87100.0
1999-11-15,8.91,8.93,8.81,8.91,,266700.0
1999-11-16,8.91,9.17,8.91,9.12,,240300.0
1999-11-17,9.08,9.1,8.95,9.03,,107700.0
1999-11-18,9.05,9.05,8.91,8.98,,201500.0
1999-11-19,8.84,9.27,8.84,9.27,,271500.0
1999-11-22,9.17,9.17,8.93,8.98,,125600.0
1999-11-23,8.95,8.98,8.89,8.95,,310500.0
1999-11-24,8.91,8.93,8.86,8.89,,104000.0
1999-11-26,8.86,8.91,8.86,8.89,,30700.0
1999-11-29,8.84,8.89,8.74,8.74,,225100.0
1999-11-30,8.67,8.81,8.64,8.76,,467600.0
1999-12-01,8.76,8.89,8.76,8.86,,235300.0
1999-12-02,8.81,8.86,8.74,8.74,,330700.0
1999-12-03,8.79,8.81,8.72,8.76,,152000.0
1999-12-06,8.67,8.74,8.64,8.64,,197500.0
1999-12-07,8.6,8.74,8.6,8.72,,224500.0
1999-12-08,8.67,8.69,8.62,8.62,,251200.0
1999-12-09,8.67,8.67,8.57,8.6,,247400.0
1999-12-10,8.52,8.57,8.45,8.45,,543800.0
1999-12-13,8.4,8.44,8.25,8.27,,620000.0
1999-12-14,8.3,8.32,8.22,8.22,,177600.0
1999-12-15,8.22,8.22,8.13,8.2,,328200.0
1999-12-16,8.15,8.3,8.08,8.25,,280800.0
1999-12-17,8.25,8.93,8.2,8.81,,348700.0
1999-12-20,8.76,8.9,8.73,8.83,,256800.0
1999-12-21,8.78,8.9,8.73,8.88,,300900.0
1999-12-22,8.83,8.9,8.73,8.73,,386000.0
1999-12-23,8.73,8.76,8.73,8.73,,322000.0
1999-12-27,8.69,8.76,8.69,8.73,,133100.0
1999-12-28,8.71,8.83,8.69,8.78,,324200.0
1999-12-29,8.81,8.95,8.73,8.83,,118100.0
1999-12-30,8.81,8.95,8.76,8.83,,73100.0
1999-12-31,8.83,8.93,8.81,8.81,,165100.0
2000-01-03,8.81,8.9,8.81,8.83,,229000.0
2000-01-04,8.78,8.83,8.76,8.83,,138400.0
2000-01-05,8.81,8.9,8.81,8.85,,236300.0
2000-01-06,8.85,9.29,8.83,9.24,,285900.0
2000-01-07,9.27,9.37,9.27,9.37,,185300.0
2000-01-10,9.37,9.63,9.32,9.56,,163900.0
2000-01-11,9.51,9.56,9.44,9.46,,146800.0
2000-01-12,9.39,9.53,9.39,9.49,,143500.0
2000-01-13,9.46,9.51,9.32,9.39,,210700.0
2000-01-14,9.41,9.46,9.32,9.37,,136000.0
2000-01-18,9.32,9.32,9.22,9.22,,145100.0
2000-01-19,9.22,9.22,9.07,9.14,,127900.0
2000-01-20,9.07,9.14,9.02,9.07,,116300.0
2000-01-21,9.02,9.05,8.88,8.88,,164700.0
2000-01-24,8.85,9.02,8.85,8.93,,117200.0
2000-01-25,8.9,8.93,8.83,8.88,,275500.0
2000-01-26,8.83,8.98,8.83,8.98,,103200.0
2000-01-27,8.95,8.95,8.85,8.88,,119900.0
2000-01-28,8.9,8.9,8.76,8.78,,262300.0
2000-01-31,8.78,8.88,8.78,8.81,,153100.0
2000-02-01,8.81,8.98,8.81,8.95,,366400.0
2000-02-02,8.9,8.95,8.88,8.9,,98300.0
2000-02-03,8.9,8.93,8.83,8.88,,136100.0
2000-02-04,8.85,8.95,8.85,8.88,,136900.0
2000-02-07,8.83,8.85,8.76,8.78,,129100.0
2000-02-08,8.83,8.85,8.78,8.81,,86900.0
2000-02-09,8.83,8.85,8.78,8.81,,347200.0
2000-02-10,8.76,8.9,8.76,8.78,,100900.0
2000-02-11,8.78,8.81,8.71,8.73,,116800.0
2000-02-14,8.73,8.78,8.71,8.73,,186200.0
2000-02-15,8.73,8.78,8.73,8.78,,110500.0
2000-02-16,8.73,8.81,8.71,8.78,,92900.0
2000-02-17,8.71,8.9,8.69,8.9,,144000.0
2000-02-18,8.9,8.9,8.69,8.73,,82900.0
2000-02-22,8.73,8.73,8.66,8.66,,170000.0
2000-02-23,8.66,8.71,8.59,8.61,,337700.0
2000-02-24,8.61,8.64,8.56,8.61,,254200.0
2000-02-25,8.61,8.61,8.52,8.54,,350900.0
2000-02-28,8.54,8.56,8.49,8.52,,364800.0
2000-02-29,8.52,8.56,8.49,8.56,,349200.0
2000-03-01,8.52,8.59,8.44,8.49,,182200.0
2000-03-02,8.47,8.49,8.42,8.42,,117900.0
2000-03-03,8.42,8.54,8.42,8.49,,393600.0
2000-03-06,8.44,8.47,8.42,8.44,,144400.0
2000-03-07,8.4,8.44,8.34,8.37,,189700.0
2000-03-08,8.34,8.4,8.22,8.25,,206200.0
2000-03-09,8.22,8.27,8.15,8.22,,175300.0
2000-03-10,8.17,8.2,8.1,8.15,,235700.0
2000-03-13,8.21,8.31,8.21,8.29,,172300.0
2000-03-14,8.26,8.36,8.24,8.29,,336200.0
2000-03-15,8.26,8.36,8.24,8.31,,175200.0
2000-03-16,8.33,8.41,8.26,8.38,,613100.0
2000-03-17,8.41,8.51,8.41,8.46,,440300.0
2000-03-20,8.38,8.48,8.38,8.43,,138900.0
2000-03-21,8.43,8.58,8.41,8.48,,217500.0
2000-03-22,8.51,8.53,8.43,8.53,,175500.0
2000-03-23,8.46,8.6,8.46,8.46,,209600.0
2000-03-24,8.6,8.6,8.48,8.53,,99800.0
2000-03-27,8.53,8.6,8.41,8.43,,108300.0
2000-03-28,8.43,8.53,8.43,8.51,,134100.0
2000-03-29,8.51,8.53,8.46,8.53,,196100.0
2000-03-30,8.58,8.63,8.43,8.55,,216800.0
2000-03-31,8.46,8.53,8.24,8.24,,223000.0
2000-04-03,8.33,8.53,8.33,8.51,,227400.0
2000-04-04,8.51,8.55,8.46,8.53,,96700.0
2000-04-05,8.51,8.63,8.51,8.63,,170500.0
2000-04-06,8.65,8.75,8.63,8.73,,260300.0
2000-04-07,8.7,8.75,8.68,8.73,,473900.0
2000-04-10,8.7,8.8,8.7,8.75,,139500.0
2000-04-11,8.8,8.87,8.78,8.82,,263000.0
2000-04-12,8.87,8.97,8.82,8.85,,382000.0
2000-04-13,8.9,8.9,8.82,8.87,,195300.0
2000-04-14,8.87,8.9,8.78,8.82,,187900.0
2000-04-17,8.78,8.95,8.73,8.95,,185800.0
2000-04-18,8.9,8.92,8.82,8.87,,185000.0
2000-04-19,8.87,8.87,8.82,8.85,,236800.0
2000-04-20,8.82,8.85,8.78,8.78,,69500.0
2000-04-24,8.78,8.8,8.65,8.73,,476000.0
2000-04-25,8.73,8.73,8.63,8.65,,212700.0
2000-04-26,8.65,9.02,8.65,8.97,,390100.0
2000-04-27,8.87,8.9,8.8,8.82,,81200.0
2000-04-28,8.82,8.82,8.78,8.78,,205300.0
2000-05-01,8.82,9.0,8.78,9.0,,323700.0
2000-05-02,8.97,9.17,8.9,9.0,,1118700.0
2000-05-03,9.02,9.02,8.9,9.0,,354900.0
2000-05-04,9.0,9.0,8.92,8.97,,338300.0
2000-05-05,8.92,8.95,8.87,8.95,,178300.0
2000-05-08,8.87,8.9,8.75,8.8,,214200.0
2000-05-09,8.8,8.8,8.7,8.78,,350400.0
2000-05-10,8.75,8.78,8.65,8.7,,183500.0
2000-05-11,8.68,8.75,8.68,8.75,,124800.0
2000-05-12,8.73,8.75,8.68,8.7,,174000.0
2000-05-15,8.65,8.82,8.65,8.78,,97400.0
2000-05-16,8.78,8.82,8.78,8.8,,143600.0
2000-05-17,8.78,8.8,8.7,8.75,,174100.0
2000-05-18,8.73,8.8,8.68,8.78,,219200.0
2000-05-19,8.8,8.82,8.75,8.8,,152400.0
2000-05-22,8.8,8.85,8.75,8.75,,152600.0
2000-05-23,8.75,8.9,8.75,8.8,,246000.0
2000-05-24,8.78,8.92,8.73,8.78,,114200.0
2000-05-25,8.78,8.8,8.68,8.7,,103500.0
2000-05-26,8.68,8.8,8.65,8.78,,297400.0
2000-05-30,8.75,8.87,8.73,8.78,,112300.0
2000-05-31,8.78,8.82,8.68,8.75,,86800.0
