time,open,high,low,close,Volume,volume
1999-11-01,6.09,6.09,5.95,5.97,,17000.0
1999-11-02,5.97,6.17,5.97,6.17,,39900.0
1999-11-03,6.2,6.22,6.13,6.13,,257700.0
1999-11-04,6.17,6.2,6.09,6.11,,591400.0
1999-11-05,6.14,6.17,6.11,6.11,,131700.0
1999-11-08,6.15,6.46,6.15,6.44,,43300.0
1999-11-09,6.4,6.4,6.32,6.38,,43200.0
1999-11-10,6.38,6.38,6.24,6.3,,190400.0
1999-11-11,6.32,6.34,6.26,6.26,,24300.0
1999-11-12,6.28,6.3,6.28,6.3,,22700.0
1999-11-15,6.34,6.34,6.3,6.32,,38700.0
1999-11-16,6.36,6.38,6.28,6.28,,77700.0
1999-11-17,6.32,6.4,6.28,6.4,,47500.0
1999-11-18,6.4,6.42,6.38,6.38,,517000.0
1999-11-19,6.4,6.46,6.38,6.44,,251300.0
1999-11-22,6.46,6.46,6.38,6.38,,175400.0
1999-11-23,6.4,6.4,6.28,6.3,,21100.0
1999-11-24,6.28,6.42,6.28,6.38,,220600.0
1999-11-26,6.42,6.42,6.36,6.38,,4300.0
1999-11-29,6.34,6.34,6.28,6.28,,25000.0
1999-11-30,6.3,6.34,6.26,6.34,,45400.0
1999-12-01,6.36,6.36,6.28,6.36,,50000.0
1999-12-02,6.34,6.36,6.3,6.34,,51700.0
1999-12-03,6.32,6.38,6.32,6.36,,154600.0
1999-12-06,6.34,6.36,6.3,6.3,,296300.0
1999-12-07,6.32,6.32,6.19,6.19,,135700.0
1999-12-08,6.2,6.23,6.17,6.23,,148300.0
1999-12-09,6.2,6.26,6.19,6.23,,47300.0
1999-12-10,6.23,6.24,6.03,6.09,,112900.0
1999-12-13,6.03,6.23,6.03,6.2,,121100.0
1999-12-14,6.19,6.2,6.05,6.05,,17700.0
1999-12-15,6.03,6.05,5.95,5.95,,27300.0
1999-12-16,5.96,6.01,5.89,5.95,,175500.0
1999-12-17,5.95,6.44,5.95,6.44,,139600.0
1999-12-20,6.4,6.52,6.38,6.4,,97100.0
1999-12-21,6.36,6.42,6.32,6.36,,20100.0
1999-12-22,6.36,6.36,6.26,6.34,,40500.0
1999-12-23,6.36,6.36,6.34,6.36,,42500.0
1999-12-27,6.34,6.34,6.15,6.3,,27900.0
1999-12-28,6.24,6.44,5.99,6.44,,125800.0
1999-12-29,6.44,6.46,6.42,6.46,,29100.0
1999-12-30,6.4,6.4,6.24,6.26,,39800.0
1999-12-31,6.26,6.26,6.23,6.26,,9400.0
2000-01-03,6.23,6.24,6.17,6.24,,28300.0
2000-01-04,6.23,6.26,6.17,6.26,,34700.0
2000-01-05,6.26,6.26,6.19,6.24,,229100.0
2000-01-06,6.2,6.26,6.19,6.26,,32000.0
2000-01-07,6.26,6.48,6.24,6.48,,67600.0
2000-01-10,6.5,6.56,6.42,6.5,,194800.0
2000-01-11,6.48,6.5,6.42,6.5,,38700.0
2000-01-12,6.5,6.54,6.4,6.42,,79100.0
2000-01-13,6.4,6.42,6.34,6.36,,138200.0
2000-01-14,6.4,6.42,6.28,6.32,,59500.0
2000-01-18,6.34,6.38,6.05,6.34,,65400.0
2000-01-19,6.3,6.42,6.28,6.42,,57000.0
2000-01-20,6.44,6.46,6.4,6.42,,23100.0
2000-01-21,6.36,6.42,6.34,6.36,,27600.0
2000-01-24,6.38,6.38,6.23,6.23,,34100.0
2000-01-25,6.23,6.28,6.23,6.23,,19400.0
2000-01-26,6.23,6.3,6.23,6.28,,29100.0
2000-01-27,6.32,6.32,6.24,6.24,,30200.0
2000-01-28,6.24,6.26,5.99,5.99,,35300.0
2000-01-31,6.03,6.17,6.03,6.13,,48100.0
2000-02-01,6.13,6.15,6.11,6.15,,63600.0
2000-02-02,6.15,6.2,6.13,6.17,,70900.0
2000-02-03,6.2,6.23,6.2,6.23,,67500.0
2000-02-04,6.23,6.23,6.2,6.23,,73600.0
2000-02-07,5.87,6.23,5.87,6.2,,115100.0
2000-02-08,6.23,6.28,6.2,6.26,,49900.0
2000-02-09,6.26,6.28,6.26,6.28,,37000.0
2000-02-10,6.26,6.26,6.16,6.18,,39400.0
2000-02-11,6.18,6.3,6.08,6.12,,56200.0
2000-02-14,6.1,6.1,5.9,5.92,,57000.0
2000-02-15,5.87,6.02,5.87,6.02,,41100.0
2000-02-16,6.02,6.14,6.02,6.14,,47000.0
2000-02-17,6.1,6.1,6.02,6.08,,73300.0
2000-02-18,6.08,6.08,6.04,6.06,,12500.0
2000-02-22,6.22,6.22,6.06,6.06,,32900.0
2000-02-23,6.08,6.08,6.04,6.06,,9100.0
2000-02-24,6.04,6.12,6.04,6.1,,11700.0
2000-02-25,6.04,6.08,6.02,6.06,,20000.0
2000-02-28,6.08,6.18,6.04,6.16,,29800.0
2000-02-29,6.18,6.18,5.94,6.07,,148100.0
2000-03-01,6.08,6.1,6.02,6.06,,58100.0
2000-03-02,6.06,6.14,6.06,6.14,,15300.0
2000-03-03,6.14,6.18,6.14,6.18,,11600.0
2000-03-06,6.14,6.16,6.12,6.16,,7300.0
2000-03-07,6.16,6.16,6.14,6.14,,7500.0
2000-03-08,6.16,6.24,6.16,6.2,,46800.0
2000-03-09,6.24,6.34,6.24,6.34,,38000.0
2000-03-10,6.34,6.34,6.3,6.32,,16300.0
2000-03-13,6.24,6.28,6.2,6.2,,145900.0
2000-03-14,6.2,6.2,6.1,6.12,,56500.0
2000-03-15,6.12,6.12,6.04,6.1,,49200.0
2000-03-16,6.06,6.32,6.06,6.32,,47600.0
2000-03-17,6.24,6.26,6.22,6.26,,14600.0
2000-03-20,6.26,6.26,6.18,6.24,,84600.0
2000-03-21,6.24,6.4,6.2,6.4,,18900.0
2000-03-22,6.42,6.5,6.4,6.46,,72900.0
2000-03-23,6.42,6.46,6.34,6.34,,127100.0
2000-03-24,6.38,6.38,6.26,6.26,,150400.0
2000-03-27,6.28,6.32,6.26,6.3,,37100.0
2000-03-28,6.3,6.3,6.28,6.28,,38100.0
2000-03-29,6.32,6.32,6.2,6.22,,31100.0
2000-03-30,6.18,6.24,6.18,6.22,,31900.0
2000-03-31,6.22,6.4,6.2,6.34,,52500.0
2000-04-03,6.36,6.36,6.18,6.2,,21200.0
2000-04-04,6.2,6.44,6.2,6.42,,47900.0
2000-04-05,6.4,6.4,6.32,6.4,,39000.0
2000-04-06,6.38,6.5,6.38,6.48,,83700.0
2000-04-07,6.5,6.54,6.42,6.52,,53100.0
2000-04-10,6.6,6.6,6.46,6.54,,62000.0
2000-04-11,6.54,6.7,6.54,6.62,,29000.0
2000-04-12,6.64,6.7,6.62,6.64,,48300.0
2000-04-13,6.72,6.72,6.62,6.64,,10400.0
2000-04-14,6.7,6.8,6.66,6.76,,43000.0
2000-04-17,6.74,6.74,6.68,6.7,,7800.0
2000-04-18,6.7,6.7,6.68,6.7,,52500.0
2000-04-19,6.68,6.76,6.66,6.76,,13200.0
2000-04-20,6.76,6.76,6.56,6.56,,50300.0
2000-04-24,6.56,6.58,6.42,6.54,,36600.0
2000-04-25,6.54,6.68,6.54,6.66,,17900.0
2000-04-26,6.64,6.9,6.64,6.88,,52800.0
2000-04-27,6.88,7.06,6.86,7.02,,31400.0
2000-04-28,7.04,7.1,6.84,7.06,,72000.0
2000-05-01,7.06,7.46,7.06,7.46,,65400.0
2000-05-02,7.42,7.42,7.32,7.36,,132800.0
2000-05-03,7.34,7.34,7.08,7.08,,45100.0
2000-05-04,7.1,7.18,7.04,7.06,,16600.0
2000-05-05,7.06,7.18,7.06,7.14,,54600.0
2000-05-08,7.14,7.14,6.86,6.92,,25100.0
2000-05-09,6.94,7.02,6.92,6.96,,37600.0
2000-05-10,7.03,7.07,7.01,7.03,,24000.0
2000-05-11,7.07,7.07,7.01,7.05,,26600.0
2000-05-12,7.05,7.13,7.05,7.13,,39300.0
2000-05-15,7.13,7.13,6.97,7.05,,10000.0
2000-05-16,7.1,7.1,7.05,7.1,,10600.0
2000-05-17,7.05,7.12,7.01,7.03,,12800.0
2000-05-18,7.03,7.05,6.93,6.93,,17800.0
2000-05-19,6.93,6.97,6.91,6.93,,38800.0
2000-05-22,6.93,7.01,6.91,7.01,,21700.0
2000-05-23,6.99,7.03,6.93,6.93,,8800.0
2000-05-24,6.97,6.97,6.77,6.81,,48400.0
2000-05-25,6.83,6.83,6.69,6.74,,28000.0
2000-05-26,6.79,6.85,6.74,6.81,,41400.0
2000-05-30,6.87,6.97,6.83,6.97,,41800.0
2000-05-31,6.97,6.99,6.91,6.95,,29500.0
2000-06-01,6.89,6.89,6.83,6.89,,22400.0
2000-06-02,6.87,6.97,6.87,6.97,,34900.0
2000-06-05,7.01,7.01,6.87,6.89,,7100.0
2000-06-06,6.89,6.99,6.89,6.89,,14500.0
