time,open,high,low,close,Volume,volume
1999-11-01,10.93,10.94,10.51,10.65,,482000.0
1999-11-02,10.36,10.87,10.3,10.33,,512500.0
1999-11-03,10.19,10.36,9.8,10.08,,976500.0
1999-11-04,10.13,10.67,10.11,10.44,,317100.0
1999-11-05,10.61,10.75,10.33,10.33,,450800.0
1999-11-08,10.33,10.62,10.33,10.55,,391100.0
1999-11-09,10.67,10.67,10.3,10.41,,467800.0
1999-11-10,10.53,10.57,10.36,10.4,,518900.0
1999-11-11,10.41,10.51,10.41,10.5,,519900.0
1999-11-12,10.44,10.47,10.19,10.36,,819700.0
1999-11-15,10.37,10.39,10.22,10.24,,528500.0
1999-11-16,10.3,10.44,10.3,10.41,,420700.0
1999-11-17,10.43,10.81,10.36,10.62,,462500.0
1999-11-18,11.14,11.47,10.92,11.4,,1059000.0
1999-11-19,11.29,11.31,11.16,11.26,,796000.0
1999-11-22,11.2,11.31,11.2,11.24,,772300.0
1999-11-23,11.19,11.29,11.05,11.09,,701400.0
1999-11-24,11.09,11.2,11.09,11.12,,292100.0
1999-11-26,11.09,11.38,11.09,11.29,,177500.0
1999-11-29,11.26,11.37,11.2,11.24,,669400.0
1999-11-30,11.26,11.41,11.03,11.17,,713500.0
1999-12-01,11.2,11.47,11.2,11.26,,428700.0
1999-12-02,11.26,11.48,11.2,11.37,,496700.0
1999-12-03,11.46,11.72,11.46,11.57,,342200.0
1999-12-06,11.57,11.65,11.44,11.55,,375100.0
1999-12-07,11.57,11.62,11.27,11.27,,484100.0
1999-12-08,11.3,11.31,11.12,11.12,,597700.0
1999-12-09,11.23,11.29,10.61,10.67,,536900.0
1999-12-10,10.78,10.81,10.48,10.61,,459000.0
1999-12-13,10.58,10.78,10.33,10.33,,324300.0
1999-12-14,10.36,10.62,9.91,10.23,,601700.0
1999-12-15,10.34,10.95,10.34,10.58,,440500.0
1999-12-16,10.41,10.98,10.31,10.72,,329100.0
1999-12-17,10.61,11.28,10.61,11.1,,658200.0
1999-12-20,10.81,10.92,10.67,10.84,,497000.0
1999-12-21,10.78,11.02,10.61,10.82,,256700.0
