time,open,high,low,close,Volume,volume
1999-11-01,1.99,2.04,1.96,1.96,,708100.0
1999-11-02,1.96,2.01,1.95,1.97,,711300.0
1999-11-03,1.97,2.01,1.97,1.99,,684700.0
1999-11-04,2.0,2.0,1.88,1.9,,995200.0
1999-11-05,1.93,1.93,1.88,1.9,,605900.0
1999-11-08,1.91,1.91,1.82,1.84,,558100.0
1999-11-09,1.87,1.88,1.81,1.82,,560100.0
1999-11-10,1.82,1.85,1.81,1.81,,693300.0
1999-11-11,1.81,1.82,1.77,1.78,,590700.0
1999-11-12,1.82,1.82,1.77,1.77,,988700.0
1999-11-15,1.8,1.8,1.74,1.78,,855100.0
1999-11-16,1.79,1.81,1.75,1.8,,1268400.0
1999-11-17,1.75,1.77,1.69,1.72,,862200.0
1999-11-18,1.74,1.75,1.66,1.71,,1329800.0
1999-11-19,1.71,1.72,1.67,1.67,,919300.0
1999-11-22,1.67,1.71,1.62,1.71,,1453400.0
1999-11-23,1.72,1.73,1.63,1.69,,1228100.0
1999-11-24,1.69,1.69,1.66,1.69,,551500.0
1999-11-26,1.68,1.69,1.67,1.69,,277100.0
1999-11-29,1.69,1.73,1.68,1.7,,955500.0
1999-11-30,1.71,1.82,1.71,1.82,,1803400.0
1999-12-01,1.83,1.9,1.81,1.88,,1412700.0
1999-12-02,1.88,1.92,1.74,1.86,,1912200.0
1999-12-03,1.89,1.91,1.87,1.89,,1339800.0
1999-12-06,1.87,1.88,1.82,1.83,,903700.0
1999-12-07,1.82,1.83,1.76,1.79,,1473600.0
1999-12-08,1.79,1.79,1.77,1.78,,855600.0
1999-12-09,1.77,1.82,1.77,1.82,,639900.0
1999-12-10,1.82,1.87,1.79,1.85,,425100.0
1999-12-13,1.82,1.83,1.76,1.77,,750200.0
1999-12-14,1.74,1.8,1.71,1.8,,551200.0
1999-12-15,1.72,1.78,1.66,1.69,,1684900.0
1999-12-16,1.67,1.74,1.67,1.71,,1500200.0
1999-12-17,1.71,1.93,1.68,1.92,,2939700.0
1999-12-20,1.87,1.89,1.74,1.75,,715300.0
1999-12-21,1.71,1.73,1.66,1.66,,998600.0
1999-12-22,1.68,1.7,1.61,1.62,,691400.0
1999-12-23,1.63,1.68,1.62,1.67,,714100.0
1999-12-27,1.63,1.67,1.61,1.67,,605300.0
1999-12-28,1.67,1.72,1.66,1.7,,648500.0
1999-12-29,1.71,1.73,1.63,1.66,,417400.0
1999-12-30,1.66,1.79,1.65,1.71,,614200.0
1999-12-31,1.7,1.73,1.68,1.7,,206400.0
2000-01-03,1.72,1.73,1.64,1.64,,508400.0
2000-01-04,1.64,1.64,1.57,1.58,,876500.0
2000-01-05,1.58,1.62,1.57,1.61,,873800.0
2000-01-06,1.6,1.61,1.41,1.44,,3018300.0
2000-01-07,1.43,1.44,1.39,1.42,,1807000.0
2000-01-10,1.42,1.47,1.42,1.45,,1521000.0
2000-01-11,1.44,1.45,1.38,1.38,,1606600.0
2000-01-12,1.38,1.38,1.26,1.29,,2419300.0
2000-01-13,1.28,1.31,1.22,1.24,,2901200.0
2000-01-14,1.26,1.29,1.26,1.29,,1906600.0
2000-01-18,1.29,1.3,1.21,1.22,,2438900.0
2000-01-19,1.22,1.22,1.14,1.16,,2940000.0
2000-01-20,1.16,1.26,1.16,1.24,,2399000.0
2000-01-21,1.28,1.29,1.25,1.28,,2287300.0
2000-01-24,1.27,1.28,1.18,1.19,,2400200.0
2000-01-25,1.19,1.2,1.14,1.19,,2085500.0
2000-01-26,1.18,1.26,1.16,1.25,,1904500.0
2000-01-27,1.27,1.29,1.2,1.23,,2116300.0
2000-01-28,1.23,1.25,1.19,1.22,,779700.0
2000-01-31,1.22,1.24,1.16,1.21,,941700.0
2000-02-01,1.24,1.25,1.15,1.2,,858000.0
2000-02-02,1.23,1.23,1.19,1.19,,1494700.0
