time,open,high,low,close,Volume,volume
1999-11-01,9.32,9.43,8.95,9.07,,58100.0
1999-11-02,9.13,9.66,9.07,9.07,,68900.0
1999-11-03,9.19,9.43,8.95,8.95,,191200.0
1999-11-04,9.43,9.55,8.95,9.31,,123900.0
1999-11-05,9.31,9.43,9.07,9.31,,184800.0
1999-11-08,9.37,10.02,9.31,10.02,,218000.0
1999-11-09,9.81,11.31,9.66,11.31,,170600.0
1999-11-10,11.07,12.67,10.84,12.49,,439400.0
1999-11-11,12.38,16.73,12.38,14.03,,2641000.0
1999-11-12,14.14,14.19,10.84,11.55,,883700.0
1999-11-15,12.02,12.25,11.49,11.55,,203400.0
1999-11-16,11.67,11.78,11.07,11.2,,186100.0
1999-11-17,10.75,11.73,10.25,11.37,,273100.0
1999-11-18,11.16,11.6,10.73,11.31,,353300.0
1999-11-19,11.6,11.9,11.25,11.31,,425600.0
1999-11-22,11.57,11.67,11.02,11.37,,241800.0
1999-11-23,11.23,11.31,10.66,10.84,,120600.0
1999-11-24,10.22,10.73,10.13,10.55,,254300.0
1999-11-26,10.55,11.84,10.37,10.6,,138800.0
1999-11-29,10.6,10.73,10.13,10.6,,398300.0
1999-11-30,10.78,11.31,10.55,10.84,,123500.0
1999-12-01,11.2,11.2,10.42,10.78,,117900.0
1999-12-02,10.78,11.2,10.66,11.07,,83400.0
1999-12-03,12.67,13.08,11.55,12.2,,388900.0
1999-12-06,12.7,13.2,12.25,12.31,,441000.0
1999-12-07,12.49,13.08,12.25,12.85,,433700.0
1999-12-08,13.2,13.43,12.61,13.2,,281000.0
1999-12-09,13.32,13.43,13.2,13.32,,196600.0
1999-12-10,13.35,13.79,13.25,13.43,,425900.0
1999-12-13,13.61,14.67,13.25,13.37,,351600.0
1999-12-14,13.55,13.9,13.08,13.61,,233000.0
1999-12-15,13.67,14.26,12.96,12.96,,230000.0
1999-12-16,12.96,14.26,12.96,14.14,,379800.0
1999-12-17,14.19,15.79,13.9,14.97,,549200.0
