time,open,high,low,close,Volume,volume
1999-11-01,9.9,10.09,9.84,10.09,,15450.0
1999-11-02,10.09,10.09,10.02,10.09,,9101.0
1999-11-03,10.02,10.02,9.96,10.02,,14392.0
1999-11-04,10.02,10.09,10.02,10.09,,22222.0
1999-11-05,10.09,10.4,10.02,10.4,,32169.0
1999-11-08,10.4,10.4,10.34,10.34,,15026.0
1999-11-09,10.34,10.46,10.27,10.4,,9947.0
1999-11-10,10.4,10.46,10.27,10.4,,8889.0
1999-11-11,10.4,10.46,10.34,10.4,,8677.0
1999-11-12,10.4,10.65,10.4,10.52,,15026.0
1999-11-15,10.59,10.66,10.53,10.59,,8042.0
1999-11-16,10.59,10.66,10.53,10.53,,12063.0
1999-11-17,10.53,10.59,10.47,10.53,,27937.0
1999-11-18,10.53,10.53,9.97,10.16,,64762.0
1999-11-19,10.16,10.16,9.91,10.16,,17566.0
1999-11-22,10.16,10.28,10.16,10.22,,7619.0
1999-11-23,10.22,10.22,10.09,10.16,,38307.0
1999-11-24,10.16,10.34,10.16,10.22,,29841.0
1999-11-26,10.16,10.16,10.09,10.16,,9735.0
1999-11-29,10.16,10.16,10.03,10.03,,34286.0
1999-11-30,10.03,10.09,9.97,10.09,,42751.0
1999-12-01,10.09,10.16,9.91,10.03,,56508.0
1999-12-02,10.03,10.03,9.91,9.91,,23492.0
1999-12-03,9.91,10.16,9.91,9.91,,21376.0
1999-12-06,9.91,10.03,9.84,9.84,,9101.0
1999-12-07,9.84,9.84,9.78,9.84,,11005.0
1999-12-08,9.84,9.97,9.72,9.78,,7619.0
1999-12-09,9.78,9.84,9.78,9.78,,9101.0
1999-12-10,9.78,9.91,9.78,9.78,,5926.0
1999-12-13,9.78,10.09,9.66,10.03,,22434.0
1999-12-14,10.03,10.16,9.97,10.09,,10159.0
1999-12-15,10.09,10.09,9.97,9.97,,17143.0
1999-12-16,9.97,10.03,9.91,9.97,,17354.0
1999-12-17,9.97,10.09,9.78,10.09,,33228.0
1999-12-20,10.03,10.03,9.78,9.78,,15873.0
1999-12-21,9.78,9.91,9.78,9.91,,10582.0
1999-12-22,9.91,9.91,9.66,9.66,,15450.0
1999-12-23,9.66,9.72,9.59,9.66,,8889.0
1999-12-27,9.59,9.59,9.53,9.59,,9312.0
1999-12-28,9.59,9.66,9.53,9.53,,13122.0
1999-12-29,9.53,9.72,9.22,9.72,,24127.0
1999-12-30,9.72,9.84,9.72,9.72,,23280.0
1999-12-31,9.72,9.78,9.72,9.78,,18836.0
2000-01-03,9.78,9.84,9.59,9.59,,22222.0
2000-01-04,9.59,9.66,9.34,9.47,,10370.0
2000-01-05,9.47,9.47,9.34,9.41,,20317.0
2000-01-06,9.41,9.59,9.28,9.59,,26667.0
2000-01-07,9.59,9.66,9.59,9.66,,4444.0
2000-01-10,9.66,9.72,9.53,9.53,,23069.0
2000-01-11,9.53,9.59,9.47,9.53,,36190.0
2000-01-12,9.53,9.59,9.47,9.59,,16296.0
2000-01-13,9.59,9.72,9.59,9.59,,9947.0
2000-01-14,9.59,9.66,9.59,9.66,,6561.0
2000-01-18,9.66,9.66,9.59,9.66,,14180.0
2000-01-19,9.66,9.78,9.59,9.78,,16508.0
2000-01-20,9.78,9.78,9.59,9.66,,12275.0
2000-01-21,9.66,9.66,9.53,9.59,,13122.0
2000-01-24,9.59,9.59,9.34,9.34,,11217.0
2000-01-25,9.34,9.41,9.22,9.22,,8466.0
2000-01-26,9.22,9.34,9.22,9.34,,11429.0
2000-01-27,9.34,9.34,9.22,9.22,,9947.0
2000-01-28,9.22,9.28,9.03,9.09,,15873.0
2000-01-31,9.09,9.09,8.53,8.78,,107513.0
2000-02-01,8.78,8.84,8.65,8.78,,29418.0
2000-02-02,8.78,8.84,8.72,8.78,,10582.0
2000-02-03,8.78,8.84,8.72,8.78,,12275.0
2000-02-04,8.78,8.97,8.72,8.9,,8042.0
2000-02-07,8.9,9.09,8.9,9.09,,10370.0
2000-02-08,9.09,9.09,8.78,9.09,,24762.0
2000-02-09,9.09,9.28,9.03,9.22,,12910.0
2000-02-10,9.15,9.15,8.72,8.97,,16296.0
2000-02-11,8.97,8.97,8.65,8.72,,21799.0
2000-02-14,8.79,8.79,8.54,8.73,,19471.0
2000-02-15,8.73,9.05,8.73,9.05,,18413.0
2000-02-16,9.05,9.17,9.05,9.11,,5291.0
2000-02-17,9.11,9.3,8.92,9.23,,14180.0
2000-02-18,9.17,9.17,8.73,8.73,,15873.0
2000-02-22,8.73,8.79,8.48,8.54,,16296.0
2000-02-23,8.54,8.73,8.41,8.66,,12275.0
2000-02-24,8.66,8.73,8.6,8.66,,2540.0
2000-02-25,8.6,8.6,8.54,8.6,,5079.0
2000-02-28,8.6,8.66,8.41,8.66,,14603.0
2000-02-29,8.66,8.66,8.54,8.66,,11217.0
2000-03-01,8.66,8.79,8.6,8.6,,20529.0
2000-03-02,8.6,8.79,8.6,8.6,,5714.0
2000-03-03,8.6,8.66,8.6,8.6,,24339.0
2000-03-06,8.54,8.54,8.29,8.41,,24127.0
2000-03-07,8.41,8.41,8.22,8.29,,19259.0
2000-03-08,8.29,8.41,8.16,8.41,,10582.0
2000-03-09,8.48,8.6,8.48,8.48,,9947.0
2000-03-10,8.41,8.41,8.22,8.41,,17143.0
2000-03-13,8.41,8.41,8.35,8.41,,6772.0
2000-03-14,8.41,8.41,8.41,8.41,,9312.0
2000-03-15,8.41,8.41,8.41,8.41,,15873.0
2000-03-16,8.41,8.54,8.41,8.54,,35556.0
2000-03-17,8.35,8.35,8.22,8.29,,27513.0
2000-03-20,8.35,8.41,8.35,8.35,,27090.0
2000-03-21,8.35,8.35,8.22,8.35,,9312.0
2000-03-22,8.35,8.35,8.04,8.1,,14180.0
2000-03-23,8.1,8.22,7.9,7.9,,9101.0
2000-03-24,7.9,7.9,7.65,7.65,,8889.0
2000-03-27,7.65,7.72,7.59,7.72,,62222.0
2000-03-28,7.72,7.72,7.59,7.59,,13545.0
2000-03-29,7.65,7.84,7.65,7.78,,23704.0
2000-03-30,7.78,8.6,7.78,8.6,,35344.0
2000-03-31,8.6,9.3,8.6,9.11,,71958.0
2000-04-03,9.11,9.17,8.86,9.05,,25397.0
2000-04-04,9.05,9.23,8.98,8.98,,16508.0
2000-04-05,8.98,8.98,8.66,8.66,,8254.0
2000-04-06,8.66,8.92,8.6,8.6,,21587.0
2000-04-07,8.6,8.6,8.54,8.6,,8889.0
2000-04-10,8.41,8.41,7.97,8.35,,32381.0
2000-04-11,8.35,8.48,8.29,8.35,,10370.0
2000-04-12,8.35,8.6,8.35,8.35,,11429.0
2000-04-13,8.35,8.35,8.16,8.29,,10370.0
2000-04-14,8.16,8.16,8.04,8.1,,13968.0
2000-04-17,8.1,8.22,8.1,8.16,,16085.0
2000-04-18,8.16,8.16,7.84,7.84,,11005.0
2000-04-19,7.84,8.16,7.84,8.1,,11640.0
2000-04-20,8.1,8.22,8.1,8.1,,19683.0
2000-04-24,8.1,8.16,8.04,8.1,,8889.0
2000-04-25,8.1,8.54,7.84,8.54,,27937.0
2000-04-26,8.54,8.54,8.16,8.22,,17778.0
2000-04-27,8.16,8.16,7.84,8.04,,25608.0
2000-04-28,8.04,8.1,7.84,8.1,,10370.0
2000-05-01,8.1,8.1,7.97,8.1,,13545.0
