time,open,high,low,close,Volume,volume
1999-11-01,18.88,19.29,18.42,19.27,,2854800.0
1999-11-02,19.13,19.13,18.4,18.46,,2455800.0
1999-11-03,18.46,18.94,18.25,18.69,,1850200.0
1999-11-04,18.81,18.86,18.31,18.54,,2368100.0
1999-11-05,18.79,18.79,17.49,17.65,,2980300.0
1999-11-08,17.94,18.63,17.8,18.56,,2358400.0
1999-11-09,18.65,19.29,18.63,19.21,,2221400.0
1999-11-10,19.34,19.73,19.17,19.42,,3016500.0
1999-11-11,19.38,19.56,18.94,19.05,,1651300.0
1999-11-12,19.08,19.88,18.86,19.88,,1996900.0
1999-11-15,19.98,20.1,19.77,20.04,,3223100.0
1999-11-16,20.25,20.75,20.13,20.5,,3896200.0
1999-11-17,20.42,21.25,20.42,21.12,,3684800.0
1999-11-18,20.89,20.96,20.5,20.56,,2724700.0
1999-11-19,20.67,20.81,20.27,20.35,,2376600.0
1999-11-22,20.93,21.18,20.1,20.12,,3065300.0
1999-11-23,20.12,20.12,19.67,19.85,,2712500.0
1999-11-24,19.96,20.02,19.36,19.59,,2555500.0
1999-11-26,19.58,19.58,19.04,19.25,,1049600.0
1999-11-29,18.96,18.98,18.34,18.65,,2818500.0
1999-11-30,18.5,19.05,18.28,18.52,,3388600.0
1999-12-01,18.67,19.27,18.42,18.82,,3229000.0
1999-12-02,18.96,19.27,18.77,18.96,,3119000.0
1999-12-03,18.96,18.98,18.34,18.42,,2104100.0
1999-12-06,18.52,18.71,17.9,18.28,,2560900.0
1999-12-07,17.94,18.44,17.65,17.69,,2401500.0
1999-12-08,17.49,18.4,17.07,18.31,,4412800.0
1999-12-09,18.19,18.27,17.59,17.92,,3127800.0
1999-12-10,17.46,17.55,17.03,17.3,,4204900.0
1999-12-13,17.59,17.61,16.63,16.65,,4467800.0
1999-12-14,16.34,17.07,16.24,16.94,,4270500.0
1999-12-15,17.32,18.09,17.21,17.72,,4459000.0
1999-12-16,17.61,17.9,17.46,17.63,,3125400.0
1999-12-17,17.48,17.65,16.99,17.13,,3262400.0
1999-12-20,16.97,17.25,16.96,17.06,,2273900.0
1999-12-21,17.11,17.51,17.11,17.25,,2411000.0
1999-12-22,17.4,17.49,17.05,17.49,,1729500.0
1999-12-23,17.41,18.48,17.26,18.34,,3476300.0
1999-12-27,18.17,18.42,18.01,18.01,,1256400.0
1999-12-28,18.01,18.38,17.9,17.98,,1498300.0
1999-12-29,18.05,18.48,17.98,18.46,,1494000.0
1999-12-30,18.4,18.4,18.0,18.01,,1169800.0
1999-12-31,16.39,17.45,16.39,17.36,,1909100.0
2000-01-03,17.2,17.22,16.97,16.99,,3619900.0
2000-01-04,16.68,17.18,16.62,16.76,,3981500.0
2000-01-05,16.72,17.01,16.55,16.97,,2413100.0
2000-01-06,16.82,17.96,16.72,17.86,,4002500.0
2000-01-07,18.07,18.57,17.98,18.19,,3684300.0
2000-01-10,18.17,18.42,17.9,18.36,,2650800.0
2000-01-11,18.42,18.83,18.07,18.77,,2762800.0
2000-01-12,18.57,18.88,18.26,18.31,,2383800.0
2000-01-13,18.36,19.02,18.36,18.83,,2215500.0
2000-01-14,18.92,19.29,18.63,19.02,,2170200.0
2000-01-18,19.17,20.64,19.1,20.45,,5107600.0
2000-01-19,20.41,20.57,20.12,20.37,,3447100.0
2000-01-20,20.04,20.18,19.56,19.97,,2538400.0
2000-01-21,20.08,20.92,20.06,20.41,,4489300.0
2000-01-24,20.49,20.7,19.79,19.89,,2732200.0
2000-01-25,19.58,20.02,19.33,19.64,,3067800.0
2000-01-26,19.87,20.1,19.04,19.45,,3399800.0
2000-01-27,19.37,19.95,18.96,19.33,,4099000.0
2000-01-28,19.21,19.56,18.48,18.56,,3302100.0
2000-01-31,18.67,19.04,18.48,18.88,,2401600.0
2000-02-01,19.16,19.81,19.1,19.77,,1944200.0
2000-02-02,19.95,20.14,18.94,19.02,,3166500.0
2000-02-03,19.17,19.25,18.79,18.96,,2372200.0
2000-02-04,18.4,18.96,18.17,18.4,,3119300.0
2000-02-07,18.29,19.02,18.29,18.77,,2228000.0
2000-02-08,18.91,19.08,18.17,18.4,,1609300.0
2000-02-09,18.4,18.65,17.61,17.65,,2965700.0
2000-02-10,17.94,18.44,17.78,18.26,,3556400.0
