time,open,high,low,close,Volume,volume
1999-11-01,4.44,4.48,4.43,4.46,,229400.0
1999-11-02,4.46,4.55,4.46,4.47,,333900.0
1999-11-03,4.5,4.5,4.36,4.39,,680200.0
1999-11-04,4.41,4.47,4.4,4.41,,387100.0
1999-11-05,4.44,4.47,4.37,4.39,,345100.0
1999-11-08,4.4,4.41,4.36,4.4,,261800.0
1999-11-09,4.41,4.41,4.29,4.32,,283000.0
1999-11-10,4.31,4.35,4.25,4.25,,191400.0
1999-11-11,4.29,4.31,4.24,4.29,,230100.0
1999-11-12,4.28,4.35,4.26,4.29,,366800.0
1999-11-15,4.26,4.29,4.24,4.29,,224600.0
1999-11-16,4.31,4.36,4.26,4.35,,355400.0
1999-11-17,4.25,4.33,4.2,4.25,,346500.0
1999-11-18,4.26,4.28,4.15,4.15,,366100.0
1999-11-19,4.12,4.14,4.09,4.12,,370200.0
1999-11-22,4.12,4.13,3.97,4.01,,1033500.0
1999-11-23,4.02,4.02,3.94,3.95,,507800.0
1999-11-24,3.95,3.98,3.94,3.94,,469500.0
1999-11-26,3.95,3.95,3.88,3.9,,243900.0
1999-11-29,3.87,3.87,3.75,3.77,,695300.0
1999-11-30,3.83,4.07,3.76,4.03,,827300.0
1999-12-01,4.09,4.09,3.95,3.97,,759000.0
1999-12-02,4.01,4.03,3.97,3.98,,337100.0
1999-12-03,3.98,4.06,3.95,3.98,,325200.0
1999-12-06,3.97,4.07,3.97,4.03,,549000.0
1999-12-07,3.99,4.05,3.99,4.02,,571500.0
1999-12-08,4.05,4.1,4.03,4.05,,622100.0
1999-12-09,4.05,4.05,3.92,3.98,,766700.0
1999-12-10,3.98,3.99,3.92,3.92,,203600.0
1999-12-13,3.92,3.95,3.84,3.87,,965100.0
1999-12-14,3.9,3.95,3.88,3.9,,473300.0
1999-12-15,3.9,4.01,3.88,3.99,,905700.0
1999-12-16,3.98,4.09,3.98,4.07,,14215800.0
1999-12-17,4.08,4.08,3.98,4.01,,1012900.0
1999-12-20,3.95,4.0,3.91,3.93,,536100.0
1999-12-21,3.93,4.04,3.93,3.97,,487500.0
1999-12-22,3.98,4.02,3.97,3.98,,308800.0
1999-12-23,4.01,4.04,4.0,4.04,,347400.0
1999-12-27,4.01,4.04,4.0,4.0,,475800.0
1999-12-28,3.98,4.04,3.98,4.0,,1327200.0
1999-12-29,3.98,4.01,3.9,3.93,,369500.0
1999-12-30,3.91,3.95,3.88,3.88,,424700.0
1999-12-31,3.87,3.88,3.81,3.87,,352300.0
2000-01-03,3.84,3.85,3.81,3.85,,512400.0
2000-01-04,3.84,3.95,3.84,3.9,,731100.0
