time,open,high,low,close,Volume,volume
1999-11-01,6.65,6.65,6.4,6.44,,178000.0
1999-11-02,6.44,6.45,6.39,6.45,,90800.0
1999-11-03,6.48,6.52,6.39,6.52,,64300.0
1999-11-04,6.52,6.58,6.49,6.5,,92700.0
1999-11-05,6.52,6.59,6.52,6.57,,60000.0
1999-11-08,6.56,6.56,6.54,6.54,,26500.0
1999-11-09,6.55,6.55,6.51,6.54,,74700.0
1999-11-10,6.54,6.57,6.52,6.52,,39000.0
1999-11-11,6.5,6.52,6.48,6.48,,31300.0
1999-11-12,6.49,6.49,6.35,6.37,,59200.0
1999-11-15,6.37,6.44,6.33,6.35,,39900.0
1999-11-16,6.37,6.41,6.34,6.35,,39400.0
1999-11-17,6.37,6.42,6.36,6.42,,60600.0
1999-11-18,6.41,6.45,6.38,6.41,,60900.0
1999-11-19,6.41,6.41,6.3,6.35,,39700.0
1999-11-22,6.34,6.35,6.31,6.31,,30400.0
1999-11-23,6.32,6.32,6.17,6.19,,22800.0
1999-11-24,6.17,6.17,6.05,6.1,,48800.0
1999-11-26,6.09,6.09,6.02,6.07,,19200.0
1999-11-29,6.08,6.08,5.94,5.94,,21200.0
1999-11-30,5.94,5.95,5.82,5.84,,64200.0
1999-12-01,5.85,5.9,5.84,5.86,,63900.0
1999-12-02,5.87,5.89,5.87,5.87,,44100.0
1999-12-03,5.87,5.89,5.78,5.78,,101400.0
1999-12-06,5.78,5.82,5.67,5.69,,45000.0
1999-12-07,5.71,5.97,5.7,5.8,,74800.0
1999-12-08,5.79,5.84,5.6,5.64,,56700.0
1999-12-09,5.63,5.63,5.46,5.48,,82400.0
1999-12-10,5.46,5.47,5.3,5.34,,133700.0
1999-12-13,5.36,5.43,5.27,5.31,,99000.0
1999-12-14,5.3,5.34,5.27,5.28,,67900.0
1999-12-15,5.28,5.28,5.13,5.15,,61500.0
1999-12-16,5.16,5.43,5.13,5.43,,117500.0
1999-12-17,5.45,5.87,5.44,5.79,,180700.0
1999-12-20,5.86,5.89,5.78,5.79,,71500.0
1999-12-21,5.8,5.9,5.79,5.82,,116000.0
1999-12-22,5.8,5.87,5.79,5.85,,42800.0
1999-12-23,5.82,5.98,5.82,5.93,,68900.0
1999-12-27,5.95,5.95,5.86,5.86,,87300.0
1999-12-28,5.86,5.95,5.82,5.89,,80100.0
1999-12-29,5.91,5.91,5.76,5.78,,99000.0
1999-12-30,5.79,5.79,5.64,5.69,,110500.0
1999-12-31,5.71,5.73,5.6,5.6,,56300.0
2000-01-03,5.6,5.6,5.3,5.47,,108600.0
2000-01-04,5.65,5.71,5.19,5.26,,155000.0
2000-01-05,5.29,5.45,5.19,5.44,,275600.0
2000-01-06,5.47,5.7,5.44,5.65,,159200.0
2000-01-07,5.68,5.88,5.68,5.82,,84700.0
2000-01-10,5.79,5.89,5.36,5.6,,322400.0
2000-01-11,5.6,5.6,5.41,5.54,,137300.0
2000-01-12,5.51,5.61,5.49,5.58,,73500.0
2000-01-13,5.6,5.65,5.59,5.65,,74900.0
2000-01-14,5.65,5.73,5.65,5.69,,45100.0
2000-01-18,5.7,5.76,5.66,5.73,,63600.0
2000-01-19,5.74,5.88,5.74,5.87,,85100.0
2000-01-20,5.84,5.94,5.79,5.89,,58400.0
2000-01-21,5.87,5.88,5.67,5.72,,26900.0
2000-01-24,5.75,5.8,5.55,5.56,,75600.0
2000-01-25,5.57,5.6,5.54,5.6,,87200.0
2000-01-26,5.63,5.81,5.63,5.71,,54000.0
2000-01-27,5.71,5.71,5.56,5.65,,41200.0
2000-01-28,5.63,5.65,5.55,5.59,,41700.0
2000-01-31,5.59,5.73,5.53,5.69,,55400.0
2000-02-01,5.7,5.82,5.67,5.79,,101500.0
2000-02-02,5.79,5.87,5.79,5.81,,59000.0
2000-02-03,5.79,5.86,5.79,5.8,,42300.0
2000-02-04,5.81,5.81,5.57,5.6,,58800.0
2000-02-07,5.61,5.84,5.61,5.78,,48300.0
2000-02-08,5.78,5.81,5.65,5.65,,27400.0
2000-02-09,5.66,5.82,5.64,5.78,,54600.0
2000-02-10,5.78,6.0,5.76,5.87,,110100.0
2000-02-11,5.84,5.9,5.76,5.77,,95500.0
2000-02-14,5.78,5.93,5.77,5.87,,54100.0
2000-02-15,5.87,6.0,5.82,5.84,,96300.0
2000-02-16,5.81,5.83,5.61,5.71,,107800.0
2000-02-17,5.73,5.78,5.67,5.67,,107000.0
2000-02-18,5.67,5.67,5.47,5.49,,49400.0
2000-02-22,5.49,5.75,5.39,5.73,,98400.0
2000-02-23,5.7,5.71,5.46,5.46,,86000.0
2000-02-24,5.45,5.52,5.3,5.45,,48800.0
2000-02-25,5.45,5.47,5.34,5.34,,48100.0
2000-02-28,5.37,5.39,5.24,5.39,,63600.0
2000-02-29,5.64,5.67,5.32,5.38,,104300.0
2000-03-01,5.35,5.47,5.34,5.45,,39200.0
2000-03-02,5.46,5.46,5.29,5.3,,36700.0
2000-03-03,5.27,5.49,5.26,5.47,,49900.0
2000-03-06,5.49,5.5,5.47,5.47,,37600.0
2000-03-07,5.44,5.44,5.13,5.13,,62500.0
2000-03-08,5.13,5.13,4.91,4.91,,94900.0
2000-03-09,4.94,4.94,4.68,4.89,,96400.0
2000-03-10,4.87,4.87,4.66,4.71,,73200.0
2000-03-13,4.71,4.92,4.64,4.85,,111900.0
2000-03-14,4.84,4.88,4.67,4.67,,26400.0
2000-03-15,4.7,5.02,4.43,5.0,,223100.0
2000-03-16,4.98,5.49,4.97,5.45,,163900.0
2000-03-17,5.42,5.43,5.11,5.12,,81800.0
2000-03-20,5.15,5.16,4.99,5.01,,24300.0
2000-03-21,5.02,5.23,5.02,5.17,,93900.0
2000-03-22,5.17,5.24,5.17,5.24,,25800.0
2000-03-23,5.22,5.43,5.17,5.41,,72700.0
2000-03-24,5.44,5.44,5.28,5.31,,111800.0
2000-03-27,5.38,5.4,5.12,5.3,,165100.0
2000-03-28,5.28,5.39,5.27,5.35,,57500.0
2000-03-29,5.32,5.33,5.15,5.26,,38000.0
2000-03-30,5.23,5.43,5.23,5.35,,97800.0
2000-03-31,5.38,5.6,5.38,5.6,,55800.0
2000-04-03,5.58,5.73,5.57,5.65,,113200.0
2000-04-04,5.65,5.71,5.49,5.58,,109900.0
2000-04-05,5.58,5.71,5.55,5.71,,69600.0
2000-04-06,5.72,5.76,5.55,5.65,,114000.0
2000-04-07,5.67,5.72,5.58,5.71,,75400.0
2000-04-10,5.71,5.76,5.45,5.5,,72400.0
2000-04-11,5.53,5.65,5.51,5.57,,61700.0
2000-04-12,5.6,6.03,5.6,5.93,,124800.0
2000-04-13,6.05,6.12,5.75,5.75,,86700.0
2000-04-14,5.72,5.72,5.28,5.41,,80900.0
2000-04-17,5.43,5.6,5.35,5.58,,59500.0
2000-04-18,5.56,5.69,5.5,5.69,,71800.0
2000-04-19,5.67,5.69,5.51,5.55,,56800.0
2000-04-20,5.55,5.6,5.54,5.56,,25100.0
2000-04-24,5.57,5.57,5.48,5.53,,53400.0
2000-04-25,5.54,5.56,5.5,5.54,,42100.0
2000-04-26,5.54,5.6,5.43,5.47,,35900.0
2000-04-27,5.46,5.46,5.38,5.38,,50300.0
2000-04-28,5.38,5.54,5.38,5.53,,44000.0
2000-05-01,5.54,5.64,5.49,5.55,,48600.0
2000-05-02,5.52,5.56,5.49,5.54,,26600.0
2000-05-03,5.52,5.73,5.52,5.67,,56400.0
2000-05-04,5.65,5.72,5.6,5.71,,44000.0
2000-05-05,5.73,5.8,5.43,5.57,,98700.0
2000-05-08,5.56,5.8,5.55,5.65,,67900.0
2000-05-09,5.63,5.79,5.63,5.78,,36000.0
2000-05-10,5.76,5.78,5.61,5.61,,31900.0
2000-05-11,5.6,5.87,5.6,5.87,,49700.0
2000-05-12,5.9,5.98,5.84,5.86,,45100.0
2000-05-15,5.83,5.97,5.76,5.86,,26700.0
2000-05-16,5.89,5.98,5.89,5.9,,32100.0
2000-05-17,5.87,5.87,5.66,5.67,,47300.0
2000-05-18,5.65,5.68,5.61,5.63,,21300.0
2000-05-19,5.64,5.71,5.64,5.7,,36000.0
2000-05-22,5.68,5.81,5.62,5.81,,31600.0
2000-05-23,5.81,5.89,5.75,5.82,,45100.0
2000-05-24,5.82,6.0,5.79,5.91,,40900.0
2000-05-25,5.93,5.93,5.76,5.76,,17300.0
2000-05-26,5.76,5.81,5.63,5.69,,50300.0
2000-05-30,5.69,5.69,5.63,5.68,,16800.0
2000-05-31,5.65,5.76,5.65,5.75,,45900.0
2000-06-01,5.73,5.86,5.73,5.78,,59000.0
2000-06-02,5.8,5.8,5.62,5.64,,40500.0
2000-06-05,5.67,5.67,5.54,5.58,,39000.0
2000-06-06,5.61,5.76,5.61,5.71,,20700.0
2000-06-07,5.73,5.84,5.71,5.82,,42800.0
2000-06-08,5.84,5.9,5.82,5.87,,25100.0
2000-06-09,5.9,6.02,5.9,6.01,,48100.0
2000-06-12,6.02,6.05,5.93,5.96,,50600.0
2000-06-13,5.96,6.04,5.9,5.91,,161800.0
2000-06-14,5.93,6.0,5.88,5.9,,61700.0
2000-06-15,5.93,6.02,5.93,6.01,,30600.0
2000-06-16,6.04,6.1,5.84,6.0,,96300.0
2000-06-19,6.02,6.03,5.93,5.98,,25100.0
2000-06-20,5.95,5.95,5.73,5.8,,33700.0
2000-06-21,5.82,6.03,5.82,5.93,,63300.0
2000-06-22,5.95,6.01,5.9,5.91,,59800.0
2000-06-23,5.89,5.89,5.54,5.7,,85900.0
2000-06-26,5.67,5.67,5.53,5.63,,108700.0
2000-06-27,5.68,5.78,5.47,5.48,,126500.0
2000-06-28,5.51,5.69,5.5,5.64,,82500.0
2000-06-29,5.64,5.65,5.49,5.52,,77900.0
2000-06-30,5.53,5.54,5.41,5.54,,97800.0
2000-07-03,5.56,5.73,5.56,5.68,,62400.0
2000-07-05,5.71,5.76,5.58,5.65,,63800.0
2000-07-06,5.65,5.78,5.64,5.72,,122400.0
2000-07-07,5.72,5.89,5.65,5.85,,95900.0
2000-07-10,5.84,5.84,5.65,5.73,,63100.0
2000-07-11,5.74,5.75,5.5,5.63,,82000.0
2000-07-12,5.63,5.66,5.54,5.6,,56800.0
2000-07-13,5.63,5.65,5.49,5.64,,87900.0
2000-07-14,5.67,5.67,5.42,5.51,,41200.0
2000-07-17,5.54,5.65,5.54,5.59,,133900.0
2000-07-18,5.59,5.73,5.57,5.68,,83000.0
2000-07-19,5.69,5.69,5.62,5.63,,62800.0
2000-07-20,5.6,5.63,5.52,5.58,,60300.0
2000-07-21,5.59,5.67,5.36,5.36,,123700.0
2000-07-24,5.38,5.43,5.3,5.32,,77900.0
2000-07-25,5.34,5.49,5.34,5.4,,113300.0
2000-07-26,5.38,5.38,5.28,5.37,,63900.0
2000-07-27,5.35,5.41,5.34,5.34,,29800.0
2000-07-28,5.34,5.4,5.24,5.24,,43800.0
2000-07-31,5.27,5.42,5.27,5.42,,92300.0
2000-08-01,5.42,5.45,5.38,5.39,,56400.0
2000-08-02,5.41,5.43,5.34,5.36,,55700.0
2000-08-03,5.39,5.52,5.39,5.47,,68500.0
2000-08-04,5.45,5.49,5.41,5.42,,77000.0
2000-08-07,5.43,5.43,5.28,5.34,,41900.0
2000-08-08,5.36,5.36,5.28,5.32,,45000.0
2000-08-09,5.35,5.4,5.32,5.36,,84200.0
2000-08-10,5.36,5.37,5.18,5.19,,103800.0
2000-08-11,5.17,5.17,4.91,4.99,,208900.0
2000-08-14,5.02,5.04,4.81,5.03,,288600.0
2000-08-15,5.05,5.55,5.05,5.32,,481000.0
2000-08-16,5.34,5.35,5.19,5.3,,112700.0
2000-08-17,5.32,5.38,5.27,5.33,,85200.0
2000-08-18,5.36,5.37,5.3,5.32,,52200.0
2000-08-21,5.32,5.43,5.32,5.38,,53000.0
2000-08-22,5.41,5.45,5.3,5.38,,71400.0
2000-08-23,5.39,5.55,5.39,5.45,,143800.0
2000-08-24,5.45,5.65,5.45,5.62,,110800.0
2000-08-25,5.65,5.8,5.54,5.79,,195400.0
2000-08-28,5.87,5.93,5.67,5.67,,58800.0
2000-08-29,5.86,6.02,5.84,5.91,,225600.0
2000-08-30,5.89,5.91,5.84,5.89,,37700.0
2000-08-31,5.91,5.92,5.88,5.91,,58600.0
2000-09-01,5.91,5.91,5.8,5.84,,48700.0
2000-09-05,5.84,5.84,5.73,5.78,,46500.0
2000-09-06,5.76,5.78,5.67,5.78,,38200.0
2000-09-07,5.78,5.9,5.78,5.9,,30400.0
2000-09-08,5.87,5.89,5.8,5.86,,69200.0
2000-09-11,5.87,5.89,5.83,5.84,,27800.0
2000-09-12,5.86,5.89,5.77,5.81,,45300.0
2000-09-13,5.84,6.03,5.82,5.99,,46400.0
2000-09-14,6.02,6.02,5.59,5.92,,112600.0
2000-09-15,5.87,5.93,5.84,5.89,,64300.0
