time,open,high,low,close,Volume,volume
1999-11-01,14.56,14.63,14.33,14.37,,317400.0
1999-11-02,14.3,14.46,14.1,14.1,,316500.0
1999-11-03,14.23,14.37,13.74,14.2,,321200.0
1999-11-04,14.33,14.37,14.14,14.23,,136700.0
1999-11-05,14.37,15.09,14.27,14.37,,188000.0
1999-11-08,14.23,14.82,14.17,14.46,,303900.0
1999-11-09,14.43,15.41,14.17,15.38,,451300.0
1999-11-10,16.32,16.72,15.67,15.87,,635700.0
1999-11-11,15.9,16.26,15.7,15.9,,300200.0
1999-11-12,15.9,16.39,15.8,16.26,,270100.0
1999-11-15,16.22,16.22,15.8,15.8,,214200.0
1999-11-16,15.8,17.57,15.8,17.21,,437300.0
1999-11-17,17.18,17.47,16.91,17.08,,476000.0
1999-11-18,17.11,17.34,16.91,17.14,,298900.0
1999-11-19,17.01,17.24,16.75,16.75,,339800.0
1999-11-22,16.62,16.78,16.36,16.49,,224000.0
1999-11-23,16.47,16.54,16.18,16.31,,210400.0
1999-11-24,16.21,16.7,16.05,16.44,,234600.0
1999-11-26,16.44,16.47,16.18,16.18,,56100.0
1999-11-29,15.78,16.57,15.78,16.28,,238200.0
1999-11-30,16.18,16.64,16.11,16.38,,122600.0
1999-12-01,16.25,16.44,16.15,16.34,,254000.0
1999-12-02,16.38,16.44,16.15,16.28,,87300.0
1999-12-03,16.38,16.77,16.38,16.51,,303200.0
1999-12-06,16.38,17.03,16.38,16.9,,291600.0
1999-12-07,16.57,17.1,16.47,16.54,,124500.0
1999-12-08,16.6,16.8,16.51,16.7,,89300.0
1999-12-09,16.67,16.83,16.44,16.47,,134700.0
1999-12-10,16.57,16.7,15.78,16.38,,144900.0
1999-12-13,16.47,16.54,16.21,16.41,,238100.0
1999-12-14,16.41,16.77,16.28,16.28,,320600.0
1999-12-15,16.18,16.21,15.65,15.72,,166700.0
1999-12-16,15.78,15.78,15.46,15.65,,278400.0
1999-12-17,15.68,15.68,15.68,15.68,,305300.0
1999-12-20,15.42,15.46,14.89,15.22,,112400.0
1999-12-21,15.22,15.65,15.06,15.62,,168300.0
1999-12-22,15.62,16.01,15.62,15.81,,271900.0
1999-12-23,15.78,15.91,15.55,15.72,,122900.0
1999-12-27,15.75,15.75,15.39,15.46,,242200.0
1999-12-28,15.49,15.85,15.46,15.81,,234600.0
1999-12-29,15.85,15.85,15.39,15.75,,63800.0
1999-12-30,15.75,15.91,15.65,15.88,,181200.0
1999-12-31,15.75,15.88,15.72,15.85,,84100.0
2000-01-03,15.72,15.85,15.06,15.12,,297300.0
2000-01-04,14.99,15.22,14.7,14.8,,127000.0
2000-01-05,14.8,14.86,14.54,14.57,,121300.0
2000-01-06,14.5,14.99,14.4,14.54,,225100.0
2000-01-07,14.54,14.8,14.4,14.8,,222500.0
2000-01-10,14.76,14.8,14.2,14.67,,160800.0
2000-01-11,14.6,14.8,14.4,14.5,,142000.0
2000-01-12,14.44,15.42,14.37,15.09,,407000.0
2000-01-13,15.09,15.26,15.09,15.12,,135700.0
2000-01-14,14.93,14.93,14.4,14.67,,258700.0
2000-01-18,14.34,14.44,14.1,14.17,,142700.0
2000-01-19,14.04,14.76,13.97,14.57,,353800.0
2000-01-20,14.54,15.32,14.17,14.2,,335600.0
2000-01-21,14.27,14.27,13.51,13.71,,180300.0
2000-01-24,13.71,13.71,13.35,13.41,,122300.0
2000-01-25,13.41,13.41,12.92,13.22,,174000.0
2000-01-26,13.18,13.22,12.63,12.89,,218000.0
2000-01-27,13.41,13.75,13.25,13.28,,308700.0
2000-01-28,13.18,13.35,13.02,13.02,,147800.0
2000-01-31,13.02,13.28,12.76,13.22,,187700.0
2000-02-01,13.28,13.45,13.18,13.22,,272300.0
2000-02-02,13.28,13.75,13.28,13.65,,395100.0
2000-02-03,13.61,13.84,13.15,13.75,,192500.0
2000-02-04,13.48,13.81,13.38,13.48,,524300.0
2000-02-07,13.48,13.48,12.99,13.12,,199700.0
2000-02-08,13.22,13.45,13.05,13.12,,174200.0
2000-02-09,13.05,13.12,12.76,12.79,,232500.0
2000-02-10,12.79,12.86,12.36,12.53,,251400.0
2000-02-11,12.49,12.49,12.2,12.2,,149200.0
2000-02-14,12.23,12.66,12.23,12.43,,204000.0
2000-02-15,12.49,13.15,12.49,13.05,,237700.0
2000-02-16,12.83,13.15,12.79,12.92,,480300.0
