time,open,high,low,close,Volume,volume
1999-11-01,12.31,12.47,12.25,12.47,,227900.0
1999-11-02,12.38,12.92,12.38,12.78,,279000.0
1999-11-03,12.91,13.11,12.86,13.1,,395700.0
1999-11-04,13.47,13.47,13.26,13.41,,283200.0
1999-11-05,13.41,13.53,13.21,13.21,,329900.0
1999-11-08,13.21,13.3,13.11,13.11,,321000.0
1999-11-09,13.11,13.11,12.88,12.93,,149300.0
1999-11-10,12.68,12.7,12.26,12.38,,438000.0
1999-11-11,12.38,12.5,12.31,12.35,,129300.0
1999-11-12,12.38,12.43,12.23,12.35,,228200.0
1999-11-15,12.36,12.53,12.07,12.53,,246500.0
1999-11-16,12.48,12.53,12.26,12.48,,191500.0
1999-11-17,12.48,13.01,12.43,12.85,,324300.0
1999-11-18,12.86,13.07,12.83,13.07,,158600.0
1999-11-19,13.03,13.18,12.78,13.13,,188700.0
1999-11-22,13.08,13.08,12.51,12.58,,307600.0
1999-11-23,12.58,12.58,11.89,12.13,,390200.0
1999-11-24,12.11,12.76,12.08,12.45,,96400.0
1999-11-26,12.4,12.41,12.18,12.2,,54600.0
1999-11-29,12.16,12.16,11.79,11.85,,216700.0
1999-11-30,11.82,11.82,11.36,11.37,,436500.0
1999-12-01,11.39,11.62,11.3,11.62,,924600.0
1999-12-02,11.61,11.89,11.54,11.82,,353900.0
1999-12-03,11.9,12.21,11.9,12.05,,186400.0
1999-12-06,12.42,12.66,12.16,12.16,,197300.0
1999-12-07,12.16,12.16,11.74,11.84,,164500.0
1999-12-08,11.9,12.05,11.67,12.03,,285200.0
1999-12-09,12.01,12.08,11.81,11.89,,171700.0
1999-12-10,11.86,12.03,11.85,11.96,,227500.0
1999-12-13,11.92,12.15,11.9,11.97,,181600.0
1999-12-14,11.96,12.06,11.76,11.76,,103500.0
1999-12-15,11.76,12.26,11.76,12.18,,189700.0
1999-12-16,12.11,12.46,12.11,12.42,,164000.0
1999-12-17,12.48,13.23,12.48,13.18,,385100.0
1999-12-20,13.23,13.51,13.21,13.27,,199700.0
1999-12-21,13.27,13.48,13.17,13.33,,206300.0
1999-12-22,13.37,13.98,13.37,13.88,,264100.0
1999-12-23,13.88,14.63,13.88,14.32,,471100.0
1999-12-27,14.32,14.32,13.98,14.17,,224500.0
1999-12-28,14.17,14.22,14.03,14.17,,224800.0
1999-12-29,14.11,14.11,13.78,13.95,,198500.0
1999-12-30,13.95,14.05,13.91,14.02,,173400.0
1999-12-31,14.02,14.02,13.92,13.93,,57800.0
2000-01-03,13.91,13.91,13.63,13.68,,269500.0
2000-01-04,13.63,13.66,13.47,13.53,,285200.0
2000-01-05,13.53,14.01,13.48,13.93,,309800.0
2000-01-06,13.91,14.36,13.81,14.25,,359600.0
2000-01-07,14.23,15.71,14.23,15.56,,778800.0
2000-01-10,15.56,16.27,15.31,15.39,,556400.0
2000-01-11,15.26,16.01,15.16,15.54,,180500.0
2000-01-12,15.54,15.54,15.12,15.21,,203900.0
2000-01-13,15.21,15.25,15.09,15.2,,228600.0
2000-01-14,15.3,15.51,15.16,15.45,,223800.0
2000-01-18,15.4,16.16,15.21,15.74,,301600.0
2000-01-19,15.75,16.01,15.74,15.94,,176600.0
2000-01-20,15.91,16.01,15.61,15.71,,286900.0
2000-01-21,15.7,15.74,15.55,15.69,,166700.0
2000-01-24,15.69,16.06,15.62,15.74,,603100.0
2000-01-25,15.74,15.81,15.31,15.41,,343300.0
2000-01-26,15.4,15.4,15.21,15.35,,236800.0
2000-01-27,15.31,15.31,15.2,15.29,,147100.0
2000-01-28,14.71,14.71,12.17,12.61,,2051000.0
2000-01-31,12.68,12.86,11.67,12.66,,1508700.0
2000-02-01,12.62,13.1,12.42,12.91,,620200.0
2000-02-02,13.41,13.41,12.8,13.06,,641300.0
2000-02-03,13.01,13.16,12.61,12.97,,459000.0
2000-02-04,13.01,13.45,13.01,13.17,,364500.0
2000-02-07,13.16,13.33,12.65,13.33,,396000.0
2000-02-08,13.71,13.93,13.61,13.76,,408800.0
2000-02-09,13.71,13.98,13.71,13.95,,438100.0
2000-02-10,13.95,13.96,13.11,13.25,,293100.0
2000-02-11,13.25,13.3,12.71,12.71,,202200.0
2000-02-14,12.76,13.21,12.76,12.98,,451700.0
2000-02-15,13.21,13.45,12.96,13.32,,335000.0
2000-02-16,13.3,13.46,13.26,13.38,,234700.0
2000-02-17,13.41,13.61,13.24,13.51,,173800.0
2000-02-18,13.51,13.51,12.56,12.65,,275100.0
2000-02-22,12.65,12.65,12.08,12.15,,351100.0
2000-02-23,12.17,12.21,11.58,11.8,,553600.0
2000-02-24,11.81,12.21,11.76,12.07,,1041300.0
2000-02-25,12.06,12.2,11.98,12.07,,208200.0
2000-02-28,11.81,11.96,11.53,11.61,,531000.0
2000-02-29,11.71,11.91,11.71,11.71,,509000.0
2000-03-01,11.41,11.66,10.81,11.01,,815200.0
2000-03-02,11.04,11.58,11.02,11.57,,694100.0
2000-03-03,11.57,11.78,11.36,11.62,,559800.0
2000-03-06,11.66,11.85,11.28,11.28,,579100.0
2000-03-07,11.28,11.28,10.38,10.53,,787500.0
2000-03-08,10.66,10.74,9.78,10.21,,1120300.0
2000-03-09,10.56,11.08,10.46,10.82,,461800.0
2000-03-10,10.71,10.79,10.63,10.67,,237600.0
2000-03-13,10.66,10.86,10.33,10.78,,359200.0
2000-03-14,10.96,11.11,10.82,11.01,,392600.0
2000-03-15,11.03,12.0,11.03,11.81,,705000.0
2000-03-16,11.96,12.88,11.93,12.88,,777800.0
2000-03-17,12.93,12.96,12.28,12.42,,530900.0
2000-03-20,12.66,12.78,12.5,12.68,,302300.0
2000-03-21,12.68,13.18,12.68,13.1,,352700.0
