time,open,high,low,close,Volume,volume
2000-10-06,1.69,1.72,1.56,1.63,,972100.0
2000-10-09,1.61,1.61,1.51,1.51,,344900.0
2000-10-10,1.49,1.58,1.49,1.53,,282200.0
2000-10-11,1.52,1.52,1.46,1.47,,463700.0
2000-10-12,1.45,1.45,1.33,1.4,,569000.0
2000-10-13,1.38,1.43,1.37,1.43,,199400.0
2000-10-16,1.43,1.45,1.42,1.44,,154600.0
2000-10-17,1.43,1.55,1.43,1.53,,77500.0
2000-10-18,1.52,1.53,1.44,1.45,,174000.0
2000-10-19,1.46,1.46,1.41,1.42,,152400.0
2000-10-20,1.43,1.43,1.4,1.41,,133100.0
2000-10-23,1.41,1.41,1.39,1.39,,186100.0
2000-10-24,1.41,1.45,1.41,1.45,,66700.0
2000-10-25,1.45,1.56,1.44,1.52,,208000.0
2000-10-26,1.51,1.51,1.46,1.51,,42300.0
2000-10-27,1.52,1.63,1.51,1.62,,50000.0
2000-10-30,1.6,1.79,1.6,1.79,,92700.0
2000-10-31,1.87,2.01,1.87,1.94,,445200.0
2000-11-01,1.92,1.95,1.86,1.93,,366900.0
2000-11-02,1.94,2.0,1.92,1.98,,114300.0
2000-11-03,1.96,2.1,1.91,2.1,,330100.0
2000-11-06,2.1,2.1,1.99,2.0,,84700.0
2000-11-07,1.99,1.99,1.92,1.97,,108300.0
2000-11-08,1.85,1.99,1.8,1.99,,362000.0
2000-11-09,1.99,2.01,1.94,1.99,,181200.0
2000-11-10,1.98,2.08,1.98,2.06,,46000.0
2000-11-13,2.03,2.03,1.83,1.84,,90800.0
2000-11-14,1.83,1.89,1.76,1.89,,125100.0
2000-11-15,1.9,1.93,1.86,1.91,,92100.0
2000-11-16,1.9,1.91,1.9,1.91,,9100.0
2000-11-17,1.92,1.94,1.89,1.94,,34100.0
2000-11-20,1.93,1.93,1.83,1.89,,33100.0
2000-11-21,1.88,1.89,1.87,1.88,,89100.0
2000-11-22,1.89,1.91,1.87,1.91,,50500.0
2000-11-24,1.91,1.91,1.91,1.91,,30300.0
2000-11-27,1.93,1.98,1.91,1.97,,104200.0
2000-11-28,1.96,2.01,1.95,1.95,,157600.0
2000-11-29,1.93,1.93,1.83,1.85,,16000.0
2000-11-30,1.83,1.84,1.81,1.84,,86000.0
2000-12-01,1.82,1.83,1.79,1.83,,52100.0
2000-12-04,1.82,1.92,1.82,1.92,,128200.0
2000-12-05,1.92,1.92,1.85,1.85,,136900.0
2000-12-06,1.84,1.93,1.84,1.92,,51100.0
2000-12-07,1.94,2.03,1.94,1.99,,55000.0
2000-12-08,2.01,2.14,2.0,2.11,,53100.0
2000-12-11,2.11,2.16,2.1,2.14,,33100.0
2000-12-12,2.1,2.14,2.07,2.07,,58800.0
2000-12-13,2.06,2.06,1.99,1.99,,40500.0
2000-12-14,1.99,1.99,1.67,1.75,,206800.0
2000-12-15,1.75,1.75,1.74,1.75,,4100.0
2000-12-18,1.76,1.77,1.67,1.71,,46200.0
2000-12-19,1.71,1.72,1.69,1.72,,39600.0
2000-12-20,1.72,1.72,1.67,1.68,,104800.0
2000-12-21,1.69,1.74,1.68,1.74,,81500.0
2000-12-22,1.74,1.87,1.74,1.86,,29000.0
2000-12-26,1.86,1.99,1.86,1.95,,34000.0
2000-12-27,1.99,2.08,1.99,2.08,,50800.0
2000-12-28,2.08,2.38,2.08,2.35,,149900.0
2000-12-29,2.35,2.44,2.35,2.39,,73800.0
2001-01-02,2.38,2.41,2.16,2.17,,150300.0
2001-01-03,2.16,2.18,2.14,2.16,,60900.0
2001-01-04,2.16,2.16,2.07,2.08,,129000.0
2001-01-05,2.07,2.08,2.02,2.02,,34300.0
2001-01-08,2.01,2.01,1.83,1.86,,60000.0
2001-01-09,1.91,1.96,1.89,1.93,,88700.0
2001-01-10,2.1,2.19,2.07,2.09,,251800.0
2001-01-11,2.1,2.27,2.1,2.26,,95000.0
2001-01-12,2.24,2.28,2.21,2.21,,72300.0
2001-01-16,2.19,2.39,2.19,2.36,,33700.0
2001-01-17,2.36,2.53,2.35,2.41,,157900.0
2001-01-18,2.41,2.51,2.41,2.49,,56300.0
2001-01-19,2.53,2.53,2.49,2.52,,53100.0
2001-01-22,2.53,2.63,2.53,2.57,,314400.0
2001-01-23,2.66,2.7,2.56,2.57,,297000.0
2001-01-24,2.57,2.57,2.47,2.55,,519600.0
2001-01-25,2.55,2.55,2.5,2.51,,695000.0
2001-01-26,2.51,2.53,2.51,2.53,,367800.0
2001-01-29,2.54,2.61,2.53,2.57,,117100.0
2001-01-30,2.57,2.62,2.57,2.6,,195900.0
2001-01-31,2.62,2.82,2.62,2.8,,478100.0
2001-02-01,2.81,3.01,2.8,2.96,,296700.0
2001-02-02,3.02,3.19,2.98,2.99,,464600.0
2001-02-05,2.98,2.99,2.89,2.92,,332100.0
2001-02-06,2.91,2.92,2.82,2.83,,453500.0
2001-02-07,2.82,3.01,2.82,2.84,,229900.0
2001-02-08,2.84,2.85,2.78,2.81,,342300.0
2001-02-09,2.82,2.83,2.78,2.8,,107000.0
2001-02-12,2.8,2.8,2.7,2.72,,54600.0
2001-02-13,2.73,2.8,2.72,2.72,,82500.0
2001-02-14,2.72,2.82,2.72,2.82,,198100.0
2001-02-15,2.91,2.96,2.84,2.84,,87100.0
2001-02-16,2.84,2.85,2.82,2.83,,19800.0
2001-02-20,2.86,2.87,2.8,2.81,,79000.0
2001-02-21,2.97,2.97,2.86,2.87,,137100.0
2001-02-22,2.74,2.82,2.74,2.82,,77600.0
2001-02-23,2.8,2.8,2.74,2.74,,147500.0
2001-02-26,2.74,2.76,2.72,2.74,,309000.0
2001-02-27,2.72,2.73,2.69,2.7,,110300.0
2001-02-28,2.7,2.7,2.5,2.5,,76200.0
2001-03-01,2.49,2.49,2.33,2.37,,173500.0
2001-03-02,2.36,2.36,2.29,2.32,,62900.0
2001-03-05,2.32,2.33,2.32,2.33,,56900.0
2001-03-06,2.26,2.26,2.18,2.19,,735000.0
2001-03-07,2.19,2.22,2.19,2.22,,268200.0
2001-03-08,2.21,2.34,2.21,2.33,,365100.0
2001-03-09,2.37,2.37,2.34,2.34,,247000.0
2001-03-12,2.34,2.36,2.33,2.34,,214600.0
2001-03-13,2.33,2.33,2.26,2.31,,161600.0
2001-03-14,2.24,2.29,2.24,2.27,,205000.0
2001-03-15,2.26,2.28,2.21,2.26,,759900.0
2001-03-16,2.25,2.27,2.25,2.26,,83700.0
2001-03-19,2.26,2.32,2.26,2.32,,287800.0
2001-03-20,2.32,2.34,2.32,2.33,,526700.0
2001-03-21,2.26,2.29,2.26,2.28,,121800.0
2001-03-22,2.28,2.28,2.18,2.23,,273100.0
2001-03-23,2.23,2.28,2.23,2.28,,162100.0
2001-03-26,2.28,2.28,2.23,2.24,,267700.0
2001-03-27,2.24,2.24,2.23,2.24,,488400.0
2001-03-28,2.32,2.32,2.28,2.29,,586400.0
2001-03-29,2.3,2.35,2.29,2.35,,743500.0
2001-03-30,2.35,2.43,2.33,2.4,,422600.0
2001-04-02,2.39,2.39,2.32,2.33,,473900.0
2001-04-03,2.33,2.33,2.26,2.29,,599700.0
2001-04-04,2.32,2.47,2.32,2.37,,3184100.0
2001-04-05,2.33,2.39,2.25,2.39,,3550400.0
2001-04-06,2.39,2.39,2.3,2.33,,1249300.0
2001-04-09,2.34,2.37,2.33,2.35,,428800.0
2001-04-10,2.34,2.38,2.31,2.33,,410600.0
2001-04-11,2.31,2.31,2.08,2.08,,429000.0
2001-04-12,2.08,2.13,2.05,2.11,,690000.0
2001-04-16,2.12,2.16,2.08,2.12,,202500.0
2001-04-17,2.08,2.08,1.95,1.98,,1585000.0
2001-04-18,1.98,2.15,1.98,2.1,,1261600.0
2001-04-19,2.13,2.15,1.95,1.97,,1140200.0
2001-04-20,1.97,1.97,1.92,1.96,,734000.0
2001-04-23,1.98,2.04,1.96,1.99,,1496300.0
2001-04-24,2.16,2.29,2.16,2.21,,2230400.0
2001-04-25,2.21,2.49,2.21,2.45,,2218500.0
2001-04-26,2.45,2.5,2.38,2.41,,542600.0
2001-04-27,2.41,2.52,2.39,2.52,,251700.0
2001-04-30,2.52,2.7,2.52,2.69,,732600.0
2001-05-01,2.72,2.87,2.72,2.85,,930100.0
2001-05-02,2.83,2.92,2.79,2.89,,1025500.0
2001-05-03,2.88,2.88,2.63,2.64,,638200.0
2001-05-04,2.62,2.67,2.54,2.65,,654400.0
2001-05-07,2.64,2.65,2.6,2.61,,799200.0
2001-05-08,2.61,2.68,2.59,2.61,,471600.0
2001-05-09,2.62,2.65,2.62,2.64,,879500.0
2001-05-10,2.63,2.72,2.63,2.66,,322700.0
2001-05-11,2.67,2.69,2.62,2.67,,382100.0
2001-05-14,2.66,2.82,2.66,2.82,,403100.0
2001-05-15,2.82,2.93,2.81,2.91,,596800.0
2001-05-16,2.89,3.04,2.89,3.03,,911200.0
2001-05-17,3.05,3.05,2.95,3.0,,541500.0
2001-05-18,2.99,2.99,2.89,2.91,,225300.0
2001-05-21,2.93,3.07,2.92,3.04,,258800.0
2001-05-22,3.04,3.09,2.98,3.06,,451600.0
2001-05-23,3.06,3.06,3.0,3.01,,627700.0
2001-05-24,3.01,3.03,3.0,3.03,,150100.0
2001-05-25,3.03,3.07,3.03,3.05,,390300.0
2001-05-29,3.05,3.05,2.97,2.99,,538200.0
2001-05-30,2.99,3.02,2.97,2.99,,231400.0
2001-05-31,2.99,3.0,2.9,2.91,,580200.0
2001-06-01,2.91,2.99,2.91,2.95,,553300.0
2001-06-04,2.95,2.99,2.91,2.93,,223700.0
2001-06-05,2.95,3.02,2.94,2.98,,363100.0
2001-06-06,2.98,3.0,2.89,2.91,,267500.0
2001-06-07,2.89,2.92,2.85,2.92,,364500.0
2001-06-08,2.96,2.99,2.96,2.98,,455100.0
2001-06-11,2.98,3.04,2.96,2.97,,342500.0
2001-06-12,2.99,2.99,2.91,2.99,,471800.0
2001-06-13,3.02,3.14,3.01,3.08,,790700.0
2001-06-14,3.08,3.09,2.94,2.96,,219500.0
2001-06-15,2.96,2.97,2.75,2.9,,388600.0
2001-06-18,2.93,2.95,2.87,2.91,,274800.0
2001-06-19,2.92,3.01,2.92,2.93,,139700.0
2001-06-20,2.94,2.98,2.87,2.93,,255300.0
2001-06-21,2.92,3.11,2.92,3.09,,316900.0
2001-06-22,3.09,3.09,2.99,3.04,,171800.0
2001-06-25,3.03,3.05,2.99,3.02,,198800.0
2001-06-26,3.01,3.27,3.0,3.15,,434600.0
2001-06-27,3.17,3.23,3.17,3.2,,731900.0
2001-06-28,3.24,3.3,3.17,3.19,,479300.0
2001-06-29,3.21,3.25,3.1,3.16,,891200.0
2001-07-02,3.17,3.18,3.12,3.13,,415000.0
2001-07-03,3.11,3.23,3.11,3.2,,169100.0
2001-07-05,3.14,3.16,2.96,2.96,,315700.0
2001-07-06,2.95,2.96,2.64,2.91,,918300.0
2001-07-09,2.91,3.05,2.91,3.05,,716900.0
2001-07-10,3.05,3.15,3.05,3.15,,740800.0
2001-07-11,3.15,3.36,3.09,3.36,,763900.0
2001-07-12,3.43,3.45,3.39,3.45,,1078400.0
2001-07-13,3.43,3.43,3.26,3.32,,241100.0
2001-07-16,3.3,3.44,3.3,3.4,,380900.0
2001-07-17,3.41,3.55,3.39,3.5,,475700.0
2001-07-18,3.48,3.49,3.41,3.43,,566600.0
2001-07-19,3.43,3.49,3.38,3.4,,400800.0
2001-07-20,3.39,3.4,3.29,3.37,,113000.0
2001-07-23,3.37,3.4,3.26,3.26,,211900.0
2001-07-24,3.26,3.35,3.07,3.15,,373000.0
2001-07-25,3.11,3.32,3.05,3.3,,264100.0
2001-07-26,3.31,3.45,3.29,3.41,,914200.0
2001-07-27,3.42,3.42,3.22,3.22,,362200.0
2001-07-30,3.24,3.28,3.18,3.26,,473800.0
2001-07-31,3.24,3.24,3.1,3.14,,1297100.0
2001-08-01,3.13,3.22,2.99,3.02,,862200.0
2001-08-02,3.01,3.14,3.01,3.14,,404200.0
2001-08-03,3.13,3.24,3.02,3.09,,323700.0
2001-08-06,3.1,3.1,2.92,2.96,,199800.0
2001-08-07,2.96,3.01,2.92,2.99,,341300.0
2001-08-08,3.0,3.07,2.99,3.01,,209600.0
2001-08-09,3.01,3.07,2.97,3.06,,92000.0
2001-08-10,3.06,3.06,2.96,2.96,,199700.0
2001-08-13,2.96,2.96,2.85,2.91,,121100.0
2001-08-14,2.93,3.0,2.92,2.99,,74800.0
2001-08-15,2.98,2.98,2.89,2.91,,144800.0
2001-08-16,2.89,2.93,2.85,2.92,,300900.0
2001-08-17,2.92,2.92,2.79,2.79,,233100.0
2001-08-20,2.76,2.79,2.68,2.75,,460800.0
2001-08-21,2.84,3.01,2.8,2.83,,763200.0
2001-08-22,2.84,2.92,2.82,2.91,,130500.0
2001-08-23,2.88,2.96,2.86,2.92,,215500.0
2001-08-24,2.92,2.99,2.88,2.94,,108900.0
2001-08-27,2.95,3.13,2.95,3.06,,135700.0
2001-08-28,3.05,3.06,2.91,2.99,,198700.0
2001-08-29,3.01,3.01,2.97,2.99,,164200.0
2001-08-30,3.0,3.0,2.94,2.98,,266400.0
2001-08-31,2.99,3.07,2.99,3.01,,156000.0
2001-09-04,3.02,3.04,2.99,3.0,,266000.0
2001-09-05,3.03,3.09,2.99,3.07,,159500.0
2001-09-06,3.09,3.09,2.89,2.93,,163500.0
2001-09-07,2.91,2.91,2.81,2.84,,216500.0
2001-09-10,2.79,2.82,2.75,2.76,,214800.0
2001-09-17,1.95,2.28,1.95,2.11,,1315300.0
2001-09-18,2.12,2.14,1.91,1.91,,738500.0
2001-09-19,1.96,1.96,1.89,1.91,,920000.0
2001-09-20,1.9,1.9,1.81,1.87,,544700.0
2001-09-21,1.93,1.93,1.66,1.91,,845400.0
2001-09-24,2.18,2.18,2.03,2.13,,727600.0
2001-09-25,2.13,2.13,2.02,2.08,,470700.0
2001-09-26,2.03,2.03,1.72,1.82,,2085400.0
2001-09-27,1.74,1.97,1.74,1.97,,635700.0
2001-09-28,1.98,2.33,1.96,2.2,,844300.0
2001-10-01,2.14,2.14,1.99,1.99,,503000.0
2001-10-02,1.97,1.99,1.88,1.9,,731600.0
2001-10-03,2.16,2.16,1.85,2.06,,946000.0
2001-10-04,2.12,2.12,1.98,1.98,,482300.0
2001-10-05,2.11,2.11,1.96,2.07,,279700.0
2001-10-08,2.1,2.1,1.98,2.04,,229500.0
2001-10-09,2.05,2.05,1.97,1.99,,144300.0
2001-10-10,2.0,2.12,1.99,2.12,,306800.0
2001-10-11,2.12,2.41,2.12,2.34,,662700.0
2001-10-12,2.22,2.25,2.08,2.23,,487600.0
2001-10-15,2.22,2.22,2.13,2.14,,184000.0
2001-10-16,2.16,2.2,2.16,2.16,,417600.0
2001-10-17,2.16,2.18,2.07,2.07,,422100.0
2001-10-18,2.09,2.24,2.09,2.16,,302600.0
2001-10-19,2.16,2.26,2.16,2.26,,420800.0
2001-10-22,2.25,2.36,2.24,2.32,,313100.0
2001-10-23,2.41,2.56,2.41,2.5,,1065100.0
2001-10-24,2.52,2.52,2.43,2.43,,431800.0
