time,open,high,low,close,Volume,volume
2010-12-07,12.94,13.53,12.62,13.26,,10577600.0
2010-12-08,13.16,13.96,13.1,13.78,,865200.0
2010-12-09,13.61,14.1,13.61,13.73,,877800.0
2010-12-10,13.62,13.85,13.58,13.77,,436900.0
2010-12-13,13.69,14.33,13.69,14.24,,397800.0
2010-12-14,14.18,14.29,13.85,14.25,,250500.0
2010-12-15,14.26,14.58,13.68,14.0,,396100.0
2010-12-16,13.94,14.46,13.94,14.4,,133000.0
2010-12-17,14.49,14.8,14.45,14.67,,101600.0
2010-12-20,14.61,15.25,14.6,14.78,,149300.0
2010-12-21,14.84,14.88,14.29,14.53,,139200.0
2010-12-22,14.42,14.44,14.08,14.44,,157500.0
2010-12-23,14.36,14.42,14.34,14.42,,135200.0
2010-12-27,14.37,14.37,14.19,14.24,,97000.0
2010-12-28,14.2,14.42,14.18,14.39,,204000.0
2010-12-29,14.25,14.58,14.23,14.58,,75200.0
2010-12-30,14.51,14.6,14.42,14.52,,298000.0
2010-12-31,14.5,14.53,14.39,14.4,,49800.0
2011-01-03,14.46,14.53,14.24,14.5,,253500.0
2011-01-04,14.5,14.6,14.3,14.59,,232300.0
2011-01-05,14.51,14.7,14.43,14.68,,61800.0
2011-01-06,14.65,15.12,14.47,15.03,,116100.0
2011-01-07,14.98,15.11,14.72,14.93,,288300.0
2011-01-10,14.77,15.02,14.54,14.71,,121100.0
2011-01-11,14.73,14.84,14.56,14.82,,188900.0
2011-01-12,14.87,15.29,14.73,15.23,,172300.0
2011-01-13,15.1,15.28,14.98,15.05,,130200.0
2011-01-14,15.09,15.29,15.02,15.2,,249000.0
2011-01-18,15.36,16.25,15.26,15.76,,692000.0
2011-01-19,15.94,16.03,15.47,15.5,,227700.0
2011-01-20,15.52,16.13,14.65,15.79,,354600.0
2011-01-21,15.84,15.89,15.15,15.79,,118100.0
2011-01-24,15.79,16.23,15.31,16.16,,129400.0
2011-01-25,16.13,16.64,16.04,16.21,,204000.0
2011-01-26,16.23,16.55,15.9,16.33,,125200.0
2011-01-27,16.24,16.43,16.11,16.32,,37300.0
2011-01-28,16.22,16.52,15.56,16.42,,256400.0
2011-01-31,16.94,17.03,16.25,16.5,,202900.0
2011-02-01,16.77,16.77,16.21,16.49,,85500.0
2011-02-02,16.38,16.91,16.17,16.23,,88600.0
2011-02-03,16.33,16.44,15.74,15.81,,287900.0
2011-02-04,15.91,16.18,15.81,16.15,,131500.0
2011-02-07,16.25,16.54,16.14,16.14,,97200.0
2011-02-08,16.17,16.99,16.12,16.79,,270600.0
2011-02-09,16.89,16.95,16.77,16.88,,45100.0
2011-02-10,16.82,17.07,16.43,16.67,,74100.0
2011-02-11,16.77,16.77,16.53,16.69,,78300.0
2011-02-14,16.86,17.34,16.83,16.92,,219900.0
2011-02-15,17.0,17.18,16.95,17.16,,201500.0
2011-02-16,17.36,17.44,17.22,17.34,,220700.0
2011-02-17,17.35,17.38,17.01,17.27,,91500.0
2011-02-18,17.33,17.73,17.27,17.4,,159600.0
2011-02-22,17.51,17.56,16.9,17.17,,172300.0
2011-02-23,17.22,17.27,16.96,17.19,,72100.0
2011-02-24,17.34,17.35,17.03,17.24,,147100.0
2011-02-25,17.22,17.6,17.22,17.54,,101100.0
2011-02-28,17.6,17.7,17.41,17.63,,36600.0
2011-03-01,17.75,17.89,17.19,17.54,,103300.0
2011-03-02,17.54,17.99,17.39,17.75,,170900.0
2011-03-03,17.83,17.98,17.6,17.61,,164400.0
2011-03-04,17.61,18.1,17.56,17.88,,76000.0
2011-03-07,17.85,18.29,17.85,18.27,,204000.0
2011-03-08,18.18,18.23,17.92,18.07,,250000.0
2011-03-09,18.1,18.24,17.6,17.85,,273600.0
2011-03-10,17.75,17.79,17.06,17.33,,415600.0
2011-03-11,17.23,17.59,16.57,17.41,,496300.0
2011-03-14,17.35,17.53,17.15,17.25,,317900.0
2011-03-15,17.02,17.47,16.87,17.19,,535600.0
2011-03-16,17.3,18.05,17.12,17.33,,474500.0
2011-03-17,17.49,17.96,17.45,17.95,,236700.0
2011-03-18,18.03,19.1,17.9,18.74,,1085000.0
2011-03-21,18.79,19.22,18.48,19.1,,117300.0
2011-03-22,19.16,19.6,18.75,19.51,,111800.0
2011-03-23,19.75,19.75,18.54,18.81,,362400.0
2011-03-24,18.82,18.83,18.4,18.7,,164000.0
2011-03-25,18.74,19.18,18.73,19.02,,108300.0
2011-03-28,19.02,19.06,18.73,18.93,,186900.0
2011-03-29,18.93,19.21,18.8,19.03,,90900.0
2011-03-30,19.1,19.33,18.87,19.1,,171200.0
2011-03-31,19.07,19.56,18.79,19.5,,1790800.0
2011-04-01,19.47,19.77,19.21,19.39,,390000.0
2011-04-04,19.64,19.65,18.06,18.23,,687700.0
2011-04-05,18.19,18.37,17.73,18.27,,263300.0
2011-04-06,18.33,18.57,17.99,18.17,,141000.0
2011-04-07,18.12,18.12,17.92,18.08,,85800.0
2011-04-08,18.19,18.19,17.84,18.02,,93000.0
2011-04-11,17.97,18.06,17.65,17.79,,87800.0
2011-04-12,17.74,17.9,17.05,17.64,,201800.0
2011-04-13,17.62,18.16,17.62,18.04,,204500.0
2011-04-14,17.88,18.07,17.23,17.9,,288300.0
2011-04-15,17.86,18.2,17.85,18.17,,310700.0
2011-04-18,18.07,18.2,17.85,18.16,,283100.0
2011-04-19,18.22,18.22,17.68,17.76,,403600.0
2011-04-20,17.75,19.16,17.74,18.99,,4308100.0
2011-04-21,18.91,19.1,18.53,18.8,,320600.0
2011-04-25,18.72,18.97,18.27,18.74,,293100.0
2011-04-26,18.67,19.38,18.42,19.27,,384200.0
2011-04-27,19.31,19.54,19.2,19.52,,189400.0
2011-04-28,19.42,19.56,19.0,19.4,,303000.0
2011-04-29,19.41,19.43,18.93,19.0,,339000.0
2011-05-02,19.08,19.11,18.48,18.63,,245400.0
2011-05-03,18.57,18.82,18.37,18.63,,227700.0
2011-05-04,18.63,18.74,17.97,18.31,,161000.0
2011-05-05,18.23,18.36,17.68,17.95,,379300.0
2011-05-06,18.02,18.56,17.76,18.43,,467100.0
2011-05-09,18.37,19.0,18.24,18.9,,197300.0
2011-05-10,18.79,19.08,18.21,18.69,,336100.0
2011-05-11,18.66,18.66,18.07,18.23,,435000.0
2011-05-12,18.13,18.23,17.63,17.99,,191100.0
2011-05-13,17.97,18.13,17.7,17.99,,202300.0
2011-05-16,17.85,18.07,17.52,17.63,,225000.0
2011-05-17,17.59,17.8,17.24,17.37,,405900.0
2011-05-18,17.44,17.67,17.3,17.4,,208400.0
2011-05-19,17.49,17.68,17.41,17.54,,242900.0
2011-05-20,17.53,17.78,17.35,17.38,,253300.0
2011-05-23,17.27,17.69,17.1,17.46,,202200.0
2011-05-24,17.5,17.73,17.11,17.61,,253000.0
2011-05-25,17.53,18.31,17.53,18.01,,204700.0
2011-05-26,18.0,18.3,17.49,18.13,,158200.0
2011-05-27,18.24,18.77,18.21,18.67,,173200.0
2011-05-31,18.8,19.25,18.61,18.95,,1080000.0
2011-06-01,18.85,18.97,18.29,18.55,,186300.0
2011-06-02,18.5,18.56,17.94,18.01,,254000.0
2011-06-03,17.8,18.18,17.74,18.01,,124200.0
2011-06-06,18.04,18.13,17.67,17.68,,159200.0
2011-06-07,17.83,17.85,17.53,17.56,,126100.0
2011-06-08,17.57,17.91,17.22,17.73,,381300.0
2011-06-09,17.79,18.39,17.75,18.23,,110800.0
2011-06-10,18.17,18.27,17.97,18.1,,136500.0
2011-06-13,18.13,18.14,17.44,17.49,,254100.0
2011-06-14,17.71,17.75,17.46,17.52,,121300.0
2011-06-15,17.25,17.49,16.73,16.98,,227300.0
2011-06-16,16.84,16.96,16.55,16.64,,227700.0
2011-06-17,16.74,16.78,16.44,16.59,,313800.0
2011-06-20,16.68,16.8,16.4,16.66,,231600.0
2011-06-21,16.76,17.05,16.63,16.85,,182100.0
2011-06-22,16.77,17.13,16.59,16.74,,215500.0
2011-06-23,16.46,17.08,15.97,17.01,,192900.0
2011-06-24,16.96,17.18,16.63,17.09,,460100.0
2011-06-27,17.01,17.31,16.96,17.14,,81800.0
2011-06-28,17.23,17.79,17.11,17.74,,218500.0
2011-06-29,17.87,18.18,17.66,18.09,,124700.0
2011-06-30,18.15,18.38,17.97,18.16,,120000.0
2011-07-01,18.08,18.08,17.42,17.92,,164400.0
2011-07-05,17.94,18.11,17.74,17.88,,122200.0
2011-07-06,17.85,17.93,17.65,17.86,,121800.0
2011-07-07,18.18,18.45,18.13,18.33,,103700.0
2011-07-08,18.18,18.64,18.14,18.57,,228600.0
2011-07-11,18.42,18.57,18.14,18.17,,145200.0
2011-07-12,18.08,18.25,17.88,18.04,,205900.0
2011-07-13,18.01,18.13,17.94,18.04,,160900.0
2011-07-14,18.04,18.32,17.99,18.15,,114900.0
2011-07-15,18.18,18.61,18.01,18.42,,93700.0
2011-07-18,18.36,18.55,18.23,18.46,,180800.0
2011-07-19,18.61,18.68,18.17,18.62,,40400.0
2011-07-20,18.63,18.63,18.27,18.36,,136400.0
2011-07-21,18.46,19.1,18.35,18.56,,148300.0
2011-07-22,18.58,18.96,18.34,18.71,,143900.0
2011-07-25,18.59,19.01,18.36,18.49,,211800.0
2011-07-26,18.44,18.49,18.06,18.33,,169200.0
2011-07-27,18.32,18.52,18.18,18.36,,137500.0
2011-07-28,18.36,18.92,18.36,18.8,,124400.0
2011-07-29,18.59,18.67,18.3,18.47,,102300.0
2011-08-01,18.71,19.1,18.32,18.91,,175800.0
2011-08-02,18.78,18.83,18.41,18.41,,109500.0
2011-08-03,18.49,18.53,18.07,18.33,,234300.0
2011-08-04,18.14,18.28,16.97,17.09,,281700.0
2011-08-05,17.22,17.28,16.28,16.82,,316300.0
2011-08-08,16.55,18.33,14.41,14.6,,304800.0
2011-08-09,14.91,16.52,14.23,16.48,,680300.0
2011-08-10,16.3,17.58,16.08,16.66,,274600.0
2011-08-11,16.79,18.12,16.67,17.81,,330200.0
2011-08-12,18.04,18.23,17.07,17.5,,217800.0
2011-08-15,17.78,18.43,17.6,17.89,,293700.0
2011-08-16,17.68,17.71,17.29,17.41,,289700.0
2011-08-17,17.57,17.76,17.3,17.47,,95800.0
2011-08-18,17.0,17.07,16.18,16.61,,283000.0
2011-08-19,16.38,16.71,16.28,16.53,,416200.0
2011-08-22,17.1,17.1,15.58,15.78,,422400.0
2011-08-23,15.97,15.97,15.36,15.93,,570400.0
2011-08-24,15.95,16.41,15.8,15.95,,364800.0
2011-08-25,16.1,16.12,15.75,15.83,,240000.0
2011-08-26,15.75,16.22,15.6,15.94,,354000.0
2011-08-29,16.15,16.42,15.88,16.1,,580100.0
2011-08-30,16.04,16.37,15.97,16.17,,815400.0
2011-08-31,16.32,16.73,16.27,16.33,,456600.0
2011-09-01,16.39,16.83,16.15,16.49,,304600.0
2011-09-02,16.0,16.76,15.98,16.75,,366100.0
2011-09-06,16.17,16.73,16.02,16.72,,316200.0
2011-09-07,16.9,16.91,16.62,16.75,,292900.0
2011-09-08,16.7,16.99,16.7,16.85,,113300.0
2011-09-09,16.71,16.71,16.39,16.5,,177700.0
2011-09-12,16.25,16.73,15.98,16.7,,161700.0
2011-09-13,16.78,17.28,16.75,17.24,,142900.0
2011-09-14,17.37,17.48,17.07,17.27,,123000.0
2011-09-15,17.45,17.49,17.12,17.23,,75600.0
2011-09-16,17.36,17.39,16.73,17.28,,367400.0
2011-09-19,16.97,17.56,16.77,17.42,,225400.0
2011-09-20,17.57,17.81,17.17,17.23,,196300.0
2011-09-21,17.28,17.59,16.77,16.87,,225400.0
2011-09-22,16.42,16.82,16.14,16.49,,215700.0
2011-09-23,16.43,16.58,16.09,16.58,,104600.0
2011-09-26,16.76,16.76,16.33,16.55,,147100.0
2011-09-27,16.93,17.0,16.64,16.78,,157600.0
2011-09-28,16.85,16.91,16.42,16.64,,134300.0
2011-09-29,16.85,16.9,16.04,16.54,,220800.0
2011-09-30,16.31,16.49,16.23,16.28,,211400.0
2011-10-03,16.25,16.45,15.37,15.38,,172300.0
2011-10-04,15.26,15.83,14.64,15.78,,237400.0
2011-10-05,15.85,16.3,15.56,16.27,,84500.0
2011-10-06,16.29,16.42,16.07,16.35,,264100.0
2011-10-07,16.37,16.82,16.29,16.46,,249600.0
2011-10-10,16.79,17.16,16.73,17.13,,134500.0
2011-10-11,17.05,17.71,16.91,17.23,,184700.0
2011-10-12,17.44,17.62,17.33,17.58,,167600.0
2011-10-13,17.43,17.51,17.22,17.33,,115800.0
2011-10-14,17.53,17.64,17.36,17.62,,202300.0
2011-10-17,17.59,17.94,17.54,17.6,,277700.0
2011-10-18,17.7,18.06,17.46,17.86,,304100.0
2011-10-19,17.92,18.64,17.81,18.25,,192600.0
2011-10-20,18.39,18.39,17.71,17.94,,290800.0
2011-10-21,18.25,18.25,17.94,18.17,,223100.0
2011-10-24,18.29,18.44,18.15,18.24,,201600.0
2011-10-25,18.2,18.27,17.89,17.97,,186900.0
2011-10-26,18.24,18.39,17.83,18.09,,135300.0
2011-10-27,18.64,20.31,18.39,19.01,,320100.0
2011-10-28,18.96,19.01,18.71,18.82,,103300.0
2011-10-31,18.68,18.77,18.36,18.64,,98100.0
2011-11-01,18.14,18.43,17.99,18.36,,135700.0
2011-11-02,18.66,18.81,18.25,18.39,,163200.0
2011-11-03,18.63,18.91,18.35,18.77,,119500.0
2011-11-04,18.74,18.95,18.37,18.89,,83900.0
2011-11-07,19.06,19.06,18.43,18.92,,133500.0
2011-11-08,19.06,19.3,18.65,19.24,,228500.0
2011-11-09,18.87,18.87,18.18,18.28,,146700.0
2011-11-10,18.54,18.88,18.19,18.86,,148300.0
2011-11-11,19.06,19.3,18.63,18.72,,112000.0
2011-11-14,18.65,19.02,18.51,18.85,,97000.0
2011-11-15,18.81,18.93,18.65,18.92,,174800.0
2011-11-16,18.85,19.13,18.72,18.78,,109400.0
2011-11-17,18.83,18.83,18.2,18.54,,117500.0
2011-11-18,18.55,18.79,18.36,18.41,,214300.0
2011-11-21,18.23,18.33,17.86,18.23,,210600.0
2011-11-22,18.27,18.52,18.17,18.32,,165800.0
2011-11-23,18.19,18.23,17.96,18.12,,149900.0
2011-11-25,18.07,18.57,18.07,18.1,,37100.0
2011-11-28,18.5,18.55,18.07,18.39,,212100.0
2011-11-29,18.49,18.6,18.23,18.43,,217900.0
2011-11-30,18.89,19.14,18.85,19.09,,274500.0
2011-12-01,19.15,19.57,18.98,19.46,,214400.0
2011-12-02,20.02,20.83,19.95,20.64,,1310800.0
2011-12-05,20.95,21.45,20.73,21.11,,557100.0
2011-12-06,21.21,21.38,21.11,21.21,,210300.0
2011-12-07,21.21,21.46,20.94,21.31,,165700.0
2011-12-08,21.19,21.19,20.62,20.71,,183600.0
2011-12-09,20.83,21.47,20.83,21.35,,214700.0
2011-12-12,21.21,21.31,20.76,21.29,,132500.0
2011-12-13,21.42,22.25,21.28,21.37,,307700.0
2011-12-14,21.31,21.31,20.68,20.96,,208500.0
2011-12-15,21.18,21.32,20.57,20.86,,280200.0
2011-12-16,21.03,21.78,21.02,21.74,,538200.0
2011-12-19,21.64,21.72,21.08,21.3,,277800.0
2011-12-20,21.6,22.06,21.39,21.55,,276400.0
2011-12-21,21.55,22.21,21.37,22.1,,195400.0
2011-12-22,22.25,22.5,21.81,21.81,,149400.0
2011-12-23,21.92,22.15,21.73,22.15,,144900.0
2011-12-27,22.19,22.7,22.09,22.67,,112100.0
2011-12-28,22.71,22.71,22.1,22.13,,85900.0
2011-12-29,22.31,22.71,22.08,22.38,,160100.0
2011-12-30,22.43,22.62,22.24,22.47,,118600.0
2012-01-03,22.81,23.06,22.46,22.72,,237800.0
2012-01-04,22.67,22.68,22.12,22.65,,248100.0
2012-01-05,22.6,22.79,22.44,22.71,,260100.0
2012-01-06,22.82,22.82,22.47,22.53,,270100.0
