time,open,high,low,close,Volume,volume
2010-06-29,1.27,1.67,1.17,1.59,,18766300.0
2010-06-30,1.72,2.03,1.55,1.59,,17187100.0
2010-07-01,1.67,1.73,1.35,1.46,,8218800.0
2010-07-02,1.53,1.54,1.25,1.28,,5139800.0
2010-07-06,1.33,1.33,1.06,1.07,,6866900.0
2010-07-07,1.09,1.11,1.0,1.05,,6921700.0
2010-07-08,1.08,1.17,1.04,1.16,,7711400.0
2010-07-09,1.17,1.19,1.1,1.16,,4050600.0
2010-07-12,1.2,1.2,1.13,1.14,,2202500.0
2010-07-13,1.16,1.24,1.13,1.21,,2680100.0
2010-07-14,1.2,1.34,1.18,1.32,,4195200.0
2010-07-15,1.33,1.43,1.27,1.33,,3739800.0
2010-07-16,1.38,1.42,1.34,1.38,,2621300.0
2010-07-19,1.42,1.48,1.39,1.46,,2486500.0
2010-07-20,1.46,1.46,1.34,1.35,,1825300.0
2010-07-21,1.38,1.39,1.3,1.35,,1252500.0
2010-07-22,1.37,1.42,1.36,1.4,,957800.0
2010-07-23,1.41,1.44,1.4,1.42,,653600.0
2010-07-26,1.43,1.43,1.35,1.4,,922200.0
2010-07-27,1.39,1.41,1.35,1.37,,619700.0
2010-07-28,1.37,1.39,1.37,1.38,,467200.0
2010-07-29,1.38,1.39,1.33,1.36,,616000.0
2010-07-30,1.35,1.36,1.3,1.33,,426900.0
2010-08-02,1.37,1.4,1.36,1.39,,718100.0
2010-08-03,1.4,1.46,1.39,1.46,,1230500.0
2010-08-04,1.46,1.48,1.39,1.42,,913000.0
2010-08-05,1.44,1.44,1.34,1.36,,796200.0
2010-08-06,1.34,1.34,1.3,1.31,,741900.0
2010-08-09,1.33,1.33,1.3,1.31,,812700.0
2010-08-10,1.31,1.31,1.25,1.27,,1281300.0
2010-08-11,1.25,1.26,1.19,1.19,,797600.0
2010-08-12,1.19,1.19,1.16,1.17,,691000.0
2010-08-13,1.21,1.23,1.18,1.22,,634000.0
2010-08-16,1.23,1.25,1.22,1.25,,485800.0
2010-08-17,1.26,1.29,1.25,1.28,,447900.0
2010-08-18,1.31,1.31,1.24,1.25,,601300.0
2010-08-19,1.24,1.28,1.22,1.25,,579100.0
2010-08-20,1.24,1.27,1.23,1.27,,296000.0
2010-08-23,1.27,1.36,1.27,1.34,,1088100.0
2010-08-24,1.28,1.31,1.26,1.28,,673100.0
2010-08-25,1.28,1.33,1.24,1.33,,503300.0
2010-08-26,1.33,1.35,1.31,1.32,,433800.0
2010-08-27,1.32,1.32,1.3,1.31,,379600.0
2010-08-30,1.31,1.35,1.31,1.32,,732800.0
2010-08-31,1.31,1.32,1.29,1.3,,201100.0
2010-09-01,1.31,1.38,1.31,1.36,,494900.0
2010-09-02,1.36,1.42,1.35,1.4,,487100.0
2010-09-03,1.39,1.42,1.38,1.4,,434600.0
2010-09-07,1.37,1.4,1.37,1.37,,243400.0
2010-09-08,1.38,1.4,1.37,1.39,,288400.0
2010-09-09,1.4,1.4,1.38,1.38,,376200.0
2010-09-10,1.38,1.4,1.32,1.34,,386600.0
2010-09-13,1.39,1.39,1.37,1.38,,360800.0
2010-09-14,1.37,1.44,1.37,1.41,,654700.0
2010-09-15,1.4,1.47,1.39,1.47,,684600.0
2010-09-16,1.48,1.54,1.39,1.4,,2684500.0
2010-09-17,1.4,1.42,1.32,1.35,,1198500.0
2010-09-20,1.38,1.42,1.34,1.4,,947500.0
2010-09-21,1.39,1.44,1.38,1.38,,796000.0
2010-09-22,1.39,1.4,1.32,1.32,,962900.0
2010-09-23,1.33,1.34,1.3,1.3,,668100.0
2010-09-24,1.33,1.35,1.31,1.34,,578900.0
2010-09-27,1.36,1.39,1.34,1.37,,418600.0
2010-09-28,1.4,1.43,1.38,1.43,,1214500.0
2010-09-29,1.41,1.47,1.41,1.47,,1969300.0
2010-09-30,1.47,1.48,1.35,1.36,,2195800.0
2010-10-01,1.38,1.38,1.35,1.37,,597700.0
2010-10-04,1.36,1.41,1.35,1.4,,643600.0
2010-10-05,1.41,1.42,1.4,1.41,,332000.0
2010-10-06,1.4,1.42,1.35,1.36,,313400.0
2010-10-07,1.37,1.38,1.36,1.36,,141000.0
2010-10-08,1.36,1.39,1.36,1.36,,267800.0
2010-10-11,1.36,1.38,1.34,1.35,,171200.0
2010-10-12,1.35,1.35,1.34,1.35,,244000.0
2010-10-13,1.38,1.39,1.36,1.37,,318200.0
2010-10-14,1.4,1.4,1.36,1.38,,294800.0
2010-10-15,1.39,1.39,1.35,1.37,,284700.0
2010-10-18,1.37,1.38,1.35,1.35,,162800.0
2010-10-19,1.35,1.36,1.33,1.34,,245200.0
2010-10-20,1.34,1.38,1.34,1.38,,312500.0
2010-10-21,1.37,1.4,1.36,1.38,,417100.0
2010-10-22,1.38,1.4,1.37,1.38,,161100.0
2010-10-25,1.4,1.4,1.38,1.39,,118500.0
2010-10-26,1.39,1.46,1.37,1.42,,660900.0
2010-10-27,1.42,1.43,1.38,1.4,,356500.0
2010-10-28,1.43,1.43,1.4,1.41,,224200.0
