time,open,high,low,close,Volume,volume
1999-11-01,13.93,13.93,13.39,13.4,,570500.0
1999-11-02,13.44,13.47,13.21,13.21,,1193000.0
1999-11-03,13.21,13.22,12.29,12.86,,2650100.0
1999-11-04,12.86,12.94,12.32,12.55,,1286800.0
1999-11-05,12.39,12.8,12.39,12.75,,1576250.0
1999-11-08,12.78,12.78,12.58,12.71,,623850.0
1999-11-09,12.58,12.6,12.25,12.58,,780700.0
1999-11-10,12.29,12.45,12.22,12.3,,1007700.0
1999-11-11,12.39,12.56,12.35,12.43,,887400.0
1999-11-12,12.54,12.69,12.36,12.54,,420400.0
1999-11-15,12.59,13.15,12.56,13.02,,778200.0
1999-11-16,13.19,13.98,13.19,13.9,,1649100.0
1999-11-17,13.85,13.96,13.66,13.71,,923600.0
1999-11-18,13.65,13.75,13.5,13.58,,1376650.0
1999-11-19,13.38,13.45,12.81,12.92,,1424500.0
1999-11-22,12.92,13.29,12.86,12.92,,1051550.0
1999-11-23,13.05,13.05,12.15,12.41,,2103600.0
1999-11-24,12.35,12.66,12.07,12.46,,1275650.0
1999-11-26,12.53,12.63,12.46,12.46,,352550.0
1999-11-29,12.3,12.51,12.13,12.46,,852100.0
1999-11-30,12.46,12.89,12.46,12.78,,1109850.0
1999-12-01,12.72,12.99,12.4,12.5,,2144550.0
1999-12-02,12.13,12.26,11.92,12.03,,2092550.0
1999-12-03,12.17,12.76,12.15,12.72,,1820900.0
1999-12-06,12.46,12.79,12.45,12.56,,1941700.0
1999-12-07,12.56,12.56,12.0,12.17,,856600.0
1999-12-08,12.03,12.28,11.88,12.2,,579300.0
1999-12-09,12.17,12.2,11.84,12.03,,720500.0
1999-12-10,12.33,12.58,11.97,12.35,,1305550.0
1999-12-13,12.28,12.38,12.15,12.33,,706500.0
1999-12-14,12.36,12.58,12.33,12.54,,1334100.0
1999-12-15,12.56,12.99,12.56,12.97,,1553200.0
1999-12-16,12.97,13.27,12.91,13.15,,1439000.0
