time,open,high,low,close,Volume,volume
1999-11-01,29.4,29.5,28.22,28.22,,344300.0
1999-11-02,28.32,28.95,28.11,28.54,,747200.0
1999-11-03,28.34,28.78,27.6,28.68,,623400.0
1999-11-04,28.49,28.73,27.86,28.01,,497500.0
1999-11-05,28.22,28.39,27.22,27.79,,589300.0
1999-11-08,27.82,28.18,27.72,27.86,,385300.0
1999-11-09,27.89,27.89,26.71,26.81,,742200.0
1999-11-10,26.74,27.19,26.02,26.28,,620900.0
1999-11-11,25.73,26.86,25.3,26.64,,1294500.0
1999-11-12,26.88,27.22,26.23,26.47,,427700.0
1999-11-15,26.38,27.74,26.3,27.51,,469400.0
1999-11-16,27.6,28.37,27.6,28.25,,340300.0
1999-11-17,28.11,28.7,28.11,28.22,,455000.0
1999-11-18,28.42,29.09,28.32,28.78,,373300.0
1999-11-19,28.68,28.68,28.3,28.56,,536500.0
1999-11-22,28.47,28.47,28.03,28.18,,584300.0
1999-11-23,28.27,28.39,28.18,28.18,,401700.0
1999-11-24,28.22,28.27,27.91,28.13,,586700.0
1999-11-26,28.08,28.11,27.86,27.89,,108800.0
1999-11-29,27.65,27.79,27.36,27.41,,519900.0
1999-11-30,26.69,27.51,26.69,27.46,,1025100.0
1999-12-01,27.41,28.2,27.41,27.79,,385900.0
1999-12-02,27.94,28.08,27.43,27.6,,373200.0
1999-12-03,27.51,28.32,27.51,27.77,,584700.0
1999-12-06,27.51,28.01,27.46,27.74,,352600.0
1999-12-07,27.79,27.94,27.48,27.65,,455900.0
1999-12-08,27.82,28.64,27.82,28.35,,560600.0
1999-12-09,28.4,28.74,28.08,28.21,,422200.0
1999-12-10,28.21,28.45,28.06,28.28,,556800.0
1999-12-13,28.25,28.62,28.01,28.06,,419100.0
1999-12-14,27.96,28.35,27.96,28.28,,382300.0
1999-12-15,28.21,28.5,27.84,27.96,,744600.0
1999-12-16,27.96,28.28,27.63,28.16,,376100.0
1999-12-17,28.3,28.3,28.3,28.3,,466200.0
1999-12-20,28.25,28.28,27.5,27.58,,329300.0
1999-12-21,27.44,27.48,26.61,27.15,,728800.0
1999-12-22,27.24,27.24,26.83,27.0,,652000.0
1999-12-23,27.1,28.54,27.1,28.16,,528500.0
1999-12-27,28.91,28.91,28.33,28.33,,312500.0
1999-12-28,28.23,28.95,28.23,28.88,,230400.0
1999-12-29,28.88,29.29,28.74,29.14,,202500.0
1999-12-30,29.05,29.46,28.98,29.05,,187600.0
1999-12-31,28.95,29.77,28.83,29.58,,170900.0
2000-01-03,29.58,29.89,28.76,28.91,,921000.0
2000-01-04,28.91,29.41,28.3,28.42,,524400.0
2000-01-05,28.42,28.54,28.01,28.04,,452600.0
2000-01-06,27.53,27.53,26.81,27.39,,1069800.0
2000-01-07,27.34,28.06,27.12,28.06,,567600.0
2000-01-10,28.06,28.71,27.96,28.4,,447000.0
2000-01-11,28.16,28.3,27.7,28.18,,386700.0
2000-01-12,28.16,28.23,27.5,27.65,,398000.0
2000-01-13,27.48,27.58,26.49,26.57,,828400.0
2000-01-14,26.57,27.0,26.37,26.57,,524600.0
2000-01-18,25.89,26.04,25.75,25.89,,399800.0
2000-01-19,24.3,25.26,24.25,24.4,,1855600.0
2000-01-20,24.4,24.45,21.99,22.32,,3139000.0
2000-01-21,22.35,23.72,22.32,23.29,,1740800.0
2000-01-24,23.87,24.01,23.26,23.48,,1187800.0
2000-01-25,23.19,23.72,23.05,23.24,,907700.0
2000-01-26,23.12,23.46,23.12,23.24,,450100.0
2000-01-27,23.43,23.99,23.05,23.43,,631600.0
2000-01-28,23.0,23.22,22.71,22.76,,1001400.0
2000-01-31,22.85,23.17,22.85,23.02,,465700.0
2000-02-01,22.97,23.26,22.9,23.14,,779000.0
2000-02-02,23.05,23.82,23.05,23.79,,903900.0
2000-02-03,23.79,24.13,23.53,23.79,,714600.0
2000-02-04,23.82,23.87,23.74,23.82,,465700.0
2000-02-07,23.91,23.91,23.29,23.58,,484400.0
2000-02-08,23.58,24.08,23.51,23.72,,711200.0
2000-02-09,23.62,23.62,23.26,23.58,,632000.0
2000-02-10,23.39,23.82,23.36,23.51,,609600.0
2000-02-11,23.51,23.55,23.02,23.1,,486000.0
2000-02-14,23.07,23.19,22.93,23.02,,298400.0
2000-02-15,23.39,23.48,22.56,23.29,,383900.0
2000-02-16,23.24,23.29,22.56,23.12,,300200.0
