time,open,high,low,close,Volume,volume
1999-11-01,3.04,3.11,3.04,3.09,,243500.0
1999-11-02,3.09,3.13,3.09,3.09,,244800.0
1999-11-03,3.11,3.11,3.06,3.08,,245200.0
1999-11-04,3.11,3.11,3.08,3.08,,184500.0
1999-11-05,3.09,3.13,3.08,3.11,,219300.0
1999-11-08,3.09,3.13,3.09,3.09,,130800.0
1999-11-09,3.09,3.13,3.09,3.11,,148500.0
1999-11-10,3.11,3.11,3.06,3.08,,138400.0
1999-11-11,3.09,3.09,3.06,3.06,,127500.0
1999-11-12,3.04,3.08,3.04,3.08,,113900.0
1999-11-15,3.08,3.08,3.04,3.08,,168300.0
1999-11-16,2.99,3.06,2.95,3.01,,231100.0
1999-11-17,3.01,3.06,3.01,3.06,,131700.0
1999-11-18,3.01,3.02,2.99,3.02,,218900.0
1999-11-19,3.01,3.04,2.99,3.04,,160600.0
1999-11-22,3.04,3.04,2.99,3.01,,145000.0
1999-11-23,3.04,3.04,2.99,3.02,,185300.0
1999-11-24,3.02,3.06,3.01,3.01,,144100.0
1999-11-26,3.01,3.02,2.99,2.99,,63800.0
1999-11-29,2.99,3.04,2.99,3.01,,161400.0
1999-11-30,3.01,3.02,3.01,3.02,,155000.0
1999-12-01,3.02,3.04,2.97,2.97,,222000.0
1999-12-02,2.97,3.01,2.97,2.99,,129800.0
1999-12-03,2.97,2.99,2.94,2.95,,200600.0
1999-12-06,2.94,2.95,2.87,2.88,,278500.0
1999-12-07,2.88,2.88,2.78,2.81,,490000.0
1999-12-08,2.81,2.81,2.76,2.76,,243100.0
1999-12-09,2.66,2.78,2.66,2.78,,329600.0
1999-12-10,2.76,2.83,2.73,2.76,,230600.0
1999-12-13,2.74,2.76,2.69,2.74,,189200.0
1999-12-14,2.69,2.73,2.55,2.62,,559500.0
1999-12-15,2.6,2.71,2.59,2.71,,231600.0
1999-12-16,2.67,2.69,2.66,2.67,,217500.0
1999-12-17,2.66,2.71,2.64,2.69,,328600.0
1999-12-20,2.69,2.73,2.67,2.71,,294600.0
1999-12-21,2.71,2.74,2.69,2.69,,337000.0
1999-12-22,2.71,2.74,2.64,2.66,,343800.0
1999-12-23,2.66,2.66,2.6,2.62,,291200.0
