time,open,high,low,close,Volume,volume
1999-11-01,6.6,6.78,6.6,6.73,,72000.0
1999-11-02,6.75,6.86,6.73,6.81,,106400.0
1999-11-03,6.83,6.88,6.69,6.72,,142700.0
1999-11-04,6.72,6.76,6.67,6.72,,219300.0
1999-11-05,6.72,6.82,6.68,6.72,,105800.0
1999-11-08,6.72,6.72,6.67,6.69,,273300.0
1999-11-09,6.68,6.99,6.67,6.9,,216000.0
1999-11-10,6.96,7.14,6.96,7.13,,128600.0
1999-11-11,7.13,7.25,7.13,7.23,,158900.0
1999-11-12,7.25,7.42,7.23,7.27,,100500.0
1999-11-15,7.27,7.48,7.27,7.37,,181500.0
1999-11-16,7.32,7.42,7.32,7.39,,169700.0
1999-11-17,7.39,7.7,7.35,7.56,,239100.0
1999-11-18,7.56,7.95,7.53,7.73,,282900.0
1999-11-19,7.69,7.84,7.69,7.76,,172700.0
1999-11-22,7.77,7.91,7.74,7.74,,126800.0
1999-11-23,7.74,7.79,7.21,7.31,,218800.0
1999-11-24,7.31,7.39,7.27,7.34,,244800.0
1999-11-26,7.31,7.31,7.28,7.29,,51900.0
1999-11-29,7.29,7.42,7.28,7.38,,101300.0
1999-11-30,7.42,7.51,7.37,7.38,,125500.0
1999-12-01,7.41,7.49,7.38,7.38,,89700.0
1999-12-02,7.41,7.57,7.41,7.45,,68400.0
1999-12-03,7.39,7.53,7.39,7.46,,78600.0
1999-12-06,7.42,7.42,7.24,7.28,,82200.0
1999-12-07,7.29,7.52,7.29,7.52,,213200.0
1999-12-08,7.53,7.73,7.53,7.7,,198700.0
1999-12-09,7.7,7.79,7.7,7.73,,122400.0
1999-12-10,7.74,7.91,7.74,7.88,,108100.0
1999-12-13,7.87,7.87,7.6,7.6,,180600.0
1999-12-14,7.62,7.62,7.53,7.53,,65700.0
1999-12-15,7.59,7.59,7.45,7.45,,83300.0
1999-12-16,7.39,7.56,7.25,7.48,,372600.0
1999-12-17,7.48,7.49,7.37,7.44,,107500.0
1999-12-20,7.44,7.59,7.39,7.55,,117400.0
1999-12-21,7.56,7.57,7.38,7.44,,155000.0
1999-12-22,7.79,7.79,7.69,7.73,,53700.0
1999-12-23,7.7,7.91,7.66,7.8,,66400.0
1999-12-27,7.79,8.18,7.73,8.18,,112400.0
1999-12-28,8.15,8.15,7.88,7.92,,123800.0
1999-12-29,7.97,8.15,7.95,8.13,,63800.0
1999-12-30,8.12,8.28,8.11,8.11,,71400.0
1999-12-31,8.11,8.11,8.04,8.07,,32900.0
2000-01-03,8.35,8.35,8.35,8.35,,133800.0
2000-01-04,8.3,8.3,8.11,8.18,,72700.0
2000-01-05,8.21,8.44,8.21,8.43,,133000.0
2000-01-06,8.49,9.17,8.47,9.14,,269600.0
2000-01-07,9.19,10.08,9.19,9.9,,363100.0
2000-01-10,10.0,10.53,10.0,10.38,,308400.0
2000-01-11,10.35,10.35,9.97,9.97,,275100.0
2000-01-12,9.98,10.01,9.86,9.93,,90100.0
2000-01-13,9.91,10.31,9.91,10.31,,139200.0
2000-01-14,10.31,10.46,10.17,10.26,,214700.0
2000-01-18,10.32,10.42,10.22,10.25,,57600.0
2000-01-19,10.22,10.24,9.75,9.98,,195700.0
2000-01-20,10.75,10.88,10.64,10.75,,305200.0
2000-01-21,10.77,11.01,10.73,10.75,,420900.0
2000-01-24,10.73,10.8,10.7,10.75,,277600.0
2000-01-25,10.77,10.98,10.62,10.63,,249600.0
2000-01-26,10.63,10.74,10.43,10.43,,193800.0
2000-01-27,10.43,10.64,10.31,10.31,,203300.0
2000-01-28,10.31,10.43,10.03,10.08,,131700.0
2000-01-31,10.11,10.21,9.91,10.01,,94400.0
2000-02-01,10.04,10.12,9.8,10.1,,143700.0
2000-02-02,10.1,10.39,10.05,10.31,,134500.0
2000-02-03,10.31,10.84,10.31,10.77,,203000.0
2000-02-04,10.74,11.08,10.74,10.87,,202200.0
2000-02-07,10.87,10.87,10.64,10.7,,59500.0
2000-02-08,10.7,10.96,10.54,10.56,,106600.0
2000-02-09,10.59,10.74,10.28,10.31,,92900.0
2000-02-10,10.25,10.25,9.7,10.21,,191700.0
2000-02-11,10.18,10.32,10.08,10.14,,85600.0
2000-02-14,10.05,10.08,9.87,9.9,,75200.0
2000-02-15,9.86,10.53,9.77,10.36,,257300.0
2000-02-16,10.35,10.35,9.66,9.66,,141400.0
2000-02-17,9.72,9.72,9.45,9.52,,193500.0
2000-02-18,9.52,9.52,9.09,9.16,,239600.0
2000-02-22,9.16,9.16,8.79,9.03,,276400.0
2000-02-23,9.03,9.03,8.79,8.93,,192500.0
2000-02-24,8.96,8.96,8.56,8.71,,173600.0
2000-02-25,8.74,8.85,8.63,8.85,,142100.0
2000-02-28,8.82,8.84,8.58,8.58,,218600.0
2000-02-29,8.58,8.85,8.57,8.71,,142100.0
2000-03-01,8.72,9.02,8.72,8.98,,113200.0
2000-03-02,9.03,9.4,9.03,9.35,,130200.0
2000-03-03,9.38,9.38,9.23,9.27,,146200.0
2000-03-06,9.24,9.27,9.0,9.03,,98000.0
2000-03-07,9.06,9.06,8.77,8.77,,110800.0
2000-03-08,8.79,8.79,8.6,8.77,,127700.0
2000-03-09,8.82,9.02,8.72,8.99,,136300.0
2000-03-10,8.96,8.96,8.82,8.85,,62700.0
2000-03-13,8.88,8.88,8.77,8.84,,103400.0
2000-03-14,8.85,9.02,8.85,8.89,,86400.0
2000-03-15,8.91,8.93,8.81,8.92,,118800.0
2000-03-16,8.98,9.41,8.98,9.35,,366600.0
2000-03-17,9.35,9.48,9.17,9.34,,108300.0
2000-03-20,9.34,9.44,9.27,9.38,,102100.0
2000-03-21,9.49,9.62,9.45,9.58,,49500.0
2000-03-22,9.63,10.0,9.63,9.9,,197000.0
2000-03-23,9.89,9.89,9.8,9.83,,55200.0
2000-03-24,9.8,9.98,9.79,9.97,,110500.0
2000-03-27,9.94,9.94,9.69,9.79,,122400.0
2000-03-28,9.76,9.77,9.66,9.68,,105900.0
2000-03-29,9.69,9.84,9.66,9.72,,137000.0
2000-03-30,9.75,10.15,9.75,10.15,,107300.0
2000-03-31,10.12,11.23,10.12,10.98,,319500.0
2000-04-03,10.95,10.98,10.87,10.98,,115500.0
2000-04-04,10.9,11.29,10.9,11.09,,411800.0
2000-04-05,11.03,11.24,11.03,11.22,,226600.0
2000-04-06,11.33,11.37,11.29,11.37,,189600.0
2000-04-07,11.37,11.37,11.26,11.36,,97400.0
2000-04-10,11.33,11.64,11.31,11.58,,191300.0
2000-04-11,11.54,11.66,11.48,11.65,,133000.0
2000-04-12,11.57,12.13,11.55,12.08,,399900.0
2000-04-13,12.15,12.21,11.86,11.9,,152500.0
2000-04-14,11.87,11.87,11.31,11.47,,205400.0
2000-04-17,11.46,11.69,11.23,11.29,,259000.0
2000-04-18,11.29,11.65,10.98,11.65,,301700.0
2000-04-19,11.68,11.78,11.59,11.75,,154200.0
2000-04-20,11.86,12.15,11.86,12.07,,236100.0
2000-04-24,12.04,12.06,11.85,12.03,,159400.0
2000-04-25,12.02,12.62,12.02,12.53,,243900.0
2000-04-26,12.94,12.94,12.2,12.3,,243100.0
2000-04-27,12.31,12.31,11.78,11.92,,160900.0
2000-04-28,11.94,12.27,11.82,12.27,,124900.0
2000-05-01,12.24,12.42,12.11,12.32,,228700.0
2000-05-02,12.27,12.49,12.25,12.36,,125700.0
2000-05-03,12.42,12.42,11.82,11.83,,93600.0
2000-05-04,11.8,12.41,11.79,12.3,,230300.0
2000-05-05,12.24,12.49,12.18,12.21,,71900.0
2000-05-08,12.27,12.27,12.03,12.24,,47600.0
2000-05-09,12.27,12.46,12.27,12.43,,60900.0
2000-05-10,12.41,12.42,11.75,11.82,,114000.0
2000-05-11,11.85,12.49,11.85,12.46,,123300.0
2000-05-12,12.43,12.66,12.0,12.15,,90000.0
2000-05-15,12.1,12.59,12.1,12.5,,97200.0
2000-05-16,12.59,12.62,12.28,12.34,,97800.0
2000-05-17,12.17,12.48,11.93,12.02,,144200.0
2000-05-18,12.03,12.25,11.86,12.24,,141400.0
2000-05-19,12.32,12.41,11.9,12.04,,117300.0
2000-05-22,11.99,12.04,11.59,11.85,,91900.0
2000-05-23,11.87,12.38,11.86,12.31,,181700.0
2000-05-24,12.31,12.66,12.31,12.45,,232500.0
2000-05-25,12.49,12.67,12.45,12.52,,267700.0
2000-05-26,12.52,12.55,12.32,12.38,,49200.0
2000-05-30,12.43,12.63,12.32,12.55,,149200.0
2000-05-31,12.55,12.55,12.21,12.21,,248900.0
2000-06-01,11.94,12.41,11.94,12.27,,143900.0
2000-06-02,12.32,12.74,12.3,12.64,,195600.0
2000-06-05,12.73,12.78,12.55,12.66,,205800.0
2000-06-06,12.64,12.69,12.56,12.59,,111900.0
2000-06-07,12.67,12.67,12.55,12.6,,133700.0
2000-06-08,12.66,12.77,12.56,12.59,,127100.0
2000-06-09,12.6,12.7,12.6,12.6,,116400.0
2000-06-12,12.69,13.22,12.69,13.22,,99800.0
2000-06-13,13.22,13.22,12.36,12.64,,440700.0
2000-06-14,12.64,13.39,12.64,13.32,,711400.0
2000-06-15,13.26,14.59,13.23,14.59,,903100.0
2000-06-16,14.59,14.82,14.2,14.39,,810700.0
2000-06-19,14.28,14.28,13.67,13.96,,1140100.0
2000-06-20,14.02,14.48,14.0,14.45,,1030800.0
2000-06-21,14.54,14.59,14.35,14.35,,581300.0
2000-06-22,14.3,15.25,14.21,15.04,,837100.0
2000-06-23,14.91,14.93,14.58,14.8,,565500.0
2000-06-26,14.91,15.39,14.91,14.93,,382900.0
2000-06-27,15.19,15.57,15.19,15.46,,290300.0
2000-06-28,15.51,15.68,15.25,15.67,,435000.0
2000-06-29,15.56,15.74,15.46,15.7,,337900.0
2000-06-30,15.64,15.66,14.67,14.67,,601900.0
2000-07-03,14.73,14.95,14.69,14.93,,182000.0
2000-07-05,14.7,15.25,14.61,15.23,,286000.0
2000-07-06,15.29,15.39,15.18,15.26,,270800.0
2000-07-07,15.32,15.4,15.12,15.19,,107200.0
2000-07-10,15.17,15.29,15.11,15.21,,260500.0
2000-07-11,15.19,15.23,15.11,15.19,,188700.0
2000-07-12,15.22,15.23,15.11,15.22,,155800.0
2000-07-13,15.17,15.21,14.73,14.76,,157900.0
2000-07-14,14.82,14.84,14.55,14.55,,103200.0
2000-07-17,14.55,15.29,14.55,15.19,,246500.0
2000-07-18,14.82,15.46,14.2,15.4,,827200.0
2000-07-19,15.4,15.4,15.08,15.11,,205700.0
2000-07-20,15.08,15.29,15.04,15.11,,168500.0
2000-07-21,15.08,15.08,14.97,15.02,,156200.0
2000-07-24,15.05,15.29,14.9,14.9,,247800.0
2000-07-25,14.91,14.91,14.39,14.41,,182200.0
2000-07-26,14.44,14.87,14.44,14.82,,179900.0
2000-07-27,14.8,14.98,14.72,14.86,,122000.0
2000-07-28,14.83,15.1,14.82,15.08,,182300.0
2000-07-31,15.11,15.29,14.72,15.1,,316300.0
2000-08-01,15.23,15.39,15.11,15.25,,719700.0
2000-08-02,15.23,15.23,15.04,15.21,,79800.0
2000-08-03,15.15,15.32,15.07,15.22,,298200.0
2000-08-04,15.22,15.29,15.17,15.26,,611100.0
