time,open,high,low,close,Volume,volume
2007-10-25,32.63,34.61,28.57,29.49,,7486900.0
2007-10-26,29.36,32.61,28.92,31.64,,1625600.0
2007-10-29,33.62,34.61,32.29,34.31,,667900.0
2007-10-30,34.83,35.2,32.63,35.03,,455600.0
2007-10-31,34.54,35.23,32.58,33.82,,393200.0
2007-11-01,33.13,33.13,31.78,32.36,,453900.0
2007-11-02,32.37,32.6,31.17,32.06,,276000.0
2007-11-05,31.26,31.89,30.76,31.15,,342300.0
2007-11-06,31.16,31.54,31.0,31.08,,223100.0
2007-11-07,30.95,30.95,28.92,29.02,,525600.0
2007-11-08,28.92,29.81,28.92,29.67,,411100.0
2007-11-09,29.32,29.74,28.74,29.57,,213400.0
2007-11-12,29.34,30.81,28.72,28.72,,112900.0
2007-11-13,28.97,29.67,28.09,28.8,,236700.0
2007-11-14,28.83,29.91,28.78,29.62,,244500.0
2007-11-15,29.38,30.35,29.38,29.86,,76800.0
2007-11-16,29.86,30.36,29.67,30.35,,88900.0
2007-11-19,29.71,30.35,28.43,28.86,,238300.0
2007-11-20,29.38,29.39,24.98,26.7,,742900.0
2007-11-21,26.04,26.12,23.0,24.08,,810400.0
2007-11-23,23.47,23.97,22.59,23.9,,100200.0
2007-11-26,24.49,25.05,23.73,23.93,,233800.0
2007-11-27,24.17,24.72,23.53,23.6,,211200.0
2007-11-28,24.2,25.03,23.93,24.57,,417400.0
2007-11-29,24.22,24.74,23.92,24.51,,341700.0
2007-11-30,24.72,25.94,24.48,25.45,,199100.0
2007-12-03,25.69,26.45,25.26,26.01,,319200.0
2007-12-04,26.0,26.36,25.44,25.56,,180500.0
2007-12-05,25.79,26.45,25.72,26.24,,168500.0
2007-12-06,26.25,27.19,26.25,27.18,,102100.0
2007-12-07,27.36,28.53,27.35,27.67,,103200.0
2007-12-10,27.91,28.21,26.23,27.19,,281500.0
2007-12-11,26.2,26.49,19.13,20.68,,3591000.0
2007-12-12,20.88,21.61,18.2,19.33,,1121400.0
2007-12-13,19.33,19.54,17.33,18.35,,1190300.0
2007-12-14,18.49,18.49,17.9,18.34,,173500.0
2007-12-17,18.39,18.39,17.22,17.66,,161500.0
2007-12-18,17.8,17.8,16.93,17.5,,220900.0
2007-12-19,17.61,17.72,16.91,17.55,,143400.0
2007-12-20,17.55,17.55,16.32,16.56,,252700.0
2007-12-21,16.81,16.96,15.43,16.39,,1079900.0
2007-12-24,16.55,16.64,16.05,16.61,,189600.0
2007-12-26,16.51,17.75,16.23,17.16,,270700.0
2007-12-27,17.06,17.26,16.81,17.08,,123400.0
2007-12-28,17.07,17.28,16.71,16.91,,234400.0
2007-12-31,16.81,17.16,16.69,16.96,,515300.0
2008-01-02,16.81,16.91,16.05,16.37,,213100.0
2008-01-03,16.06,16.67,14.88,15.33,,296500.0
2008-01-04,15.57,15.57,14.33,14.33,,334400.0
2008-01-07,14.4,14.59,11.7,12.38,,993300.0
2008-01-08,12.66,13.6,12.21,13.4,,704000.0
2008-01-09,13.34,14.34,13.24,14.34,,1019800.0
2008-01-10,14.19,16.08,14.19,15.89,,1232700.0
2008-01-11,15.52,15.82,15.04,15.62,,417800.0
2008-01-14,15.59,16.23,15.41,15.87,,237900.0
2008-01-15,15.48,15.88,15.41,15.44,,291600.0
2008-01-16,15.43,16.15,15.42,15.73,,297100.0
2008-01-17,15.65,15.74,14.23,14.6,,188900.0
2008-01-18,14.5,14.58,11.87,12.36,,951100.0
2008-01-22,11.87,12.72,11.64,12.44,,1503700.0
2008-01-23,12.14,14.34,12.13,14.09,,391700.0
2008-01-24,14.14,14.39,13.83,14.14,,579400.0
