time,open,high,low,close,Volume,volume
1999-11-01,5.26,5.46,5.17,5.18,,1236500.0
1999-11-02,5.45,5.56,5.34,5.49,,3101500.0
1999-11-03,5.47,5.47,5.22,5.26,,2002800.0
1999-11-04,5.24,5.31,5.11,5.17,,1290100.0
1999-11-05,5.22,5.27,5.21,5.22,,724600.0
1999-11-08,5.24,5.49,5.22,5.46,,1308200.0
1999-11-09,5.46,5.46,5.23,5.3,,780500.0
1999-11-10,5.26,5.4,5.25,5.28,,812700.0
1999-11-11,5.28,5.35,5.19,5.23,,950800.0
1999-11-12,5.21,5.33,5.2,5.29,,604100.0
1999-11-15,5.29,5.46,5.29,5.42,,814700.0
1999-11-16,5.44,5.52,5.43,5.47,,901400.0
1999-11-17,5.5,5.68,5.47,5.6,,1361900.0
1999-11-18,5.56,5.81,5.49,5.81,,1793800.0
1999-11-19,5.71,5.72,5.5,5.53,,868500.0
1999-11-22,5.54,5.57,5.4,5.46,,647100.0
1999-11-23,5.56,5.69,5.46,5.53,,697800.0
1999-11-24,5.39,5.41,5.26,5.26,,832500.0
1999-11-26,5.26,5.26,5.15,5.15,,320800.0
1999-11-29,5.14,5.14,5.0,5.0,,800000.0
1999-11-30,5.0,5.19,4.94,5.16,,1112000.0
1999-12-01,5.1,5.33,5.1,5.25,,864900.0
1999-12-02,5.22,5.46,5.21,5.42,,735100.0
1999-12-03,5.43,5.6,5.34,5.37,,753600.0
1999-12-06,5.35,5.41,5.29,5.37,,399600.0
1999-12-07,5.37,5.38,5.13,5.21,,713400.0
1999-12-08,5.19,5.27,5.15,5.22,,597000.0
1999-12-09,5.31,5.36,4.99,5.02,,571300.0
1999-12-10,5.03,5.15,4.91,5.06,,718500.0
1999-12-13,5.05,5.08,4.86,4.99,,591600.0
1999-12-14,5.04,5.17,5.0,5.17,,746100.0
1999-12-15,5.12,5.25,4.99,5.25,,582500.0
1999-12-16,5.15,5.23,5.11,5.12,,1156300.0
1999-12-17,5.14,5.17,5.02,5.04,,1113600.0
1999-12-20,5.02,5.02,4.87,4.93,,886200.0
1999-12-21,4.91,4.97,4.91,4.93,,479000.0
1999-12-22,4.92,5.11,4.9,4.99,,809800.0
1999-12-23,5.06,5.09,5.03,5.06,,522700.0
1999-12-27,5.08,5.18,5.07,5.15,,663100.0
1999-12-28,5.13,5.16,5.11,5.13,,654600.0
1999-12-29,5.12,5.2,5.12,5.18,,448600.0
1999-12-30,5.17,5.32,5.16,5.27,,366000.0
1999-12-31,5.26,5.31,5.26,5.28,,154300.0
2000-01-03,5.28,5.37,5.26,5.34,,428900.0
2000-01-04,5.3,5.39,5.26,5.27,,749700.0
2000-01-05,5.28,5.38,5.23,5.26,,1320300.0
2000-01-06,5.26,5.51,5.25,5.45,,1912500.0
2000-01-07,5.71,6.11,5.65,6.09,,2020100.0
2000-01-10,6.14,6.15,5.94,5.98,,1167000.0
2000-01-11,5.86,6.09,5.83,6.0,,1248500.0
2000-01-12,5.95,6.06,5.91,5.94,,797300.0
2000-01-13,5.97,6.15,5.94,6.13,,872700.0
2000-01-14,6.16,6.24,6.11,6.12,,1161600.0
2000-01-18,5.98,6.06,5.79,5.86,,689300.0
2000-01-19,5.81,6.0,5.81,5.91,,966300.0
2000-01-20,5.91,6.06,5.81,6.06,,1057200.0
2000-01-21,6.06,6.06,5.74,5.8,,1610100.0
2000-01-24,5.7,5.77,5.42,5.48,,1187900.0
2000-01-25,5.51,5.58,5.42,5.48,,1052000.0
2000-01-26,5.41,5.59,5.41,5.47,,1099700.0
2000-01-27,5.47,5.49,5.35,5.38,,1131700.0
2000-01-28,5.19,5.43,5.19,5.23,,1594300.0
2000-01-31,5.23,5.49,5.22,5.26,,598800.0
2000-02-01,5.31,5.51,5.28,5.41,,498000.0
2000-02-02,5.45,5.61,5.45,5.55,,832500.0
2000-02-03,5.5,5.56,5.47,5.5,,1715100.0
2000-02-04,5.52,5.64,5.52,5.64,,899900.0
2000-02-07,5.56,5.81,5.54,5.78,,1452100.0
2000-02-08,5.56,5.67,5.54,5.56,,1040700.0
2000-02-09,5.61,5.63,5.34,5.36,,940800.0
2000-02-10,5.75,6.0,5.67,5.75,,2611000.0
2000-02-11,5.67,5.87,5.55,5.56,,2362000.0
2000-02-14,5.62,5.71,5.6,5.65,,909500.0
2000-02-15,5.8,6.1,5.79,5.9,,2110700.0
2000-02-16,5.93,6.21,5.89,6.09,,2051600.0
2000-02-17,6.16,6.43,6.15,6.25,,1552400.0
2000-02-18,6.17,6.21,5.69,5.75,,1896300.0
2000-02-22,5.76,5.92,5.73,5.84,,728600.0
2000-02-23,5.79,5.81,5.65,5.69,,1225800.0
2000-02-24,5.62,5.64,5.16,5.23,,1626500.0
2000-02-25,5.23,5.25,5.02,5.09,,1207300.0
2000-02-28,5.07,5.21,5.02,5.11,,1066700.0
2000-02-29,5.08,5.16,5.07,5.08,,963900.0
2000-03-01,5.08,5.5,4.95,5.43,,1570600.0
2000-03-02,5.44,5.46,5.17,5.22,,942300.0
2000-03-03,5.21,5.49,5.17,5.41,,474300.0
2000-03-06,5.39,5.39,5.19,5.22,,511300.0
2000-03-07,5.12,5.13,4.86,4.87,,1076300.0
2000-03-08,4.86,4.91,4.61,4.73,,1295400.0
2000-03-09,4.73,4.93,4.68,4.87,,837500.0
2000-03-10,4.87,5.07,4.82,5.05,,838800.0
2000-03-13,4.87,5.02,4.87,4.97,,785300.0
2000-03-14,4.95,5.01,4.87,4.97,,493700.0
2000-03-15,4.94,5.14,4.92,5.11,,1609500.0
2000-03-16,5.03,5.28,4.94,5.18,,1395500.0
2000-03-17,5.26,5.36,5.08,5.13,,1208900.0
2000-03-20,5.15,5.3,5.13,5.26,,683600.0
2000-03-21,5.26,5.4,5.26,5.36,,521100.0
2000-03-22,5.34,5.46,5.17,5.26,,737200.0
2000-03-23,5.22,5.43,5.19,5.43,,750400.0
2000-03-24,5.42,5.72,5.41,5.71,,1085900.0
2000-03-27,5.64,5.65,5.5,5.54,,583100.0
2000-03-28,5.46,5.58,5.46,5.5,,475100.0
2000-03-29,5.51,5.56,5.41,5.53,,449300.0
2000-03-30,5.53,5.75,5.52,5.69,,654700.0
2000-03-31,5.69,5.93,5.61,5.93,,879100.0
2000-04-03,5.9,6.21,5.89,6.17,,928800.0
2000-04-04,6.16,6.16,5.74,6.04,,1031700.0
2000-04-05,5.96,6.06,5.87,5.96,,625800.0
2000-04-06,5.96,6.16,5.93,6.13,,689500.0
2000-04-07,6.12,6.14,5.99,6.14,,682900.0
2000-04-10,6.22,6.39,6.22,6.35,,938900.0
2000-04-11,6.26,6.5,6.17,6.5,,1299900.0
2000-04-12,6.46,6.85,6.44,6.75,,1266700.0
2000-04-13,6.78,6.81,6.29,6.6,,1723000.0
2000-04-14,6.53,6.53,6.15,6.35,,644400.0
2000-04-17,6.3,6.42,6.14,6.34,,640100.0
2000-04-18,6.26,6.48,6.21,6.45,,588500.0
2000-04-19,6.31,6.53,6.3,6.43,,632800.0
2000-04-20,6.31,6.79,6.31,6.67,,1192800.0
2000-04-24,6.71,6.93,6.7,6.9,,697500.0
2000-04-25,6.9,6.9,6.71,6.78,,1612000.0
2000-04-26,6.81,6.88,6.66,6.69,,1053900.0
2000-04-27,6.73,6.81,6.65,6.66,,901600.0
