time,open,high,low,close,Volume,volume
1999-11-01,18.32,19.54,18.2,19.3,,382200.0
1999-11-02,19.48,19.67,17.96,18.13,,445900.0
1999-11-03,18.45,18.69,17.96,17.96,,455100.0
1999-11-04,18.08,18.13,17.59,17.71,,373500.0
1999-11-05,17.59,17.89,17.1,17.16,,724900.0
1999-11-08,17.23,17.23,16.25,16.55,,565200.0
1999-11-09,16.74,16.85,16.12,16.12,,393200.0
1999-11-10,16.18,16.49,16.12,16.31,,351800.0
1999-11-11,16.37,16.55,16.12,16.12,,277600.0
1999-11-12,16.25,16.25,15.57,15.88,,221800.0
1999-11-15,16.06,16.61,15.57,15.63,,448400.0
1999-11-16,15.63,15.88,14.35,14.78,,483200.0
1999-11-17,14.78,15.09,14.41,14.71,,625100.0
1999-11-18,14.84,15.82,14.78,15.27,,732600.0
1999-11-19,15.33,15.63,14.9,15.2,,289900.0
1999-11-22,14.96,15.52,14.71,14.9,,411400.0
1999-11-23,14.9,14.9,13.98,14.35,,534600.0
1999-11-24,14.35,15.57,14.35,15.45,,735100.0
1999-11-26,15.45,15.57,15.27,15.33,,83000.0
1999-11-29,15.39,16.25,15.39,15.82,,429300.0
1999-11-30,15.88,17.59,15.88,16.85,,523700.0
1999-12-01,17.34,18.45,17.23,18.38,,653900.0
1999-12-02,18.56,18.99,18.32,18.62,,473300.0
1999-12-03,19.05,19.42,18.56,19.05,,632600.0
1999-12-06,19.3,19.48,18.56,18.69,,650300.0
1999-12-07,18.62,18.75,18.32,18.56,,249200.0
1999-12-08,18.81,19.24,18.45,18.56,,265800.0
1999-12-09,18.75,18.87,17.71,17.77,,106200.0
1999-12-10,17.89,18.81,17.71,18.62,,192700.0
1999-12-13,18.38,18.81,17.59,18.26,,412200.0
1999-12-14,18.08,18.38,17.83,17.96,,702500.0
1999-12-15,17.71,18.32,17.65,17.96,,281000.0
1999-12-16,17.83,17.89,17.1,17.28,,312500.0
1999-12-17,16.55,16.55,16.55,16.55,,417800.0
1999-12-20,16.61,16.61,16.0,16.12,,316200.0
1999-12-21,16.06,16.06,15.39,15.57,,908300.0
1999-12-22,15.76,16.67,15.69,16.67,,467200.0
1999-12-23,16.67,17.83,16.61,17.59,,241500.0
1999-12-27,17.83,18.02,17.59,17.59,,285900.0
1999-12-28,17.34,17.59,16.0,16.74,,224400.0
1999-12-29,16.74,16.85,15.69,16.74,,165900.0
1999-12-30,16.74,16.74,16.37,16.61,,196200.0
1999-12-31,16.42,16.8,15.94,16.74,,245300.0
2000-01-03,16.98,17.1,16.24,16.31,,170200.0
